Date,Time,Open,High,Low,Close,Vol
10/31/1994,16:00,1.03,1.04,1.03,1.04,1984200.0
11/01/1994,16:00,1.04,1.04,1.03,1.04,2176400.0
11/02/1994,16:00,1.04,1.04,1.03,1.03,2348200.0
11/03/1994,16:00,1.03,1.04,1.02,1.03,2060800.0
11/04/1994,16:00,1.03,1.04,1.02,1.02,2663800.0
11/07/1994,16:00,1.01,1.01,1.00,1.01,1049400.0
11/08/1994,16:00,1.01,1.01,0.99,0.99,5761000.0
11/09/1994,16:00,1.00,1.01,1.00,1.00,2480000.0
11/10/1994,16:00,1.00,1.01,1.00,1.01,1956000.0
11/11/1994,16:00,1.01,1.01,1.00,1.00,1300200.0
11/14/1994,16:00,1.04,1.04,1.03,1.04,1419200.0
11/15/1994,16:00,1.04,1.04,1.03,1.03,3118800.0
11/16/1994,16:00,1.03,1.04,1.03,1.03,813400.0
11/17/1994,16:00,1.03,1.03,1.01,1.02,1477600.0
11/18/1994,16:00,1.02,1.02,1.01,1.01,2452600.0
11/21/1994,16:00,1.01,1.01,0.99,0.99,3276000.0
11/22/1994,16:00,0.99,1.00,0.97,0.97,2725000.0
11/23/1994,16:00,0.97,0.98,0.96,0.98,2634200.0
11/25/1994,16:00,0.98,0.98,0.98,0.98,640800.0
11/28/1994,16:00,0.98,0.99,0.97,0.99,1583400.0
11/29/1994,16:00,0.99,0.99,0.97,0.98,1056400.0
11/30/1994,16:00,0.98,0.98,0.97,0.98,1086800.0
12/01/1994,16:00,0.98,0.98,0.97,0.97,979000.0
12/02/1994,16:00,0.97,0.98,0.96,0.98,1257200.0
12/05/1994,16:00,0.98,0.99,0.97,0.97,1071200.0
12/06/1994,16:00,0.97,0.97,0.96,0.97,1819200.0
12/07/1994,16:00,0.97,0.97,0.96,0.96,1223400.0
12/08/1994,16:00,0.96,0.97,0.96,0.96,1178400.0
12/09/1994,16:00,0.96,0.96,0.96,0.96,1682000.0
12/12/1994,16:00,0.96,0.97,0.96,0.96,1011400.0
12/13/1994,16:00,0.96,0.98,0.96,0.97,1555200.0
12/14/1994,16:00,0.97,0.98,0.97,0.98,1351600.0
12/15/1994,16:00,0.98,0.99,0.96,0.98,2600400.0
12/16/1994,16:00,0.98,0.99,0.97,0.98,3428800.0
12/19/1994,16:00,0.98,1.00,0.96,0.99,3590000.0
12/20/1994,16:00,0.99,1.00,0.99,1.00,1464200.0
