Date,Time,Open,High,Low,Close,Vol
04/17/1995,16:00,6.28,6.28,6.10,6.10,15100.0
04/18/1995,16:00,6.10,6.10,6.10,6.10,25200.0
04/19/1995,16:00,6.10,6.28,6.10,6.10,1500.0
04/20/1995,16:00,6.10,6.10,6.10,6.10,13900.0
04/21/1995,16:00,6.10,6.10,6.10,6.10,100.0
04/24/1995,16:00,6.10,6.10,6.10,6.10,14400.0
04/25/1995,16:00,6.10,6.10,6.10,6.10,900.0
04/26/1995,16:00,5.92,5.92,5.92,5.92,30400.0
04/27/1995,16:00,5.92,5.92,5.73,5.73,18300.0
04/28/1995,16:00,5.34,5.34,5.34,5.34,17400.0
05/01/1995,16:00,5.34,5.52,4.94,5.52,12900.0
05/02/1995,16:00,5.34,5.52,5.34,5.52,1300.0
05/03/1995,16:00,5.52,5.52,5.52,5.52,0.0
05/04/1995,16:00,5.52,5.52,5.52,5.52,0.0
05/05/1995,16:00,5.73,5.73,5.73,5.73,100.0
05/08/1995,16:00,5.73,5.73,5.73,5.73,0.0
05/09/1995,16:00,5.92,5.92,5.92,5.92,900.0
05/10/1995,16:00,5.73,5.92,5.73,5.92,3700.0
05/11/1995,16:00,6.10,6.10,6.10,6.10,2400.0
05/12/1995,16:00,6.10,6.10,6.10,6.10,0.0
05/15/1995,16:00,6.47,6.47,6.28,6.28,3700.0
05/16/1995,16:00,5.92,6.47,5.92,6.47,3000.0
05/17/1995,16:00,6.47,6.47,6.47,6.47,0.0
05/18/1995,16:00,6.47,6.47,6.47,6.47,0.0
05/19/1995,16:00,6.47,6.47,6.47,6.47,3700.0
05/22/1995,16:00,6.47,6.47,6.47,6.47,0.0
05/23/1995,16:00,6.47,6.47,6.47,6.47,0.0
05/24/1995,16:00,6.28,6.28,6.28,6.28,100.0
05/25/1995,16:00,6.28,6.28,6.28,6.28,400.0
05/26/1995,16:00,6.28,6.28,6.28,6.28,0.0
05/30/1995,16:00,6.28,6.28,6.28,6.28,0.0
05/31/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/01/1995,16:00,6.10,6.10,6.10,6.10,700.0
06/02/1995,16:00,6.28,6.28,6.28,6.28,1200.0
06/05/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/06/1995,16:00,6.28,6.28,6.28,6.28,900.0
06/07/1995,16:00,6.28,6.28,6.28,6.28,13600.0
06/08/1995,16:00,6.28,6.28,6.10,6.28,3000.0
06/09/1995,16:00,5.92,5.92,5.92,5.92,3700.0
06/12/1995,16:00,6.28,6.28,6.28,6.28,400.0
06/13/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/14/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/15/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/16/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/19/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/20/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/21/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/22/1995,16:00,6.28,6.28,6.28,6.28,0.0
06/23/1995,16:00,6.10,6.10,6.10,6.10,400.0
06/26/1995,16:00,6.10,6.10,6.10,6.10,1200.0
06/27/1995,16:00,6.28,6.28,6.28,6.28,300.0
06/28/1995,16:00,6.10,6.10,6.10,6.10,1600.0
06/29/1995,16:00,6.10,6.10,6.10,6.10,1200.0
06/30/1995,16:00,6.10,6.10,6.10,6.10,41100.0
07/03/1995,16:00,6.28,6.28,6.28,6.28,0.0
07/05/1995,16:00,6.10,6.10,5.73,5.73,900.0
07/06/1995,16:00,5.73,5.73,5.73,5.73,5100.0
07/07/1995,16:00,5.73,5.73,5.73,5.73,300.0
07/10/1995,16:00,5.73,5.73,5.73,5.73,0.0
07/11/1995,16:00,5.73,5.73,5.73,5.73,300.0
07/12/1995,16:00,5.73,5.73,5.73,5.73,400.0
07/13/1995,16:00,5.73,5.73,5.73,5.73,0.0
07/14/1995,16:00,5.73,5.73,5.73,5.73,0.0
07/17/1995,16:00,5.73,5.73,5.73,5.73,0.0
07/18/1995,16:00,5.73,5.73,5.73,5.73,0.0
07/19/1995,16:00,5.73,5.73,5.73,5.73,0.0
07/20/1995,16:00,5.52,5.52,5.52,5.52,0.0
07/21/1995,16:00,5.73,5.73,5.73,5.73,700.0
07/24/1995,16:00,5.73,5.73,5.73,5.73,300.0
07/25/1995,16:00,5.73,5.73,5.34,5.34,1200.0
07/26/1995,16:00,5.15,5.15,5.15,5.15,1500.0
07/27/1995,16:00,5.52,5.52,5.52,5.52,600.0
07/28/1995,16:00,5.15,5.15,5.15,5.15,0.0
07/31/1995,16:00,4.94,4.94,4.94,4.94,600.0
08/01/1995,16:00,4.94,4.94,4.94,4.94,400.0
08/02/1995,16:00,4.94,4.94,4.94,4.94,2200.0
08/03/1995,16:00,4.94,4.94,4.94,4.94,1500.0
08/04/1995,16:00,4.94,4.94,4.94,4.94,0.0
08/07/1995,16:00,4.94,4.94,4.94,4.94,0.0
08/08/1995,16:00,4.94,4.94,4.76,4.76,300.0
08/09/1995,16:00,4.94,4.94,4.94,4.94,1200.0
08/10/1995,16:00,4.94,4.94,4.94,4.94,1000.0
08/11/1995,16:00,4.94,4.94,4.94,4.94,0.0
08/14/1995,16:00,4.94,4.94,4.94,4.94,0.0
08/15/1995,16:00,4.94,4.94,4.94,4.94,0.0
08/16/1995,16:00,4.94,4.94,4.94,4.94,0.0
08/17/1995,16:00,4.94,4.94,4.94,4.94,0.0
08/18/1995,16:00,5.15,5.15,5.15,5.15,0.0
08/21/1995,16:00,5.15,5.34,5.15,5.34,700.0
08/22/1995,16:00,5.34,5.34,5.34,5.34,0.0
08/23/1995,16:00,5.34,5.34,5.34,5.34,0.0
08/24/1995,16:00,4.94,4.94,4.94,4.94,100.0
08/25/1995,16:00,4.94,4.94,4.94,4.94,0.0
08/28/1995,16:00,4.76,5.15,4.76,5.15,3000.0
08/29/1995,16:00,5.15,5.15,5.15,5.15,0.0
08/30/1995,16:00,5.15,5.15,5.15,5.15,0.0
08/31/1995,16:00,5.15,5.15,5.15,5.15,0.0
09/01/1995,16:00,5.15,5.15,5.15,5.15,0.0
09/05/1995,16:00,5.15,5.15,5.15,5.15,0.0
09/06/1995,16:00,4.76,4.76,4.76,4.76,400.0
09/07/1995,16:00,4.76,4.76,4.76,4.76,0.0
09/08/1995,16:00,4.76,4.76,4.76,4.76,0.0
09/11/1995,16:00,4.76,4.76,4.76,4.76,0.0
09/12/1995,16:00,4.76,4.76,4.76,4.76,0.0
09/13/1995,16:00,4.57,4.57,4.57,4.57,900.0
09/14/1995,16:00,4.57,4.57,4.21,4.21,100.0
09/15/1995,16:00,4.21,4.21,3.81,3.81,3600.0
09/18/1995,16:00,3.81,3.81,3.81,3.81,0.0
09/19/1995,16:00,3.63,3.63,3.63,3.63,400.0
09/20/1995,16:00,3.99,3.99,3.99,3.99,900.0
09/21/1995,16:00,3.63,3.63,3.63,3.63,100.0
09/22/1995,16:00,3.41,3.41,3.23,3.41,5400.0
09/25/1995,16:00,3.81,3.81,3.81,3.81,1600.0
09/26/1995,16:00,3.81,3.81,3.81,3.81,0.0
09/27/1995,16:00,3.81,3.81,3.81,3.81,0.0
09/28/1995,16:00,4.21,4.21,4.21,4.21,21300.0
09/29/1995,16:00,4.21,4.21,4.21,4.21,0.0
10/02/1995,16:00,4.21,4.21,4.21,4.21,0.0
10/03/1995,16:00,4.21,4.21,4.21,4.21,0.0
10/04/1995,16:00,4.21,4.21,4.21,4.21,0.0
10/05/1995,16:00,3.63,3.63,3.63,3.63,100.0
10/06/1995,16:00,3.63,3.63,3.63,3.63,0.0
10/09/1995,16:00,3.81,3.81,3.41,3.41,900.0
10/10/1995,16:00,3.41,3.41,3.41,3.41,0.0
10/11/1995,16:00,3.41,3.41,3.41,3.41,0.0
10/12/1995,16:00,3.41,3.41,3.41,3.41,0.0
10/13/1995,16:00,3.81,3.81,3.81,3.81,0.0
10/16/1995,16:00,3.81,3.81,3.81,3.81,400.0
10/17/1995,16:00,3.81,3.81,3.81,3.81,0.0
10/18/1995,16:00,3.81,3.81,3.81,3.81,0.0
10/19/1995,16:00,3.63,3.63,3.63,3.63,0.0
10/20/1995,16:00,3.23,3.23,3.23,3.23,600.0
10/23/1995,16:00,3.23,3.23,3.23,3.23,0.0
10/24/1995,16:00,3.23,3.23,3.23,3.23,0.0
10/25/1995,16:00,3.63,3.63,3.63,3.63,0.0
10/26/1995,16:00,3.41,3.41,3.41,3.41,100.0
10/27/1995,16:00,3.41,3.41,3.41,3.41,0.0
10/30/1995,16:00,3.23,3.23,3.23,3.23,900.0
10/31/1995,16:00,3.41,3.41,3.41,3.41,1200.0
11/01/1995,16:00,3.41,3.41,3.23,3.23,3100.0
11/02/1995,16:00,3.23,3.23,3.23,3.23,0.0
11/03/1995,16:00,3.41,3.41,3.23,3.23,5700.0
11/06/1995,16:00,3.23,3.23,3.23,3.23,0.0
11/07/1995,16:00,3.23,3.23,3.23,3.23,0.0
11/08/1995,16:00,3.23,3.23,3.23,3.23,0.0
11/09/1995,16:00,3.23,3.23,3.23,3.23,0.0
11/10/1995,16:00,3.41,3.41,3.41,3.41,100.0
11/13/1995,16:00,3.05,3.05,3.05,3.05,1200.0
11/14/1995,16:00,3.05,3.05,2.68,2.68,7600.0
11/15/1995,16:00,2.86,2.86,2.86,2.86,2200.0
11/16/1995,16:00,2.86,2.86,2.86,2.86,0.0
11/17/1995,16:00,3.05,3.41,3.05,3.05,25200.0
11/20/1995,16:00,3.05,3.05,3.05,3.05,0.0
11/21/1995,16:00,2.86,3.05,2.86,2.86,10300.0
11/22/1995,16:00,3.05,3.05,3.05,3.05,7500.0
11/24/1995,16:00,3.05,3.05,3.05,3.05,0.0
11/27/1995,16:00,2.68,2.68,2.68,2.68,4900.0
11/28/1995,16:00,2.68,2.68,2.68,2.68,0.0
11/29/1995,16:00,2.68,2.68,2.68,2.68,0.0
11/30/1995,16:00,2.86,2.86,2.86,2.86,100.0
12/01/1995,16:00,3.05,3.05,2.86,2.86,100.0
12/04/1995,16:00,2.86,2.86,2.86,2.86,0.0
12/05/1995,16:00,2.86,2.86,2.86,2.86,0.0
12/06/1995,16:00,2.68,2.68,2.68,2.68,106200.0
12/07/1995,16:00,2.68,2.68,2.68,2.68,30000.0
12/08/1995,16:00,2.68,2.68,2.68,2.68,0.0
12/11/1995,16:00,2.47,2.47,2.47,2.47,100.0
12/12/1995,16:00,2.68,2.68,2.68,2.68,400.0
12/13/1995,16:00,2.68,2.68,2.68,2.68,0.0
12/14/1995,16:00,2.68,2.68,2.68,2.68,1600.0
12/15/1995,16:00,2.86,2.86,2.86,2.86,100.0
12/18/1995,16:00,2.86,2.86,2.86,2.86,0.0
12/19/1995,16:00,2.86,2.86,2.86,2.86,0.0
12/20/1995,16:00,2.86,2.86,2.86,2.86,0.0
12/21/1995,16:00,2.86,2.86,2.86,2.86,3400.0
12/22/1995,16:00,2.86,2.86,2.86,2.86,0.0
12/26/1995,16:00,2.68,2.68,2.68,2.68,400.0
12/27/1995,16:00,2.68,2.68,2.68,2.68,0.0
12/28/1995,16:00,2.86,3.05,2.86,3.05,9000.0
12/29/1995,16:00,3.23,3.23,3.23,3.23,0.0
01/02/1996,16:00,3.23,3.41,3.23,3.41,32500.0
01/03/1996,16:00,3.63,3.81,3.63,3.81,37000.0
01/04/1996,16:00,3.99,4.57,3.99,4.57,53100.0
01/05/1996,16:00,4.39,4.39,4.21,4.21,9600.0
01/08/1996,16:00,4.21,4.21,4.21,4.21,1800.0
01/09/1996,16:00,3.99,3.99,3.81,3.81,152700.0
01/10/1996,16:00,3.99,3.99,3.99,3.99,12400.0
01/11/1996,16:00,3.99,3.99,3.99,3.99,0.0
01/12/1996,16:00,3.99,3.99,3.63,3.81,900.0
01/15/1996,16:00,3.99,3.99,3.99,3.99,100.0
01/16/1996,16:00,3.99,3.99,3.99,3.99,0.0
01/17/1996,16:00,3.81,3.81,3.81,3.81,100.0
01/18/1996,16:00,3.81,3.81,3.81,3.81,31200.0
01/19/1996,16:00,3.81,3.81,3.81,3.81,0.0
01/22/1996,16:00,3.81,3.81,3.81,3.81,400.0
01/23/1996,16:00,3.81,3.81,3.81,3.81,0.0
01/24/1996,16:00,3.81,3.81,3.81,3.81,400.0
01/25/1996,16:00,3.81,3.81,3.81,3.81,0.0
01/26/1996,16:00,3.81,3.81,3.81,3.81,0.0
01/29/1996,16:00,3.81,3.81,3.63,3.63,400.0
01/30/1996,16:00,3.81,3.99,3.81,3.81,12900.0
01/31/1996,16:00,3.81,3.81,3.81,3.81,13600.0
02/01/1996,16:00,3.81,3.81,3.81,3.81,0.0
02/02/1996,16:00,3.81,3.81,3.81,3.81,0.0
02/05/1996,16:00,4.21,4.21,4.21,4.21,700.0
02/06/1996,16:00,4.39,4.39,4.21,4.39,6000.0
02/07/1996,16:00,4.57,4.57,4.39,4.39,15300.0
02/08/1996,16:00,4.39,4.39,4.39,4.39,0.0
02/09/1996,16:00,3.99,3.99,3.99,3.99,700.0
02/12/1996,16:00,4.21,4.39,4.21,4.39,400.0
02/13/1996,16:00,4.21,4.21,3.81,3.99,9600.0
02/14/1996,16:00,3.99,3.99,3.99,3.99,0.0
02/15/1996,16:00,3.99,3.99,3.99,3.99,0.0
02/16/1996,16:00,3.63,3.81,3.63,3.81,64900.0
02/20/1996,16:00,3.81,3.81,3.81,3.81,0.0
02/21/1996,16:00,3.81,3.81,3.81,3.81,0.0
02/22/1996,16:00,3.41,3.41,3.41,3.41,700.0
02/23/1996,16:00,3.81,3.81,3.81,3.81,1200.0
02/26/1996,16:00,3.81,3.81,3.81,3.81,0.0
02/27/1996,16:00,3.81,3.81,3.81,3.81,0.0
02/28/1996,16:00,3.81,3.81,3.81,3.81,1200.0
02/29/1996,16:00,3.81,3.81,3.63,3.81,54300.0
03/01/1996,16:00,3.81,3.81,3.81,3.81,3000.0
03/04/1996,16:00,3.81,3.99,3.63,3.99,84900.0
03/05/1996,16:00,3.99,4.21,3.99,4.21,18900.0
03/06/1996,16:00,4.21,4.39,4.21,4.39,28800.0
03/07/1996,16:00,4.39,4.39,4.39,4.39,100.0
03/08/1996,16:00,4.21,4.21,4.21,4.21,300.0
03/11/1996,16:00,3.81,4.21,3.81,4.21,4600.0
03/12/1996,16:00,4.21,4.21,4.21,4.21,8700.0
03/13/1996,16:00,3.81,4.21,3.81,4.21,4200.0
03/14/1996,16:00,4.21,4.21,3.81,3.81,14500.0
03/15/1996,16:00,3.99,4.21,3.99,3.99,22600.0
03/18/1996,16:00,4.21,4.21,4.21,4.21,7600.0
03/19/1996,16:00,4.21,4.21,3.99,3.99,14200.0
03/20/1996,16:00,4.21,4.21,3.99,3.99,87400.0
03/21/1996,16:00,4.21,4.21,3.99,3.99,700.0
03/22/1996,16:00,4.21,4.21,4.21,4.21,300.0
03/25/1996,16:00,3.81,4.21,3.81,4.21,200100.0
03/26/1996,16:00,4.21,4.21,3.99,4.21,2800.0
03/27/1996,16:00,4.21,4.21,4.21,4.21,9400.0
03/28/1996,16:00,4.21,4.57,4.21,4.57,1300.0
03/29/1996,16:00,4.94,4.94,4.57,4.57,5100.0
04/01/1996,16:00,4.57,4.57,4.57,4.57,0.0
04/02/1996,16:00,4.57,4.94,4.57,4.94,10000.0
04/03/1996,16:00,4.94,5.15,4.57,4.57,36300.0
04/04/1996,16:00,4.57,4.57,4.57,4.57,0.0
04/08/1996,16:00,4.57,4.57,4.57,4.57,6100.0
04/09/1996,16:00,4.57,4.76,4.57,4.57,6700.0
04/10/1996,16:00,4.57,4.57,4.57,4.57,0.0
04/11/1996,16:00,4.39,4.39,4.39,4.39,2400.0
04/12/1996,16:00,4.57,4.57,4.57,4.57,0.0
04/15/1996,16:00,4.57,4.57,4.57,4.57,0.0
04/16/1996,16:00,4.76,4.76,4.57,4.57,4900.0
04/17/1996,16:00,4.76,4.76,4.76,4.76,2400.0
04/18/1996,16:00,4.76,4.76,4.57,4.57,50200.0
04/19/1996,16:00,4.57,4.76,4.39,4.57,99100.0
04/22/1996,16:00,4.76,4.76,4.76,4.76,13900.0
04/23/1996,16:00,4.76,4.94,4.76,4.76,34200.0
04/24/1996,16:00,5.15,5.15,5.15,5.15,3700.0
04/25/1996,16:00,5.15,5.15,5.15,5.15,0.0
04/26/1996,16:00,4.76,4.76,4.76,4.76,400.0
04/29/1996,16:00,4.76,4.76,4.76,4.76,0.0
04/30/1996,16:00,4.57,4.57,4.57,4.57,1200.0
05/01/1996,16:00,4.57,4.57,4.57,4.57,2200.0
05/02/1996,16:00,4.76,4.76,4.76,4.76,2200.0
05/03/1996,16:00,4.76,4.76,4.76,4.76,0.0
05/06/1996,16:00,4.57,4.76,4.57,4.76,1300.0
05/07/1996,16:00,4.76,4.76,4.76,4.76,100.0
05/08/1996,16:00,4.76,4.76,4.76,4.76,0.0
05/09/1996,16:00,4.94,5.15,4.94,4.94,6900.0
05/10/1996,16:00,4.94,4.94,4.76,4.76,3700.0
05/13/1996,16:00,4.94,5.15,4.94,5.15,5100.0
05/14/1996,16:00,5.15,5.15,5.15,5.15,900.0
05/15/1996,16:00,5.15,5.15,5.15,5.15,4000.0
05/16/1996,16:00,5.15,5.15,4.76,4.76,2800.0
05/17/1996,16:00,4.76,4.76,4.76,4.76,13500.0
05/20/1996,16:00,4.76,4.76,4.76,4.76,0.0
05/21/1996,16:00,4.39,4.39,4.39,4.39,400.0
05/22/1996,16:00,4.57,4.57,4.57,4.57,900.0
05/23/1996,16:00,4.39,4.39,4.39,4.39,1200.0
05/24/1996,16:00,4.57,4.57,4.57,4.57,1300.0
05/28/1996,16:00,4.57,4.57,4.39,4.39,8700.0
05/29/1996,16:00,4.76,4.94,4.39,4.39,60300.0
05/30/1996,16:00,4.57,4.57,4.21,4.21,4300.0
05/31/1996,16:00,4.19,4.19,4.19,4.19,3600.0
06/03/1996,16:00,4.13,4.13,3.97,3.97,28000.5
06/04/1996,16:00,3.97,4.06,3.97,4.00,7200.0
06/05/1996,16:00,4.00,4.00,3.87,3.87,9000.0
06/06/1996,16:00,3.81,3.87,3.81,3.87,5800.5
06/07/1996,16:00,3.87,3.87,3.87,3.87,0.0
06/10/1996,16:00,3.87,3.87,3.75,3.75,17200.5
06/11/1996,16:00,3.75,3.75,3.65,3.65,10500.0
06/12/1996,16:00,3.65,3.65,3.65,3.65,700.5
06/13/1996,16:00,3.71,3.75,3.65,3.71,9400.5
06/14/1996,16:00,3.75,3.81,3.75,3.81,7900.5
06/17/1996,16:00,3.84,3.84,3.71,3.71,47800.5
06/18/1996,16:00,3.78,3.78,3.75,3.78,18000.0
06/19/1996,16:00,3.78,3.87,3.78,3.87,12700.5
06/20/1996,16:00,3.87,3.87,3.87,3.87,22800.0
06/21/1996,16:00,3.81,3.84,3.81,3.84,4500.0
06/24/1996,16:00,3.87,3.87,3.87,3.87,1200.0
06/25/1996,16:00,3.87,3.87,3.81,3.81,11800.5
06/26/1996,16:00,3.87,3.87,3.84,3.84,2100.0
06/27/1996,16:00,3.87,3.87,3.81,3.81,4200.0
06/28/1996,16:00,3.81,3.87,3.81,3.87,8200.5
07/01/1996,16:00,3.94,4.00,3.94,4.00,6400.5
07/02/1996,16:00,3.87,3.87,3.87,3.87,2400.0
07/03/1996,16:00,3.81,3.81,3.81,3.81,400.5
07/05/1996,16:00,3.81,3.81,3.81,3.81,0.0
07/08/1996,16:00,3.87,3.87,3.81,3.87,8800.5
07/09/1996,16:00,3.87,3.87,3.87,3.87,1500.0
07/10/1996,16:00,3.81,3.81,3.81,3.81,3900.0
07/11/1996,16:00,3.78,3.78,3.75,3.75,7000.5
07/12/1996,16:00,3.75,3.75,3.75,3.75,17400.0
07/15/1996,16:00,3.75,3.75,3.68,3.68,4800.0
07/16/1996,16:00,3.68,3.68,3.62,3.62,1600.5
07/17/1996,16:00,3.68,3.68,3.68,3.68,1500.0
07/18/1996,16:00,3.62,3.62,3.56,3.56,5200.5
07/19/1996,16:00,3.56,3.68,3.56,3.68,7900.5
07/22/1996,16:00,3.75,3.75,3.75,3.75,600.0
07/23/1996,16:00,3.75,3.75,3.75,3.75,0.0
07/24/1996,16:00,3.68,3.87,3.56,3.75,35800.5
07/25/1996,16:00,3.68,4.06,3.68,3.87,23200.5
07/26/1996,16:00,3.94,3.94,3.87,3.87,7900.5
07/29/1996,16:00,3.87,3.87,3.87,3.87,3000.0
07/30/1996,16:00,3.75,3.75,3.75,3.75,1500.0
07/31/1996,16:00,3.75,3.75,3.75,3.75,0.0
08/01/1996,16:00,3.75,3.75,3.75,3.75,0.0
08/02/1996,16:00,3.68,3.68,3.68,3.68,2400.0
08/05/1996,16:00,3.62,3.62,3.62,3.62,400.5
08/06/1996,16:00,3.62,3.68,3.62,3.62,36600.0
08/07/1996,16:00,3.62,3.62,3.62,3.62,1500.0
08/08/1996,16:00,3.62,3.62,3.62,3.62,1200.0
08/09/1996,16:00,3.75,3.75,3.75,3.75,15000.0
08/12/1996,16:00,3.75,3.75,3.75,3.75,36700.5
08/13/1996,16:00,3.87,3.94,3.87,3.94,4300.5
08/14/1996,16:00,3.94,3.94,3.94,3.94,0.0
08/15/1996,16:00,4.00,4.00,3.94,3.94,7300.5
08/16/1996,16:00,4.06,4.06,4.06,4.06,1500.0
08/19/1996,16:00,4.19,4.19,4.19,4.19,400.5
