Date,Time,Open,High,Low,Close,Vol
06/25/2009,16:00,8.75,9.5,8.0,8.5,11186000.0
06/26/2009,16:00,8.33,8.6,8.12,8.15,944400.0
06/29/2009,16:00,8.39,8.5,8.1,8.5,605000.0
06/30/2009,16:00,8.5,8.75,8.16,8.19,590400.0
07/01/2009,16:00,8.20,8.29,8.06,8.25,474400.0
07/02/2009,16:00,8.27,8.33,8.0,8.12,523400.0
07/06/2009,16:00,8.05,8.27,7.86,8.12,455800.0
07/07/2009,16:00,8.17,8.2,7.89,7.91,420600.0
07/08/2009,16:00,8.0,8.02,7.75,7.82,151000.0
07/09/2009,16:00,7.82,8.06,7.69,8.06,407600.0
07/10/2009,16:00,7.93,8.25,7.93,8.16,237000.0
07/13/2009,16:00,8.28,8.51,8.18,8.51,358000.0
07/14/2009,16:00,8.51,8.72,8.36,8.54,95800.0
07/15/2009,16:00,8.72,8.75,8.48,8.75,331000.0
07/16/2009,16:00,8.75,8.75,8.5,8.6,166600.0
07/17/2009,16:00,8.53,8.71,8.35,8.55,277800.0
07/20/2009,16:00,8.62,8.72,8.33,8.49,111400.0
07/21/2009,16:00,8.47,8.67,8.21,8.37,125600.0
07/22/2009,16:00,8.42,8.49,8.09,8.35,505800.0
07/23/2009,16:00,8.44,8.5,8.25,8.36,197000.0
07/24/2009,16:00,8.49,8.49,8.15,8.26,85800.0
07/27/2009,16:00,8.34,8.49,8.27,8.45,106000.0
07/28/2009,16:00,8.35,8.70,8.12,8.7,439000.0
07/29/2009,16:00,8.65,8.71,8.31,8.71,69800.0
07/30/2009,16:00,8.75,9.0,8.72,8.87,269000.0
07/31/2009,16:00,9.07,9.32,8.85,9.22,235800.0
08/03/2009,16:00,9.5,9.86,9.4,9.55,152800.0
08/04/2009,16:00,9.65,9.73,9.14,9.49,526400.0
08/05/2009,16:00,9.61,9.64,9.08,9.22,165200.0
08/06/2009,16:00,9.30,9.33,8.91,8.96,186800.0
08/07/2009,16:00,8.97,9.22,8.57,8.99,132600.0
08/10/2009,16:00,8.87,8.95,8.58,8.70,76000.0
08/11/2009,16:00,8.57,8.64,8.18,8.51,217000.0
08/12/2009,16:00,8.5,8.52,8.18,8.18,183600.0
08/13/2009,16:00,8.18,9.44,8.18,9.1,603000.0
08/14/2009,16:00,9.05,9.05,8.20,8.75,281400.0
08/17/2009,16:00,8.53,8.62,8.21,8.6,260400.0
08/18/2009,16:00,8.57,8.62,8.26,8.4,190800.0
08/19/2009,16:00,8.39,8.39,8.11,8.25,178400.0
08/20/2009,16:00,8.49,8.85,8.43,8.65,167400.0
08/21/2009,16:00,8.76,8.83,8.56,8.74,62400.0
