Date,Time,Open,High,Low,Close,Vol
01/18/1984,16:00,10.24,10.35,10.24,10.24,2275400.0
01/19/1984,16:00,10.58,10.81,10.58,10.58,746000.0
01/20/1984,16:00,10.81,10.92,10.81,10.81,490000.0
01/23/1984,16:00,10.35,10.35,10.24,10.24,300000.0
01/24/1984,16:00,10.24,10.29,10.24,10.24,289200.0
01/25/1984,16:00,10.30,10.42,10.30,10.30,238600.0
01/26/1984,16:00,10.01,10.01,9.90,9.90,295200.0
01/27/1984,16:00,9.61,9.61,9.56,9.56,192800.0
01/30/1984,16:00,9.05,9.05,8.99,8.99,173200.0
01/31/1984,16:00,8.88,8.88,8.82,8.82,143200.0
02/01/1984,16:00,8.93,8.99,8.93,8.93,188800.0
02/02/1984,16:00,8.93,8.99,8.93,8.93,71800.0
02/03/1984,16:00,8.82,8.82,8.71,8.71,116000.0
02/06/1984,16:00,8.54,8.54,8.48,8.48,148200.0
02/07/1984,16:00,8.48,8.65,8.48,8.48,78400.0
02/08/1984,16:00,8.71,8.82,8.71,8.71,96000.0
02/09/1984,16:00,8.70,8.76,8.65,8.65,116800.0
02/10/1984,16:00,9.33,9.45,9.33,9.33,144600.0
02/13/1984,16:00,10.12,10.24,10.12,10.12,167800.0
02/14/1984,16:00,10.58,10.64,10.58,10.58,209200.0
02/15/1984,16:00,10.58,10.70,10.58,10.58,115800.0
02/16/1984,16:00,10.70,10.81,10.70,10.70,135200.0
02/17/1984,16:00,10.70,10.70,10.64,10.64,177200.0
02/21/1984,16:00,10.52,10.52,10.47,10.47,46800.0
02/22/1984,16:00,10.47,10.53,10.42,10.42,34000.0
02/23/1984,16:00,10.13,10.13,10.02,10.02,196200.0
02/24/1984,16:00,10.81,10.87,10.81,10.81,70200.0
02/27/1984,16:00,11.33,11.43,11.33,11.33,189200.0
02/28/1984,16:00,11.27,11.27,11.21,11.21,158200.0
02/29/1984,16:00,11.43,11.55,11.43,11.43,91800.0
03/01/1984,16:00,11.33,11.33,11.21,11.21,109400.0
03/02/1984,16:00,11.21,11.27,11.21,11.21,74600.0
03/05/1984,16:00,10.88,10.88,10.76,10.76,76200.0
03/06/1984,16:00,10.53,10.53,10.42,10.42,42400.0
03/07/1984,16:00,10.01,10.01,9.90,9.90,83000.0
03/08/1984,16:00,9.90,9.96,9.90,9.90,102200.0
03/09/1984,16:00,9.96,10.01,9.96,9.96,59200.0
03/12/1984,16:00,10.12,10.18,10.12,10.12,40000.0
03/13/1984,16:00,10.47,10.52,10.47,10.47,68400.0
03/14/1984,16:00,10.70,10.81,10.70,10.70,39800.0
03/15/1984,16:00,10.70,10.81,10.70,10.70,2600.0
03/16/1984,16:00,11.04,11.16,11.04,11.04,80200.0
03/19/1984,16:00,11.04,11.10,11.04,11.04,19400.0
03/20/1984,16:00,11.04,11.16,11.04,11.04,11400.0
03/21/1984,16:00,11.09,11.15,11.09,11.09,7200.0
03/22/1984,16:00,11.04,11.04,10.98,10.98,26200.0
03/23/1984,16:00,10.92,10.92,10.87,10.87,28800.0
03/26/1984,16:00,10.87,10.92,10.87,10.87,5000.0
03/27/1984,16:00,11.04,11.16,11.04,11.04,39600.0
03/28/1984,16:00,11.27,11.44,11.27,11.27,101000.0
03/29/1984,16:00,11.38,11.44,11.38,11.38,97800.0
03/30/1984,16:00,11.20,11.20,11.15,11.15,67200.0
04/02/1984,16:00,10.92,10.92,10.81,10.81,16400.0
04/03/1984,16:00,10.75,10.75,10.70,10.70,9800.0
04/04/1984,16:00,10.70,10.70,10.64,10.64,18800.0
04/05/1984,16:00,10.01,10.01,9.90,9.90,76800.0
04/06/1984,16:00,9.67,9.67,9.61,9.61,102600.0
04/09/1984,16:00,9.67,9.79,9.67,9.67,49600.0
04/10/1984,16:00,9.90,10.01,9.90,9.90,44400.0
04/11/1984,16:00,9.85,9.85,9.79,9.79,25200.0
04/12/1984,16:00,9.67,9.67,9.61,9.61,39000.0
04/13/1984,16:00,9.61,9.73,9.61,9.61,15200.0
04/16/1984,16:00,9.84,9.90,9.84,9.84,79400.0
04/17/1984,16:00,9.84,10.01,9.84,9.84,14000.0
04/18/1984,16:00,10.07,10.19,10.07,10.07,17400.0
04/19/1984,16:00,10.30,10.36,10.30,10.30,26000.0
