Date,Time,Open,High,Low,Close,Vol
02/25/2004,16:00,27.0,27.02,26.46,26.89,174600.0
02/26/2004,16:00,26.71,26.84,26.55,26.73,83100.0
02/27/2004,16:00,26.8,27.34,26.37,27.0,78500.0
03/01/2004,16:00,27.25,27.75,27.19,27.45,326400.0
03/02/2004,16:00,27.35,28.2,27.32,27.76,177300.0
03/03/2004,16:00,27.8,28.0,27.5,27.64,63200.0
03/04/2004,16:00,27.78,27.88,27.4,27.4,59400.0
03/05/2004,16:00,27.7,27.77,27.62,27.7,230600.0
03/08/2004,16:00,27.7,27.75,27.65,27.65,100300.0
03/09/2004,16:00,27.68,27.7,27.0,27.53,42000.0
03/10/2004,16:00,26.89,27.05,26.51,26.65,175400.0
03/11/2004,16:00,26.99,27.03,26.35,26.4,279400.0
03/12/2004,16:00,26.5,26.72,26.26,26.6,97700.0
03/15/2004,16:00,26.6,26.8,26.0,26.61,18100.0
03/16/2004,16:00,26.75,27.1,26.7,27.0,137400.0
03/17/2004,16:00,27.05,27.3,27.0,27.23,77600.0
03/18/2004,16:00,27.35,27.6,27.2,27.6,77000.0
03/19/2004,16:00,27.5,28.2,27.5,27.78,259400.0
03/22/2004,16:00,27.65,27.78,26.68,27.74,27900.0
03/23/2004,16:00,27.8,27.9,27.55,27.7,20400.0
03/24/2004,16:00,27.7,27.7,27.29,27.29,40700.0
03/25/2004,16:00,27.29,28.0,27.29,27.68,153500.0
03/26/2004,16:00,27.7,27.72,27.55,27.65,193400.0
03/29/2004,16:00,27.7,27.99,26.61,27.7,92500.0
03/30/2004,16:00,28.0,28.12,27.25,28.09,1830700.0
03/31/2004,16:00,28.1,28.72,27.01,28.1,503500.0
04/01/2004,16:00,28.2,28.2,27.28,27.65,126200.0
04/02/2004,16:00,27.52,28.1,27.5,28.1,272200.0
04/05/2004,16:00,28.07,28.75,28.0,28.68,231400.0
04/06/2004,16:00,28.8,30.25,28.6,30.15,407700.0
04/07/2004,16:00,29.99,30.2,29.3,30.0,131900.0
04/08/2004,16:00,30.0,30.75,29.8,30.5,263600.0
04/12/2004,16:00,30.6,31.0,30.6,30.91,111800.0
04/13/2004,16:00,30.95,30.95,30.31,30.35,231700.0
04/14/2004,16:00,30.5,31.5,30.43,31.25,1064400.0
04/15/2004,16:00,31.49,32.49,31.27,32.43,875800.0
