Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,1.13,1.13,1.13,1.13,800.0
03/27/1990,16:00,1.13,1.13,1.13,1.13,24000.0
03/28/1990,16:00,1.10,1.14,1.10,1.14,16000.0
03/29/1990,16:00,1.10,1.14,1.10,1.14,36000.0
03/30/1990,16:00,1.13,1.14,1.13,1.14,5600.0
04/02/1990,16:00,1.14,1.14,1.10,1.14,11200.0
04/03/1990,16:00,1.14,1.14,1.14,1.14,0.0
04/04/1990,16:00,1.15,1.15,1.11,1.11,5600.0
04/05/1990,16:00,1.11,1.14,1.10,1.10,12000.0
04/06/1990,16:00,1.10,1.10,1.10,1.10,1600.0
04/09/1990,16:00,1.11,1.11,1.11,1.11,0.0
04/10/1990,16:00,1.12,1.12,1.12,1.12,1600.0
04/11/1990,16:00,1.12,1.12,1.12,1.12,0.0
04/12/1990,16:00,1.12,1.12,1.12,1.12,800.0
04/16/1990,16:00,1.12,1.17,1.12,1.12,27200.0
04/17/1990,16:00,1.12,1.12,1.12,1.12,0.0
04/18/1990,16:00,1.12,1.14,1.12,1.14,4800.0
04/19/1990,16:00,1.17,1.17,1.17,1.17,4800.0
04/20/1990,16:00,1.17,1.17,1.17,1.17,16000.0
04/23/1990,16:00,1.17,1.17,1.17,1.17,4000.0
04/24/1990,16:00,1.17,1.17,1.14,1.14,26400.0
04/25/1990,16:00,1.16,1.20,1.16,1.20,8000.0
04/26/1990,16:00,1.18,1.18,1.16,1.16,15200.0
04/27/1990,16:00,1.22,1.22,1.22,1.22,3200.0
04/30/1990,16:00,1.22,1.22,1.22,1.22,800.0
05/01/1990,16:00,1.16,1.17,1.16,1.16,2400.0
05/02/1990,16:00,1.22,1.22,1.22,1.22,40000.0
05/03/1990,16:00,1.25,1.26,1.23,1.23,185600.0
05/04/1990,16:00,1.29,1.29,1.23,1.29,13600.0
05/07/1990,16:00,1.29,1.37,1.29,1.37,188800.0
05/08/1990,16:00,1.32,1.37,1.32,1.37,8800.0
05/09/1990,16:00,1.36,1.36,1.32,1.36,13600.0
05/10/1990,16:00,1.36,1.43,1.36,1.43,40800.0
05/11/1990,16:00,1.45,1.49,1.43,1.49,154400.0
05/14/1990,16:00,1.50,1.50,1.45,1.49,193600.0
05/15/1990,16:00,1.48,1.48,1.40,1.42,88000.0
05/16/1990,16:00,1.43,1.43,1.39,1.43,12000.0
05/17/1990,16:00,1.42,1.42,1.37,1.40,158400.0
05/18/1990,16:00,1.36,1.40,1.36,1.40,24000.0
05/21/1990,16:00,1.36,1.40,1.36,1.40,31200.0
05/22/1990,16:00,1.42,1.43,1.39,1.43,42400.0
05/23/1990,16:00,1.43,1.43,1.40,1.40,11200.0
05/24/1990,16:00,1.43,1.43,1.42,1.43,133600.0
05/25/1990,16:00,1.39,1.42,1.39,1.42,19200.0
05/29/1990,16:00,1.42,1.45,1.42,1.45,128800.0
05/30/1990,16:00,1.45,1.46,1.43,1.43,120000.0
05/31/1990,16:00,1.43,1.48,1.43,1.45,16800.0
06/01/1990,16:00,1.45,1.48,1.45,1.48,31200.0
06/04/1990,16:00,1.45,1.52,1.45,1.52,206400.0
06/05/1990,16:00,1.56,1.56,1.56,1.56,5600.0
06/06/1990,16:00,1.56,1.58,1.54,1.58,118400.0
