Date,Time,Open,High,Low,Close,Vol
01/31/1994,16:00,1.35,1.40,1.35,1.35,351600.00000000006
02/01/1994,16:00,1.35,1.40,1.35,1.35,34800.0
02/02/1994,16:00,1.35,1.4,1.35,1.4,500400.00000000006
02/03/1994,16:00,1.4,1.4,1.35,1.4,71001.6
02/04/1994,16:00,1.4,1.48,1.4,1.4,98198.40000000001
02/07/1994,16:00,1.42,1.49,1.42,1.49,2798.4
02/08/1994,16:00,1.38,1.40,1.35,1.35,10502.400000000001
02/09/1994,16:00,1.35,1.44,1.35,1.35,76099.20000000001
02/10/1994,16:00,1.35,1.42,1.35,1.42,17601.600000000002
02/11/1994,16:00,1.42,1.42,1.42,1.42,0.0
02/14/1994,16:00,1.35,1.44,1.35,1.35,9600.0
02/15/1994,16:00,1.37,1.37,1.35,1.37,7598.400000000001
02/16/1994,16:00,1.37,1.37,1.37,1.37,0.0
02/17/1994,16:00,1.35,1.4,1.35,1.4,109699.20000000001
02/18/1994,16:00,1.35,1.44,1.35,1.44,9600.0
02/22/1994,16:00,1.35,1.44,1.35,1.44,49200.00000000001
02/23/1994,16:00,1.37,1.37,1.37,1.37,1200.0
02/24/1994,16:00,1.35,1.35,1.35,1.35,1900.8000000000002
02/25/1994,16:00,1.35,1.35,1.35,1.35,24302.4
02/28/1994,16:00,1.35,1.35,1.35,1.35,19497.600000000002
03/01/1994,16:00,1.44,1.44,1.35,1.35,6700.8
03/02/1994,16:00,1.35,1.35,1.35,1.35,2198.4
03/03/1994,16:00,1.35,1.38,1.35,1.35,24000.000000000004
03/04/1994,16:00,1.35,1.40,1.35,1.35,11798.400000000001
03/07/1994,16:00,1.35,1.35,1.35,1.35,8001.6
03/08/1994,16:00,1.44,1.44,1.35,1.35,120297.6
03/09/1994,16:00,1.35,1.42,1.35,1.42,19497.600000000002
03/10/1994,16:00,1.4,1.4,1.4,1.4,33600.0
03/11/1994,16:00,1.4,1.4,1.35,1.4,56001.600000000006
03/14/1994,16:00,1.44,1.44,1.35,1.4,31598.4
03/15/1994,16:00,1.4,1.4,1.4,1.4,14400.000000000002
03/16/1994,16:00,1.4,1.4,1.4,1.4,4800.0
03/17/1994,16:00,1.4,1.4,1.4,1.4,4800.0
03/18/1994,16:00,1.4,1.4,1.4,1.4,0.0
03/21/1994,16:00,1.4,1.4,1.4,1.4,0.0
03/22/1994,16:00,1.4,1.4,1.4,1.4,1900.8000000000002
03/23/1994,16:00,1.4,1.4,1.4,1.4,4800.0
03/24/1994,16:00,1.4,1.4,1.4,1.4,7598.400000000001
03/25/1994,16:00,1.35,1.4,1.35,1.4,129600.00000000001
03/28/1994,16:00,1.35,1.44,1.35,1.4,8001.6
03/29/1994,16:00,1.44,1.44,1.44,1.44,897.6000000000001
03/30/1994,16:00,1.44,1.44,1.44,1.44,0.0
