Date,Time,Open,High,Low,Close,Vol
07/17/2001,16:00,110.0,122.5,108.0,120.1,60830.0
07/18/2001,16:00,120.8,130.5,119.0,128.5,29480.0
07/19/2001,16:00,129.5,135.1,126.6,130.7,9270.0
07/20/2001,16:00,130.5,139.0,128.0,133.3,9730.0
07/23/2001,16:00,134.0,140.0,132.79,139.2,6110.0
07/24/2001,16:00,138.0,138.0,129.5,131.1,22400.0
07/25/2001,16:00,132.20,139.8,131.7,136.0,7130.0
07/26/2001,16:00,136.2,138.7,135.5,136.0,7480.0
07/27/2001,16:00,136.8,136.8,131.2,132.5,4990.0
07/30/2001,16:00,130.8,132.89,127.4,130.2,14560.0
07/31/2001,16:00,130.2,137.10,127.30,134.5,17760.0
08/01/2001,16:00,137.0,147.0,136.5,140.0,31190.0
08/02/2001,16:00,142.89,147.5,139.5,146.0,11040.0
08/03/2001,16:00,147.4,158.9,140.0,149.8,17380.0
08/06/2001,16:00,148.5,149.1,139.9,142.5,3760.0
08/07/2001,16:00,142.5,142.89,134.5,138.8,3500.0
08/08/2001,16:00,140.0,141.5,135.6,137.6,3380.0
08/09/2001,16:00,135.1,136.6,127.0,131.0,7990.0
08/10/2001,16:00,131.0,132.0,127.0,132.0,1930.0
08/13/2001,16:00,127.6,142.79,127.6,142.79,3260.0
08/14/2001,16:00,141.0,145.39,141.0,144.0,3370.0
08/15/2001,16:00,142.5,143.0,138.0,138.0,2920.0
08/16/2001,16:00,138.0,142.5,137.5,142.5,1360.0
08/17/2001,16:00,143.0,143.0,139.60,140.6,2450.0
08/20/2001,16:00,139.1,140.0,138.5,140.0,1350.0
08/21/2001,16:00,138.0,142.4,137.5,140.0,1850.0
08/22/2001,16:00,140.0,140.0,137.5,139.5,1970.0
08/23/2001,16:00,139.5,140.0,138.0,139.0,1560.0
08/24/2001,16:00,140.39,140.5,138.8,139.2,5720.0
08/27/2001,16:00,139.2,140.5,131.5,133.8,3710.0
08/28/2001,16:00,132.5,140.5,125.5,136.0,7220.0
08/29/2001,16:00,136.0,137.0,135.8,136.2,2500.0
08/30/2001,16:00,141.0,141.0,136.5,140.0,5140.0
08/31/2001,16:00,140.2,141.3,139.0,140.39,5570.0
09/04/2001,16:00,141.9,142.0,139.5,139.5,3180.0
09/05/2001,16:00,138.5,138.5,136.3,137.0,7420.0
09/06/2001,16:00,133.5,133.5,126.5,127.30,3580.0
09/07/2001,16:00,127.0,127.30,113.5,113.5,3390.0
09/10/2001,16:00,116.89,116.89,107.0,111.1,1970.0
09/17/2001,16:00,109.7,109.7,90.5,101.0,3070.0
09/18/2001,16:00,92.5,98.0,92.5,98.0,3590.0
09/19/2001,16:00,98.9,98.9,93.5,97.5,9490.0
09/20/2001,16:00,101.0,101.0,95.39,99.0,20790.0
09/21/2001,16:00,96.7,96.7,91.5,93.5,13720.0
09/24/2001,16:00,95.0,98.5,95.0,97.10,6760.0
09/25/2001,16:00,96.6,97.10,91.8,92.5,18170.0
09/26/2001,16:00,91.89,91.89,75.0,76.39,19730.0
09/27/2001,16:00,73.7,87.2,69.1,85.7,25420.0
09/28/2001,16:00,86.8,90.0,84.5,87.30,21030.0
10/01/2001,16:00,87.0,87.30,80.5,81.0,13810.0
10/02/2001,16:00,80.60,81.0,75.7,78.0,52420.0
10/03/2001,16:00,83.10,83.10,75.4,81.89,25760.0
10/04/2001,16:00,93.0,93.0,84.5,90.0,18870.0
10/05/2001,16:00,93.69,93.69,89.0,93.0,9420.0
10/08/2001,16:00,95.9,95.9,92.5,95.5,7290.0
10/09/2001,16:00,95.19,104.60,95.19,102.10,13480.0
10/10/2001,16:00,103.69,107.89,101.0,107.89,11690.0
10/11/2001,16:00,108.0,112.4,107.89,109.5,7200.0
10/12/2001,16:00,111.89,112.4,102.30,107.6,8070.0
10/15/2001,16:00,105.3,119.5,105.19,119.5,20780.0
10/16/2001,16:00,117.69,124.60,116.5,123.5,18010.0
10/17/2001,16:00,125.19,127.30,122.2,125.0,9880.0
10/18/2001,16:00,123.5,128.5,122.6,125.1,6220.0
10/19/2001,16:00,123.5,123.69,112.2,117.0,77850.0
10/22/2001,16:00,119.5,125.5,116.1,121.8,9010.0
10/23/2001,16:00,119.1,122.0,119.1,122.0,44920.0
10/24/2001,16:00,120.19,120.8,117.10,120.0,16230.0
10/25/2001,16:00,119.0,120.0,115.60,119.0,28880.0
10/26/2001,16:00,116.1,120.0,116.1,119.7,9850.0
10/29/2001,16:00,118.5,119.60,111.0,115.39,11980.0
10/30/2001,16:00,114.0,114.0,107.2,110.5,20300.0
10/31/2001,16:00,113.5,114.3,109.0,109.39,26850.0
11/01/2001,16:00,109.5,129.9,108.5,121.4,29400.0
11/02/2001,16:00,120.19,128.5,119.9,126.0,21750.0
11/05/2001,16:00,126.8,133.0,122.10,132.10,30560.0
11/06/2001,16:00,130.39,161.20,128.0,161.20,61080.0
11/07/2001,16:00,154.9,159.5,152.0,152.0,14410.0
11/08/2001,16:00,154.0,159.8,146.0,150.7,31020.0
11/09/2001,16:00,148.5,155.0,148.5,150.0,5040.0
11/12/2001,16:00,151.0,151.0,133.3,138.8,16320.0
11/13/2001,16:00,143.3,150.0,140.0,150.0,24890.0
11/14/2001,16:00,146.5,150.2,145.5,149.0,21450.0
11/15/2001,16:00,147.5,149.4,137.0,145.0,922970.0
11/16/2001,16:00,145.0,169.20,142.10,169.0,80580.0
11/19/2001,16:00,171.1,173.5,163.79,169.60,58030.0
11/20/2001,16:00,164.8,168.79,150.1,153.5,30200.0
11/21/2001,16:00,157.0,157.0,152.10,153.0,21710.0
11/23/2001,16:00,157.20,157.20,150.39,151.9,5540.0
11/26/2001,16:00,160.2,189.0,159.9,189.0,111050.0
11/27/2001,16:00,184.4,185.0,176.0,180.5,109070.0
11/28/2001,16:00,186.6,186.6,170.7,184.89,15520.0
11/29/2001,16:00,184.5,200.0,178.79,200.0,44360.0
11/30/2001,16:00,199.0,200.0,188.9,189.8,38900.0
12/03/2001,16:00,194.1,194.1,182.89,193.5,17730.0
12/04/2001,16:00,192.0,211.29,190.0,203.6,91080.0
12/05/2001,16:00,205.7,210.5,203.5,208.79,86290.0
12/06/2001,16:00,212.39,212.39,195.0,202.5,55820.0
