Date,Time,Open,High,Low,Close,Vol
01/02/1970,16:00,3.50,3.58,3.50,3.58,70700.0
01/05/1970,16:00,3.58,3.60,3.58,3.60,90800.0
01/06/1970,16:00,3.60,3.60,3.53,3.54,106600.0
01/07/1970,16:00,3.54,3.59,3.51,3.58,79700.0
01/08/1970,16:00,3.59,3.71,3.59,3.71,303100.0
01/09/1970,16:00,3.71,3.77,3.60,3.64,769400.0
01/12/1970,16:00,3.64,3.64,3.57,3.58,77700.0
01/13/1970,16:00,3.58,3.59,3.55,3.58,66300.0
01/14/1970,16:00,3.58,3.58,3.53,3.54,38500.0
01/15/1970,16:00,3.54,3.55,3.51,3.53,46900.0
01/16/1970,16:00,3.53,3.55,3.51,3.51,52900.0
01/19/1970,16:00,3.51,3.58,3.51,3.54,63000.0
01/20/1970,16:00,3.54,3.54,3.50,3.50,57600.0
01/21/1970,16:00,3.50,3.51,3.48,3.50,110600.0
01/22/1970,16:00,3.50,3.53,3.48,3.49,59600.0
01/23/1970,16:00,3.49,3.53,3.46,3.48,51200.0
01/26/1970,16:00,3.48,3.48,3.37,3.39,268200.0
01/27/1970,16:00,3.39,3.39,3.35,3.35,207200.0
01/28/1970,16:00,3.39,3.44,3.39,3.41,91500.0
01/29/1970,16:00,3.41,3.42,3.36,3.36,114600.0
01/30/1970,16:00,3.39,3.42,3.39,3.42,92800.0
02/02/1970,16:00,3.42,3.45,3.39,3.39,99900.0
02/03/1970,16:00,3.39,3.50,3.36,3.48,100500.0
02/04/1970,16:00,3.48,3.58,3.46,3.49,81400.0
02/05/1970,16:00,3.49,3.50,3.41,3.41,93500.0
02/06/1970,16:00,3.41,3.49,3.41,3.46,74700.0
02/09/1970,16:00,3.48,3.53,3.48,3.49,111900.0
02/10/1970,16:00,3.49,3.50,3.46,3.48,65700.0
02/11/1970,16:00,3.48,3.51,3.46,3.50,56900.0
02/12/1970,16:00,3.51,3.55,3.51,3.53,79400.0
02/13/1970,16:00,3.53,3.54,3.48,3.49,154200.0
02/16/1970,16:00,3.49,3.55,3.49,3.54,70400.0
02/17/1970,16:00,3.54,3.60,3.50,3.60,87500.0
02/18/1970,16:00,3.60,3.69,3.60,3.69,97500.0
02/19/1970,16:00,3.69,3.71,3.66,3.69,100500.0
02/20/1970,16:00,3.69,3.75,3.69,3.73,90800.0
02/24/1970,16:00,3.73,3.75,3.71,3.72,77400.0
02/25/1970,16:00,3.72,3.87,3.72,3.85,151200.0
02/26/1970,16:00,3.85,3.85,3.77,3.84,105200.0
02/27/1970,16:00,3.84,3.87,3.80,3.84,106900.0
03/02/1970,16:00,3.84,3.87,3.82,3.87,114600.0
03/03/1970,16:00,3.87,3.97,3.87,3.97,130700.0
03/04/1970,16:00,3.97,4.02,3.94,4.02,138100.0
03/05/1970,16:00,4.02,4.07,3.97,4.02,121700.0
03/06/1970,16:00,3.99,3.99,3.94,3.98,55600.0
03/09/1970,16:00,3.90,3.90,3.81,3.86,73400.0
03/10/1970,16:00,3.86,3.87,3.81,3.86,56900.0
03/11/1970,16:00,3.86,3.95,3.86,3.91,49200.0
03/12/1970,16:00,3.91,3.91,3.86,3.90,66700.0
03/13/1970,16:00,3.90,3.91,3.86,3.90,60300.0
03/16/1970,16:00,3.85,3.85,3.78,3.80,61000.0
03/17/1970,16:00,3.80,3.86,3.78,3.85,76400.0
03/18/1970,16:00,3.85,3.89,3.80,3.81,67000.0
03/19/1970,16:00,3.81,3.81,3.78,3.78,33100.0
03/20/1970,16:00,3.78,3.78,3.73,3.76,73400.0
03/23/1970,16:00,3.76,3.78,3.73,3.76,70400.0
03/24/1970,16:00,3.76,3.85,3.75,3.85,50900.0
03/25/1970,16:00,3.85,3.90,3.84,3.89,103600.0
03/26/1970,16:00,3.89,3.90,3.85,3.89,81400.0
03/30/1970,16:00,3.89,3.90,3.81,3.82,49200.0
03/31/1970,16:00,3.82,3.87,3.78,3.85,48200.0
04/01/1970,16:00,3.85,3.95,3.84,3.95,79400.0
04/02/1970,16:00,3.95,3.97,3.91,3.97,75400.0
04/03/1970,16:00,3.95,3.95,3.90,3.95,58300.0
04/06/1970,16:00,3.94,3.94,3.90,3.94,63000.0
04/07/1970,16:00,3.94,4.06,3.91,4.00,105200.0
04/08/1970,16:00,4.00,4.03,3.99,4.00,48900.0
04/09/1970,16:00,4.00,4.03,3.99,3.99,82400.0
04/10/1970,16:00,3.99,4.00,3.93,3.93,63300.0
04/13/1970,16:00,3.93,3.95,3.89,3.89,46900.0
04/14/1970,16:00,3.89,3.90,3.81,3.86,68700.0
