Date,Time,Open,High,Low,Close,Vol
12/16/1988,16:00,2.28,2.32,2.25,2.28,51200.0
12/19/1988,16:00,2.28,2.35,2.25,2.35,22000.0
12/20/1988,16:00,2.35,2.35,2.25,2.32,64000.0
12/21/1988,16:00,2.28,2.28,2.25,2.25,35200.0
12/22/1988,16:00,2.25,2.28,2.21,2.25,52400.0
12/23/1988,16:00,2.27,2.30,2.23,2.30,19200.0
12/27/1988,16:00,2.30,2.30,2.20,2.20,26800.0
12/28/1988,16:00,2.20,2.27,2.20,2.20,24400.0
12/29/1988,16:00,2.20,2.30,2.20,2.30,51200.0
12/30/1988,16:00,2.30,2.34,2.23,2.30,46400.0
01/03/1989,16:00,2.34,2.34,2.30,2.34,13600.0
01/04/1989,16:00,2.34,2.34,2.27,2.34,20800.0
01/05/1989,16:00,2.34,2.34,2.30,2.30,9600.0
01/06/1989,16:00,2.34,2.34,2.27,2.30,28800.0
01/09/1989,16:00,2.30,2.30,2.20,2.27,23600.0
01/10/1989,16:00,2.27,2.27,1.90,2.08,298000.0
01/11/1989,16:00,2.08,2.20,2.08,2.08,119200.0
01/12/1989,16:00,2.12,2.12,1.98,2.01,55200.0
01/13/1989,16:00,2.05,2.05,1.98,2.01,39200.0
01/16/1989,16:00,2.01,2.01,1.98,2.01,40800.0
01/17/1989,16:00,1.98,2.05,1.98,2.01,31600.0
01/18/1989,16:00,2.05,2.05,1.98,1.98,50400.0
01/19/1989,16:00,1.94,1.98,1.86,1.90,59200.0
01/20/1989,16:00,1.90,1.90,1.79,1.83,56000.0
01/23/1989,16:00,1.86,1.86,1.68,1.68,81600.0
01/24/1989,16:00,1.64,1.68,1.42,1.61,223600.0
01/25/1989,16:00,1.61,1.86,1.54,1.86,143600.0
01/26/1989,16:00,1.86,1.94,1.79,1.94,62800.0
01/27/1989,16:00,1.94,1.94,1.90,1.90,30400.0
01/30/1989,16:00,1.94,1.94,1.90,1.90,20000.0
01/31/1989,16:00,1.90,1.94,1.86,1.90,14800.0
02/01/1989,16:00,1.90,1.90,1.86,1.90,21600.0
02/02/1989,16:00,1.90,1.94,1.90,1.90,34000.0
02/03/1989,16:00,1.94,2.01,1.94,2.01,32800.0
02/06/1989,16:00,2.01,2.01,1.98,1.98,12800.0
02/07/1989,16:00,2.01,2.05,1.98,2.01,11200.0
02/08/1989,16:00,1.98,1.98,1.83,1.86,49200.0
02/09/1989,16:00,1.90,1.90,1.83,1.83,31200.0
02/10/1989,16:00,1.83,1.83,1.76,1.76,22000.0
02/13/1989,16:00,1.68,1.72,1.64,1.72,18400.0
02/14/1989,16:00,1.72,1.72,1.61,1.68,68000.0
02/15/1989,16:00,1.64,1.68,1.64,1.68,44000.0
02/16/1989,16:00,1.72,1.72,1.68,1.68,15200.0
02/17/1989,16:00,1.68,1.72,1.64,1.72,10400.0
02/21/1989,16:00,1.68,1.72,1.61,1.72,26000.0
02/22/1989,16:00,1.68,1.68,1.64,1.68,5200.0
02/23/1989,16:00,1.64,1.64,1.61,1.61,13200.0
02/24/1989,16:00,1.61,1.64,1.61,1.64,16000.0
02/27/1989,16:00,1.64,1.64,1.54,1.54,22400.0
02/28/1989,16:00,1.46,1.50,1.35,1.50,63600.0
03/01/1989,16:00,1.50,1.50,1.35,1.39,28800.0
03/02/1989,16:00,1.42,1.42,1.32,1.42,34400.0
03/03/1989,16:00,1.39,1.42,1.39,1.39,9600.0
03/06/1989,16:00,1.39,1.42,1.35,1.35,67200.0
03/07/1989,16:00,1.35,1.42,1.35,1.39,25600.0
03/08/1989,16:00,1.39,1.46,1.39,1.46,15200.0
03/09/1989,16:00,1.50,1.50,1.46,1.46,25600.0
03/10/1989,16:00,1.42,1.54,1.42,1.50,11200.0
03/13/1989,16:00,1.50,1.54,1.50,1.50,13600.0
03/14/1989,16:00,1.57,1.57,1.54,1.54,17200.0
03/15/1989,16:00,1.57,1.68,1.57,1.68,24400.0
03/16/1989,16:00,1.64,1.68,1.61,1.64,19600.0
03/17/1989,16:00,1.61,1.61,1.57,1.57,7200.0
03/20/1989,16:00,1.57,1.61,1.57,1.57,10400.0
03/21/1989,16:00,1.61,1.61,1.57,1.61,28400.0
03/22/1989,16:00,1.54,1.61,1.54,1.61,20000.0
03/23/1989,16:00,1.54,1.57,1.50,1.50,11600.0
03/27/1989,16:00,1.50,1.54,1.50,1.50,8400.0
03/28/1989,16:00,1.54,1.54,1.32,1.32,46800.0
03/29/1989,16:00,1.24,1.24,0.98,1.02,102800.0
03/30/1989,16:00,1.02,1.06,0.98,0.98,64400.0
03/31/1989,16:00,0.91,0.98,0.88,0.95,103200.0
04/03/1989,16:00,0.98,0.98,0.91,0.91,27600.0
04/04/1989,16:00,0.91,0.95,0.88,0.88,67600.0
04/05/1989,16:00,0.84,0.88,0.76,0.80,58400.0
04/06/1989,16:00,0.76,0.80,0.73,0.76,44400.0
04/07/1989,16:00,0.80,0.84,0.76,0.84,41600.0
04/10/1989,16:00,0.80,0.88,0.80,0.88,26400.0
04/11/1989,16:00,0.88,0.95,0.88,0.91,30400.0
04/12/1989,16:00,0.95,0.95,0.88,0.88,13200.0
04/13/1989,16:00,0.91,0.91,0.84,0.84,26800.0
04/14/1989,16:00,0.80,0.80,0.73,0.73,93600.0
04/17/1989,16:00,0.69,0.76,0.69,0.73,41200.0
04/18/1989,16:00,0.69,0.80,0.69,0.80,42800.0
04/19/1989,16:00,0.76,0.84,0.76,0.80,46800.0
04/20/1989,16:00,0.80,0.84,0.80,0.84,25200.0
04/21/1989,16:00,0.84,0.88,0.80,0.80,33600.0
04/24/1989,16:00,0.84,0.84,0.80,0.80,4400.0
04/25/1989,16:00,0.80,0.88,0.80,0.88,3200.0
04/26/1989,16:00,0.88,0.88,0.84,0.88,6000.0
