Date,Time,Open,High,Low,Close,Vol
07/01/1985,16:00,4.12,4.14,4.12,4.13,190299.375
07/02/1985,16:00,4.13,4.14,4.08,4.13,95998.5
07/03/1985,16:00,4.10,4.10,4.02,4.09,244299.375
07/05/1985,16:00,4.10,4.13,4.10,4.13,28900.125
07/08/1985,16:00,4.13,4.22,4.12,4.19,302400.0
07/09/1985,16:00,4.18,4.21,4.13,4.13,22501.125
07/10/1985,16:00,4.13,4.16,4.11,4.12,46500.75
07/11/1985,16:00,4.15,4.16,4.15,4.15,98499.375
07/12/1985,16:00,4.15,4.22,4.11,4.22,390700.125
07/15/1985,16:00,4.22,4.23,4.19,4.19,198399.375
07/16/1985,16:00,4.19,4.24,4.17,4.23,712901.25
07/17/1985,16:00,4.24,4.31,4.24,4.30,202601.25
07/18/1985,16:00,4.30,4.32,4.26,4.26,35201.25
07/19/1985,16:00,4.26,4.34,4.23,4.34,65400.75
07/22/1985,16:00,4.33,4.35,4.31,4.35,114898.5
07/23/1985,16:00,4.35,4.40,4.35,4.40,361300.5
07/24/1985,16:00,4.38,4.38,4.34,4.37,138300.75
07/25/1985,16:00,4.36,4.38,4.35,4.38,144399.375
07/26/1985,16:00,4.38,4.49,4.35,4.41,354300.75
07/29/1985,16:00,4.40,4.47,4.40,4.45,367800.75
07/30/1985,16:00,4.43,4.43,4.38,4.38,146701.125
07/31/1985,16:00,4.38,4.42,4.38,4.41,63399.375
08/01/1985,16:00,4.43,4.46,4.43,4.43,95401.125
08/02/1985,16:00,4.43,4.51,4.38,4.38,81600.75
08/05/1985,16:00,4.37,4.40,4.18,4.24,154801.125
08/06/1985,16:00,4.24,4.27,4.13,4.19,97200.0
08/07/1985,16:00,4.19,4.27,4.16,4.27,53200.125
08/08/1985,16:00,4.27,4.29,4.21,4.27,178200.0
08/09/1985,16:00,4.27,4.30,4.23,4.26,67000.5
08/12/1985,16:00,4.25,4.25,4.18,4.18,47199.375
08/13/1985,16:00,4.16,4.16,4.11,4.11,72400.5
08/14/1985,16:00,4.11,4.13,4.08,4.08,22501.125
08/15/1985,16:00,4.08,4.13,4.05,4.08,21701.25
08/16/1985,16:00,4.08,4.10,4.02,4.02,118800.0
08/19/1985,16:00,4.03,4.06,4.00,4.00,8201.25
08/20/1985,16:00,3.99,4.02,3.95,4.02,276699.375
08/21/1985,16:00,4.03,4.08,4.00,4.08,175601.25
08/22/1985,16:00,4.08,4.13,4.08,4.08,27901.125
08/23/1985,16:00,4.08,4.10,4.08,4.09,29801.25
08/26/1985,16:00,4.10,4.15,4.08,4.11,14799.375
08/27/1985,16:00,4.13,4.19,4.13,4.19,17698.5
08/28/1985,16:00,4.19,4.19,4.08,4.19,148601.25
08/29/1985,16:00,4.16,4.16,4.12,4.12,35700.75
08/30/1985,16:00,4.12,4.16,4.07,4.07,76501.125
09/03/1985,16:00,4.07,4.09,4.07,4.08,22501.125
09/04/1985,16:00,4.10,4.15,4.10,4.15,23098.5
