Date,Time,Open,High,Low,Close,Vol
09/20/2013,16:00,13.55,13.72,12.87,12.88,8690500.0
09/23/2013,16:00,12.89,13.35,12.88,13.15,556400.0
09/24/2013,16:00,13.29,13.51,13.19,13.33,649600.0
09/25/2013,16:00,13.51,13.74,13.33,13.65,293600.0
09/26/2013,16:00,13.53,13.55,13.37,13.55,118000.0
09/27/2013,16:00,13.46,13.73,13.43,13.68,82900.0
09/30/2013,16:00,13.55,13.63,13.26,13.62,110900.0
10/01/2013,16:00,13.56,13.64,13.33,13.51,115900.0
10/02/2013,16:00,13.36,13.45,13.15,13.40,115000.0
10/03/2013,16:00,13.35,13.37,13.20,13.27,101600.0
10/04/2013,16:00,13.28,13.28,12.96,13.21,51100.0
10/07/2013,16:00,13.03,13.11,12.95,13.03,344500.0
10/08/2013,16:00,12.94,13.15,12.68,12.80,947300.0
10/09/2013,16:00,12.78,12.95,12.69,12.95,372500.0
10/10/2013,16:00,13.05,13.05,12.88,12.88,130200.0
10/11/2013,16:00,12.88,13.09,12.88,12.88,49400.0
10/14/2013,16:00,12.80,12.88,12.71,12.80,103000.0
10/15/2013,16:00,13.16,13.33,12.84,12.97,455700.0
10/16/2013,16:00,13.15,13.21,12.96,12.96,21500.0
10/17/2013,16:00,12.84,12.88,12.66,12.84,368900.0
10/18/2013,16:00,12.75,12.97,12.44,12.51,1496300.0
10/21/2013,16:00,12.52,12.57,12.04,12.31,243700.0
10/22/2013,16:00,12.30,12.52,12.12,12.46,113100.0
10/23/2013,16:00,12.37,12.44,12.18,12.40,34800.0
10/24/2013,16:00,12.47,12.49,12.24,12.46,190700.0
10/25/2013,16:00,12.44,12.60,12.36,12.48,139800.0
10/28/2013,16:00,12.48,12.53,12.07,12.08,80900.0
10/29/2013,16:00,12.15,12.31,12.00,12.09,72100.0
10/30/2013,16:00,12.39,12.39,12.12,12.31,86700.0
10/31/2013,16:00,12.08,12.39,12.02,12.34,202500.0
11/01/2013,16:00,12.30,12.53,12.18,12.43,258200.0
11/04/2013,16:00,12.17,12.58,12.17,12.44,161400.0
11/05/2013,16:00,12.37,12.63,12.22,12.57,82400.0
11/06/2013,16:00,12.63,12.64,12.41,12.61,519900.0
11/07/2013,16:00,12.61,12.61,12.44,12.54,236400.0
11/08/2013,16:00,12.49,12.63,12.28,12.62,697100.0
11/11/2013,16:00,12.61,12.87,12.61,12.85,185000.0
11/12/2013,16:00,12.87,13.09,12.87,13.06,87100.0
11/13/2013,16:00,13.01,13.40,13.01,13.36,187100.0
11/14/2013,16:00,13.33,13.39,13.23,13.37,19800.0
11/15/2013,16:00,13.21,13.41,13.19,13.40,342400.0
11/18/2013,16:00,13.42,13.48,13.37,13.42,79500.0
11/19/2013,16:00,13.35,13.49,13.24,13.33,162800.0
11/20/2013,16:00,13.29,13.51,13.18,13.44,115600.0
11/21/2013,16:00,13.51,13.55,13.43,13.54,109900.0
11/22/2013,16:00,13.55,13.83,13.55,13.77,160300.0
11/25/2013,16:00,13.76,14.02,13.76,13.93,19000.0
