Date,Time,Open,High,Low,Close,Vol
06/10/1983,16:00,2.36,2.37,2.35,2.37,1200000.0
06/13/1983,16:00,2.37,2.37,2.36,2.37,922000.0
06/14/1983,16:00,2.37,2.41,2.37,2.40,555200.0
06/15/1983,16:00,2.40,2.42,2.39,2.42,438800.0
06/16/1983,16:00,2.42,2.43,2.41,2.41,1814000.0
06/17/1983,16:00,2.42,2.42,2.39,2.42,432800.0
06/20/1983,16:00,2.42,2.42,2.39,2.40,1311200.0
06/21/1983,16:00,2.39,2.39,2.37,2.38,1586000.0
06/22/1983,16:00,2.38,2.39,2.37,2.38,818400.0
06/23/1983,16:00,2.38,2.38,2.37,2.37,232800.0
06/24/1983,16:00,2.37,2.38,2.37,2.37,213200.0
06/27/1983,16:00,2.37,2.40,2.37,2.38,207600.0
06/28/1983,16:00,2.38,2.38,2.36,2.37,954400.0
06/29/1983,16:00,2.36,2.37,2.36,2.37,274400.0
06/30/1983,16:00,2.37,2.38,2.36,2.37,942400.0
07/01/1983,16:00,2.37,2.37,2.36,2.37,784000.0
07/05/1983,16:00,2.36,2.36,2.34,2.35,342400.0
07/06/1983,16:00,2.34,2.36,2.34,2.36,674400.0
07/07/1983,16:00,2.36,2.36,2.35,2.35,214800.0
07/08/1983,16:00,2.36,2.37,2.32,2.37,1296400.0
07/11/1983,16:00,2.37,2.38,2.36,2.36,252000.0
07/12/1983,16:00,2.37,2.38,2.37,2.38,606000.0
07/13/1983,16:00,2.39,2.41,2.39,2.40,631200.0
07/14/1983,16:00,2.40,2.42,2.40,2.42,706800.0
07/15/1983,16:00,2.42,2.42,2.41,2.41,135600.0
07/18/1983,16:00,2.42,2.42,2.41,2.42,616800.0
07/19/1983,16:00,2.42,2.43,2.42,2.43,1185600.0
07/20/1983,16:00,2.45,2.49,2.45,2.47,1650400.0
07/21/1983,16:00,2.48,2.48,2.47,2.48,463600.0
07/22/1983,16:00,2.47,2.48,2.46,2.47,350800.0
07/25/1983,16:00,2.47,2.48,2.47,2.47,185200.0
07/26/1983,16:00,2.47,2.48,2.47,2.48,562800.0
07/27/1983,16:00,2.47,2.48,2.47,2.48,476800.0
07/28/1983,16:00,2.50,2.52,2.47,2.48,602400.0
07/29/1983,16:00,2.49,2.49,2.45,2.47,316000.0
08/01/1983,16:00,2.47,2.49,2.47,2.49,654800.0
08/02/1983,16:00,2.49,2.51,2.47,2.51,171600.0
08/03/1983,16:00,2.51,2.51,2.48,2.50,118400.0
08/04/1983,16:00,2.50,2.51,2.47,2.48,490000.0
08/05/1983,16:00,2.47,2.48,2.46,2.47,154000.0
08/08/1983,16:00,2.47,2.47,2.46,2.47,142800.0
08/09/1983,16:00,2.46,2.47,2.46,2.47,539200.0
08/10/1983,16:00,2.47,2.48,2.46,2.48,292400.0
08/11/1983,16:00,2.48,2.50,2.48,2.50,1874000.0
08/12/1983,16:00,2.49,2.50,2.49,2.49,378800.0
08/15/1983,16:00,2.50,2.51,2.49,2.49,1738400.0
08/16/1983,16:00,2.50,2.50,2.49,2.50,150800.0
08/17/1983,16:00,2.50,2.50,2.49,2.50,178000.0
