Date,Time,Open,High,Low,Close,Vol
10/29/1996,16:00,4.08,4.08,3.89,3.91,13418900.0
10/30/1996,16:00,3.94,4.57,3.94,4.42,2777800.0
10/31/1996,16:00,4.42,4.59,4.40,4.52,2769400.0
11/01/1996,16:00,3.96,4.57,3.94,4.42,1621800.0
11/04/1996,16:00,4.30,4.32,4.23,4.23,315000.0
11/05/1996,16:00,4.30,4.32,4.23,4.23,325600.0
11/06/1996,16:00,4.23,4.25,4.20,4.20,198700.0
11/07/1996,16:00,4.23,4.28,4.18,4.25,273300.0
11/08/1996,16:00,4.23,4.30,4.20,4.30,439200.0
11/11/1996,16:00,4.49,4.64,4.49,4.57,358400.0
11/12/1996,16:00,4.49,4.64,4.49,4.57,261700.0
11/13/1996,16:00,4.59,4.71,4.57,4.67,815800.0
11/14/1996,16:00,4.69,5.08,4.69,4.96,675600.0
11/15/1996,16:00,5.01,5.20,5.01,5.10,548700.0
11/18/1996,16:00,5.05,5.05,4.84,4.96,397500.0
11/19/1996,16:00,5.01,5.05,4.84,4.96,103400.0
11/20/1996,16:00,5.01,5.01,4.93,5.01,193000.0
11/21/1996,16:00,5.01,5.03,4.98,4.98,507000.0
11/22/1996,16:00,4.96,5.01,4.93,4.93,491100.0
11/25/1996,16:00,4.98,5.30,4.98,5.25,285700.0
11/26/1996,16:00,5.10,5.30,4.98,5.25,842000.0
11/27/1996,16:00,5.30,5.52,5.30,5.35,64300.0
11/29/1996,16:00,5.49,5.49,5.47,5.49,8400.0
12/02/1996,16:00,5.49,5.49,5.37,5.44,239100.0
12/03/1996,16:00,5.44,5.66,5.44,5.66,363800.0
12/04/1996,16:00,5.66,5.66,5.54,5.54,361500.0
12/05/1996,16:00,5.59,5.64,5.49,5.59,71000.0
12/06/1996,16:00,5.54,5.57,5.39,5.44,63900.0
12/09/1996,16:00,5.47,5.64,5.47,5.59,114900.0
12/10/1996,16:00,5.59,5.59,5.39,5.39,46100.0
12/11/1996,16:00,5.37,5.37,5.03,5.08,91800.0
12/12/1996,16:00,5.13,5.23,5.13,5.23,72300.0
12/13/1996,16:00,5.25,5.25,5.18,5.20,170800.0
12/16/1996,16:00,5.23,5.35,5.23,5.35,135300.0
12/17/1996,16:00,5.37,5.39,5.35,5.39,94500.0
12/18/1996,16:00,5.42,5.42,5.30,5.37,238700.0
12/19/1996,16:00,5.59,5.78,5.59,5.64,287900.0
12/20/1996,16:00,5.69,5.91,5.69,5.83,113100.0
12/23/1996,16:00,5.88,5.93,5.86,5.86,399700.0
12/24/1996,16:00,5.91,5.93,5.91,5.91,9300.0
12/26/1996,16:00,5.93,5.93,5.88,5.91,75400.0
12/27/1996,16:00,5.81,5.86,5.76,5.76,118900.0
12/30/1996,16:00,5.74,5.78,5.74,5.78,48800.0
12/31/1996,16:00,5.74,5.98,5.74,5.98,98900.0
01/02/1997,16:00,5.93,5.98,5.88,5.96,64800.0
01/03/1997,16:00,5.93,5.96,5.83,5.83,108700.0
01/06/1997,16:00,5.86,5.88,5.86,5.86,86900.0
01/07/1997,16:00,5.83,5.93,5.76,5.88,339800.0
01/08/1997,16:00,5.91,5.91,5.83,5.88,227100.0
01/09/1997,16:00,5.91,6.25,5.91,6.20,131300.0
01/10/1997,16:00,6.15,6.47,6.12,6.47,51000.0
01/13/1997,16:00,6.44,6.47,6.37,6.37,34600.0
01/14/1997,16:00,6.34,6.39,6.25,6.37,254600.0
01/15/1997,16:00,6.37,7.00,6.37,7.00,343800.0
01/16/1997,16:00,7.10,7.51,7.05,7.39,604600.0
01/17/1997,16:00,7.32,7.39,6.98,7.00,106900.0
01/20/1997,16:00,6.95,7.03,6.88,6.88,59000.0
01/21/1997,16:00,6.90,6.90,6.51,6.78,464900.0
01/22/1997,16:00,6.73,6.76,6.59,6.66,346000.0
01/23/1997,16:00,6.69,6.69,6.47,6.47,266200.0
01/24/1997,16:00,6.54,6.54,6.25,6.25,143300.0
01/27/1997,16:00,6.30,6.37,6.12,6.12,106900.0
01/28/1997,16:00,6.22,6.37,6.17,6.22,370800.0
01/29/1997,16:00,6.25,6.27,6.08,6.25,613500.0
01/30/1997,16:00,6.27,6.34,6.17,6.20,282600.0
01/31/1997,16:00,6.22,6.22,6.17,6.22,860100.0
02/03/1997,16:00,6.25,6.32,6.25,6.25,600600.0
02/04/1997,16:00,6.22,6.27,5.64,5.78,518100.0
02/05/1997,16:00,5.83,6.05,5.83,6.00,1271800.0
02/06/1997,16:00,6.00,6.05,5.91,5.91,133100.0
02/07/1997,16:00,5.86,5.93,5.69,5.83,154400.0
02/10/1997,16:00,5.74,5.81,5.44,5.64,370800.0
02/11/1997,16:00,5.69,5.83,5.66,5.81,980400.0
02/12/1997,16:00,5.91,6.44,5.83,6.42,280800.0
02/13/1997,16:00,6.54,6.73,6.42,6.51,623300.0
02/14/1997,16:00,6.51,6.73,6.51,6.73,243500.0
02/18/1997,16:00,6.73,6.81,6.69,6.78,173400.0
02/19/1997,16:00,6.81,6.83,6.71,6.73,122000.0
02/20/1997,16:00,6.73,6.73,6.59,6.64,174800.0
02/21/1997,16:00,6.61,6.66,6.37,6.42,73600.0
02/24/1997,16:00,6.44,6.49,6.42,6.42,135700.0
02/25/1997,16:00,6.44,6.47,6.39,6.42,5300.0
02/26/1997,16:00,6.42,6.44,6.30,6.30,130400.0
02/27/1997,16:00,6.27,6.27,6.03,6.03,65200.0
02/28/1997,16:00,5.98,6.00,5.91,5.98,140200.0
03/03/1997,16:00,5.98,6.03,5.93,6.03,157500.0
03/04/1997,16:00,6.22,6.30,6.08,6.25,82500.0
03/05/1997,16:00,6.42,6.78,6.27,6.69,190700.0
03/06/1997,16:00,6.64,6.71,6.59,6.59,179200.0
03/07/1997,16:00,6.56,6.61,6.56,6.59,276400.0
03/10/1997,16:00,6.51,6.59,6.51,6.51,23100.0
03/11/1997,16:00,6.51,6.51,6.49,6.49,63000.0
03/12/1997,16:00,6.49,6.49,6.39,6.42,50100.0
03/13/1997,16:00,6.17,6.25,6.10,6.12,145500.0
03/14/1997,16:00,6.10,6.27,6.08,6.20,94900.0
03/17/1997,16:00,6.15,6.20,6.12,6.17,121100.0
03/18/1997,16:00,6.20,6.49,6.15,6.47,142800.0
03/19/1997,16:00,6.44,6.44,6.32,6.34,62100.0
03/20/1997,16:00,6.32,6.39,6.22,6.27,48800.0
03/21/1997,16:00,6.25,6.25,6.20,6.20,39000.0
03/24/1997,16:00,6.20,6.20,6.17,6.17,27900.0
