Date,Time,Open,High,Low,Close,Vol
05/23/2013,16:00,16.74,18.50,16.74,18.50,1800.0
05/24/2013,16:00,18.50,18.59,18.49,18.50,5500.0
05/28/2013,16:00,18.79,19.71,15.86,18.55,18200.0
05/29/2013,16:00,17.82,18.50,16.85,16.85,7100.0
05/30/2013,16:00,16.82,16.82,13.00,15.48,87000.0
05/31/2013,16:00,14.86,16.20,14.86,15.12,53200.0
06/03/2013,16:00,15.10,15.49,12.65,14.34,136200.0
06/04/2013,16:00,14.32,14.32,11.86,12.28,189200.0
06/05/2013,16:00,12.29,12.29,11.51,11.52,148800.0
06/06/2013,16:00,11.52,12.09,11.43,11.90,139800.0
06/07/2013,16:00,11.94,13.05,11.75,12.66,47000.0
06/10/2013,16:00,12.67,13.23,12.44,13.11,43200.0
06/11/2013,16:00,12.51,13.55,12.42,12.66,36200.0
06/12/2013,16:00,13.35,13.35,11.65,13.08,38100.0
06/13/2013,16:00,12.89,13.55,12.76,13.35,50700.0
06/14/2013,16:00,13.36,13.57,12.95,13.26,17900.0
06/17/2013,16:00,13.42,13.51,12.35,12.54,54800.0
06/18/2013,16:00,12.52,14.77,12.49,14.31,51600.0
06/19/2013,16:00,14.26,15.62,13.26,15.41,59000.0
06/20/2013,16:00,15.26,17.22,15.26,17.02,102700.0
06/21/2013,16:00,16.98,17.25,15.48,15.58,208800.0
06/24/2013,16:00,15.49,15.49,14.81,14.88,57000.0
06/25/2013,16:00,15.00,15.41,14.74,14.94,15600.0
06/26/2013,16:00,14.94,15.95,14.94,15.47,30700.0
06/27/2013,16:00,15.46,16.16,15.46,16.02,8400.0
06/28/2013,16:00,16.04,16.65,15.58,16.65,418600.0
07/01/2013,16:00,16.28,16.58,15.21,15.89,15100.0
07/02/2013,16:00,15.82,15.82,15.19,15.54,11300.0
07/03/2013,16:00,15.54,15.54,15.35,15.53,29200.0
07/05/2013,16:00,16.64,16.64,15.83,15.95,11800.0
07/08/2013,16:00,15.83,15.97,15.50,15.65,10600.0
