Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,8.79,8.79,8.79,8.79,500.0
03/27/1990,16:00,8.79,8.79,8.42,8.67,6800.0
03/28/1990,16:00,8.42,8.42,8.42,8.42,900.0
03/29/1990,16:00,8.42,8.42,8.42,8.42,0.0
03/30/1990,16:00,8.42,8.42,8.42,8.42,0.0
04/02/1990,16:00,8.18,8.30,8.18,8.30,30800.0
04/03/1990,16:00,8.18,8.18,8.18,8.18,100.0
04/04/1990,16:00,8.67,8.67,8.18,8.30,17100.0
04/05/1990,16:00,8.30,8.30,8.30,8.30,0.0
04/06/1990,16:00,8.18,8.42,8.18,8.42,2600.0
04/09/1990,16:00,8.55,8.67,8.55,8.67,1200.0
04/10/1990,16:00,8.18,8.55,8.18,8.55,21100.0
04/11/1990,16:00,8.55,8.55,8.55,8.55,600.0
04/12/1990,16:00,8.18,8.18,8.18,8.18,100.0
04/16/1990,16:00,8.18,8.18,8.18,8.18,0.0
04/17/1990,16:00,8.18,8.18,8.18,8.18,0.0
04/18/1990,16:00,8.18,8.18,8.18,8.18,2000.0
04/19/1990,16:00,8.18,8.55,8.18,8.55,9000.0
04/20/1990,16:00,8.30,8.55,8.30,8.55,5000.0
04/23/1990,16:00,8.18,8.30,8.18,8.30,1200.0
04/24/1990,16:00,8.18,8.42,8.06,8.18,10200.0
04/25/1990,16:00,8.18,8.18,8.18,8.18,0.0
04/26/1990,16:00,8.18,8.18,8.18,8.18,0.0
04/27/1990,16:00,8.06,8.06,8.06,8.06,400.0
04/30/1990,16:00,8.42,8.42,7.94,8.18,17200.0
05/01/1990,16:00,8.06,8.30,7.94,7.94,11500.0
05/02/1990,16:00,7.93,7.93,7.93,7.93,0.0
05/03/1990,16:00,7.93,7.93,7.93,7.93,0.0
05/04/1990,16:00,8.06,8.06,7.94,7.94,9200.0
05/07/1990,16:00,8.30,8.30,8.30,8.30,1600.0
05/08/1990,16:00,7.94,7.94,7.94,7.94,100.0
05/09/1990,16:00,7.94,8.55,7.94,8.55,9000.0
05/10/1990,16:00,8.30,9.28,8.30,9.28,9900.0
05/11/1990,16:00,9.03,9.52,9.03,9.52,1300.0
05/14/1990,16:00,9.03,9.52,9.03,9.52,600.0
05/15/1990,16:00,8.91,9.03,8.79,8.79,8100.0
05/16/1990,16:00,8.55,8.55,8.55,8.55,200.0
05/17/1990,16:00,8.55,8.55,8.55,8.55,100.0
05/18/1990,16:00,8.55,9.03,8.55,9.03,300.0
05/21/1990,16:00,8.91,9.03,8.91,9.03,2100.0
05/22/1990,16:00,8.55,8.55,8.55,8.55,200.0
05/23/1990,16:00,8.55,8.55,8.42,8.42,2800.0
05/24/1990,16:00,8.79,8.79,8.42,8.42,2300.0
05/25/1990,16:00,8.42,8.42,8.42,8.42,600.0
05/29/1990,16:00,8.42,8.42,8.42,8.42,2100.0
05/30/1990,16:00,8.18,8.18,8.18,8.18,100.0
05/31/1990,16:00,8.18,8.30,8.18,8.30,1900.0
06/01/1990,16:00,8.18,8.42,8.18,8.30,10200.0
06/04/1990,16:00,8.06,8.06,8.06,8.06,100.0
06/05/1990,16:00,8.55,9.28,8.55,9.28,8100.0
06/06/1990,16:00,9.16,9.52,9.16,9.52,2200.0
06/07/1990,16:00,9.16,9.65,9.16,9.65,200.0
06/08/1990,16:00,9.16,9.16,9.16,9.16,3000.0
06/11/1990,16:00,9.16,9.16,9.16,9.16,0.0
06/12/1990,16:00,8.91,9.28,8.91,9.28,3400.0
06/13/1990,16:00,9.28,9.28,9.28,9.28,0.0
06/14/1990,16:00,8.91,8.91,8.91,8.91,300.0
06/15/1990,16:00,8.91,8.91,8.67,8.91,4700.0
06/18/1990,16:00,8.67,8.67,8.67,8.67,200.0
06/19/1990,16:00,8.67,8.67,8.67,8.67,0.0
06/20/1990,16:00,8.67,8.67,8.67,8.67,0.0
06/21/1990,16:00,8.67,8.67,8.67,8.67,0.0
06/22/1990,16:00,8.67,8.67,8.67,8.67,900.0
06/25/1990,16:00,8.55,8.67,8.55,8.55,8300.0
06/26/1990,16:00,8.67,8.67,8.30,8.55,5600.0
06/27/1990,16:00,8.18,8.18,8.18,8.18,1000.0
06/28/1990,16:00,8.18,8.18,8.18,8.18,600.0
06/29/1990,16:00,8.18,8.55,8.18,8.55,600.0
07/02/1990,16:00,8.18,8.18,8.18,8.18,500.0
07/03/1990,16:00,8.18,8.18,8.18,8.18,0.0
07/05/1990,16:00,8.55,8.55,8.18,8.55,6500.0
07/06/1990,16:00,8.55,8.55,8.55,8.55,0.0
07/09/1990,16:00,8.18,8.18,8.18,8.18,400.0
07/10/1990,16:00,8.18,8.18,8.18,8.18,800.0
07/11/1990,16:00,8.18,8.18,8.18,8.18,0.0
