Date,Time,Open,High,Low,Close,Vol
07/03/1997,16:00,10.21,10.21,9.97,10.21,957500.0
07/07/1997,16:00,10.21,10.21,9.97,10.02,51300.0
07/08/1997,16:00,9.97,10.21,9.97,9.97,143400.0
07/09/1997,16:00,9.97,10.21,9.97,9.97,143000.0
07/10/1997,16:00,9.97,10.21,9.97,9.97,129800.0
07/11/1997,16:00,9.97,10.21,9.97,9.97,85000.0
07/14/1997,16:00,10.08,10.08,9.97,9.97,69900.0
07/15/1997,16:00,10.08,10.08,9.97,9.97,68700.0
07/16/1997,16:00,10.08,10.08,9.97,9.97,21700.0
07/17/1997,16:00,9.97,10.08,9.97,9.97,44300.0
07/18/1997,16:00,9.97,10.08,9.97,9.97,43300.0
07/21/1997,16:00,9.97,10.08,9.97,9.97,66300.0
07/22/1997,16:00,10.08,10.08,9.97,9.97,58000.0
07/23/1997,16:00,9.97,10.08,9.97,10.08,26200.0
07/24/1997,16:00,9.97,10.08,9.97,9.97,39900.0
07/25/1997,16:00,9.97,10.08,9.97,9.97,22300.0
07/28/1997,16:00,9.97,10.08,9.97,9.97,85700.0
07/29/1997,16:00,9.97,10.08,9.26,9.44,314500.0
07/30/1997,16:00,9.49,9.73,9.26,9.49,218500.0
07/31/1997,16:00,9.73,9.73,9.26,9.49,81800.0
08/01/1997,16:00,9.49,9.97,9.49,9.73,35700.0
08/04/1997,16:00,9.73,9.73,9.38,9.38,30700.0
08/05/1997,16:00,9.73,9.73,9.38,9.49,34500.0
08/06/1997,16:00,9.61,10.08,9.38,10.08,226500.0
08/07/1997,16:00,9.73,10.08,9.73,9.85,55900.0
08/08/1997,16:00,9.61,9.97,9.61,9.97,67200.0
08/11/1997,16:00,10.21,10.21,9.73,9.97,40900.0
08/12/1997,16:00,10.21,10.21,9.85,9.85,13200.0
08/13/1997,16:00,9.85,10.21,9.85,9.97,20400.0
08/14/1997,16:00,9.85,10.21,9.85,9.97,29300.0
08/15/1997,16:00,10.21,10.21,9.97,10.08,7400.0
08/18/1997,16:00,10.08,11.03,10.08,10.68,73000.0
08/19/1997,16:00,10.92,10.92,10.56,10.92,36400.0
08/20/1997,16:00,11.03,11.03,10.56,10.56,41300.0
08/21/1997,16:00,10.92,10.92,10.44,10.80,41600.0
08/22/1997,16:00,10.56,10.80,10.44,10.56,26600.0
08/25/1997,16:00,10.80,10.80,10.33,10.68,39300.0
08/26/1997,16:00,10.80,11.03,10.33,10.56,107100.0
08/27/1997,16:00,11.03,11.03,10.56,11.03,34700.0
08/28/1997,16:00,11.03,11.39,10.92,11.28,90000.0
08/29/1997,16:00,11.39,11.39,11.03,11.28,42700.0
09/02/1997,16:00,11.39,11.39,10.92,11.39,23300.0
09/03/1997,16:00,11.75,12.10,11.16,11.16,40000.0
09/04/1997,16:00,11.75,12.58,11.63,12.58,52500.0
09/05/1997,16:00,12.58,12.70,12.10,12.46,35800.0
09/08/1997,16:00,12.70,12.70,12.58,12.70,27400.0
09/09/1997,16:00,12.46,12.70,12.46,12.70,54800.0
09/10/1997,16:00,12.70,12.76,12.34,12.70,55600.0
09/11/1997,16:00,12.70,13.05,12.46,12.82,108300.0
09/12/1997,16:00,12.93,13.05,12.58,13.05,43400.0
09/15/1997,16:00,13.05,13.77,12.70,13.18,68100.0
09/16/1997,16:00,13.53,13.53,13.29,13.41,42900.0
09/17/1997,16:00,13.41,13.41,12.58,12.58,23200.0
09/18/1997,16:00,12.93,12.93,12.58,12.93,2200.0
09/19/1997,16:00,12.93,12.93,12.70,12.93,12400.0
09/22/1997,16:00,12.93,12.93,12.46,12.93,52300.0
09/23/1997,16:00,12.70,12.93,12.70,12.82,29900.0
09/24/1997,16:00,12.93,12.93,12.70,12.70,52700.0
09/25/1997,16:00,12.93,12.93,12.58,12.58,5000.0
09/26/1997,16:00,12.58,12.82,11.87,12.10,17300.0
09/29/1997,16:00,12.10,12.46,12.10,12.34,9700.0
09/30/1997,16:00,12.34,12.46,12.10,12.34,55200.0
10/01/1997,16:00,12.10,12.23,12.10,12.23,5500.0
10/02/1997,16:00,12.10,12.23,12.10,12.10,4100.0
10/03/1997,16:00,12.10,12.23,11.39,11.63,22800.0
10/06/1997,16:00,11.39,11.63,10.56,11.16,52500.0
10/07/1997,16:00,11.16,11.75,11.16,11.63,24400.0
10/08/1997,16:00,11.75,11.75,10.56,11.51,32500.0
10/09/1997,16:00,11.51,11.51,10.33,10.44,27600.0
10/10/1997,16:00,10.33,10.68,10.33,10.68,11700.0
10/13/1997,16:00,10.68,10.68,10.44,10.44,7800.0
10/14/1997,16:00,10.44,11.39,10.44,11.16,12600.0
10/15/1997,16:00,11.16,11.28,10.92,11.28,13200.0
10/16/1997,16:00,11.28,11.28,10.33,10.33,198100.0
10/17/1997,16:00,10.39,10.56,9.85,10.39,44600.0
10/20/1997,16:00,10.56,10.56,10.33,10.50,15900.0
10/21/1997,16:00,10.50,10.56,10.33,10.44,6400.0
10/22/1997,16:00,10.44,10.44,10.08,10.44,25300.0
10/23/1997,16:00,9.97,10.44,9.97,10.21,15500.0
10/24/1997,16:00,10.44,10.68,10.15,10.44,38700.0
10/27/1997,16:00,10.08,10.39,10.08,10.08,33500.0
10/28/1997,16:00,9.97,10.02,9.38,9.61,131100.0
10/29/1997,16:00,9.61,9.61,9.38,9.49,125700.0
10/30/1997,16:00,9.49,9.61,9.26,9.49,48100.0
10/31/1997,16:00,9.61,9.61,9.49,9.55,18000.0
11/03/1997,16:00,9.61,9.61,9.49,9.61,51100.0
11/04/1997,16:00,9.61,9.61,9.38,9.55,20900.0
11/05/1997,16:00,9.61,9.61,9.38,9.49,7700.0
11/06/1997,16:00,9.61,9.73,9.49,9.49,16000.0
11/07/1997,16:00,9.73,9.73,9.44,9.61,17800.0
11/10/1997,16:00,9.61,9.61,9.26,9.26,22900.0
11/11/1997,16:00,9.13,9.49,9.13,9.38,17400.0
11/12/1997,16:00,9.02,9.38,9.02,9.08,8800.0
11/13/1997,16:00,9.20,9.20,8.31,8.66,96400.0
11/14/1997,16:00,8.90,9.02,8.90,8.90,13400.0
11/17/1997,16:00,9.13,9.13,7.89,8.66,255100.0
11/18/1997,16:00,8.54,8.54,7.83,8.07,54300.0
11/19/1997,16:00,8.07,8.43,7.83,8.43,47000.0
11/20/1997,16:00,7.95,10.68,7.95,9.85,32300.0
11/21/1997,16:00,9.97,10.56,9.61,9.73,22900.0
11/24/1997,16:00,9.61,9.73,9.38,9.49,3000.0
11/25/1997,16:00,9.38,9.61,9.38,9.38,5500.0
11/26/1997,16:00,9.13,9.26,9.13,9.20,47600.0
11/28/1997,16:00,9.26,9.38,9.13,9.13,3000.0
12/01/1997,16:00,9.13,9.49,9.13,9.31,6100.0
12/02/1997,16:00,9.61,10.33,9.38,9.79,74500.0
12/03/1997,16:00,9.97,9.97,9.61,9.85,3000.0
12/04/1997,16:00,9.73,9.73,9.49,9.49,14100.0
12/05/1997,16:00,9.38,9.49,9.02,9.31,21000.0
12/08/1997,16:00,8.84,9.38,8.84,9.26,25400.0
12/09/1997,16:00,9.26,9.49,9.20,9.20,28100.0
12/10/1997,16:00,9.26,9.61,9.26,9.38,47500.0
12/11/1997,16:00,9.49,9.49,8.90,9.02,9300.0
12/12/1997,16:00,9.26,9.26,8.43,8.54,44600.0
12/15/1997,16:00,8.43,8.66,7.23,7.95,146000.0
12/16/1997,16:00,7.95,7.95,7.59,7.65,209200.0
12/17/1997,16:00,7.59,7.83,7.59,7.77,41700.0
12/18/1997,16:00,7.83,7.83,7.59,7.65,117700.0
12/19/1997,16:00,7.71,8.60,7.59,8.07,151400.0
12/22/1997,16:00,8.07,8.36,8.07,8.31,57800.0
12/23/1997,16:00,8.36,8.36,8.18,8.25,31600.0
12/24/1997,16:00,8.18,8.49,8.18,8.31,58700.0
12/26/1997,16:00,8.43,8.90,8.43,8.78,45500.0
12/29/1997,16:00,9.38,9.38,8.18,8.18,75900.0
12/30/1997,16:00,7.71,8.18,7.36,8.18,203500.0
12/31/1997,16:00,7.83,8.66,7.83,8.66,151600.0
01/02/1998,16:00,8.31,8.46,7.83,8.13,109500.0
01/05/1998,16:00,8.18,8.66,8.18,8.31,108600.0
01/06/1998,16:00,8.43,8.43,8.07,8.18,37000.0
01/07/1998,16:00,8.54,8.54,8.07,8.25,150500.0
01/08/1998,16:00,8.54,9.13,8.31,8.54,109700.0
01/09/1998,16:00,8.43,8.78,8.31,8.54,20700.0
01/12/1998,16:00,8.31,8.66,8.31,8.31,59700.0
01/13/1998,16:00,8.31,8.54,8.31,8.31,140000.0
01/14/1998,16:00,8.54,8.54,8.31,8.43,210900.0
01/15/1998,16:00,8.36,8.49,8.36,8.43,145800.0
01/16/1998,16:00,8.43,8.43,8.31,8.43,68500.0
01/20/1998,16:00,8.43,8.54,8.36,8.54,165600.0
01/21/1998,16:00,8.54,8.54,8.43,8.49,7300.0
01/22/1998,16:00,8.49,8.49,8.18,8.18,26100.0
01/23/1998,16:00,8.18,8.18,7.59,7.95,62600.0
01/26/1998,16:00,7.83,8.07,7.71,7.77,23600.0
01/27/1998,16:00,7.77,7.95,7.59,7.83,263500.0
01/28/1998,16:00,7.95,7.95,7.83,7.95,14800.0
01/29/1998,16:00,7.83,8.66,7.83,8.18,103800.0
01/30/1998,16:00,8.18,8.43,7.95,8.18,43700.0
02/02/1998,16:00,8.18,8.54,8.18,8.54,9900.0
02/03/1998,16:00,8.07,8.49,8.07,8.49,70200.0
02/04/1998,16:00,8.49,8.60,8.43,8.49,425600.0
02/05/1998,16:00,8.54,8.54,7.71,7.71,92100.0
02/06/1998,16:00,7.83,8.07,7.83,7.95,13700.0
02/09/1998,16:00,8.07,8.18,7.59,7.59,162800.0
02/10/1998,16:00,7.59,8.01,7.59,7.89,37400.0
02/11/1998,16:00,7.83,8.01,7.83,7.95,85800.0
02/12/1998,16:00,7.95,8.31,7.83,8.31,49900.0
02/13/1998,16:00,8.31,8.54,8.18,8.43,129500.0
02/17/1998,16:00,8.43,8.49,8.31,8.43,42500.0
02/18/1998,16:00,8.49,8.54,8.31,8.43,305300.0
02/19/1998,16:00,8.43,8.49,7.95,8.07,96800.0
02/20/1998,16:00,8.18,8.18,7.95,7.95,17700.0
02/23/1998,16:00,8.07,8.18,7.95,8.18,10000.0
02/24/1998,16:00,7.95,8.18,7.89,8.01,226100.0
02/25/1998,16:00,8.18,8.18,8.07,8.07,12000.0
02/26/1998,16:00,8.07,8.07,7.83,7.83,39200.0
02/27/1998,16:00,7.95,8.07,7.89,8.01,32300.0
