Date,Time,Open,High,Low,Close,Vol
07/17/1997,16:00,0.82,0.87,0.79,0.82,7633600.0
07/18/1997,16:00,0.81,0.84,0.79,0.80,1872000.0
07/21/1997,16:00,0.80,0.81,0.79,0.80,958400.0
07/22/1997,16:00,0.79,0.81,0.78,0.79,611200.0
07/23/1997,16:00,0.79,0.80,0.79,0.79,350400.0
07/24/1997,16:00,0.79,0.80,0.79,0.79,568000.0
07/25/1997,16:00,0.79,0.81,0.79,0.80,817600.0
07/28/1997,16:00,0.79,0.80,0.79,0.79,584000.0
07/29/1997,16:00,0.79,0.79,0.77,0.77,348800.0
07/30/1997,16:00,0.79,0.80,0.77,0.78,116800.0
07/31/1997,16:00,0.79,0.81,0.79,0.81,960000.0
08/01/1997,16:00,0.80,0.81,0.80,0.81,318400.0
08/04/1997,16:00,0.80,0.82,0.80,0.82,356800.0
08/05/1997,16:00,0.82,0.84,0.81,0.84,268800.0
08/06/1997,16:00,0.81,0.83,0.81,0.82,307200.0
08/07/1997,16:00,0.81,0.82,0.81,0.81,129600.0
08/08/1997,16:00,0.81,0.82,0.80,0.82,392000.0
08/11/1997,16:00,0.80,0.82,0.80,0.80,505600.0
08/12/1997,16:00,0.81,0.82,0.80,0.80,272000.0
08/13/1997,16:00,0.80,0.82,0.80,0.80,177600.0
08/14/1997,16:00,0.80,0.81,0.80,0.80,243200.0
08/15/1997,16:00,0.80,0.81,0.79,0.79,121600.0
08/18/1997,16:00,0.79,0.80,0.79,0.79,46400.0
08/19/1997,16:00,0.79,0.80,0.79,0.79,99200.0
08/20/1997,16:00,0.80,0.81,0.80,0.81,96000.0
08/21/1997,16:00,0.80,0.81,0.80,0.80,60800.0
08/22/1997,16:00,0.80,0.81,0.79,0.80,105600.0
08/25/1997,16:00,0.79,0.81,0.79,0.80,342400.0
08/26/1997,16:00,0.79,0.80,0.79,0.80,36800.0
08/27/1997,16:00,0.80,0.80,0.79,0.79,40000.0
08/28/1997,16:00,0.80,0.80,0.79,0.79,104000.0
08/29/1997,16:00,0.79,0.80,0.79,0.79,147200.0
09/02/1997,16:00,0.80,0.80,0.80,0.80,160000.0
09/03/1997,16:00,0.80,0.80,0.80,0.80,150400.0
09/04/1997,16:00,0.80,0.80,0.80,0.80,174400.0
09/05/1997,16:00,0.80,0.82,0.80,0.81,104000.0
09/08/1997,16:00,0.80,0.81,0.80,0.80,161600.0
09/09/1997,16:00,0.80,0.81,0.80,0.80,83200.0
09/10/1997,16:00,0.81,0.81,0.80,0.80,59200.0
09/11/1997,16:00,0.80,0.80,0.79,0.80,171200.0
09/12/1997,16:00,0.79,0.80,0.79,0.80,19200.0
09/15/1997,16:00,0.80,0.81,0.79,0.80,120000.0
09/16/1997,16:00,0.80,0.81,0.80,0.81,115200.0
09/17/1997,16:00,0.81,0.81,0.81,0.81,422400.0
09/18/1997,16:00,0.81,0.82,0.81,0.81,678400.0
09/19/1997,16:00,0.82,0.82,0.81,0.81,131200.0
09/22/1997,16:00,0.82,0.82,0.81,0.82,982400.0
09/23/1997,16:00,0.82,0.84,0.82,0.82,369600.0
09/24/1997,16:00,0.84,0.87,0.82,0.86,334400.0
09/25/1997,16:00,0.88,0.89,0.86,0.89,166400.0
09/26/1997,16:00,0.90,0.93,0.88,0.91,595200.0
09/29/1997,16:00,0.91,0.91,0.90,0.90,430400.0
09/30/1997,16:00,0.91,0.91,0.88,0.88,345600.0
10/01/1997,16:00,0.89,0.89,0.87,0.88,14400.0
10/02/1997,16:00,0.88,0.89,0.88,0.89,43200.0
10/03/1997,16:00,0.89,0.90,0.89,0.90,248000.0
10/06/1997,16:00,0.90,0.91,0.89,0.89,763200.0
10/07/1997,16:00,0.89,0.89,0.88,0.89,241600.0
10/08/1997,16:00,0.88,0.89,0.87,0.89,283200.0
10/09/1997,16:00,0.89,0.96,0.89,0.94,1059200.0
10/10/1997,16:00,0.94,0.95,0.91,0.93,224000.0
10/13/1997,16:00,0.95,1.00,0.95,1.00,395200.0
10/14/1997,16:00,1.00,1.00,0.97,0.97,499200.0
10/15/1997,16:00,0.97,0.98,0.97,0.97,355200.0
10/16/1997,16:00,0.98,0.98,0.97,0.98,288000.0
10/17/1997,16:00,0.98,0.98,0.97,0.97,180800.0
10/20/1997,16:00,0.98,0.98,0.97,0.98,153600.0
10/21/1997,16:00,0.98,1.00,0.97,0.99,192000.0
10/22/1997,16:00,1.00,1.00,0.98,0.98,128000.0
10/23/1997,16:00,0.98,0.98,0.97,0.98,48000.0
