Date,Time,Open,High,Low,Close,Vol
06/15/2011,16:00,20.0,26.0,17.35,17.42,42152400.0
06/16/2011,16:00,16.99,16.99,12.99,13.26,15300400.0
06/17/2011,16:00,13.0,13.6,12.16,13.4,4813900.0
06/20/2011,16:00,13.36,15.39,13.27,14.61,3073000.0
06/21/2011,16:00,15.22,15.35,13.27,13.5,3316100.0
06/22/2011,16:00,14.07,14.18,13.02,13.34,2030000.0
06/23/2011,16:00,13.23,14.12,13.08,14.0,1486100.0
06/24/2011,16:00,14.4,15.37,14.02,15.37,1447300.0
06/27/2011,16:00,15.55,17.19,15.55,16.52,2410000.0
06/28/2011,16:00,17.18,18.0,16.95,17.5,2067200.0
06/29/2011,16:00,18.5,18.94,17.12,17.5,2407300.0
06/30/2011,16:00,18.51,19.0,18.0,18.91,1322500.0
07/01/2011,16:00,19.46,21.2,18.97,20.04,3383400.0
07/05/2011,16:00,20.45,20.45,18.7,19.02,1555900.0
07/06/2011,16:00,18.9,19.0,17.61,18.37,2101400.0
07/07/2011,16:00,19.07,19.25,18.63,18.98,1051700.0
07/08/2011,16:00,18.34,19.6,18.3,19.27,1128400.0
07/11/2011,16:00,18.78,19.79,18.38,19.26,1082500.0
07/12/2011,16:00,19.1,19.1,17.97,18.05,840700.0
07/13/2011,16:00,18.47,18.58,17.66,17.93,777300.0
07/14/2011,16:00,18.12,18.13,16.65,17.79,1676300.0
07/15/2011,16:00,18.05,18.25,17.15,17.78,804300.0
07/18/2011,16:00,17.13,17.52,16.67,16.95,1022000.0
07/19/2011,16:00,16.98,17.37,16.84,17.23,436700.0
07/20/2011,16:00,17.63,17.95,17.0,17.8,668300.0
07/21/2011,16:00,18.15,19.06,17.96,18.76,892900.0
07/22/2011,16:00,18.6,18.6,17.85,18.03,554500.0
07/25/2011,16:00,18.75,18.75,17.5,17.81,1069500.0
07/26/2011,16:00,18.0,18.13,17.2,17.28,834200.0
07/27/2011,16:00,17.2,17.25,16.5,16.62,532800.0
07/28/2011,16:00,16.58,16.85,15.88,16.18,980000.0
07/29/2011,16:00,15.95,15.97,14.68,15.09,2522600.0
08/01/2011,16:00,16.43,16.7,13.7,14.32,3148600.0
08/02/2011,16:00,14.3,14.37,13.51,13.96,1442700.0
08/03/2011,16:00,14.13,14.13,13.0,13.41,1929300.0
08/04/2011,16:00,13.24,13.95,13.13,13.63,1470200.0
08/05/2011,16:00,14.08,14.17,13.2,13.52,853100.0
08/08/2011,16:00,12.63,13.0,12.25,12.49,1278000.0
08/09/2011,16:00,12.79,13.22,11.0,11.73,1763400.0
08/10/2011,16:00,11.87,11.97,11.18,11.8,480300.0
08/11/2011,16:00,12.43,12.77,12.05,12.24,560700.0
08/12/2011,16:00,12.84,12.89,12.2,12.77,437400.0
08/15/2011,16:00,13.39,13.5,12.88,13.27,501600.0
08/16/2011,16:00,13.46,14.09,13.05,13.79,653600.0
08/17/2011,16:00,14.25,14.55,14.0,14.47,580200.0
08/18/2011,16:00,14.15,14.15,12.14,12.91,1035200.0
08/19/2011,16:00,12.63,13.48,12.51,13.02,726000.0
08/22/2011,16:00,13.59,13.59,11.63,12.15,1416500.0
08/23/2011,16:00,12.69,12.69,11.25,12.1,654700.0
08/24/2011,16:00,12.08,12.41,11.9,12.07,695000.0
08/25/2011,16:00,12.15,12.49,11.42,12.47,1646400.0
08/26/2011,16:00,13.14,13.9,12.7,13.41,3638200.0
08/29/2011,16:00,14.02,14.2,13.42,13.8,1028200.0
08/30/2011,16:00,13.91,14.1,13.45,13.8,584700.0
08/31/2011,16:00,13.98,14.0,12.82,13.2,1164900.0
09/01/2011,16:00,13.31,13.31,12.55,12.79,683800.0
09/02/2011,16:00,12.43,12.56,11.9,12.07,734800.0
09/06/2011,16:00,11.75,12.26,11.7,12.12,520000.0
09/07/2011,16:00,12.36,12.58,12.3,12.37,498300.0
09/08/2011,16:00,12.26,12.31,11.01,11.02,1628600.0
09/09/2011,16:00,11.15,11.55,10.33,10.38,1533700.0
09/12/2011,16:00,10.25,10.49,9.33,9.87,1627900.0
09/13/2011,16:00,9.9,10.45,9.9,10.22,1016100.0
09/14/2011,16:00,10.35,10.49,9.99,10.19,635400.0
09/15/2011,16:00,10.11,10.39,9.94,10.29,786700.0
09/16/2011,16:00,10.3,10.45,10.08,10.21,548600.0
09/19/2011,16:00,9.88,10.92,9.8,10.82,781600.0
09/20/2011,16:00,10.9,10.95,10.42,10.51,640200.0
09/21/2011,16:00,10.33,10.61,9.8,10.01,827800.0
09/22/2011,16:00,9.8,10.24,9.68,10.05,1225600.0
09/23/2011,16:00,10.5,11.19,10.28,10.75,889800.0
09/26/2011,16:00,11.1,11.4,10.76,11.4,656100.0
09/27/2011,16:00,11.87,12.24,11.66,12.09,765500.0
09/28/2011,16:00,12.19,12.82,12.17,12.82,772200.0
09/29/2011,16:00,12.98,13.6,12.56,13.28,1078600.0
09/30/2011,16:00,13.03,14.65,12.3,14.65,2210600.0
10/03/2011,16:00,13.56,14.29,12.26,13.35,888900.0
10/04/2011,16:00,13.48,13.48,11.7,12.5,752700.0
10/05/2011,16:00,12.5,12.52,12.01,12.15,310800.0
10/06/2011,16:00,12.05,13.2,12.05,13.18,575700.0
10/07/2011,16:00,13.18,13.4,12.6,13.11,409600.0
10/10/2011,16:00,13.33,13.6,13.1,13.43,326700.0
10/11/2011,16:00,13.45,14.49,13.11,14.28,475500.0
10/12/2011,16:00,14.5,14.75,14.06,14.14,573900.0
10/13/2011,16:00,14.07,15.0,14.07,14.76,653200.0
10/14/2011,16:00,15.08,15.66,14.91,15.3,1016100.0
