Date,Time,Open,High,Low,Close,Vol
06/01/1972,16:00,3.77,3.77,3.76,3.77,40400.0
06/02/1972,16:00,3.77,3.79,3.76,3.79,25400.0
06/05/1972,16:00,3.79,3.79,3.74,3.76,142800.0
06/06/1972,16:00,3.76,3.76,3.72,3.74,63000.0
06/07/1972,16:00,3.74,3.74,3.69,3.72,48000.0
06/08/1972,16:00,3.72,3.74,3.71,3.71,17800.0
06/09/1972,16:00,3.71,3.72,3.67,3.69,71600.0
06/12/1972,16:00,3.69,3.71,3.66,3.66,30600.0
06/13/1972,16:00,3.66,3.67,3.62,3.64,47800.0
06/14/1972,16:00,3.64,3.64,3.57,3.57,49400.0
06/15/1972,16:00,3.61,3.66,3.61,3.64,42400.0
06/16/1972,16:00,3.64,3.69,3.64,3.66,33800.0
06/19/1972,16:00,3.66,3.66,3.61,3.64,11400.0
06/20/1972,16:00,3.64,3.72,3.62,3.69,27600.0
06/21/1972,16:00,3.69,3.72,3.67,3.67,36200.0
06/22/1972,16:00,3.67,3.72,3.64,3.67,48400.0
06/23/1972,16:00,3.67,3.72,3.64,3.64,37800.0
06/26/1972,16:00,3.64,3.66,3.56,3.61,43000.0
06/27/1972,16:00,3.61,3.62,3.56,3.57,37400.0
06/28/1972,16:00,3.57,3.59,3.54,3.56,62200.0
06/29/1972,16:00,3.56,3.59,3.54,3.59,36200.0
06/30/1972,16:00,3.59,3.59,3.56,3.57,27400.0
07/03/1972,16:00,3.57,3.64,3.56,3.64,97200.0
07/05/1972,16:00,3.64,3.67,3.62,3.66,111000.0
07/06/1972,16:00,3.66,3.71,3.64,3.67,99200.0
07/07/1972,16:00,3.67,3.72,3.67,3.72,23600.0
07/10/1972,16:00,3.72,3.77,3.69,3.74,41400.0
07/11/1972,16:00,3.74,3.77,3.69,3.69,28800.0
07/12/1972,16:00,3.69,3.71,3.67,3.71,34800.0
07/13/1972,16:00,3.69,3.69,3.66,3.69,39800.0
07/14/1972,16:00,3.69,3.69,3.66,3.66,15800.0
07/17/1972,16:00,3.66,3.67,3.61,3.62,24800.0
07/18/1972,16:00,3.62,3.64,3.57,3.59,27800.0
07/19/1972,16:00,3.59,3.66,3.59,3.61,24200.0
07/20/1972,16:00,3.59,3.59,3.52,3.57,33800.0
07/21/1972,16:00,3.57,3.61,3.56,3.59,80800.0
07/24/1972,16:00,3.59,3.59,3.56,3.59,33200.0
07/25/1972,16:00,3.59,3.59,3.56,3.59,46000.0
07/26/1972,16:00,3.59,3.59,3.56,3.57,65600.0
07/27/1972,16:00,3.57,3.59,3.56,3.56,26200.0
07/28/1972,16:00,3.56,3.57,3.56,3.57,28400.0
07/31/1972,16:00,3.57,3.62,3.57,3.61,37400.0
08/01/1972,16:00,3.61,3.62,3.57,3.62,49400.0
08/02/1972,16:00,3.62,3.67,3.61,3.61,48600.0
08/03/1972,16:00,3.61,3.66,3.61,3.64,27800.0
08/04/1972,16:00,3.64,3.64,3.61,3.64,36600.0
08/07/1972,16:00,3.64,3.66,3.61,3.64,19600.0
08/08/1972,16:00,3.62,3.62,3.59,3.61,23200.0
08/09/1972,16:00,3.61,3.62,3.59,3.61,24600.0
08/10/1972,16:00,3.61,3.62,3.57,3.59,31200.0
08/11/1972,16:00,3.59,3.64,3.59,3.62,67200.0
08/14/1972,16:00,3.62,3.64,3.62,3.64,17000.0
08/15/1972,16:00,3.64,3.72,3.62,3.69,46200.0
08/16/1972,16:00,3.69,3.71,3.67,3.71,17400.0
08/17/1972,16:00,3.71,3.79,3.71,3.79,10600.0
08/18/1972,16:00,3.82,4.01,3.82,3.96,44000.0
08/21/1972,16:00,3.96,4.02,3.91,3.96,37000.0
08/22/1972,16:00,3.96,4.01,3.96,4.01,37200.0
08/23/1972,16:00,4.01,4.02,3.99,4.01,39600.0
08/24/1972,16:00,4.01,4.06,3.97,3.97,53200.0
08/25/1972,16:00,3.97,3.97,3.91,3.92,268200.0
08/28/1972,16:00,3.92,3.94,3.86,3.86,21400.0
08/29/1972,16:00,3.86,3.91,3.81,3.91,42400.0
08/30/1972,16:00,3.91,3.92,3.84,3.89,94200.0
08/31/1972,16:00,3.89,3.94,3.89,3.92,13600.0
09/01/1972,16:00,3.92,3.92,3.89,3.92,20000.0
09/05/1972,16:00,3.92,3.96,3.89,3.94,46000.0
09/06/1972,16:00,3.94,3.94,3.91,3.92,20400.0
09/07/1972,16:00,3.92,3.94,3.91,3.91,12000.0
09/08/1972,16:00,3.91,3.92,3.91,3.92,8200.0
09/11/1972,16:00,3.92,3.92,3.87,3.91,17800.0
09/12/1972,16:00,3.89,3.89,3.86,3.89,41200.0
09/13/1972,16:00,3.89,3.89,3.86,3.86,82800.0
09/14/1972,16:00,3.86,3.86,3.79,3.79,127600.0
09/15/1972,16:00,3.79,3.82,3.76,3.81,13200.0
09/18/1972,16:00,3.81,3.81,3.79,3.81,15000.0
09/19/1972,16:00,3.81,3.81,3.76,3.79,122400.0
09/20/1972,16:00,3.79,3.86,3.77,3.81,34600.0
09/21/1972,16:00,3.81,3.87,3.81,3.84,134600.0
09/22/1972,16:00,3.84,3.89,3.84,3.89,51800.0
09/25/1972,16:00,3.89,3.96,3.89,3.91,19800.0
09/26/1972,16:00,3.91,3.96,3.89,3.91,20000.0
09/27/1972,16:00,3.91,3.99,3.89,3.99,41800.0
09/28/1972,16:00,3.99,3.99,3.92,3.97,10600.0
09/29/1972,16:00,3.96,3.96,3.91,3.92,123800.0
10/02/1972,16:00,3.92,3.96,3.91,3.92,11200.0
10/03/1972,16:00,3.92,3.94,3.89,3.94,15600.0
10/04/1972,16:00,3.94,3.94,3.89,3.92,15800.0
10/05/1972,16:00,3.92,3.96,3.91,3.96,14400.0
10/06/1972,16:00,3.96,3.96,3.91,3.94,16400.0
10/09/1972,16:00,3.94,3.96,3.91,3.91,10400.0
10/10/1972,16:00,3.91,3.92,3.91,3.92,11600.0
10/11/1972,16:00,3.92,3.99,3.91,3.97,19400.0
10/12/1972,16:00,3.97,3.99,3.96,3.97,50800.0
10/13/1972,16:00,3.97,3.99,3.97,3.97,12800.0
10/16/1972,16:00,3.97,3.99,3.96,3.97,14400.0
