Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,0.56,0.56,0.56,0.56,3000.0
03/27/1990,16:00,0.56,0.56,0.56,0.56,6500.0
03/28/1990,16:00,0.56,0.62,0.56,0.62,7500.0
03/29/1990,16:00,0.56,0.56,0.56,0.56,3300.0
03/30/1990,16:00,0.56,0.56,0.56,0.56,0.0
04/02/1990,16:00,0.62,0.62,0.56,0.56,8500.0
04/03/1990,16:00,0.56,0.56,0.56,0.56,1300.0
04/04/1990,16:00,0.56,0.56,0.56,0.56,0.0
04/05/1990,16:00,0.56,0.56,0.56,0.56,0.0
04/06/1990,16:00,0.56,0.56,0.56,0.56,100.0
04/09/1990,16:00,0.56,0.56,0.56,0.56,2500.0
04/10/1990,16:00,0.56,0.56,0.37,0.43,16000.0
04/11/1990,16:00,0.53,0.53,0.37,0.53,5200.0
04/12/1990,16:00,0.53,0.53,0.37,0.53,37200.0
04/16/1990,16:00,0.43,0.53,0.43,0.43,1900.0
04/17/1990,16:00,0.43,0.43,0.43,0.43,5000.0
04/18/1990,16:00,0.53,0.53,0.43,0.43,7000.0
04/19/1990,16:00,0.44,0.44,0.44,0.44,0.0
04/20/1990,16:00,0.43,0.56,0.43,0.56,1200.0
04/23/1990,16:00,0.43,0.43,0.43,0.43,5000.0
04/24/1990,16:00,0.43,0.43,0.43,0.43,1000.0
04/25/1990,16:00,0.5,0.5,0.5,0.5,5000.0
04/26/1990,16:00,0.5,0.5,0.5,0.5,0.0
04/27/1990,16:00,0.5,0.5,0.5,0.5,0.0
04/30/1990,16:00,0.5,0.5,0.5,0.5,0.0
05/01/1990,16:00,0.43,0.43,0.43,0.43,200.0
05/02/1990,16:00,0.43,0.43,0.43,0.43,200.0
05/03/1990,16:00,0.44,0.44,0.44,0.44,0.0
05/04/1990,16:00,0.44,0.44,0.44,0.44,0.0
05/07/1990,16:00,0.43,0.43,0.43,0.43,2200.0
05/08/1990,16:00,0.44,0.44,0.44,0.44,0.0
05/09/1990,16:00,0.43,0.43,0.43,0.43,100.0
05/10/1990,16:00,0.56,0.56,0.43,0.43,2900.0
05/11/1990,16:00,0.43,0.43,0.43,0.43,2500.0
05/14/1990,16:00,0.62,0.62,0.62,0.62,6000.0
05/15/1990,16:00,0.43,0.43,0.43,0.43,600.0
05/16/1990,16:00,0.44,0.44,0.44,0.44,0.0
05/17/1990,16:00,0.43,0.68,0.43,0.43,8600.0
05/18/1990,16:00,0.43,0.43,0.43,0.43,12400.0
05/21/1990,16:00,0.44,0.44,0.44,0.44,0.0
05/22/1990,16:00,0.43,0.62,0.43,0.62,6000.0
05/23/1990,16:00,0.43,0.43,0.43,0.43,2500.0
05/24/1990,16:00,0.43,0.62,0.43,0.62,6600.0
05/25/1990,16:00,0.62,0.62,0.62,0.62,0.0
05/29/1990,16:00,0.43,0.43,0.43,0.43,900.0
05/30/1990,16:00,0.43,0.43,0.43,0.43,300.0
05/31/1990,16:00,0.43,0.43,0.43,0.43,200.0
06/01/1990,16:00,0.44,0.44,0.44,0.44,0.0
06/04/1990,16:00,0.44,0.44,0.44,0.44,0.0
06/05/1990,16:00,0.43,0.43,0.43,0.43,5000.0
06/06/1990,16:00,0.43,0.5,0.43,0.5,2400.0
06/07/1990,16:00,0.43,0.43,0.43,0.43,100.0
06/08/1990,16:00,0.44,0.44,0.44,0.44,0.0
06/11/1990,16:00,0.43,0.43,0.43,0.43,1000.0
06/12/1990,16:00,0.5,0.5,0.5,0.5,2000.0
06/13/1990,16:00,0.43,0.56,0.43,0.43,2300.0
06/14/1990,16:00,0.43,0.56,0.43,0.43,3100.0
06/15/1990,16:00,0.43,0.43,0.43,0.43,9800.0
06/18/1990,16:00,0.5,0.5,0.43,0.43,11300.0
06/19/1990,16:00,0.43,0.5,0.43,0.5,11700.0
06/20/1990,16:00,0.46,0.46,0.46,0.46,1000.0
06/21/1990,16:00,0.5,0.5,0.5,0.5,2000.0
06/22/1990,16:00,0.5,0.5,0.46,0.46,18900.0
06/25/1990,16:00,0.5,0.5,0.5,0.5,0.0
06/26/1990,16:00,0.43,0.43,0.43,0.43,2200.0
06/27/1990,16:00,0.56,0.56,0.56,0.56,1000.0
06/28/1990,16:00,0.46,0.5,0.46,0.5,6800.0
06/29/1990,16:00,0.46,0.46,0.37,0.46,29000.0
07/02/1990,16:00,0.5,0.5,0.5,0.5,1000.0
