Date,Time,Open,High,Low,Close,Vol
06/27/2013,16:00,7.0,9.1,6.56,8.26,630400.0
06/28/2013,16:00,8.48,8.49,7.5,7.56,181500.0
07/01/2013,16:00,7.26,7.55,7.26,7.5,14600.0
07/02/2013,16:00,7.31,8.24,7.3,7.83,29400.0
07/03/2013,16:00,8.09,8.1,7.81,8.0,8600.0
07/05/2013,16:00,8.73,9.25,8.19,8.97,28500.0
07/08/2013,16:00,9.5,10.32,9.14,9.82,47400.0
07/09/2013,16:00,10.0,10.2,9.54,9.58,28200.0
07/10/2013,16:00,9.46,9.98,9.1,9.4,16000.0
07/11/2013,16:00,9.51,9.51,8.26,8.76,30600.0
07/12/2013,16:00,8.5,8.60,8.1,8.51,60200.0
07/15/2013,16:00,8.5,8.63,8.15,8.25,32600.0
07/16/2013,16:00,8.52,10.0,8.25,9.56,47300.0
07/17/2013,16:00,9.97,9.97,9.18,9.8,8800.0
07/18/2013,16:00,9.87,9.93,9.55,9.57,21200.0
07/19/2013,16:00,9.61,10.3,9.57,10.12,106200.0
07/22/2013,16:00,10.12,10.4,9.4,9.4,61000.0
07/23/2013,16:00,10.0,10.4,9.83,10.0,26300.0
07/24/2013,16:00,10.02,10.25,9.85,9.86,14600.0
07/25/2013,16:00,10.67,10.67,9.7,10.0,16000.0
07/26/2013,16:00,10.27,10.45,9.53,9.55,24100.0
07/29/2013,16:00,9.5,9.73,8.71,9.26,10400.0
07/30/2013,16:00,9.01,9.24,8.75,9.2,11900.0
07/31/2013,16:00,9.20,9.5,9.07,9.31,5800.0
08/01/2013,16:00,9.4,9.45,9.01,9.4,4500.0
08/02/2013,16:00,9.99,9.99,9.32,9.5,13000.0
08/05/2013,16:00,9.49,9.9,9.49,9.75,4800.0
08/06/2013,16:00,10.0,10.0,9.52,9.76,2600.0
08/07/2013,16:00,9.98,9.98,9.52,9.7,2800.0
08/08/2013,16:00,9.53,9.8,9.52,9.56,1000.0
08/09/2013,16:00,9.85,9.85,9.64,9.74,2700.0
08/12/2013,16:00,9.81,9.96,9.52,9.52,6300.0
08/13/2013,16:00,9.75,9.75,8.75,8.94,10300.0
08/14/2013,16:00,8.85,9.26,8.85,8.94,12100.0
08/15/2013,16:00,8.97,9.0,8.87,9.0,4900.0
08/16/2013,16:00,8.9,9.0,8.8,8.9,6400.0
08/19/2013,16:00,8.81,9.08,8.75,8.75,7200.0
08/20/2013,16:00,8.89,8.9,8.66,8.84,1300.0
08/21/2013,16:00,8.87,8.99,8.69,8.99,4100.0
08/22/2013,16:00,9.0,9.06,8.85,8.9,4200.0
08/23/2013,16:00,8.82,8.95,8.76,8.84,2500.0
08/26/2013,16:00,8.68,9.10,8.6,9.04,7700.0
08/27/2013,16:00,9.05,9.05,8.86,8.89,4300.0
08/28/2013,16:00,8.98,9.0,8.87,8.92,9100.0
08/29/2013,16:00,9.00,9.1,8.93,9.1,5800.0
08/30/2013,16:00,8.99,9.03,8.07,8.17,11100.0
09/03/2013,16:00,8.7,9.0,8.21,8.55,9900.0
09/04/2013,16:00,8.53,9.0,8.21,8.62,22900.0
09/05/2013,16:00,8.59,8.78,8.56,8.78,1100.0
09/06/2013,16:00,8.71,8.9,8.26,8.9,1800.0
09/09/2013,16:00,9.25,9.95,9.04,9.22,19500.0
09/10/2013,16:00,9.36,9.99,9.36,9.79,13300.0
09/11/2013,16:00,9.98,10.5,9.78,10.25,24900.0
09/12/2013,16:00,10.25,12.5,10.25,11.82,111900.0
09/13/2013,16:00,11.84,15.12,11.58,13.97,81300.0
09/16/2013,16:00,14.86,16.06,14.39,14.99,156600.0
09/17/2013,16:00,14.83,15.48,14.33,15.03,58600.0
09/18/2013,16:00,15.12,15.58,14.76,15.09,387200.0
09/19/2013,16:00,15.23,16.47,14.84,15.91,383100.0
09/20/2013,16:00,17.29,17.29,14.4,14.75,94500.0
09/23/2013,16:00,14.9,17.94,14.86,17.36,114100.0
09/24/2013,16:00,18.09,20.58,17.87,19.22,145700.0
09/25/2013,16:00,19.5,20.0,18.51,18.62,106400.0
09/26/2013,16:00,18.85,18.85,15.2,15.33,120000.0
09/27/2013,16:00,15.0,16.58,15.0,16.57,98200.0
09/30/2013,16:00,16.54,18.17,15.2,16.34,906500.0
10/01/2013,16:00,16.51,18.5,16.51,18.33,85400.0
10/02/2013,16:00,18.82,18.82,17.0,18.02,38600.0
10/03/2013,16:00,17.94,18.71,17.38,18.2,38800.0
10/04/2013,16:00,18.15,19.7,18.15,19.13,68700.0
10/07/2013,16:00,19.0,19.96,18.52,19.34,37300.0
10/08/2013,16:00,19.3,19.98,17.71,17.91,83800.0
10/09/2013,16:00,17.95,19.04,17.58,18.52,116200.0
10/10/2013,16:00,18.89,21.49,18.21,21.17,68300.0
10/11/2013,16:00,21.18,24.9,20.58,23.49,138900.0
10/14/2013,16:00,23.49,26.66,23.49,25.45,271200.0
10/15/2013,16:00,26.01,28.3,25.52,27.67,311400.0
