Date,Time,Open,High,Low,Close,Vol
05/09/2013,16:00,18.25,19.39,18.15,19.1,6508200.0
05/10/2013,16:00,19.07,20.01,18.86,19.6,372700.0
05/13/2013,16:00,20.14,20.2,19.14,19.31,635400.0
05/14/2013,16:00,19.15,19.92,19.09,19.51,281600.0
05/15/2013,16:00,19.5,19.8,19.4,19.71,85300.0
05/16/2013,16:00,19.73,20.12,19.73,20.03,180700.0
05/17/2013,16:00,20.2,20.26,19.99,20.0,363300.0
05/20/2013,16:00,20.35,22.1,20.25,21.66,464000.0
05/21/2013,16:00,21.85,22.8,21.69,22.45,284900.0
05/22/2013,16:00,22.55,23.33,21.63,21.64,387700.0
05/23/2013,16:00,21.62,22.21,20.91,22.08,278200.0
05/24/2013,16:00,22.06,22.06,21.53,21.67,254200.0
05/28/2013,16:00,22.0,22.0,21.51,21.52,285100.0
05/29/2013,16:00,21.4,21.43,20.98,21.19,327200.0
05/30/2013,16:00,21.15,22.05,21.02,21.98,188400.0
05/31/2013,16:00,21.85,21.99,21.65,21.8,123600.0
06/03/2013,16:00,22.0,22.0,20.85,21.14,152500.0
06/04/2013,16:00,21.14,21.51,20.79,21.44,67600.0
06/05/2013,16:00,21.45,21.5,21.15,21.39,36100.0
06/06/2013,16:00,21.39,21.39,20.96,21.0,31900.0
06/07/2013,16:00,21.03,21.05,20.21,20.48,155600.0
06/10/2013,16:00,20.4,20.48,20.16,20.45,127000.0
06/11/2013,16:00,20.25,20.5,20.1,20.4,79000.0
06/12/2013,16:00,20.5,21.08,20.5,21.01,128500.0
06/13/2013,16:00,20.97,21.03,20.5,21.03,285100.0
06/14/2013,16:00,21.0,21.2,20.92,21.02,43800.0
06/17/2013,16:00,21.07,21.79,21.07,21.61,81600.0
06/18/2013,16:00,21.59,21.9,21.59,21.85,136400.0
06/19/2013,16:00,21.83,22.14,21.75,21.8,115900.0
06/20/2013,16:00,21.57,21.64,21.21,21.42,113600.0
06/21/2013,16:00,21.49,21.55,21.2,21.34,292900.0
06/24/2013,16:00,21.15,21.36,20.96,21.01,123600.0
06/25/2013,16:00,21.15,21.25,20.96,21.1,105400.0
06/26/2013,16:00,21.2,21.2,20.5,20.78,122500.0
06/27/2013,16:00,20.95,21.16,20.73,21.03,99400.0
06/28/2013,16:00,21.04,21.32,20.8,21.27,1020900.0
07/01/2013,16:00,21.29,21.35,20.99,21.22,106000.0
07/02/2013,16:00,21.16,21.34,21.06,21.31,61200.0
07/03/2013,16:00,21.14,21.29,21.03,21.15,35900.0
07/05/2013,16:00,21.25,21.3,20.5,20.6,49600.0
07/08/2013,16:00,20.61,20.66,20.24,20.41,78200.0
07/09/2013,16:00,20.47,20.83,20.43,20.74,59400.0
07/10/2013,16:00,20.69,20.75,20.6,20.72,51600.0
07/11/2013,16:00,21.03,21.03,20.72,20.9,49800.0
07/12/2013,16:00,20.9,20.9,20.34,20.34,32300.0
07/15/2013,16:00,20.32,20.34,19.61,20.15,92400.0
07/16/2013,16:00,20.18,20.25,19.89,20.0,55900.0
07/17/2013,16:00,20.01,20.06,19.86,19.93,87200.0
07/18/2013,16:00,19.95,20.05,19.81,19.95,54600.0
07/19/2013,16:00,19.9,20.06,19.9,19.97,36200.0
07/22/2013,16:00,19.93,20.07,19.86,19.97,52900.0
07/23/2013,16:00,19.84,19.95,19.64,19.85,100000.0
07/24/2013,16:00,19.85,19.95,19.64,19.85,97900.0
07/25/2013,16:00,19.88,20.1,19.73,19.9,164500.0
07/26/2013,16:00,19.83,19.84,19.1,19.12,110000.0
07/29/2013,16:00,19.12,19.61,19.01,19.59,6600.0
07/30/2013,16:00,19.68,19.68,19.27,19.46,37600.0
07/31/2013,16:00,19.47,19.69,19.28,19.6,60500.0
08/01/2013,16:00,19.72,20.0,19.57,19.97,59800.0
08/02/2013,16:00,19.98,20.0,19.72,19.76,41500.0
08/05/2013,16:00,19.63,19.91,19.51,19.8,40600.0
08/06/2013,16:00,19.7,19.72,19.53,19.63,62600.0
08/07/2013,16:00,19.63,19.63,19.29,19.39,33100.0
08/08/2013,16:00,19.49,19.49,18.36,18.99,129200.0
08/09/2013,16:00,18.89,18.94,17.98,18.11,388000.0
08/12/2013,16:00,17.98,18.08,17.52,18.02,167000.0
08/13/2013,16:00,18.0,18.07,17.9,18.07,98600.0
08/14/2013,16:00,18.02,18.25,17.85,18.12,181600.0
08/15/2013,16:00,18.01,18.12,17.53,17.62,74700.0
08/16/2013,16:00,17.59,17.71,17.15,17.3,45300.0
08/19/2013,16:00,17.31,17.47,17.1,17.1,50300.0
08/20/2013,16:00,17.12,17.21,16.7,16.82,65600.0
08/21/2013,16:00,16.82,16.82,15.79,16.21,224200.0
08/22/2013,16:00,16.15,16.27,16.02,16.27,59800.0
08/23/2013,16:00,16.2,16.4,15.87,16.1,181500.0
08/26/2013,16:00,16.07,17.08,16.07,16.98,147000.0
08/27/2013,16:00,16.9,17.0,16.63,16.72,79000.0
08/28/2013,16:00,16.72,17.29,16.54,16.8,267000.0
08/29/2013,16:00,16.76,17.4,16.76,17.34,128100.0
08/30/2013,16:00,17.29,17.38,16.86,17.07,50600.0
09/03/2013,16:00,17.16,17.3,16.7,16.9,147700.0
09/04/2013,16:00,16.88,17.67,16.8,17.5,145200.0
09/05/2013,16:00,17.41,17.5,16.73,16.78,59800.0
09/06/2013,16:00,16.85,17.4,16.45,17.32,60900.0
09/09/2013,16:00,17.31,17.98,17.04,17.54,110800.0
09/10/2013,16:00,17.55,18.1,17.55,17.8,90900.0
09/11/2013,16:00,17.74,18.02,17.74,18.0,116700.0
09/12/2013,16:00,18.0,18.15,17.9,18.03,82700.0
09/13/2013,16:00,18.11,18.91,18.03,18.89,76400.0
09/16/2013,16:00,19.05,19.07,18.65,18.75,145200.0
09/17/2013,16:00,18.75,19.0,18.6,18.91,65900.0
09/18/2013,16:00,18.95,19.25,18.89,18.94,212500.0
09/19/2013,16:00,18.97,18.97,18.47,18.59,82100.0
09/20/2013,16:00,18.68,18.94,18.46,18.68,480100.0
09/23/2013,16:00,18.6,18.93,18.59,18.78,75900.0
09/24/2013,16:00,18.85,18.85,18.46,18.7,25600.0
09/25/2013,16:00,18.66,18.68,18.4,18.66,93800.0
09/26/2013,16:00,18.62,18.92,18.5,18.87,42600.0
09/27/2013,16:00,18.81,18.98,18.72,18.9,14700.0
09/30/2013,16:00,18.76,18.89,18.57,18.79,94000.0
10/01/2013,16:00,18.86,18.86,18.48,18.58,72700.0
10/02/2013,16:00,18.46,18.77,18.21,18.28,74500.0
10/03/2013,16:00,18.14,18.27,17.65,17.84,111500.0
10/04/2013,16:00,17.74,18.05,17.71,17.78,94800.0
10/07/2013,16:00,17.71,17.82,17.6,17.68,54500.0
10/08/2013,16:00,17.75,17.88,17.62,17.67,55800.0
10/09/2013,16:00,17.67,18.01,17.67,17.77,51700.0
10/10/2013,16:00,17.94,18.3,17.91,18.27,70700.0
10/11/2013,16:00,18.28,18.28,17.86,18.04,54900.0
10/14/2013,16:00,17.99,18.12,17.87,17.96,29700.0
10/15/2013,16:00,17.35,17.36,17.02,17.17,81200.0
10/16/2013,16:00,17.19,17.36,17.05,17.08,51100.0
10/17/2013,16:00,17.08,17.32,16.9,16.95,91900.0
10/18/2013,16:00,17.08,17.08,16.96,17.04,45600.0
10/21/2013,16:00,17.0,17.05,15.88,16.18,157300.0
10/22/2013,16:00,16.25,16.6,16.17,16.26,99500.0
10/23/2013,16:00,16.24,16.55,16.21,16.41,45700.0
10/24/2013,16:00,16.37,16.5,16.27,16.35,36600.0
10/25/2013,16:00,16.43,16.57,16.03,16.13,82000.0
10/28/2013,16:00,16.17,16.2,15.75,15.96,431800.0
10/29/2013,16:00,15.97,16.07,15.9,16.06,71100.0
10/30/2013,16:00,16.08,16.15,15.95,16.02,75900.0
10/31/2013,16:00,16.01,16.23,15.95,16.1,87700.0
11/01/2013,16:00,16.07,16.82,15.95,16.71,114400.0
11/04/2013,16:00,16.7,16.77,16.27,16.73,54200.0
11/05/2013,16:00,16.64,16.64,16.35,16.5,38900.0
11/06/2013,16:00,16.48,16.72,16.33,16.71,42700.0
11/07/2013,16:00,16.7,17.55,16.48,17.53,127100.0
11/08/2013,16:00,17.5,17.68,16.9,17.15,97700.0
11/11/2013,16:00,17.01,18.25,17.01,18.02,166700.0
11/12/2013,16:00,17.94,17.94,16.82,17.01,127400.0
11/13/2013,16:00,16.91,17.01,16.56,16.87,31000.0
11/14/2013,16:00,16.89,16.94,16.45,16.5,241100.0
11/15/2013,16:00,16.47,17.3,16.45,17.07,56100.0
11/18/2013,16:00,17.15,17.43,17.05,17.32,40000.0
11/19/2013,16:00,17.27,17.47,17.08,17.16,43000.0
11/20/2013,16:00,17.15,17.29,17.0,17.11,28000.0
11/21/2013,16:00,17.18,17.68,17.18,17.46,44600.0
11/22/2013,16:00,17.53,17.79,17.36,17.53,51400.0
11/25/2013,16:00,17.59,17.7,17.4,17.46,32700.0
11/26/2013,16:00,17.56,17.65,17.21,17.23,32200.0
11/27/2013,16:00,17.25,17.73,17.15,17.62,79500.0
11/29/2013,16:00,17.68,17.97,17.46,17.9,15900.0
12/02/2013,16:00,17.89,17.92,17.05,17.44,81100.0
12/03/2013,16:00,17.37,17.58,17.11,17.39,43200.0
12/04/2013,16:00,17.3,17.89,17.3,17.75,48600.0
12/05/2013,16:00,17.66,18.19,17.39,17.54,70900.0
12/06/2013,16:00,17.68,17.84,17.46,17.65,71900.0
12/09/2013,16:00,17.71,18.15,17.37,17.8,96300.0
12/10/2013,16:00,17.83,18.16,17.77,17.86,200100.0
12/11/2013,16:00,17.83,18.06,17.58,17.74,187300.0
12/12/2013,16:00,17.74,17.75,17.32,17.58,64100.0
12/13/2013,16:00,17.57,17.75,17.51,17.72,105400.0
12/16/2013,16:00,17.73,17.98,17.53,17.95,197300.0
12/17/2013,16:00,18.01,18.02,17.61,17.72,88800.0
12/18/2013,16:00,17.66,18.25,17.58,17.78,249500.0
12/19/2013,16:00,17.8,18.05,17.62,17.83,62700.0
12/20/2013,16:00,17.93,17.93,16.86,16.88,353700.0
12/23/2013,16:00,16.9,17.14,16.78,17.05,112700.0
12/24/2013,16:00,17.04,17.37,16.91,17.18,21800.0
12/26/2013,16:00,17.2,17.9,17.2,17.67,66800.0
12/27/2013,16:00,17.75,17.94,17.74,17.89,41400.0
12/30/2013,16:00,17.83,18.11,17.76,17.86,52500.0
12/31/2013,16:00,17.83,17.83,17.28,17.55,51300.0
01/02/2014,16:00,17.56,17.76,17.39,17.73,62400.0
01/03/2014,16:00,17.71,18.16,17.57,18.07,47200.0
01/06/2014,16:00,18.1,18.2,18.01,18.16,56100.0
01/07/2014,16:00,18.17,18.74,18.13,18.41,51500.0
01/08/2014,16:00,18.44,18.62,18.39,18.53,56500.0
01/09/2014,16:00,18.5,18.67,18.2,18.32,45800.0
01/10/2014,16:00,18.0,18.08,17.04,17.35,148600.0
