Date,Time,Open,High,Low,Close,Vol
08/21/1991,16:00,12.51,12.55,12.11,12.27,233600.0
08/22/1991,16:00,12.31,12.59,12.27,12.59,158900.0
08/23/1991,16:00,12.51,12.71,12.35,12.51,259200.0
08/26/1991,16:00,12.51,12.71,12.35,12.63,237300.0
08/27/1991,16:00,12.67,12.67,12.47,12.59,117200.0
08/28/1991,16:00,12.59,12.91,12.55,12.91,214500.0
08/29/1991,16:00,12.99,13.03,12.71,12.83,152500.0
08/30/1991,16:00,12.74,12.74,12.55,12.71,168400.0
09/03/1991,16:00,12.67,12.71,12.19,12.35,194100.0
09/04/1991,16:00,12.27,12.31,12.03,12.23,324000.0
09/05/1991,16:00,12.15,12.27,11.99,12.11,260100.0
09/06/1991,16:00,12.03,12.23,11.83,12.15,438400.0
09/09/1991,16:00,11.99,12.11,11.91,12.03,205600.0
09/10/1991,16:00,11.99,12.11,11.87,11.95,130800.0
09/11/1991,16:00,12.03,12.11,11.95,12.07,198500.0
09/12/1991,16:00,12.11,12.27,12.03,12.27,202000.0
09/13/1991,16:00,12.35,12.39,11.91,11.95,314000.0
09/16/1991,16:00,11.95,12.03,11.87,12.03,201600.0
09/17/1991,16:00,12.07,12.23,11.95,11.99,492500.0
09/18/1991,16:00,11.91,11.95,11.83,11.95,107300.0
09/19/1991,16:00,11.87,12.27,11.83,12.11,122100.0
09/20/1991,16:00,11.95,12.15,11.83,12.15,626000.0
09/23/1991,16:00,12.07,12.19,11.95,11.95,176900.0
09/24/1991,16:00,11.99,12.15,11.91,12.11,140900.0
09/25/1991,16:00,12.19,12.19,12.03,12.11,67700.0
09/26/1991,16:00,11.99,12.11,11.87,12.07,139200.0
09/27/1991,16:00,11.99,12.27,11.99,12.19,134100.0
09/30/1991,16:00,12.07,12.23,12.03,12.15,179700.0
10/01/1991,16:00,12.19,12.23,11.91,11.95,194900.0
10/02/1991,16:00,11.87,12.15,11.87,11.99,122100.0
10/03/1991,16:00,11.91,12.03,11.83,11.83,112500.0
10/04/1991,16:00,11.87,11.95,11.67,11.71,114400.0
10/07/1991,16:00,11.63,11.71,11.31,11.39,174100.0
10/08/1991,16:00,11.40,11.76,11.32,11.67,188800.0
