Date,Time,Open,High,Low,Close,Vol
07/19/1984,16:00,1.60,1.61,1.58,1.58,170399.99999999
07/20/1984,16:00,1.59,1.61,1.56,1.56,51399.999999997
07/23/1984,16:00,1.54,1.55,1.48,1.50,628799.99999997
07/24/1984,16:00,1.50,1.55,1.50,1.54,223199.99999999
07/25/1984,16:00,1.55,1.55,1.52,1.55,393599.99999998
07/26/1984,16:00,1.55,1.56,1.55,1.56,259399.99999999
07/27/1984,16:00,1.58,1.68,1.58,1.68,153799.99999999
07/30/1984,16:00,1.66,1.68,1.61,1.61,76799.999999996
07/31/1984,16:00,1.62,1.63,1.61,1.62,55199.999999997
08/01/1984,16:00,1.61,1.66,1.61,1.66,508799.99999997
08/02/1984,16:00,1.66,1.78,1.66,1.77,483399.99999998
08/03/1984,16:00,1.79,1.95,1.79,1.94,655399.99999997
08/06/1984,16:00,2.00,2.03,1.97,2.00,487399.99999998
08/07/1984,16:00,1.99,2.02,1.99,2.01,269799.99999999
08/08/1984,16:00,2.03,2.03,1.93,1.93,388799.99999998
08/09/1984,16:00,1.91,1.93,1.88,1.93,297799.99999999
08/10/1984,16:00,2.02,2.06,2.00,2.01,408199.99999998
08/13/1984,16:00,1.99,2.04,1.97,2.03,259399.99999999
08/14/1984,16:00,2.02,2.03,1.97,1.97,116199.99999999
08/15/1984,16:00,1.93,1.95,1.91,1.93,280799.99999999
08/16/1984,16:00,1.90,1.97,1.89,1.95,266599.99999999
08/17/1984,16:00,1.97,1.99,1.93,1.98,60999.999999997
08/20/1984,16:00,1.96,2.01,1.94,2.00,136999.99999999
08/21/1984,16:00,2.02,2.06,2.02,2.05,88799.999999996
08/22/1984,16:00,2.05,2.08,2.04,2.05,187399.99999999
08/23/1984,16:00,2.07,2.15,2.06,2.14,443999.99999998
08/24/1984,16:00,2.15,2.15,2.09,2.09,242599.99999999
08/27/1984,16:00,2.11,2.12,2.07,2.09,224199.99999999
08/28/1984,16:00,2.10,2.10,2.06,2.07,218399.99999999
08/29/1984,16:00,2.07,2.08,2.03,2.07,95999.999999995
08/30/1984,16:00,2.07,2.08,2.04,2.04,45599.999999998
08/31/1984,16:00,2.04,2.07,2.02,2.03,88799.999999996
09/04/1984,16:00,2.04,2.04,1.99,2.00,72999.999999996
09/05/1984,16:00,1.99,1.99,1.91,1.93,140199.99999999
09/06/1984,16:00,1.93,1.99,1.93,1.97,115199.99999999
09/07/1984,16:00,1.99,2.00,1.98,1.99,207399.99999999
09/10/1984,16:00,1.97,1.99,1.95,1.98,184799.99999999
09/11/1984,16:00,1.97,1.98,1.93,1.93,600999.99999997
09/12/1984,16:00,1.93,1.93,1.85,1.86,129599.99999999
09/13/1984,16:00,1.88,1.95,1.87,1.93,104199.99999999
09/14/1984,16:00,1.96,1.96,1.92,1.93,153599.99999999
09/17/1984,16:00,1.94,1.96,1.92,1.95,93599.999999995
09/18/1984,16:00,1.97,1.97,1.91,1.93,167999.99999999
