Date,Time,Open,High,Low,Close,Vol
11/28/2006,16:00,2.57,2.60,2.57,2.57,29256.0
11/29/2006,16:00,2.59,2.59,2.57,2.57,181322.0
11/30/2006,16:00,2.62,2.62,2.57,2.60,598348.0
12/01/2006,16:00,2.62,2.67,2.62,2.67,4794.0
12/04/2006,16:00,2.59,2.59,2.59,2.59,330.0
12/05/2006,16:00,2.62,2.79,2.62,2.74,116694.0
12/06/2006,16:00,2.67,2.67,2.67,2.67,826.0
12/07/2006,16:00,2.79,2.79,2.75,2.75,629918.0
12/08/2006,16:00,2.75,2.80,2.75,2.80,5124.0
12/11/2006,16:00,2.80,2.80,2.80,2.80,40330.0
12/12/2006,16:00,2.80,2.80,2.80,2.80,826.0
12/13/2006,16:00,2.80,2.87,2.78,2.80,460662.0
12/14/2006,16:00,2.90,3.00,2.90,2.94,2649422.0
12/15/2006,16:00,2.94,2.95,2.84,2.89,3248100.0
12/18/2006,16:00,2.89,2.89,2.73,2.74,462810.0
12/19/2006,16:00,2.74,2.86,2.69,2.83,105620.0
12/20/2006,16:00,2.72,2.89,2.72,2.84,238678.0
12/21/2006,16:00,2.76,2.87,2.76,2.85,104462.0
12/22/2006,16:00,2.85,2.87,2.76,2.81,57024.0
12/26/2006,16:00,2.82,2.89,2.76,2.80,60662.0
12/27/2006,16:00,2.83,2.89,2.83,2.89,69918.0
12/28/2006,16:00,2.89,2.89,2.85,2.86,100992.0
12/29/2006,16:00,2.88,2.90,2.80,2.86,197190.0
01/03/2007,16:00,2.89,2.91,2.85,2.85,1084628.0
01/04/2007,16:00,2.86,2.93,2.78,2.92,263306.0
01/05/2007,16:00,2.90,2.93,2.84,2.84,138348.0
01/08/2007,16:00,2.86,2.88,2.81,2.82,180000.0
01/09/2007,16:00,2.82,2.86,2.82,2.84,1957026.0
01/10/2007,16:00,2.84,2.88,2.83,2.88,37520.0
01/11/2007,16:00,2.89,2.90,2.88,2.88,183306.0
01/12/2007,16:00,2.86,2.89,2.84,2.87,84462.0
01/16/2007,16:00,2.89,2.89,2.83,2.86,83306.0
01/17/2007,16:00,2.85,2.87,2.83,2.84,76034.0
01/18/2007,16:00,2.83,2.92,2.83,2.87,120000.0
01/19/2007,16:00,2.88,2.91,2.81,2.89,285124.0
01/22/2007,16:00,2.87,2.89,2.84,2.84,84958.0
01/23/2007,16:00,2.89,2.89,2.83,2.88,132892.0
01/24/2007,16:00,2.89,2.89,2.83,2.87,78678.0
01/25/2007,16:00,2.88,2.89,2.84,2.87,55372.0
01/26/2007,16:00,2.88,2.94,2.83,2.85,144298.0
01/29/2007,16:00,2.84,3.15,2.84,2.95,403140.0
01/30/2007,16:00,2.98,3.10,2.96,3.08,141488.0
01/31/2007,16:00,3.01,3.15,3.01,3.12,64298.0
02/01/2007,16:00,3.14,3.22,3.08,3.20,277852.0
02/02/2007,16:00,3.21,3.28,3.20,3.27,192066.0
02/05/2007,16:00,3.31,3.34,3.24,3.26,446942.0
02/06/2007,16:00,3.29,3.29,3.18,3.18,197024.0
02/07/2007,16:00,3.21,3.28,3.17,3.26,552232.0
02/08/2007,16:00,3.26,3.28,3.22,3.25,243636.0
02/09/2007,16:00,3.27,3.44,3.26,3.35,647272.0
02/12/2007,16:00,3.35,3.39,3.19,3.20,149422.0
02/13/2007,16:00,3.20,3.39,3.19,3.28,95538.0
02/14/2007,16:00,3.28,3.40,3.28,3.35,1118844.0
02/15/2007,16:00,3.37,3.45,3.35,3.41,911406.0
02/16/2007,16:00,3.41,3.51,3.35,3.47,774216.0
02/20/2007,16:00,3.72,3.72,3.47,3.55,1259008.0
02/21/2007,16:00,3.55,3.58,3.49,3.54,216034.0
02/22/2007,16:00,3.57,3.57,3.51,3.57,172396.0
02/23/2007,16:00,3.73,3.99,3.62,3.68,3457190.0
02/26/2007,16:00,3.71,3.71,3.59,3.68,418678.0
02/27/2007,16:00,3.60,3.68,3.44,3.45,542148.0
02/28/2007,16:00,3.43,3.68,3.41,3.62,1194876.0
03/01/2007,16:00,3.61,3.69,3.50,3.67,488430.0
03/02/2007,16:00,3.71,3.80,3.55,3.55,506446.0
03/05/2007,16:00,3.48,3.68,3.47,3.48,226446.0
03/06/2007,16:00,3.52,3.61,3.38,3.55,338512.0
03/07/2007,16:00,3.62,3.62,3.42,3.45,212232.0
