Date,Time,Open,High,Low,Close,Vol
05/08/2013,16:00,8.78,8.92,8.59,8.85,4633900.0
05/09/2013,16:00,8.91,8.91,8.78,8.82,275800.0
05/10/2013,16:00,8.82,8.86,8.78,8.86,277100.0
05/13/2013,16:00,8.88,8.90,8.82,8.90,147400.0
05/14/2013,16:00,8.86,8.86,8.78,8.81,184100.0
05/15/2013,16:00,8.86,8.86,8.81,8.86,76800.0
05/16/2013,16:00,8.88,8.97,8.81,8.97,170300.0
05/17/2013,16:00,8.94,9.05,8.94,8.98,305400.0
05/20/2013,16:00,8.98,9.04,8.88,8.96,46800.0
05/21/2013,16:00,8.98,9.04,8.87,9.04,77000.0
05/22/2013,16:00,9.04,9.04,8.92,8.98,90200.0
05/23/2013,16:00,8.89,9.01,8.81,8.87,75400.0
05/24/2013,16:00,8.84,8.96,8.82,8.94,63400.0
05/28/2013,16:00,8.96,9.00,8.84,8.85,212400.0
05/29/2013,16:00,8.79,8.91,8.55,8.59,447000.0
05/30/2013,16:00,8.85,8.90,8.76,8.82,453300.0
05/31/2013,16:00,8.86,9.01,8.76,8.76,109400.0
06/03/2013,16:00,8.92,8.92,8.63,8.80,143200.0
06/04/2013,16:00,8.83,8.88,8.75,8.79,115000.0
06/05/2013,16:00,8.85,8.85,8.59,8.82,78100.0
06/06/2013,16:00,8.79,8.94,8.78,8.88,121700.0
06/07/2013,16:00,8.91,8.92,8.80,8.86,52300.0
06/10/2013,16:00,8.86,8.91,8.78,8.90,167200.0
06/11/2013,16:00,8.83,8.86,8.67,8.83,117500.0
06/12/2013,16:00,8.82,8.83,8.75,8.78,162100.0
06/13/2013,16:00,8.77,8.82,8.63,8.78,63600.0
06/14/2013,16:00,8.78,8.78,8.63,8.75,73100.0
06/17/2013,16:00,8.77,8.90,8.71,8.82,73300.0
06/18/2013,16:00,8.82,8.86,8.70,8.79,149700.0
06/19/2013,16:00,8.77,8.77,8.57,8.63,80300.0
06/20/2013,16:00,8.59,8.63,8.50,8.50,203100.0
06/21/2013,16:00,8.53,8.61,8.49,8.61,287900.0
06/24/2013,16:00,8.55,8.62,8.17,8.57,151500.0
06/25/2013,16:00,8.62,8.71,8.39,8.69,95600.0
06/26/2013,16:00,8.74,8.75,8.33,8.69,173900.0
06/27/2013,16:00,8.71,8.88,8.61,8.81,153300.0
06/28/2013,16:00,8.79,9.06,8.74,9.06,1659800.0
07/01/2013,16:00,9.03,9.11,8.77,8.98,103800.0
07/02/2013,16:00,9.00,9.08,8.81,9.01,98600.0
07/03/2013,16:00,8.99,9.04,8.91,9.03,45100.0
07/05/2013,16:00,9.11,9.11,8.85,9.09,89700.0
07/08/2013,16:00,9.04,9.04,8.73,8.82,170100.0
07/09/2013,16:00,8.86,8.87,8.54,8.61,242600.0
07/10/2013,16:00,8.58,8.58,8.11,8.48,206800.0
07/11/2013,16:00,8.55,8.58,8.45,8.57,189100.0
07/12/2013,16:00,8.54,8.58,8.50,8.57,165000.0
07/15/2013,16:00,8.55,8.61,8.40,8.55,164900.0
07/16/2013,16:00,8.54,8.75,8.44,8.74,187400.0
07/17/2013,16:00,8.72,8.73,8.51,8.55,51100.0
07/18/2013,16:00,8.56,8.70,8.50,8.63,165900.0
07/19/2013,16:00,8.65,8.68,8.50,8.67,84100.0
07/22/2013,16:00,8.65,8.68,8.61,8.61,49400.0
07/23/2013,16:00,8.61,8.71,8.58,8.64,66400.0
07/24/2013,16:00,8.65,8.65,8.48,8.60,81700.0
07/25/2013,16:00,8.51,8.62,8.44,8.62,104500.0
07/26/2013,16:00,8.51,8.53,8.33,8.43,135700.0
07/29/2013,16:00,8.45,8.55,8.31,8.51,22800.0
07/30/2013,16:00,8.55,8.55,8.41,8.51,30500.0
07/31/2013,16:00,8.51,8.56,8.32,8.36,83400.0
08/01/2013,16:00,8.38,8.40,8.26,8.31,89300.0
08/02/2013,16:00,8.32,8.38,8.22,8.31,63400.0
08/05/2013,16:00,8.33,8.41,8.29,8.35,129200.0
08/06/2013,16:00,8.36,8.38,8.25,8.31,127500.0
08/07/2013,16:00,8.27,8.32,8.19,8.22,128400.0
08/08/2013,16:00,8.26,8.26,7.81,8.01,216700.0
08/09/2013,16:00,7.98,8.05,7.78,7.96,114900.0
08/12/2013,16:00,7.91,8.26,7.91,8.18,91700.0
08/13/2013,16:00,8.11,8.11,7.81,7.94,107400.0
08/14/2013,16:00,7.92,7.96,7.77,7.85,109300.0
08/15/2013,16:00,7.81,7.84,7.48,7.49,165000.0
08/16/2013,16:00,7.46,7.64,7.20,7.23,153600.0
08/19/2013,16:00,7.25,7.28,6.95,6.96,165600.0
08/20/2013,16:00,6.92,7.18,6.84,7.08,387400.0
08/21/2013,16:00,7.04,7.38,7.04,7.28,68200.0
08/22/2013,16:00,7.29,7.41,7.09,7.40,75600.0
08/23/2013,16:00,7.49,7.58,7.38,7.44,103000.0
08/26/2013,16:00,7.43,7.65,7.41,7.60,77300.0
08/27/2013,16:00,7.60,7.62,7.51,7.52,105100.0
08/28/2013,16:00,7.54,7.61,7.16,7.22,77000.0
08/29/2013,16:00,7.19,7.44,7.19,7.23,83900.0
08/30/2013,16:00,7.21,7.26,7.19,7.22,75500.0
09/03/2013,16:00,7.24,7.28,7.13,7.14,53900.0
09/04/2013,16:00,7.13,7.31,7.12,7.19,124300.0
09/05/2013,16:00,7.24,7.27,7.14,7.20,60200.0
09/06/2013,16:00,7.24,7.30,7.11,7.26,43100.0
09/09/2013,16:00,7.31,7.61,7.30,7.56,59600.0
09/10/2013,16:00,7.54,7.55,7.18,7.31,104800.0
09/11/2013,16:00,7.29,7.40,7.22,7.24,75900.0
09/12/2013,16:00,7.23,7.34,7.15,7.33,73000.0
09/13/2013,16:00,7.36,7.36,7.16,7.33,83200.0
09/16/2013,16:00,7.42,7.42,7.15,7.30,67200.0
09/17/2013,16:00,7.28,7.43,7.21,7.40,92800.0
