Date,Time,Open,High,Low,Close,Vol
12/08/2006,16:00,21.05,23.02,21.05,22.01,5542000.0
12/11/2006,16:00,22.01,24.41,21.75,23.07,707200.0
12/12/2006,16:00,22.70,23.64,22.42,22.86,227000.0
12/13/2006,16:00,22.85,24.03,22.85,23.55,330800.0
12/14/2006,16:00,23.03,25.17,23.03,24.42,295000.0
12/15/2006,16:00,25.12,25.25,23.34,24.25,234700.0
12/18/2006,16:00,24.25,24.81,23.64,24.16,96700.0
12/19/2006,16:00,23.58,23.67,22.93,23.23,155300.0
12/20/2006,16:00,23.41,23.86,23.25,23.77,113400.0
12/21/2006,16:00,23.89,24.20,23.45,24.18,142600.0
12/22/2006,16:00,23.73,24.56,23.69,23.88,108000.0
12/26/2006,16:00,24.52,24.52,23.86,24.14,30700.0
12/27/2006,16:00,23.93,24.56,23.93,24.49,42400.0
12/28/2006,16:00,24.47,24.91,24.34,24.47,58400.0
12/29/2006,16:00,24.66,24.73,24.36,24.61,31800.0
01/03/2007,16:00,24.87,24.87,24.13,24.36,98400.0
01/04/2007,16:00,24.10,24.88,24.10,24.36,95200.0
01/05/2007,16:00,24.21,24.43,23.91,24.34,93700.0
01/08/2007,16:00,24.48,24.48,23.40,23.66,134100.0
01/09/2007,16:00,23.90,24.03,23.46,23.67,102800.0
01/10/2007,16:00,23.63,23.97,22.65,23.65,196500.0
01/11/2007,16:00,23.64,24.08,23.25,24.00,77100.0
01/12/2007,16:00,24.12,24.82,24.05,24.78,92300.0
01/16/2007,16:00,25.00,26.23,23.81,25.94,233000.0
01/17/2007,16:00,26.31,27.10,26.09,26.31,105900.0
01/18/2007,16:00,26.36,26.77,25.92,26.48,53800.0
01/19/2007,16:00,26.31,26.31,25.62,25.88,49400.0
01/22/2007,16:00,25.45,26.09,23.49,26.02,206200.0
01/23/2007,16:00,25.44,28.39,24.69,27.30,224700.0
01/24/2007,16:00,27.67,28.72,27.32,28.35,108200.0
01/25/2007,16:00,28.51,28.51,27.87,28.05,98200.0
01/26/2007,16:00,28.58,28.72,27.87,28.07,30900.0
01/29/2007,16:00,28.50,28.51,27.82,27.93,142200.0
01/30/2007,16:00,28.18,28.77,27.63,28.58,53200.0
01/31/2007,16:00,28.14,29.96,28.07,29.16,141600.0
02/01/2007,16:00,29.35,29.97,28.99,29.86,110600.0
02/02/2007,16:00,30.26,30.76,29.72,30.65,77800.0
02/05/2007,16:00,30.79,31.67,30.41,30.87,141900.0
02/06/2007,16:00,30.49,31.31,29.39,29.85,59900.0
02/07/2007,16:00,30.26,30.26,29.48,29.88,70300.0
02/08/2007,16:00,29.89,30.32,28.79,29.34,144100.0
02/09/2007,16:00,29.43,29.43,28.77,29.17,166400.0
02/12/2007,16:00,28.96,29.21,28.30,28.87,213400.0
02/13/2007,16:00,29.48,29.48,28.46,28.69,177100.0
02/14/2007,16:00,28.38,28.94,28.21,28.94,189500.0
