Date,Time,Open,High,Low,Close,Vol
07/19/1984,16:00,12.74,13.08,12.74,13.01,13900.0
07/20/1984,16:00,13.08,13.08,12.95,12.95,6100.0
07/23/1984,16:00,12.87,12.87,12.67,12.67,2300.0
07/24/1984,16:00,12.74,12.81,12.60,12.81,3300.0
07/25/1984,16:00,12.74,12.74,12.74,12.74,2600.0
07/26/1984,16:00,12.74,12.81,12.67,12.74,9100.0
07/27/1984,16:00,12.74,13.63,12.67,13.49,36400.0
07/30/1984,16:00,14.11,14.45,14.04,14.04,66800.0
07/31/1984,16:00,14.04,14.11,13.56,13.63,23000.0
08/01/1984,16:00,13.76,14.04,13.76,14.04,74600.0
08/02/1984,16:00,14.17,14.17,13.97,13.97,87000.0
08/03/1984,16:00,13.83,13.83,13.35,13.63,40500.0
08/06/1984,16:00,13.63,13.69,13.63,13.63,21600.0
08/07/1984,16:00,13.49,13.76,13.49,13.69,10200.0
08/08/1984,16:00,13.69,13.83,13.69,13.69,10300.0
08/09/1984,16:00,13.76,13.76,13.69,13.76,15300.0
08/10/1984,16:00,13.83,13.83,13.69,13.69,7800.0
08/13/1984,16:00,13.69,13.69,13.69,13.69,22000.0
08/14/1984,16:00,13.69,13.69,13.35,13.35,34500.0
08/15/1984,16:00,13.35,13.35,13.22,13.35,22300.0
08/16/1984,16:00,13.35,13.63,13.35,13.63,28300.0
08/17/1984,16:00,13.63,13.83,13.63,13.76,6700.0
08/20/1984,16:00,13.63,13.76,13.42,13.42,4300.0
08/21/1984,16:00,13.42,13.63,13.42,13.63,8300.0
08/22/1984,16:00,13.56,13.56,13.56,13.56,3300.0
08/23/1984,16:00,13.56,13.56,13.56,13.56,3100.0
08/24/1984,16:00,13.56,13.56,13.49,13.49,13400.0
08/27/1984,16:00,13.42,13.42,13.22,13.22,21800.0
08/28/1984,16:00,13.22,13.22,13.22,13.22,100.0
08/29/1984,16:00,13.35,13.35,12.95,12.95,9900.0
08/30/1984,16:00,13.01,13.01,12.87,12.87,18500.0
08/31/1984,16:00,12.95,12.95,12.87,12.95,4900.0
09/04/1984,16:00,12.81,12.87,12.81,12.81,55600.0
09/05/1984,16:00,12.67,12.81,12.67,12.74,41200.0
09/06/1984,16:00,12.81,13.08,12.81,13.08,17800.0
09/07/1984,16:00,13.22,13.76,13.22,13.56,25500.0
09/10/1984,16:00,13.49,13.49,13.29,13.35,11100.0
09/11/1984,16:00,13.29,13.69,13.22,13.63,18300.0
09/12/1984,16:00,13.63,13.63,13.56,13.56,4700.0
09/13/1984,16:00,13.63,13.63,11.99,12.26,161600.0
09/14/1984,16:00,12.40,12.40,12.19,12.19,60900.0
09/17/1984,16:00,12.26,12.33,12.19,12.26,32600.0
09/18/1984,16:00,12.40,12.87,12.40,12.87,21000.0
09/19/1984,16:00,12.95,13.08,12.95,13.08,37300.0
09/20/1984,16:00,13.01,13.08,12.95,12.95,12200.0
09/21/1984,16:00,12.95,12.95,12.74,12.87,13200.0
09/24/1984,16:00,12.81,12.81,12.60,12.60,40700.0
09/25/1984,16:00,12.60,12.67,12.60,12.67,13000.0
09/26/1984,16:00,12.74,12.74,12.60,12.74,26500.0
09/27/1984,16:00,12.81,13.01,12.81,12.95,21000.0
09/28/1984,16:00,12.95,12.95,12.87,12.87,2000.0
10/01/1984,16:00,12.81,13.01,12.81,13.01,20500.0
10/02/1984,16:00,12.95,13.15,12.95,13.15,28400.0
10/03/1984,16:00,13.22,13.22,13.08,13.08,3800.0
10/04/1984,16:00,13.08,13.15,13.08,13.08,32500.0
10/05/1984,16:00,13.08,13.22,13.08,13.15,6200.0
10/08/1984,16:00,13.15,13.15,13.15,13.15,1000.0
10/09/1984,16:00,13.15,13.15,13.08,13.08,6800.0
10/10/1984,16:00,13.08,13.15,13.08,13.08,3200.0
10/11/1984,16:00,13.01,13.22,12.87,12.87,25300.0
10/12/1984,16:00,13.08,13.08,12.87,12.87,19800.0
10/15/1984,16:00,12.87,12.87,12.87,12.87,1400.0
10/16/1984,16:00,12.87,12.87,12.87,12.87,100.0
10/17/1984,16:00,12.87,12.87,12.81,12.81,28700.0
10/18/1984,16:00,12.74,12.81,12.74,12.81,10400.0
10/19/1984,16:00,12.74,12.87,12.74,12.74,9900.0
10/22/1984,16:00,12.67,12.81,12.67,12.81,3800.0
10/23/1984,16:00,12.74,12.74,12.60,12.60,20400.0
10/24/1984,16:00,12.67,12.67,12.60,12.60,6000.0
10/25/1984,16:00,12.60,12.60,12.40,12.40,6000.0
10/26/1984,16:00,12.40,12.54,12.40,12.54,33100.0
10/29/1984,16:00,12.67,12.67,12.60,12.60,1100.0
10/30/1984,16:00,12.60,12.67,12.60,12.60,15500.0
10/31/1984,16:00,12.54,12.54,12.54,12.54,7600.0
11/01/1984,16:00,12.47,12.54,12.47,12.54,7900.0
11/02/1984,16:00,12.54,12.54,12.54,12.54,2500.0
11/05/1984,16:00,12.40,12.40,12.40,12.40,3400.0
11/06/1984,16:00,12.47,12.54,12.47,12.54,6000.0
11/07/1984,16:00,12.40,12.54,12.40,12.54,12600.0
11/08/1984,16:00,12.54,12.54,12.40,12.40,13800.0
11/09/1984,16:00,12.40,12.54,11.78,11.99,79500.0
11/12/1984,16:00,12.06,12.06,11.45,11.45,45400.0
11/13/1984,16:00,11.52,11.72,11.52,11.58,25200.0
11/14/1984,16:00,11.65,11.99,11.58,11.99,28500.0
11/15/1984,16:00,11.99,12.40,11.99,12.40,39600.0
11/16/1984,16:00,12.40,12.40,12.26,12.33,40600.0
11/19/1984,16:00,12.19,12.54,12.19,12.54,15800.0
11/20/1984,16:00,12.40,12.47,12.40,12.40,4900.0
11/21/1984,16:00,12.47,12.47,12.40,12.47,11500.0
11/23/1984,16:00,12.47,12.47,12.40,12.40,400.0
11/26/1984,16:00,12.40,12.40,12.26,12.40,7400.0
11/27/1984,16:00,12.40,12.40,12.40,12.40,2700.0
11/28/1984,16:00,12.26,12.40,12.26,12.26,5200.0
11/29/1984,16:00,12.19,12.26,12.13,12.13,1300.0
11/30/1984,16:00,12.13,12.19,12.06,12.06,6100.0
12/03/1984,16:00,12.13,12.13,11.78,11.78,9400.0
12/04/1984,16:00,11.78,11.78,11.65,11.72,7500.0
12/05/1984,16:00,11.78,11.78,11.72,11.72,11500.0
12/06/1984,16:00,11.65,11.85,11.65,11.72,11100.0
12/07/1984,16:00,11.72,11.72,11.72,11.72,1500.0
12/10/1984,16:00,11.72,11.72,11.72,11.72,1900.0
12/11/1984,16:00,11.72,11.72,11.45,11.52,14400.0
12/12/1984,16:00,11.45,11.45,11.31,11.31,9300.0
12/13/1984,16:00,11.31,11.45,11.31,11.38,6400.0
12/14/1984,16:00,11.45,11.45,11.38,11.38,3800.0
12/17/1984,16:00,11.38,11.45,11.38,11.45,3300.0
12/18/1984,16:00,11.45,11.85,11.45,11.85,25000.0
12/19/1984,16:00,11.78,11.99,11.78,11.99,13200.0
12/20/1984,16:00,11.99,11.99,11.93,11.93,3700.0
12/21/1984,16:00,11.99,11.99,11.85,11.85,3500.0
12/24/1984,16:00,11.78,11.78,11.65,11.65,2300.0
12/26/1984,16:00,11.65,11.78,11.65,11.72,10000.0
12/27/1984,16:00,11.72,11.72,11.45,11.72,8400.0
12/28/1984,16:00,11.78,11.78,11.65,11.65,5800.0
12/31/1984,16:00,11.52,11.52,11.17,11.17,12500.0
01/02/1985,16:00,11.17,11.24,11.11,11.24,4900.0
01/03/1985,16:00,11.17,11.38,11.17,11.38,5800.0
01/04/1985,16:00,11.45,11.58,11.24,11.24,6100.0
01/07/1985,16:00,11.24,11.45,11.24,11.45,14200.0
01/08/1985,16:00,11.52,11.78,11.52,11.78,22900.0
01/09/1985,16:00,11.85,11.99,11.85,11.99,11800.0
01/10/1985,16:00,11.99,12.26,11.99,12.26,14100.0
01/11/1985,16:00,12.26,12.40,12.26,12.33,8600.0
01/14/1985,16:00,12.26,12.33,12.26,12.26,10800.0
01/15/1985,16:00,12.19,12.19,12.06,12.19,7600.0
01/16/1985,16:00,12.26,12.54,12.26,12.54,44400.0
01/17/1985,16:00,12.54,12.54,12.54,12.54,3400.0
01/18/1985,16:00,12.54,12.54,12.47,12.54,12200.0
01/21/1985,16:00,12.47,12.54,12.47,12.54,7300.0
01/22/1985,16:00,12.54,12.60,12.40,12.40,9800.0
01/23/1985,16:00,12.33,12.54,12.33,12.54,2500.0
01/24/1985,16:00,12.47,12.54,12.47,12.54,11500.0
01/25/1985,16:00,12.54,12.54,12.33,12.40,3900.0
01/28/1985,16:00,12.47,12.47,12.26,12.33,136300.0
01/29/1985,16:00,12.47,12.47,12.33,12.33,35800.0
01/30/1985,16:00,12.47,12.47,12.40,12.40,7100.0
01/31/1985,16:00,12.40,12.54,12.40,12.54,47200.0
