Date,Time,Open,High,Low,Close,Vol
06/12/1986,16:00,6.33,6.66,6.33,6.33,63400.5
06/13/1986,16:00,6.5,6.83,6.5,6.5,147100.5
06/16/1986,16:00,6.5,6.83,6.5,6.5,10000.5
06/17/1986,16:00,6.5,6.83,6.5,6.5,41400.0
06/18/1986,16:00,6.5,6.66,6.16,6.16,40800.0
06/19/1986,16:00,6.16,6.66,6.16,6.16,27600.0
06/20/1986,16:00,6.16,6.66,6.16,6.16,17800.5
06/23/1986,16:00,6.33,6.66,6.33,6.33,43000.5
06/24/1986,16:00,6.5,6.66,6.5,6.5,20400.0
06/25/1986,16:00,6.5,6.83,6.5,6.5,27300.0
06/26/1986,16:00,6.5,6.83,6.5,6.5,10800.0
06/27/1986,16:00,6.5,6.83,6.5,6.5,15100.5
06/30/1986,16:00,6.5,6.83,6.33,6.33,16200.0
07/01/1986,16:00,6.33,6.83,6.33,6.33,11100.0
07/02/1986,16:00,6.33,6.66,6.33,6.33,10800.0
07/03/1986,16:00,6.33,6.66,6.16,6.16,9100.5
07/07/1986,16:00,6.16,6.33,6.0,6.0,7500.0
07/08/1986,16:00,6.0,6.16,5.83,5.83,45300.0
07/09/1986,16:00,5.83,6.16,5.83,5.83,9600.0
07/10/1986,16:00,5.83,6.16,5.83,5.83,5200.5
07/11/1986,16:00,6.0,6.16,6.0,6.0,33400.5
07/14/1986,16:00,6.0,6.16,6.0,6.0,15000.0
07/15/1986,16:00,6.0,6.16,6.0,6.0,3600.0
07/16/1986,16:00,6.0,6.25,6.0,6.16,19800.0
07/17/1986,16:00,6.16,6.16,5.5,5.66,12300.0
07/18/1986,16:00,5.66,6.0,5.5,5.5,4500.0
07/21/1986,16:00,5.5,5.83,5.33,5.33,19200.0
07/22/1986,16:00,5.33,5.66,5.16,5.16,14400.0
07/23/1986,16:00,5.16,5.5,5.16,5.16,5200.5
07/24/1986,16:00,5.16,5.5,4.83,5.0,31200.0
07/25/1986,16:00,5.0,5.33,5.0,5.33,2100.0
07/28/1986,16:00,5.33,5.33,5.0,5.0,2800.5
07/29/1986,16:00,5.0,5.33,5.0,5.0,8700.0
07/30/1986,16:00,5.0,5.33,4.83,4.83,23100.0
07/31/1986,16:00,4.83,5.0,4.83,5.0,7800.0
08/01/1986,16:00,5.0,5.08,4.83,5.08,3400.5
08/04/1986,16:00,5.08,5.08,5.0,5.08,1900.5
08/05/1986,16:00,5.08,5.16,5.0,5.0,3300.0
08/06/1986,16:00,5.16,5.16,5.16,5.16,400.5
08/07/1986,16:00,5.0,5.0,4.66,4.74,15900.0
08/08/1986,16:00,4.74,5.0,4.66,4.74,13800.0
08/11/1986,16:00,4.74,4.92,4.74,4.83,3600.0
08/12/1986,16:00,4.92,5.0,4.92,4.92,2800.5
08/13/1986,16:00,4.92,5.33,4.92,5.33,54400.5
08/14/1986,16:00,5.33,5.66,5.33,5.5,11100.0
08/15/1986,16:00,5.5,5.66,5.5,5.5,15000.0
08/18/1986,16:00,5.5,5.83,5.5,5.83,3300.0
08/19/1986,16:00,5.83,5.83,5.42,5.66,14500.5
08/20/1986,16:00,5.66,5.66,5.66,5.66,900.0
08/21/1986,16:00,5.33,5.33,5.33,5.33,900.0
08/22/1986,16:00,5.33,5.33,5.33,5.33,300.0
08/25/1986,16:00,5.33,5.33,5.33,5.33,0.0
08/26/1986,16:00,5.33,5.66,5.33,5.33,49200.0
08/27/1986,16:00,5.33,5.66,5.33,5.33,1800.0
08/28/1986,16:00,5.33,5.66,5.16,5.25,10000.5
08/29/1986,16:00,5.25,5.33,5.16,5.33,3000.0
09/02/1986,16:00,5.33,5.5,5.16,5.16,5700.0
09/03/1986,16:00,5.16,5.33,5.16,5.16,7600.5
09/04/1986,16:00,5.16,5.16,5.16,5.16,0.0
09/05/1986,16:00,5.16,5.5,5.16,5.16,2100.0
09/08/1986,16:00,5.16,5.16,5.16,5.16,1800.0
09/09/1986,16:00,5.16,5.33,5.16,5.16,3900.0
09/10/1986,16:00,5.16,5.33,5.16,5.33,7900.5
09/11/1986,16:00,5.16,5.16,5.0,5.16,6000.0
09/12/1986,16:00,5.16,5.5,5.0,5.0,18600.0
09/15/1986,16:00,5.0,5.0,5.0,5.0,0.0
09/16/1986,16:00,5.0,5.16,5.0,5.0,17700.0
09/17/1986,16:00,5.0,5.33,5.0,5.0,3600.0
09/18/1986,16:00,5.0,5.0,5.0,5.0,0.0
09/19/1986,16:00,5.25,5.25,5.25,5.25,1300.5
09/22/1986,16:00,5.33,5.33,5.33,5.33,400.5
09/23/1986,16:00,5.33,5.33,5.0,5.0,5700.0
09/24/1986,16:00,5.0,5.16,5.0,5.0,1000.5
09/25/1986,16:00,5.0,5.0,5.0,5.0,1500.0
09/26/1986,16:00,5.08,5.08,5.08,5.08,100.5
09/29/1986,16:00,5.08,5.08,5.08,5.08,0.0
09/30/1986,16:00,5.08,5.33,5.08,5.33,5400.0
10/01/1986,16:00,5.33,5.33,5.08,5.08,3100.5
10/02/1986,16:00,5.08,5.16,5.08,5.16,2800.5
10/03/1986,16:00,5.08,5.08,5.08,5.08,700.5
10/06/1986,16:00,5.08,5.33,5.08,5.08,3900.0
10/07/1986,16:00,5.08,5.16,5.08,5.08,1000.5
10/08/1986,16:00,5.08,5.16,5.0,5.0,18300.0
10/09/1986,16:00,5.0,5.16,5.0,5.08,20100.0
10/10/1986,16:00,5.0,5.0,5.0,5.0,100.5
10/13/1986,16:00,5.0,5.0,5.0,5.0,0.0
10/14/1986,16:00,5.0,5.16,5.0,5.0,10500.0
10/15/1986,16:00,5.0,5.16,5.0,5.16,3400.5
10/16/1986,16:00,5.0,5.0,5.0,5.0,7200.0
10/17/1986,16:00,5.0,5.0,5.0,5.0,100.5
10/20/1986,16:00,5.16,5.16,5.16,5.16,3000.0
10/21/1986,16:00,5.16,5.16,4.83,5.16,49500.0
10/22/1986,16:00,5.0,5.0,4.83,4.83,8400.0
10/23/1986,16:00,4.74,4.74,4.74,4.74,1600.5
10/24/1986,16:00,4.74,5.0,4.74,4.83,15000.0
10/27/1986,16:00,4.74,4.74,4.74,4.74,1500.0
10/28/1986,16:00,4.74,4.74,4.74,4.74,3300.0
10/29/1986,16:00,5.0,5.08,5.0,5.08,7500.0
10/30/1986,16:00,4.92,4.92,4.74,4.83,80700.0
10/31/1986,16:00,5.08,5.42,5.08,5.08,1800.0
11/03/1986,16:00,5.0,5.0,4.83,5.0,1000.5
11/04/1986,16:00,4.83,4.83,4.83,4.83,1600.5
11/05/1986,16:00,4.83,4.83,4.83,4.83,1300.5
11/06/1986,16:00,4.83,5.08,4.66,4.66,3900.0
11/07/1986,16:00,4.66,4.66,4.66,4.66,1200.0
11/10/1986,16:00,4.66,4.66,4.66,4.66,2800.5
11/11/1986,16:00,4.66,5.0,4.66,4.83,10200.0
11/12/1986,16:00,4.83,4.83,4.83,4.83,0.0
11/13/1986,16:00,4.83,5.0,4.74,4.74,700.5
11/14/1986,16:00,4.74,4.74,4.74,4.74,1200.0
11/17/1986,16:00,4.74,4.74,4.74,4.74,3700.5
11/18/1986,16:00,4.74,4.74,4.74,4.74,0.0
11/19/1986,16:00,4.74,4.83,4.66,4.66,7600.5
11/20/1986,16:00,4.83,4.83,4.83,4.83,1600.5
11/21/1986,16:00,4.83,4.83,4.83,4.83,0.0
11/24/1986,16:00,4.66,4.66,4.66,4.66,300.0
11/25/1986,16:00,4.66,4.66,4.58,4.66,5400.0
11/26/1986,16:00,4.66,4.66,4.66,4.66,1600.5
11/28/1986,16:00,4.66,4.66,4.66,4.66,0.0
12/01/1986,16:00,4.58,4.58,4.58,4.58,600.0
12/02/1986,16:00,4.58,4.83,4.58,4.58,8200.5
12/03/1986,16:00,4.58,4.66,4.58,4.66,1500.0
12/04/1986,16:00,4.66,4.66,4.58,4.58,15300.0
12/05/1986,16:00,4.58,4.66,4.5,4.5,7200.0
12/08/1986,16:00,4.33,4.33,4.16,4.16,21000.0
12/09/1986,16:00,4.16,4.5,4.0,4.0,4600.5
12/10/1986,16:00,4.0,4.33,4.0,4.16,15300.0
12/11/1986,16:00,4.33,4.5,4.33,4.33,7600.5
12/12/1986,16:00,4.33,4.33,4.33,4.33,2200.5
12/15/1986,16:00,4.33,4.5,4.33,4.5,14400.0
12/16/1986,16:00,4.5,4.5,4.33,4.5,1600.5
12/17/1986,16:00,4.5,4.66,4.33,4.33,7500.0
12/18/1986,16:00,4.33,4.33,4.33,4.33,1900.5
12/19/1986,16:00,4.33,4.33,4.33,4.33,700.5
12/22/1986,16:00,4.33,4.33,4.33,4.33,1600.5
12/23/1986,16:00,4.33,4.33,4.33,4.33,300.0
12/24/1986,16:00,4.33,4.33,4.33,4.33,700.5
12/26/1986,16:00,4.33,4.5,4.33,4.5,700.5
12/29/1986,16:00,4.5,4.5,4.33,4.33,4900.5
12/30/1986,16:00,4.33,4.33,4.33,4.33,2500.5
12/31/1986,16:00,4.33,4.33,4.16,4.16,19300.5
01/02/1987,16:00,4.16,4.33,4.16,4.16,2500.5
01/05/1987,16:00,4.16,4.33,4.16,4.16,4000.5
01/06/1987,16:00,4.16,4.33,4.16,4.33,16200.0
01/07/1987,16:00,4.33,4.33,4.33,4.33,0.0
01/08/1987,16:00,4.16,4.16,4.16,4.16,700.5
01/09/1987,16:00,4.33,4.66,4.33,4.66,2400.0
01/12/1987,16:00,4.58,4.58,4.33,4.33,2200.5
01/13/1987,16:00,4.33,4.5,4.33,4.42,17400.0
