Date,Time,Open,High,Low,Close,Vol
10/10/2012,16:00,6.71,6.85,6.0,6.06,3566700.0
10/11/2012,16:00,6.06,6.44,6.0,6.08,416700.0
10/12/2012,16:00,6.05,6.3,6.01,6.23,155200.0
10/15/2012,16:00,6.35,6.4,6.05,6.15,156700.0
10/16/2012,16:00,6.15,6.3,5.94,6.01,173000.0
10/17/2012,16:00,6.0,6.08,5.99,6.0,113600.0
10/18/2012,16:00,6.2,6.2,5.55,6.0,247300.0
10/19/2012,16:00,6.08,6.08,5.99,6.0,132900.0
10/22/2012,16:00,6.47,6.47,6.1,6.10,304400.0
10/23/2012,16:00,6.18,6.18,6.0,6.0,75000.0
10/24/2012,16:00,6.01,6.1,6.01,6.02,106700.0
10/25/2012,16:00,6.1,6.32,6.05,6.24,316400.0
10/26/2012,16:00,6.19,6.75,6.19,6.58,206500.0
10/31/2012,16:00,6.78,7.42,6.52,7.22,295300.0
11/01/2012,16:00,8.44,8.44,7.42,7.65,247000.0
11/02/2012,16:00,7.81,8.2,7.51,7.7,86200.0
11/05/2012,16:00,8.1,8.43,7.85,8.23,251700.0
11/06/2012,16:00,8.7,8.83,8.35,8.59,233900.0
11/07/2012,16:00,8.6,8.77,8.15,8.19,338700.0
11/08/2012,16:00,8.2,8.34,7.67,7.82,169600.0
11/09/2012,16:00,7.82,8.23,7.7,8.0,154800.0
11/12/2012,16:00,8.0,8.0,7.52,7.73,76900.0
11/13/2012,16:00,7.95,8.02,7.59,8.0,47100.0
11/14/2012,16:00,8.03,8.03,7.65,7.88,41700.0
11/15/2012,16:00,7.6,8.5,7.6,8.36,125300.0
11/16/2012,16:00,8.35,8.88,8.23,8.71,162400.0
11/19/2012,16:00,8.9,9.5,8.89,9.22,291300.0
11/20/2012,16:00,9.22,9.49,9.10,9.31,90600.0
11/21/2012,16:00,9.5,9.5,9.05,9.15,92600.0
11/23/2012,16:00,9.15,9.45,9.15,9.3,18900.0
11/26/2012,16:00,9.3,9.31,8.79,8.92,100800.0
11/27/2012,16:00,8.91,9.0,8.65,8.88,61600.0
11/28/2012,16:00,8.93,8.93,8.65,8.73,71300.0
11/29/2012,16:00,8.78,8.98,8.66,8.7,69800.0
11/30/2012,16:00,8.95,8.98,8.65,8.71,48400.0
12/03/2012,16:00,9.0,9.18,8.67,8.67,51300.0
12/04/2012,16:00,8.73,8.97,8.3,8.63,199100.0
12/05/2012,16:00,8.56,8.98,8.5,8.98,147600.0
12/06/2012,16:00,9.04,9.58,8.6,9.08,425900.0
12/07/2012,16:00,9.1,9.22,8.91,9.02,118500.0
12/10/2012,16:00,9.23,9.23,8.6,8.72,80800.0
12/11/2012,16:00,8.84,9.06,8.65,8.92,87600.0
12/12/2012,16:00,8.99,9.45,8.96,9.29,189900.0
12/13/2012,16:00,9.41,9.48,9.23,9.35,99200.0
12/14/2012,16:00,9.28,10.29,8.74,9.1,497900.0
12/17/2012,16:00,9.35,10.09,8.8,10.0,244400.0
12/18/2012,16:00,10.0,10.5,9.78,10.36,289700.0
12/19/2012,16:00,10.23,10.33,9.95,10.18,152400.0
12/20/2012,16:00,10.16,10.32,9.91,10.0,100600.0
12/21/2012,16:00,9.85,9.9,9.29,9.76,767600.0
12/24/2012,16:00,9.69,9.73,9.21,9.59,79000.0
12/26/2012,16:00,9.62,10.02,9.55,10.0,86200.0
12/27/2012,16:00,10.25,10.5,9.96,10.43,154300.0
12/28/2012,16:00,10.35,11.16,10.35,11.0,349500.0
12/31/2012,16:00,11.0,11.19,10.9,11.15,211200.0
01/02/2013,16:00,11.98,11.99,11.26,11.95,264200.0
01/03/2013,16:00,12.0,12.05,11.65,11.73,220300.0
