Date,Time,Open,High,Low,Close,Vol
11/17/2011,16:00,18.0,18.75,15.02,16.26,6507700.0
11/18/2011,16:00,16.25,16.3,15.6,15.8,584100.0
11/21/2011,16:00,15.4,15.75,14.31,15.4,469600.0
11/22/2011,16:00,15.01,16.79,15.01,16.12,211300.0
11/23/2011,16:00,15.75,15.99,14.5,14.77,430500.0
11/25/2011,16:00,14.07,14.26,13.1,13.5,347200.0
11/28/2011,16:00,13.89,13.89,12.84,13.0,925500.0
11/29/2011,16:00,13.19,13.19,11.56,11.8,1676500.0
11/30/2011,16:00,12.3,12.3,10.77,11.55,1037100.0
12/01/2011,16:00,11.87,12.56,11.16,12.55,403800.0
12/02/2011,16:00,13.22,14.7,13.18,14.01,497500.0
12/05/2011,16:00,16.0,16.74,13.26,13.63,872400.0
12/06/2011,16:00,13.47,14.22,13.37,14.01,372400.0
12/07/2011,16:00,13.97,15.77,13.89,15.61,419300.0
12/08/2011,16:00,15.75,16.15,15.22,16.15,227700.0
12/09/2011,16:00,16.25,16.25,15.45,16.03,199600.0
12/12/2011,16:00,15.85,16.6,14.7,16.49,224400.0
12/13/2011,16:00,17.97,17.97,16.17,16.75,467500.0
12/14/2011,16:00,16.52,17.28,15.45,16.42,178000.0
12/15/2011,16:00,16.72,16.9,15.7,16.0,113400.0
12/16/2011,16:00,16.67,16.67,15.21,15.73,1563900.0
12/19/2011,16:00,16.15,16.25,15.0,15.65,121700.0
12/20/2011,16:00,16.01,16.08,15.35,15.9,82500.0
12/21/2011,16:00,15.77,16.02,15.51,16.0,404900.0
12/22/2011,16:00,16.13,16.4,15.62,16.08,130500.0
12/23/2011,16:00,16.08,16.54,15.52,16.53,173100.0
12/27/2011,16:00,16.37,16.75,16.19,16.69,196500.0
12/28/2011,16:00,16.74,16.74,16.24,16.39,151600.0
12/29/2011,16:00,16.3,16.3,15.37,15.99,204700.0
12/30/2011,16:00,15.95,16.19,15.81,16.1,240200.0
01/03/2012,16:00,16.4,16.4,14.79,15.09,257000.0
01/04/2012,16:00,14.87,15.0,13.79,14.09,339300.0
01/05/2012,16:00,13.98,14.1,13.49,13.79,283000.0
01/06/2012,16:00,13.71,13.71,12.81,13.23,382200.0
01/09/2012,16:00,13.24,13.42,12.98,13.41,161400.0
01/10/2012,16:00,13.49,14.33,13.36,13.86,316300.0
01/11/2012,16:00,13.75,14.12,13.5,14.03,252700.0
01/12/2012,16:00,13.92,15.06,13.81,15.03,157200.0
01/13/2012,16:00,14.8,15.15,14.33,15.1,74000.0
01/17/2012,16:00,15.18,15.99,15.09,15.75,153700.0
01/18/2012,16:00,15.84,15.95,15.63,15.9,80200.0
01/19/2012,16:00,15.99,16.29,15.7,15.9,128900.0
01/20/2012,16:00,15.94,15.97,15.28,15.7,126800.0
01/23/2012,16:00,15.67,16.05,15.05,15.8,143700.0
01/24/2012,16:00,15.69,16.25,15.11,15.8,181300.0
01/25/2012,16:00,15.7,16.24,15.6,15.64,231100.0
01/26/2012,16:00,15.85,15.85,15.39,15.59,322600.0
01/27/2012,16:00,15.59,15.85,15.2,15.2,166200.0
01/30/2012,16:00,15.18,15.4,14.61,14.72,86100.0
01/31/2012,16:00,14.88,14.89,14.64,14.74,105100.0
02/01/2012,16:00,14.74,14.82,13.9,14.23,142200.0
02/02/2012,16:00,14.19,14.74,14.03,14.68,112400.0
02/03/2012,16:00,14.79,15.4,14.65,14.91,216200.0
02/06/2012,16:00,14.87,14.9,14.41,14.73,93100.0
02/07/2012,16:00,14.68,15.99,14.61,15.43,223000.0
02/08/2012,16:00,15.5,16.42,15.11,16.27,179500.0
02/09/2012,16:00,16.27,16.3,15.79,16.05,95100.0
02/10/2012,16:00,16.01,16.34,15.87,16.14,102900.0
02/13/2012,16:00,16.22,16.5,16.01,16.41,211700.0
02/14/2012,16:00,16.43,16.49,15.48,15.61,141500.0
02/15/2012,16:00,15.62,15.62,14.96,15.05,178700.0
02/16/2012,16:00,15.04,15.64,14.81,15.41,77700.0
02/17/2012,16:00,15.5,15.5,14.91,14.92,227300.0
02/21/2012,16:00,14.92,15.5,14.81,14.93,141100.0
02/22/2012,16:00,14.9,14.9,14.35,14.46,186400.0
02/23/2012,16:00,16.09,17.58,14.47,15.47,1110100.0
02/24/2012,16:00,15.47,15.83,15.0,15.61,156900.0
02/27/2012,16:00,15.5,16.16,15.5,15.84,63500.0
02/28/2012,16:00,15.84,16.09,15.3,15.98,97900.0
02/29/2012,16:00,15.95,16.31,15.73,16.0,49000.0
03/01/2012,16:00,15.99,16.22,15.24,16.12,50900.0
03/02/2012,16:00,16.21,16.75,15.21,15.25,159800.0
03/05/2012,16:00,15.32,15.93,14.5,15.61,138400.0
03/06/2012,16:00,15.51,15.51,14.64,14.79,109600.0
03/07/2012,16:00,15.05,15.58,14.59,15.5,104900.0
03/08/2012,16:00,15.84,15.99,15.21,15.48,201600.0
03/09/2012,16:00,15.44,15.66,15.0,15.5,77500.0
03/12/2012,16:00,15.44,15.97,15.24,15.93,85600.0
03/13/2012,16:00,15.99,16.11,15.58,16.04,112700.0
03/14/2012,16:00,15.92,15.92,15.64,15.73,83900.0
