Date,Time,Open,High,Low,Close,Vol
09/07/1984,16:00,0.11,0.11,0.11,0.11,270.5295
09/10/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/11/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/12/1984,16:00,0.11,0.11,0.11,0.11,2493.943828125
09/13/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/14/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/17/1984,16:00,0.11,0.11,0.11,0.11,270.5295
09/18/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/19/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/20/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/21/1984,16:00,0.11,0.11,0.11,0.11,270.5295
09/24/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/25/1984,16:00,0.11,0.11,0.11,0.11,2493.943828125
09/26/1984,16:00,0.11,0.11,0.11,0.11,15420.1815
09/27/1984,16:00,0.11,0.11,0.11,0.11,0.0
09/28/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/01/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/02/1984,16:00,0.11,0.11,0.11,0.11,1293.469171875
10/03/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/04/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/05/1984,16:00,0.11,0.11,0.11,0.11,270.5295
10/08/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/09/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/10/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/11/1984,16:00,0.11,0.11,0.11,0.11,10652.0990625
10/12/1984,16:00,0.11,0.11,0.11,0.11,270.5295
10/15/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/16/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/17/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/18/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/19/1984,16:00,0.11,0.11,0.11,0.11,0.0
10/22/1984,16:00,0.11,0.11,0.11,0.11,0.0
