Date,Time,Open,High,Low,Close,Vol
10/16/1996,16:00,12.25,14.25,12.25,13.25,1689000.0
10/17/1996,16:00,14.0,14.0,13.25,13.37,488100.0
10/18/1996,16:00,14.0,14.0,13.25,13.25,177800.0
10/21/1996,16:00,13.25,13.75,12.75,12.75,540200.0
10/22/1996,16:00,12.75,13.0,12.0,12.0,85900.0
10/23/1996,16:00,12.75,12.75,12.0,12.75,30300.0
10/24/1996,16:00,12.13,12.75,12.13,12.13,5200.0
10/25/1996,16:00,12.0,12.75,12.0,12.0,31500.0
10/28/1996,16:00,12.0,12.0,12.0,12.0,21800.0
10/29/1996,16:00,12.0,12.75,11.75,12.0,32500.0
10/30/1996,16:00,12.0,12.5,12.0,12.0,32600.0
10/31/1996,16:00,12.13,12.5,12.0,12.5,22600.0
11/01/1996,16:00,12.0,12.0,12.0,12.0,20400.0
11/04/1996,16:00,12.0,12.0,12.0,12.0,1600.0
11/05/1996,16:00,12.0,12.75,12.0,12.25,15300.0
11/06/1996,16:00,12.75,12.75,12.0,12.0,37000.0
11/07/1996,16:00,12.75,12.75,12.0,12.0,13200.0
11/08/1996,16:00,12.0,12.0,12.0,12.0,5900.0
11/11/1996,16:00,12.0,12.5,12.0,12.5,60100.0
11/12/1996,16:00,12.5,12.5,12.0,12.0,70100.0
11/13/1996,16:00,12.5,12.75,12.0,12.75,274200.0
11/14/1996,16:00,12.75,12.75,12.0,12.75,2700.0
11/15/1996,16:00,12.5,12.75,12.0,12.5,47100.0
11/18/1996,16:00,14.0,14.0,13.25,13.25,16900.0
11/19/1996,16:00,12.0,12.38,11.0,11.0,62700.0
11/20/1996,16:00,11.75,11.75,11.0,11.0,30100.0
11/21/1996,16:00,13.25,13.75,12.75,12.75,11500.0
11/22/1996,16:00,12.75,13.0,12.0,12.0,182800.0
11/25/1996,16:00,12.0,12.75,12.0,12.0,77000.0
11/26/1996,16:00,10.25,11.0,10.25,10.25,9200.0
11/27/1996,16:00,10.38,11.0,10.25,10.25,8300.0
11/29/1996,16:00,12.0,12.75,11.75,12.0,1200.0
12/02/1996,16:00,10.5,10.75,9.5,10.5,65100.0
12/03/1996,16:00,10.25,10.5,10.0,10.0,4400.0
12/04/1996,16:00,12.0,12.0,12.0,12.0,144900.0
12/05/1996,16:00,12.0,12.75,12.0,12.25,374700.0
12/06/1996,16:00,12.75,12.75,12.0,12.0,97800.0
12/09/1996,16:00,10.12,10.5,9.94,10.38,177600.0
12/10/1996,16:00,10.5,13.0,10.38,12.69,242400.0
12/11/1996,16:00,12.0,12.5,12.0,12.5,29000.0
12/12/1996,16:00,12.5,12.5,12.0,12.0,111100.0
12/13/1996,16:00,12.5,12.75,12.0,12.75,60100.0
12/16/1996,16:00,14.5,14.5,13.0,13.62,146900.0
12/17/1996,16:00,13.25,13.62,13.25,13.5,36300.0
12/18/1996,16:00,13.0,13.0,12.0,12.0,72400.0
12/19/1996,16:00,12.0,12.37,11.0,11.0,11200.0
12/20/1996,16:00,11.75,11.75,11.0,11.0,23600.0
12/23/1996,16:00,13.62,13.62,13.0,13.5,76300.0
12/24/1996,16:00,13.62,13.62,13.5,13.62,68100.0
12/26/1996,16:00,10.25,11.0,10.25,10.25,41500.0
12/27/1996,16:00,10.37,11.0,10.25,10.25,51300.0
12/30/1996,16:00,15.12,15.75,15.0,15.75,108300.0
12/31/1996,16:00,15.75,15.75,15.25,15.75,41500.0
01/02/1997,16:00,15.0,15.75,14.75,15.5,19200.0
01/03/1997,16:00,16.88,17.25,15.25,17.0,118000.0
01/06/1997,16:00,18.0,19.75,16.5,18.63,1041000.0
01/07/1997,16:00,18.75,19.75,18.25,19.0,272000.0
01/08/1997,16:00,19.5,19.63,18.38,19.0,83900.0
01/09/1997,16:00,19.13,19.13,18.38,19.13,28200.0
01/10/1997,16:00,18.25,19.13,17.38,18.25,101800.0
01/13/1997,16:00,19.0,19.5,18.25,19.13,34800.0
01/14/1997,16:00,20.0,20.0,19.25,19.25,68000.0
01/15/1997,16:00,19.5,20.0,19.25,19.5,80600.0
01/16/1997,16:00,19.25,20.0,18.75,19.75,227400.0
01/17/1997,16:00,19.73,19.75,19.73,19.75,200.0
01/20/1997,16:00,19.75,20.25,18.75,20.25,19200.0
01/21/1997,16:00,20.5,21.75,19.75,21.25,49800.0
01/22/1997,16:00,21.5,24.0,20.75,24.0,71200.0
01/23/1997,16:00,23.25,24.25,21.75,23.0,73900.0
01/24/1997,16:00,23.0,23.0,20.5,20.63,57300.0
01/27/1997,16:00,21.25,21.25,20.25,20.5,42500.0
01/28/1997,16:00,21.0,21.0,19.75,20.0,6300.0
01/29/1997,16:00,20.5,21.0,19.75,20.0,9400.0
01/30/1997,16:00,20.75,21.0,19.75,20.38,2800.0
01/31/1997,16:00,21.0,22.25,20.75,22.25,154800.0
02/03/1997,16:00,21.0,23.25,20.75,23.13,71600.0
02/04/1997,16:00,23.25,24.0,22.25,23.75,58100.0
02/05/1997,16:00,22.75,23.75,22.5,23.5,26400.0
02/06/1997,16:00,23.25,23.25,22.5,23.0,4000.0
02/07/1997,16:00,22.5,23.75,22.5,23.75,18100.0
02/10/1997,16:00,23.0,23.75,22.5,22.75,156100.0
02/11/1997,16:00,22.5,23.5,21.5,21.5,17000.0
02/12/1997,16:00,20.75,21.75,20.5,21.0,23500.0
02/13/1997,16:00,21.75,22.0,21.0,21.25,44900.0
02/14/1997,16:00,22.38,23.25,22.38,23.25,48400.0
02/18/1997,16:00,23.25,23.63,22.5,23.0,12000.0
02/19/1997,16:00,23.5,24.0,23.0,23.5,20800.0
02/20/1997,16:00,24.0,24.25,23.0,24.0,92900.0
02/21/1997,16:00,24.0,24.25,23.25,23.75,7700.0
02/24/1997,16:00,23.88,24.13,23.0,23.88,48200.0
02/25/1997,16:00,24.25,24.25,23.0,23.25,2800.0
02/26/1997,16:00,23.94,23.94,23.0,23.0,8600.0
02/27/1997,16:00,23.0,24.13,20.0,20.0,56300.0
02/28/1997,16:00,19.5,20.0,18.5,19.75,25600.0
03/03/1997,16:00,19.0,19.75,18.5,19.25,63500.0
03/04/1997,16:00,19.5,19.5,18.5,19.25,9700.0
03/05/1997,16:00,19.0,19.13,18.5,18.75,5900.0
03/06/1997,16:00,18.5,19.5,18.5,19.5,19300.0
03/07/1997,16:00,19.0,19.13,17.5,18.5,54900.0
03/10/1997,16:00,18.13,18.5,17.0,18.0,36500.0
03/11/1997,16:00,18.25,18.25,17.75,18.25,26200.0
03/12/1997,16:00,17.5,18.25,17.5,18.25,46200.0
03/13/1997,16:00,17.5,17.75,17.25,17.75,11700.0
03/14/1997,16:00,17.0,17.75,17.0,17.13,31800.0
03/17/1997,16:00,16.75,17.75,16.25,16.25,10000.0
03/18/1997,16:00,16.25,16.75,16.25,16.75,3700.0
03/19/1997,16:00,15.75,16.5,15.5,15.5,102900.0
03/20/1997,16:00,16.5,16.5,14.5,15.5,17600.0
03/21/1997,16:00,15.5,15.5,15.25,15.5,20500.0
