Date,Time,Open,High,Low,Close,Vol
09/07/1984,16:00,2.70,2.79,2.70,2.79,1300.0
09/10/1984,16:00,2.79,2.89,2.79,2.89,2600.0
09/11/1984,16:00,2.89,2.89,2.89,2.89,600.0
09/12/1984,16:00,2.89,2.89,2.89,2.89,1300.0
09/13/1984,16:00,2.89,2.89,2.89,2.89,100.0
09/14/1984,16:00,2.89,2.99,2.89,2.89,2300.0
09/17/1984,16:00,2.89,2.89,2.79,2.79,2200.0
09/18/1984,16:00,2.79,2.79,2.79,2.79,2000.0
09/19/1984,16:00,2.79,2.79,2.79,2.79,5100.0
09/20/1984,16:00,2.79,2.79,2.79,2.79,2500.0
09/21/1984,16:00,2.79,2.79,2.79,2.79,1100.0
09/24/1984,16:00,2.79,2.79,2.79,2.79,1100.0
09/25/1984,16:00,2.79,2.79,2.79,2.79,1400.0
09/26/1984,16:00,2.79,2.89,2.79,2.79,600.0
09/27/1984,16:00,2.89,2.89,2.89,2.89,2700.0
09/28/1984,16:00,2.89,3.09,2.79,3.09,10200.0
10/01/1984,16:00,3.09,3.09,2.99,3.09,4800.0
10/02/1984,16:00,3.09,3.09,2.99,2.99,2300.0
10/03/1984,16:00,2.99,3.09,2.99,2.99,3600.0
10/04/1984,16:00,2.99,3.09,2.99,2.99,200.0
10/05/1984,16:00,2.99,2.99,2.99,2.99,300.0
10/08/1984,16:00,2.99,2.99,2.99,2.99,9200.0
10/09/1984,16:00,2.89,2.89,2.89,2.89,3300.0
10/10/1984,16:00,2.89,2.99,2.79,2.89,1300.0
10/11/1984,16:00,2.89,2.99,2.89,2.89,1700.0
10/12/1984,16:00,2.89,2.89,2.89,2.89,300.0
10/15/1984,16:00,2.89,2.89,2.89,2.89,4200.0
10/16/1984,16:00,2.89,2.89,2.70,2.70,4900.0
10/17/1984,16:00,2.70,2.70,2.70,2.70,2800.0
10/18/1984,16:00,2.70,2.79,2.70,2.70,700.0
10/19/1984,16:00,2.70,2.79,2.61,2.79,3300.0
10/22/1984,16:00,2.79,2.79,2.61,2.61,1900.0
10/23/1984,16:00,2.61,2.61,2.61,2.61,0.0
10/24/1984,16:00,2.61,2.61,2.61,2.61,200.0
10/25/1984,16:00,2.61,2.70,2.61,2.70,400.0
10/26/1984,16:00,2.70,2.70,2.61,2.61,15200.0
10/29/1984,16:00,2.61,2.61,2.51,2.61,4600.0
10/30/1984,16:00,2.61,2.70,2.61,2.61,1600.0
10/31/1984,16:00,2.51,2.51,2.51,2.51,300.0
11/01/1984,16:00,2.51,2.61,2.51,2.61,800.0
11/02/1984,16:00,2.61,2.79,2.61,2.79,3800.0
11/05/1984,16:00,2.79,2.79,2.70,2.70,1200.0
11/06/1984,16:00,2.70,2.70,2.70,2.70,500.0
11/07/1984,16:00,2.70,2.89,2.70,2.89,1900.0
11/08/1984,16:00,2.99,3.28,2.99,3.28,9100.0
11/09/1984,16:00,3.28,3.47,3.28,3.37,22200.0
11/12/1984,16:00,3.37,3.47,3.09,3.09,7500.0
11/13/1984,16:00,3.09,3.09,3.09,3.09,1800.0
11/14/1984,16:00,3.09,3.09,2.99,3.09,1300.0
11/15/1984,16:00,3.09,3.09,2.99,3.09,1400.0
11/16/1984,16:00,3.09,3.09,3.09,3.09,300.0
11/19/1984,16:00,3.09,3.09,2.99,2.99,1900.0
11/20/1984,16:00,2.99,2.99,2.99,2.99,3100.0
11/21/1984,16:00,2.99,3.09,2.99,3.09,700.0
11/23/1984,16:00,3.09,3.09,3.09,3.09,900.0
11/26/1984,16:00,3.09,3.09,2.99,2.99,200.0
11/27/1984,16:00,2.99,2.99,2.89,2.89,2200.0
11/28/1984,16:00,2.89,2.99,2.79,2.79,3200.0
11/29/1984,16:00,2.79,2.79,2.70,2.70,300.0
11/30/1984,16:00,2.79,2.89,2.79,2.79,3000.0
12/03/1984,16:00,2.79,2.99,2.70,2.79,1700.0
12/04/1984,16:00,2.79,2.89,2.70,2.70,3500.0
12/05/1984,16:00,2.70,2.70,2.51,2.51,3900.0
12/06/1984,16:00,2.51,2.61,2.51,2.51,1800.0
12/07/1984,16:00,2.51,2.79,2.51,2.70,5900.0
12/10/1984,16:00,2.70,2.70,2.51,2.61,2600.0
12/11/1984,16:00,2.61,2.61,2.41,2.51,5700.0
12/12/1984,16:00,2.51,2.51,2.41,2.41,3200.0
12/13/1984,16:00,2.51,2.51,2.51,2.51,1500.0
12/14/1984,16:00,2.51,2.70,2.41,2.70,11300.0
12/17/1984,16:00,2.51,2.51,2.51,2.51,5100.0
12/18/1984,16:00,2.51,2.51,2.51,2.51,2300.0
12/19/1984,16:00,2.51,2.61,2.51,2.51,4300.0
12/20/1984,16:00,2.51,2.51,2.51,2.51,3900.0
12/21/1984,16:00,2.51,2.51,2.51,2.51,3200.0
12/24/1984,16:00,2.51,2.61,2.51,2.51,2900.0
12/26/1984,16:00,2.51,2.51,2.51,2.51,5700.0
12/27/1984,16:00,2.51,2.51,2.41,2.41,4100.0
12/28/1984,16:00,2.41,2.41,2.31,2.31,6700.0
12/31/1984,16:00,2.31,2.61,2.31,2.61,10400.0
01/02/1985,16:00,2.61,2.79,2.61,2.79,1500.0
01/03/1985,16:00,2.79,2.79,2.79,2.79,1000.0
01/04/1985,16:00,2.79,2.79,2.79,2.79,0.0
01/07/1985,16:00,2.79,2.79,2.61,2.70,5500.0
01/08/1985,16:00,2.61,2.61,2.61,2.61,900.0
01/09/1985,16:00,2.61,2.70,2.61,2.70,700.0
01/10/1985,16:00,2.70,2.79,2.61,2.61,2000.0
01/11/1985,16:00,2.70,2.79,2.70,2.70,600.0
01/14/1985,16:00,2.70,2.79,2.70,2.79,700.0
01/15/1985,16:00,2.79,2.89,2.70,2.79,5400.0
01/16/1985,16:00,2.79,2.79,2.61,2.61,5500.0
01/17/1985,16:00,2.70,2.79,2.70,2.70,3700.0
01/18/1985,16:00,2.70,2.79,2.70,2.70,900.0
01/21/1985,16:00,2.70,2.89,2.70,2.89,2500.0
01/22/1985,16:00,2.89,2.99,2.79,2.99,8000.0
01/23/1985,16:00,2.99,2.99,2.89,2.89,4200.0
01/24/1985,16:00,2.79,2.79,2.79,2.79,3000.0
01/25/1985,16:00,2.79,3.09,2.79,3.09,7500.0
01/28/1985,16:00,2.99,2.99,2.89,2.99,3100.0
01/29/1985,16:00,2.89,2.89,2.89,2.89,500.0
01/30/1985,16:00,2.99,2.99,2.99,2.99,6200.0
01/31/1985,16:00,2.89,2.89,2.89,2.89,200.0
02/01/1985,16:00,2.89,2.89,2.89,2.89,1300.0
02/04/1985,16:00,2.89,2.89,2.70,2.70,2500.0
02/05/1985,16:00,2.70,2.79,2.70,2.70,800.0
02/06/1985,16:00,2.79,2.89,2.79,2.89,3300.0
02/07/1985,16:00,2.89,2.89,2.79,2.89,3100.0
02/08/1985,16:00,2.89,2.89,2.79,2.89,2800.0
02/11/1985,16:00,2.89,2.89,2.89,2.89,1700.0
02/12/1985,16:00,2.99,3.09,2.99,3.09,26200.0
02/13/1985,16:00,3.09,3.37,3.09,3.18,20000.0
02/14/1985,16:00,3.18,3.28,2.99,2.99,8300.0
02/15/1985,16:00,2.99,2.99,2.99,2.99,600.0
02/19/1985,16:00,2.99,3.09,2.89,2.99,4700.0
02/20/1985,16:00,2.99,3.09,2.99,3.09,400.0
02/21/1985,16:00,3.09,3.09,2.99,3.09,4400.0
02/22/1985,16:00,2.99,2.99,2.89,2.89,2800.0
02/25/1985,16:00,2.89,2.89,2.79,2.79,1200.0
02/26/1985,16:00,2.79,2.79,2.70,2.79,1700.0
02/27/1985,16:00,2.89,2.99,2.89,2.89,1800.0
02/28/1985,16:00,2.79,2.79,2.79,2.79,1400.0
03/01/1985,16:00,2.79,2.89,2.79,2.89,1300.0
03/04/1985,16:00,2.99,2.99,2.99,2.99,1900.0
03/05/1985,16:00,2.99,2.99,2.79,2.89,3500.0
03/06/1985,16:00,2.89,2.89,2.70,2.79,1700.0
03/07/1985,16:00,2.79,2.79,2.70,2.79,4900.0
03/08/1985,16:00,2.79,2.89,2.79,2.89,400.0
03/11/1985,16:00,2.89,2.89,2.89,2.89,0.0
03/12/1985,16:00,2.89,2.89,2.70,2.79,2100.0
03/13/1985,16:00,2.79,2.89,2.79,2.89,3400.0
03/14/1985,16:00,2.89,2.89,2.79,2.89,1200.0
03/15/1985,16:00,2.89,2.89,2.79,2.79,4000.0
03/18/1985,16:00,2.79,2.99,2.79,2.99,3100.0
03/19/1985,16:00,2.99,2.99,2.89,2.89,3200.0
03/20/1985,16:00,2.89,2.99,2.89,2.89,2700.0
03/21/1985,16:00,2.99,2.99,2.99,2.99,900.0
03/22/1985,16:00,2.99,2.99,2.99,2.99,0.0
03/25/1985,16:00,2.89,2.89,2.89,2.89,2000.0
03/26/1985,16:00,2.89,2.89,2.79,2.79,1200.0
03/27/1985,16:00,2.79,2.79,2.79,2.79,0.0
03/28/1985,16:00,2.79,2.89,2.70,2.70,2200.0
03/29/1985,16:00,2.70,2.79,2.70,2.70,1400.0
04/01/1985,16:00,2.70,2.70,2.51,2.51,6700.0
04/02/1985,16:00,2.51,2.51,2.51,2.51,2300.0
04/03/1985,16:00,2.51,2.51,2.41,2.41,1200.0
04/04/1985,16:00,2.41,2.51,2.41,2.41,2300.0
04/08/1985,16:00,2.51,2.61,2.51,2.51,4800.0
04/09/1985,16:00,2.41,2.41,2.41,2.41,1300.0
04/10/1985,16:00,2.41,2.41,2.41,2.41,1000.0
04/11/1985,16:00,2.51,2.89,2.51,2.70,9800.0
04/12/1985,16:00,2.70,2.89,2.70,2.89,4700.0
