Date,Time,Open,High,Low,Close,Vol
03/12/2010,16:00,8.25,9.0,8.16,8.99,2995300.0
03/15/2010,16:00,8.65,9.0,8.65,9.0,519400.0
03/16/2010,16:00,9.0,9.0,8.75,8.86,87600.0
03/17/2010,16:00,8.85,8.85,8.69,8.83,94800.0
03/18/2010,16:00,8.9,8.9,8.75,8.84,65900.0
03/19/2010,16:00,8.75,8.9,8.69,8.75,202900.0
03/22/2010,16:00,8.65,8.75,8.25,8.6,52600.0
03/23/2010,16:00,8.51,8.65,8.27,8.57,52100.0
03/24/2010,16:00,8.6,8.6,8.3,8.6,58100.0
03/25/2010,16:00,8.72,8.78,8.43,8.55,30200.0
03/26/2010,16:00,8.46,8.81,8.45,8.80,27200.0
03/29/2010,16:00,8.81,8.99,8.75,8.98,45500.0
03/30/2010,16:00,8.73,8.99,8.55,8.87,59700.0
03/31/2010,16:00,8.63,9.02,8.59,9.0,48000.0
04/01/2010,16:00,9.05,9.07,8.6,9.07,43900.0
04/05/2010,16:00,9.00,9.4,8.95,9.34,38200.0
04/06/2010,16:00,9.17,9.25,9.08,9.23,18500.0
04/07/2010,16:00,9.2,9.39,9.01,9.39,55300.0
04/08/2010,16:00,9.4,9.61,9.24,9.31,34800.0
04/09/2010,16:00,9.24,9.4,9.18,9.35,30500.0
04/12/2010,16:00,9.17,9.5,8.85,9.5,46100.0
04/13/2010,16:00,9.19,9.26,8.81,8.81,46000.0
04/14/2010,16:00,8.89,9.0,8.8,8.88,31400.0
04/15/2010,16:00,8.8,8.9,8.55,8.89,15400.0
04/16/2010,16:00,8.63,9.0,8.55,8.9,37800.0
04/19/2010,16:00,8.9,8.92,8.76,8.86,17100.0
04/20/2010,16:00,8.9,9.39,8.87,9.39,26300.0
04/21/2010,16:00,9.54,9.83,9.54,9.63,118200.0
04/22/2010,16:00,9.91,9.91,8.7,9.0,83200.0
04/23/2010,16:00,9.1,9.38,8.9,9.05,54800.0
04/26/2010,16:00,9.09,9.38,8.9,9.03,38500.0
04/27/2010,16:00,9.19,9.28,8.91,9.03,20200.0
04/28/2010,16:00,9.37,9.39,8.61,8.82,82000.0
04/29/2010,16:00,9.24,9.63,8.95,9.31,40600.0
04/30/2010,16:00,9.02,9.49,8.96,9.46,28000.0
05/03/2010,16:00,9.53,9.53,8.6,8.79,117300.0
05/04/2010,16:00,8.61,9.12,8.54,8.72,31900.0
05/05/2010,16:00,8.58,9.03,8.4,8.56,39700.0
05/06/2010,16:00,8.48,8.79,7.51,7.9,89700.0
05/07/2010,16:00,7.77,8.1,7.01,7.82,93700.0
05/10/2010,16:00,7.85,8.21,7.85,7.92,22500.0
05/11/2010,16:00,7.94,8.32,7.73,8.1,19300.0
05/12/2010,16:00,8.5,8.9,8.37,8.76,49500.0
05/13/2010,16:00,8.4,8.72,8.25,8.63,24300.0
05/14/2010,16:00,8.32,8.69,8.22,8.5,31800.0
05/17/2010,16:00,8.38,8.67,8.04,8.2,43700.0
05/18/2010,16:00,8.11,8.3,8.11,8.23,11800.0
05/19/2010,16:00,8.3,8.3,7.97,8.1,25800.0
05/20/2010,16:00,7.88,7.93,7.31,7.9,48600.0
05/21/2010,16:00,7.52,8.3,7.52,8.15,20000.0
05/24/2010,16:00,8.28,8.28,7.72,7.89,8800.0
05/25/2010,16:00,7.8,8.01,7.51,7.98,28900.0
05/26/2010,16:00,7.81,7.81,7.55,7.65,10200.0
05/27/2010,16:00,7.9,8.12,7.73,8.02,13100.0
05/28/2010,16:00,7.52,8.02,7.52,8.01,9900.0
06/01/2010,16:00,8.0,8.14,7.61,7.82,8400.0
06/02/2010,16:00,8.19,8.28,7.83,8.26,6400.0
06/03/2010,16:00,7.70,8.25,7.70,8.0,12700.0
06/04/2010,16:00,8.05,8.22,7.6,7.64,4200.0
06/07/2010,16:00,7.65,8.6,7.5,7.98,51600.0
06/08/2010,16:00,8.28,8.28,7.7,7.7,38800.0
06/09/2010,16:00,7.74,8.1,7.51,7.51,74100.0
06/10/2010,16:00,7.52,7.85,7.45,7.45,82300.0
06/11/2010,16:00,7.36,7.45,7.35,7.42,11600.0
06/14/2010,16:00,7.32,7.5,7.28,7.4,24600.0
06/15/2010,16:00,7.29,7.34,7.0,7.22,38900.0
06/16/2010,16:00,7.28,7.3,7.03,7.19,244900.0
06/17/2010,16:00,7.11,7.44,7.11,7.44,16300.0
06/18/2010,16:00,7.42,7.7,7.19,7.2,33200.0
06/21/2010,16:00,7.12,7.38,6.9,7.21,35700.0
06/22/2010,16:00,7.21,7.35,6.99,7.0,49300.0
06/23/2010,16:00,6.94,8.25,6.9,7.87,99800.0
06/24/2010,16:00,8.11,8.51,7.15,7.28,122600.0
06/25/2010,16:00,7.28,7.57,6.94,7.21,1019200.0
06/28/2010,16:00,7.24,7.72,7.16,7.45,28600.0
06/29/2010,16:00,7.34,7.89,7.33,7.48,42000.0
06/30/2010,16:00,7.46,7.46,6.99,7.07,18100.0
07/01/2010,16:00,7.11,7.16,6.87,6.97,11800.0
07/02/2010,16:00,7.05,7.09,6.86,6.94,15600.0
07/06/2010,16:00,7.15,7.21,6.46,6.63,61400.0
07/07/2010,16:00,6.65,6.91,6.58,6.86,35400.0
07/08/2010,16:00,6.95,6.95,6.68,6.75,47500.0
07/09/2010,16:00,6.76,6.76,6.26,6.37,20000.0
07/12/2010,16:00,6.33,6.65,6.23,6.54,17400.0
07/13/2010,16:00,6.64,6.79,6.47,6.74,74800.0
07/14/2010,16:00,6.7,6.7,6.31,6.37,15600.0
07/15/2010,16:00,6.36,6.64,6.36,6.55,82100.0
07/16/2010,16:00,6.52,6.59,6.25,6.45,26200.0
07/19/2010,16:00,6.38,6.38,6.25,6.31,8800.0
07/20/2010,16:00,6.25,6.46,6.01,6.32,37200.0
07/21/2010,16:00,6.35,6.61,6.06,6.10,16300.0
07/22/2010,16:00,6.22,6.85,6.17,6.85,15100.0
07/23/2010,16:00,6.83,7.4,6.81,7.4,14400.0
07/26/2010,16:00,7.46,7.57,6.85,7.35,24000.0
07/27/2010,16:00,7.4,7.47,7.02,7.41,12000.0
07/28/2010,16:00,7.36,7.36,6.95,6.99,8500.0
07/29/2010,16:00,7.0,7.2,6.89,7.15,4100.0
07/30/2010,16:00,7.84,7.84,7.35,7.74,33800.0
08/02/2010,16:00,7.88,8.02,7.51,7.95,119800.0
08/03/2010,16:00,7.94,8.24,7.78,7.89,33700.0
08/04/2010,16:00,7.95,7.95,7.7,7.93,6600.0
08/05/2010,16:00,7.77,7.92,7.77,7.83,5000.0
08/06/2010,16:00,7.73,7.96,7.3,7.31,4700.0
08/09/2010,16:00,7.37,7.70,7.37,7.63,8300.0
08/10/2010,16:00,7.52,7.71,7.23,7.23,11400.0
08/11/2010,16:00,7.11,7.11,6.6,6.6,20700.0
08/12/2010,16:00,6.5,6.78,6.5,6.69,13000.0
08/13/2010,16:00,6.66,7.46,6.66,6.91,23400.0
08/16/2010,16:00,6.89,7.45,6.89,7.17,13400.0
08/17/2010,16:00,7.26,7.5,7.13,7.37,16700.0
08/18/2010,16:00,7.35,7.4,7.24,7.33,14900.0
08/19/2010,16:00,7.28,7.49,6.84,6.84,20300.0
08/20/2010,16:00,6.84,6.84,6.43,6.51,26500.0
08/23/2010,16:00,6.53,6.62,6.25,6.25,14100.0
08/24/2010,16:00,6.18,6.75,6.18,6.7,30500.0
08/25/2010,16:00,6.9,7.5,6.9,7.46,27000.0
08/26/2010,16:00,7.47,7.75,7.47,7.71,20000.0
