Date,Time,Open,High,Low,Close,Vol
06/28/2000,16:00,8.28,8.28,8.15,8.15,2326700.0
06/29/2000,16:00,8.03,8.11,8.03,8.11,372500.0
06/30/2000,16:00,8.07,8.44,8.07,8.44,213100.0
07/03/2000,16:00,8.44,8.44,8.28,8.36,47300.0
07/05/2000,16:00,8.28,8.36,8.28,8.32,90500.0
07/06/2000,16:00,8.28,8.44,8.24,8.36,176000.0
07/07/2000,16:00,8.28,8.53,8.28,8.48,130500.0
07/10/2000,16:00,8.44,8.57,8.44,8.53,95500.0
07/11/2000,16:00,8.44,8.44,8.36,8.36,64400.0
07/12/2000,16:00,8.36,8.57,8.36,8.57,81500.0
07/13/2000,16:00,8.53,8.53,8.53,8.53,43700.0
07/14/2000,16:00,8.48,8.57,8.48,8.53,62900.0
07/17/2000,16:00,8.53,8.53,8.44,8.48,50900.0
07/18/2000,16:00,8.40,8.48,8.36,8.44,13800.0
07/19/2000,16:00,8.44,8.44,8.32,8.32,48300.0
07/20/2000,16:00,8.40,8.40,8.36,8.40,17100.0
07/21/2000,16:00,8.36,8.44,8.36,8.44,37400.0
07/24/2000,16:00,8.44,8.44,8.36,8.40,47400.0
07/25/2000,16:00,8.36,8.36,8.28,8.32,11800.0
07/26/2000,16:00,8.36,8.40,8.32,8.40,48400.0
07/27/2000,16:00,8.40,8.48,8.36,8.48,60500.0
07/28/2000,16:00,8.44,8.48,8.36,8.36,36000.0
07/31/2000,16:00,8.36,8.36,8.32,8.32,27000.0
08/01/2000,16:00,8.32,8.40,8.32,8.36,38800.0
08/02/2000,16:00,8.40,8.44,8.36,8.44,45800.0
08/03/2000,16:00,8.36,8.44,8.36,8.44,64500.0
08/04/2000,16:00,8.40,8.61,8.40,8.61,241500.0
08/07/2000,16:00,8.61,8.94,8.61,8.86,218700.0
08/08/2000,16:00,8.81,9.11,8.81,9.11,60300.0
08/09/2000,16:00,9.19,9.19,9.07,9.07,15300.0
08/10/2000,16:00,9.07,9.07,8.94,8.94,15200.0
08/11/2000,16:00,9.07,9.27,9.07,9.11,20100.0
08/14/2000,16:00,9.19,9.27,9.19,9.27,23000.0
08/15/2000,16:00,9.23,9.27,9.23,9.23,31500.0
08/16/2000,16:00,9.27,9.27,9.23,9.23,24500.0
08/17/2000,16:00,9.27,9.56,9.27,9.48,48900.0
08/18/2000,16:00,9.44,9.56,9.44,9.44,49100.0
08/21/2000,16:00,9.52,9.52,9.48,9.48,7000.0
08/22/2000,16:00,9.52,9.60,9.48,9.60,45100.0
08/23/2000,16:00,9.60,9.68,9.60,9.64,8800.0
08/24/2000,16:00,9.77,9.93,9.77,9.85,36300.0
08/25/2000,16:00,9.85,9.85,9.85,9.85,5300.0
08/28/2000,16:00,9.85,9.85,9.77,9.85,9800.0
08/29/2000,16:00,9.85,9.85,9.85,9.85,19800.0
