Date,Time,Open,High,Low,Close,Vol
09/18/2013,16:00,42.5,55.87,41.5,53.55,6191300.0
09/19/2013,16:00,53.35,55.4,48.1,50.3,535600.0
09/20/2013,16:00,49.74,51.56,49.1,50.91,164700.0
09/23/2013,16:00,51.85,51.85,48.53,49.57,335400.0
09/24/2013,16:00,49.12,50.45,47.6,47.95,47500.0
09/25/2013,16:00,48.38,50.28,45.51,46.52,97400.0
09/26/2013,16:00,46.23,47.39,44.05,44.97,98700.0
09/27/2013,16:00,44.78,48.84,43.51,48.46,128000.0
09/30/2013,16:00,48.2,49.95,46.26,49.16,37600.0
10/01/2013,16:00,49.5,49.89,47.12,49.1,24400.0
10/02/2013,16:00,49.12,49.88,47.20,49.05,73000.0
10/03/2013,16:00,48.59,49.63,47.29,47.31,32200.0
10/04/2013,16:00,47.35,48.00,44.14,44.77,252800.0
10/07/2013,16:00,44.78,44.92,43.0,43.25,125400.0
10/08/2013,16:00,43.0,44.18,38.63,39.67,165800.0
10/09/2013,16:00,39.7,39.7,37.32,38.31,112500.0
10/10/2013,16:00,39.93,43.23,38.56,40.73,142200.0
10/11/2013,16:00,42.48,42.5,40.78,41.86,166100.0
10/14/2013,16:00,42.89,48.57,42.82,48.32,435600.0
10/15/2013,16:00,49.16,49.16,45.44,47.59,185700.0
10/16/2013,16:00,47.99,49.5,47.99,49.1,52200.0
10/17/2013,16:00,48.02,49.31,47.59,48.57,18000.0
10/18/2013,16:00,49.22,49.99,48.4,48.6,24100.0
10/21/2013,16:00,49.88,53.79,48.96,52.59,79500.0
10/22/2013,16:00,52.47,52.77,49.81,51.0,124000.0
10/23/2013,16:00,50.31,52.84,48.51,50.45,52200.0
10/24/2013,16:00,50.01,55.4,50.01,52.63,73400.0
10/25/2013,16:00,52.87,53.75,51.77,52.6,48900.0
10/28/2013,16:00,52.62,53.01,51.77,52.26,44700.0
10/29/2013,16:00,52.45,53.39,51.76,52.89,68100.0
10/30/2013,16:00,53.0,53.26,51.3,52.72,24600.0
10/31/2013,16:00,52.2,52.2,48.02,50.1,70300.0
11/01/2013,16:00,49.12,50.62,49.12,50.08,32200.0
11/04/2013,16:00,50.59,50.95,48.25,48.35,55400.0
11/05/2013,16:00,47.6,50.77,47.58,47.82,21100.0
11/06/2013,16:00,48.68,49.42,47.83,48.63,22600.0
11/07/2013,16:00,49.19,49.19,43.34,46.26,133900.0
11/08/2013,16:00,46.18,48.5,46.18,46.26,164600.0
11/11/2013,16:00,46.02,47.68,46.02,47.63,37700.0
11/12/2013,16:00,47.21,48.46,47.21,48.04,38000.0
11/13/2013,16:00,48.33,48.44,47.02,47.49,19400.0
11/14/2013,16:00,47.22,47.3,41.22,42.26,90400.0
11/15/2013,16:00,42.11,46.0,42.11,43.5,100700.0
11/18/2013,16:00,43.23,44.42,39.07,40.39,78300.0
11/19/2013,16:00,40.45,42.20,39.73,39.93,29800.0
11/20/2013,16:00,40.01,41.29,39.5,40.85,23300.0
11/21/2013,16:00,40.74,41.15,39.6,40.27,42300.0
11/22/2013,16:00,40.46,41.42,40.01,40.84,8100.0
11/25/2013,16:00,41.3,42.0,40.88,41.61,24600.0
11/26/2013,16:00,42.0,43.97,42.0,43.1,43100.0
11/27/2013,16:00,43.07,48.9,43.07,48.05,52400.0
11/29/2013,16:00,48.61,49.96,48.25,48.31,11700.0
12/02/2013,16:00,49.03,49.37,48.15,48.7,52800.0
12/03/2013,16:00,48.65,49.0,45.63,46.5,150700.0
12/04/2013,16:00,47.81,47.81,45.98,46.07,49500.0
12/05/2013,16:00,45.95,46.65,44.94,45.72,31700.0
12/06/2013,16:00,46.15,48.72,46.15,48.25,46900.0
