Date,Time,Open,High,Low,Close,Vol
05/09/1996,16:00,23.6,24.0,23.1,23.2,580000.0
05/10/1996,16:00,24.0,24.2,23.6,24.0,1060000.0
05/13/1996,16:00,24.0,24.1,23.3,23.90,700000.0
05/14/1996,16:00,24.0,24.1,23.1,23.6,310000.0
05/15/1996,16:00,23.6,23.7,23.0,23.2,545000.0
05/16/1996,16:00,23.1,23.1,22.3,22.6,360000.0
05/17/1996,16:00,22.6,23.0,22.6,22.8,325000.0
05/20/1996,16:00,22.90,23.0,22.40,22.5,240000.0
05/21/1996,16:00,22.7,22.8,22.3,22.6,235000.0
05/22/1996,16:00,22.7,22.7,21.8,22.0,250000.0
05/23/1996,16:00,22.0,22.2,21.7,22.1,205000.0
05/24/1996,16:00,22.1,22.1,21.40,21.6,155000.0
05/28/1996,16:00,21.90,22.1,21.2,21.2,205000.0
05/29/1996,16:00,21.0,21.3,20.7,20.8,105000.0
05/30/1996,16:00,20.7,20.8,20.0,20.5,320000.0
05/31/1996,16:00,20.2,20.40,19.8,20.40,230000.0
06/03/1996,16:00,20.40,20.5,20.0,20.1,80000.0
06/04/1996,16:00,20.1,21.40,20.1,21.40,115000.0
06/05/1996,16:00,21.40,22.0,21.3,21.86,165000.0
06/06/1996,16:00,21.86,22.0,21.7,21.7,90000.0
06/07/1996,16:00,21.5,21.8,21.2,21.6,85000.0
06/10/1996,16:00,21.7,21.90,21.1,21.2,80000.0
06/11/1996,16:00,21.2,21.7,21.2,21.40,65000.0
06/12/1996,16:00,21.6,22.0,21.40,22.0,110000.0
06/13/1996,16:00,22.0,22.2,21.90,22.06,65000.0
06/14/1996,16:00,22.2,22.2,21.7,22.0,40000.0
06/17/1996,16:00,22.0,22.06,21.7,21.82,40000.0
06/18/1996,16:00,21.86,21.86,21.5,21.66,45000.0
06/19/1996,16:00,21.6,21.7,21.24,21.3,40000.0
06/20/1996,16:00,21.40,21.46,20.5,20.7,55000.0
06/21/1996,16:00,20.5,20.7,20.48,20.7,70000.0
06/24/1996,16:00,20.66,20.8,20.5,20.6,75000.0
06/25/1996,16:00,20.6,20.7,20.1,20.40,120000.0
06/26/1996,16:00,20.52,20.6,20.3,20.40,60000.0
06/27/1996,16:00,20.3,20.36,20.06,20.2,85000.0
06/28/1996,16:00,20.1,20.66,20.1,20.66,105000.0
07/01/1996,16:00,20.66,21.5,20.6,21.5,135000.0
07/02/1996,16:00,21.66,21.8,21.46,21.7,80000.0
07/03/1996,16:00,21.76,21.76,21.1,21.3,40000.0
07/05/1996,16:00,21.0,21.1,20.6,20.7,80000.0
07/08/1996,16:00,20.8,21.5,20.6,20.96,80000.0
07/09/1996,16:00,21.0,21.40,20.66,21.2,170000.0
07/10/1996,16:00,21.3,21.36,20.7,20.98,70000.0
07/11/1996,16:00,21.06,21.06,20.6,20.8,120000.0
07/12/1996,16:00,20.6,21.06,20.6,20.84,90000.0
