Date,Time,Open,High,Low,Close,Vol
08/13/1993,16:00,2.44,2.45,2.40,2.40,14796800.0
08/16/1993,16:00,2.41,2.41,2.33,2.38,3422400.0
08/17/1993,16:00,2.35,2.38,2.34,2.34,732800.0
08/18/1993,16:00,2.34,2.40,2.34,2.38,1084800.0
08/19/1993,16:00,2.36,2.42,2.35,2.42,832800.0
08/20/1993,16:00,2.42,2.46,2.41,2.45,464000.0
08/23/1993,16:00,2.44,2.44,2.41,2.41,146400.0
08/24/1993,16:00,2.42,2.42,2.40,2.40,354400.0
08/25/1993,16:00,2.40,2.42,2.40,2.42,214400.0
08/26/1993,16:00,2.42,2.45,2.42,2.42,287200.0
08/27/1993,16:00,2.42,2.47,2.42,2.45,330400.0
08/30/1993,16:00,2.46,2.47,2.44,2.45,120800.0
08/31/1993,16:00,2.46,2.46,2.44,2.46,233600.0
09/01/1993,16:00,2.44,2.45,2.44,2.45,196800.0
09/02/1993,16:00,2.45,2.45,2.40,2.40,132000.0
09/03/1993,16:00,2.40,2.42,2.35,2.35,51200.0
09/07/1993,16:00,2.38,2.42,2.38,2.38,984800.0
09/08/1993,16:00,2.40,2.40,2.27,2.30,208800.0
09/09/1993,16:00,2.28,2.30,2.28,2.29,277600.0
09/10/1993,16:00,2.30,2.30,2.20,2.21,152000.0
09/13/1993,16:00,2.21,2.26,2.21,2.21,320800.0
09/14/1993,16:00,2.23,2.23,2.09,2.09,1212000.0
09/15/1993,16:00,2.04,2.21,1.97,2.21,1803200.0
09/16/1993,16:00,2.21,2.21,2.14,2.20,248000.0
09/17/1993,16:00,2.17,2.28,2.17,2.27,784800.0
09/20/1993,16:00,2.30,2.33,2.23,2.23,484800.0
09/21/1993,16:00,2.21,2.21,2.14,2.17,240000.0
09/22/1993,16:00,2.17,2.17,2.12,2.15,152000.0
09/23/1993,16:00,2.14,2.14,2.09,2.10,946400.0
09/24/1993,16:00,2.10,2.17,2.10,2.16,480800.0
09/27/1993,16:00,2.16,2.23,2.16,2.22,86400.0
09/28/1993,16:00,2.22,2.23,2.22,2.22,98400.0
09/29/1993,16:00,2.40,2.40,2.36,2.40,788800.0
09/30/1993,16:00,2.40,2.54,2.40,2.53,1268000.0
10/01/1993,16:00,2.53,2.53,2.45,2.50,548800.0
10/04/1993,16:00,2.47,2.50,2.46,2.46,387200.0
10/05/1993,16:00,2.41,2.41,2.33,2.33,482400.0
10/06/1993,16:00,2.33,2.35,2.33,2.35,42400.0
10/07/1993,16:00,2.34,2.36,2.34,2.36,8000.0
10/08/1993,16:00,2.36,2.40,2.36,2.40,905600.0
10/11/1993,16:00,2.39,2.52,2.39,2.52,713600.0
10/12/1993,16:00,2.51,2.53,2.50,2.52,176800.0
10/13/1993,16:00,2.53,2.53,2.50,2.50,346400.0
10/14/1993,16:00,2.52,2.56,2.52,2.53,383200.0
10/15/1993,16:00,2.54,2.56,2.53,2.53,144000.0
10/18/1993,16:00,2.53,2.57,2.53,2.53,160000.0
10/19/1993,16:00,2.54,2.54,2.52,2.53,396800.0
10/20/1993,16:00,2.53,2.54,2.53,2.54,304000.0
10/21/1993,16:00,2.54,2.56,2.54,2.54,90400.0
10/22/1993,16:00,2.54,2.56,2.54,2.54,80000.0
10/25/1993,16:00,2.54,2.56,2.54,2.54,87200.0
10/26/1993,16:00,2.56,2.56,2.50,2.50,502400.0
10/27/1993,16:00,2.50,2.50,2.46,2.46,40000.0
10/28/1993,16:00,2.46,2.50,2.46,2.50,90400.0
10/29/1993,16:00,2.50,2.57,2.48,2.56,408800.0
11/01/1993,16:00,2.54,2.54,2.53,2.54,64000.0
11/02/1993,16:00,2.54,2.54,2.51,2.54,287200.0
11/03/1993,16:00,2.53,2.53,2.51,2.53,40800.0
11/04/1993,16:00,2.51,2.52,2.50,2.50,53600.0
11/05/1993,16:00,2.48,2.48,2.45,2.45,114400.0
11/08/1993,16:00,2.47,2.47,2.45,2.47,150400.0
11/09/1993,16:00,2.45,2.48,2.45,2.46,77600.0
11/10/1993,16:00,2.45,2.45,2.41,2.44,95200.0
11/11/1993,16:00,2.41,2.44,2.41,2.42,68800.0
11/12/1993,16:00,2.42,2.46,2.41,2.41,271200.0
11/15/1993,16:00,2.41,2.41,2.41,2.41,11200.0
11/16/1993,16:00,2.40,2.44,2.40,2.42,127200.0
11/17/1993,16:00,2.40,2.40,2.29,2.29,299200.0
11/18/1993,16:00,2.28,2.29,2.28,2.28,20000.0
11/19/1993,16:00,2.28,2.28,2.24,2.24,27200.0
11/22/1993,16:00,2.23,2.24,2.23,2.24,11200.0
