Date,Time,Open,High,Low,Close,Vol
09/07/1984,16:00,3.91,3.93,3.87,3.87,21600.0
09/10/1984,16:00,3.87,3.91,3.83,3.91,27099.0
09/11/1984,16:00,3.87,3.87,3.79,3.83,65400.75
09/12/1984,16:00,3.81,3.81,3.77,3.79,123399.0
09/13/1984,16:00,3.77,3.77,3.73,3.77,23100.75
09/14/1984,16:00,3.77,3.87,3.77,3.83,44199.0
09/17/1984,16:00,3.85,3.91,3.85,3.91,151200.0
09/18/1984,16:00,3.91,3.93,3.87,3.91,20400.75
09/19/1984,16:00,3.91,3.95,3.87,3.93,80199.0
09/20/1984,16:00,3.93,3.93,3.87,3.89,50499.0
09/21/1984,16:00,3.89,3.91,3.81,3.85,46500.75
09/24/1984,16:00,3.85,3.93,3.85,3.89,23800.5
09/25/1984,16:00,3.89,3.93,3.83,3.85,95800.5
09/26/1984,16:00,3.85,3.89,3.85,3.89,15399.0
09/27/1984,16:00,3.91,4.03,3.91,4.01,135000.0
09/28/1984,16:00,3.99,3.99,3.89,3.97,34800.75
10/01/1984,16:00,3.97,4.01,3.89,3.99,47400.75
10/02/1984,16:00,3.99,4.12,3.95,4.03,243600.75
10/03/1984,16:00,4.03,4.09,4.03,4.07,15300.0
10/04/1984,16:00,4.07,4.07,3.95,3.99,127500.75
10/05/1984,16:00,3.99,4.03,3.99,3.99,12100.5
10/08/1984,16:00,3.99,4.07,3.99,4.07,34200.0
10/09/1984,16:00,4.06,4.10,4.01,4.01,284800.5
10/10/1984,16:00,4.01,4.03,3.91,3.95,42399.0
10/11/1984,16:00,3.95,3.97,3.87,3.97,232200.0
10/12/1984,16:00,3.97,3.99,3.91,3.97,28899.0
10/15/1984,16:00,3.97,4.09,3.95,4.09,39600.0
10/16/1984,16:00,4.09,4.09,4.03,4.03,45600.75
10/17/1984,16:00,4.03,4.11,4.03,4.11,137200.5
10/18/1984,16:00,4.11,4.19,4.05,4.19,28800.0
10/19/1984,16:00,4.18,4.20,4.07,4.07,99999.0
10/22/1984,16:00,4.07,4.09,4.03,4.03,75600.0
10/23/1984,16:00,4.05,4.10,4.05,4.05,53700.75
10/24/1984,16:00,4.05,4.07,4.03,4.05,12699.0
10/25/1984,16:00,4.05,4.11,4.03,4.07,94900.5
10/26/1984,16:00,4.07,4.11,4.07,4.09,10300.5
10/29/1984,16:00,4.09,4.11,4.09,4.09,31000.5
10/30/1984,16:00,4.09,4.20,4.09,4.19,175000.5
10/31/1984,16:00,4.17,4.17,4.11,4.13,21300.75
11/01/1984,16:00,4.12,4.14,4.07,4.09,36999.0
11/02/1984,16:00,4.13,4.16,4.13,4.15,37899.0
11/05/1984,16:00,4.15,4.16,4.11,4.11,37800.0
11/06/1984,16:00,4.11,4.16,4.11,4.11,32100.75
11/07/1984,16:00,4.15,4.16,4.15,4.15,144900.0
11/08/1984,16:00,4.17,4.33,4.17,4.27,163500.75
11/09/1984,16:00,4.27,4.30,4.11,4.13,76599.0
11/12/1984,16:00,4.17,4.27,4.17,4.27,110400.75
11/13/1984,16:00,4.26,4.26,4.17,4.19,36600.75
