Date,Time,Open,High,Low,Close,Vol
10/16/1985,16:00,0.26,0.26,0.26,0.26,0.0
10/17/1985,16:00,0.26,0.26,0.26,0.26,0.0
10/18/1985,16:00,0.26,0.28,0.26,0.26,1600.0
10/21/1985,16:00,0.26,0.26,0.26,0.26,0.0
10/22/1985,16:00,0.26,0.26,0.26,0.26,0.0
10/23/1985,16:00,0.26,0.26,0.26,0.26,0.0
10/24/1985,16:00,0.26,0.26,0.26,0.26,0.0
10/25/1985,16:00,0.28,0.28,0.28,0.28,10800.0
10/28/1985,16:00,0.28,0.28,0.28,0.28,0.0
10/29/1985,16:00,0.28,0.29,0.28,0.28,5200.0
10/30/1985,16:00,0.29,0.29,0.29,0.29,18000.0
10/31/1985,16:00,0.29,0.29,0.29,0.29,0.0
11/01/1985,16:00,0.29,0.30,0.29,0.29,12800.0
11/04/1985,16:00,0.29,0.29,0.29,0.29,0.0
11/05/1985,16:00,0.29,0.30,0.29,0.29,1600.0
11/06/1985,16:00,0.29,0.30,0.29,0.29,1600.0
11/07/1985,16:00,0.30,0.30,0.30,0.30,60400.0
11/08/1985,16:00,0.30,0.31,0.30,0.30,8800.0
11/11/1985,16:00,0.30,0.31,0.30,0.30,3600.0
11/12/1985,16:00,0.31,0.31,0.31,0.31,38400.0
11/13/1985,16:00,0.31,0.31,0.31,0.31,5200.0
11/14/1985,16:00,0.31,0.32,0.31,0.31,22000.0
11/15/1985,16:00,0.31,0.32,0.31,0.31,1600.0
11/18/1985,16:00,0.31,0.33,0.31,0.31,25600.0
11/19/1985,16:00,0.31,0.33,0.31,0.31,10800.0
11/20/1985,16:00,0.32,0.33,0.32,0.32,10800.0
11/21/1985,16:00,0.33,0.34,0.33,0.33,27200.0
11/22/1985,16:00,0.33,0.34,0.33,0.33,3600.0
11/25/1985,16:00,0.33,0.34,0.33,0.33,10800.0
11/26/1985,16:00,0.33,0.34,0.33,0.33,1600.0
11/27/1985,16:00,0.33,0.34,0.33,0.33,12800.0
11/29/1985,16:00,0.33,0.34,0.33,0.33,16400.0
12/02/1985,16:00,0.33,0.34,0.33,0.33,12800.0
12/03/1985,16:00,0.33,0.33,0.33,0.33,0.0
12/04/1985,16:00,0.33,0.34,0.33,0.33,1600.0
12/05/1985,16:00,0.33,0.34,0.33,0.33,20000.0
12/06/1985,16:00,0.33,0.34,0.33,0.33,7200.0
12/09/1985,16:00,0.33,0.34,0.33,0.33,5200.0
12/10/1985,16:00,0.33,0.33,0.33,0.33,0.0
12/11/1985,16:00,0.33,0.33,0.33,0.33,0.0
12/12/1985,16:00,0.33,0.34,0.33,0.33,3600.0
12/13/1985,16:00,0.34,0.34,0.34,0.34,3600.0
12/16/1985,16:00,0.34,0.34,0.34,0.34,7200.0
12/17/1985,16:00,0.34,0.34,0.34,0.34,7200.0
12/18/1985,16:00,0.34,0.34,0.34,0.34,10800.0
12/19/1985,16:00,0.68,0.70,0.66,0.66,400.0
12/20/1985,16:00,0.66,0.70,0.66,0.66,8000.0
12/23/1985,16:00,0.67,0.70,0.67,0.67,20000.0
12/24/1985,16:00,0.71,0.73,0.71,0.71,31200.0
12/26/1985,16:00,0.77,0.79,0.77,0.77,34800.0
12/27/1985,16:00,0.81,0.83,0.81,0.81,138800.0
12/30/1985,16:00,0.82,0.84,0.82,0.82,32000.0
12/31/1985,16:00,0.79,0.79,0.77,0.77,44000.0
01/02/1986,16:00,0.77,0.79,0.77,0.77,18000.0
01/03/1986,16:00,0.77,0.79,0.77,0.77,1600.0
