Date,Time,Open,High,Low,Close,Vol
10/08/1997,16:00,4.99,5.57,4.93,5.54,39600.0
10/09/1997,16:00,5.60,5.60,5.54,5.60,1350.0
10/10/1997,16:00,5.60,5.65,5.60,5.65,18900.0
10/13/1997,16:00,5.68,5.74,5.68,5.74,2250.0
10/14/1997,16:00,5.82,5.85,5.76,5.85,3600.0
10/15/1997,16:00,5.90,5.99,5.87,5.99,3150.0
10/16/1997,16:00,6.21,6.26,6.03,6.23,10800.0
10/17/1997,16:00,6.29,6.37,6.29,6.37,6750.0
10/20/1997,16:00,6.46,6.54,6.43,6.47,18900.0
10/21/1997,16:00,6.60,6.74,6.57,6.60,15750.0
10/22/1997,16:00,6.54,6.71,6.54,6.71,16650.0
10/23/1997,16:00,6.57,6.62,6.54,6.57,4500.0
10/24/1997,16:00,6.63,6.63,6.63,6.63,900.0
10/27/1997,16:00,6.66,6.69,6.66,6.66,2250.0
10/28/1997,16:00,6.64,6.66,6.54,6.66,11250.0
10/29/1997,16:00,6.60,6.60,6.60,6.60,2250.0
10/30/1997,16:00,6.60,6.60,6.57,6.60,1800.0
10/31/1997,16:00,6.57,6.63,6.57,6.60,2250.0
11/03/1997,16:00,6.69,6.69,6.66,6.69,2700.0
11/04/1997,16:00,6.66,6.66,6.66,6.66,2700.0
11/05/1997,16:00,6.66,6.66,6.66,6.66,6750.0
11/06/1997,16:00,6.66,6.66,6.66,6.66,2700.0
11/07/1997,16:00,6.71,6.80,6.71,6.80,5850.0
11/10/1997,16:00,6.77,6.83,6.77,6.83,4050.0
11/11/1997,16:00,6.83,6.83,6.83,6.83,450.0
11/12/1997,16:00,6.86,6.86,6.74,6.86,11250.0
11/13/1997,16:00,6.80,6.80,6.69,6.71,8550.0
11/14/1997,16:00,6.74,6.83,6.74,6.79,2700.0
11/17/1997,16:00,6.81,6.81,6.77,6.77,2250.0
11/18/1997,16:00,6.83,6.83,6.80,6.80,1350.0
11/19/1997,16:00,6.69,6.71,6.66,6.71,7650.0
11/20/1997,16:00,6.71,6.71,6.71,6.71,0.0
11/21/1997,16:00,6.71,6.74,6.71,6.74,7650.0
11/24/1997,16:00,6.69,6.69,6.69,6.69,2250.0
11/25/1997,16:00,6.71,6.71,6.71,6.71,6750.0
11/26/1997,16:00,6.71,6.71,6.66,6.66,10350.0
11/28/1997,16:00,6.66,6.66,6.66,6.66,0.0
12/01/1997,16:00,6.66,6.66,6.66,6.66,0.0
12/02/1997,16:00,6.60,6.63,6.60,6.63,900.0
12/03/1997,16:00,6.63,6.63,6.60,6.60,900.0
12/04/1997,16:00,6.32,6.38,6.29,6.38,27900.0
12/05/1997,16:00,6.38,6.60,6.38,6.60,6750.0
12/08/1997,16:00,6.60,6.60,6.60,6.60,0.0
12/09/1997,16:00,6.60,6.60,6.60,6.60,0.0
12/10/1997,16:00,6.60,6.60,6.60,6.60,0.0
12/11/1997,16:00,6.54,6.57,6.54,6.54,3150.0
12/12/1997,16:00,6.57,6.57,6.57,6.57,6750.0
12/15/1997,16:00,6.53,6.53,6.53,6.53,900.0
12/16/1997,16:00,6.53,6.53,6.53,6.53,0.0
12/17/1997,16:00,6.54,6.54,6.54,6.54,900.0
12/18/1997,16:00,6.57,6.66,6.57,6.66,9450.0
12/19/1997,16:00,6.66,6.66,6.46,6.46,6300.0
12/22/1997,16:00,6.52,6.63,6.52,6.63,6300.0
12/23/1997,16:00,6.63,6.63,6.63,6.63,0.0
12/24/1997,16:00,6.63,6.63,6.63,6.63,0.0
12/26/1997,16:00,6.63,6.63,6.63,6.63,0.0
12/29/1997,16:00,6.62,6.62,6.62,6.62,900.0
12/30/1997,16:00,6.57,6.57,6.57,6.57,450.0
12/31/1997,16:00,6.60,6.66,6.60,6.61,7200.0
01/02/1998,16:00,6.57,6.57,6.57,6.57,900.0
01/05/1998,16:00,6.63,6.66,6.63,6.66,1350.0
01/06/1998,16:00,6.66,6.66,6.66,6.66,0.0
01/07/1998,16:00,6.71,6.71,6.71,6.71,450.0
01/08/1998,16:00,6.66,6.66,6.57,6.57,4500.0
01/09/1998,16:00,6.52,6.54,6.52,6.54,1350.0
01/12/1998,16:00,6.38,6.38,6.21,6.26,12600.0
01/13/1998,16:00,6.23,6.23,6.23,6.23,900.0
01/14/1998,16:00,6.26,6.26,6.26,6.26,900.0
01/15/1998,16:00,6.23,6.31,6.23,6.31,7200.0
01/16/1998,16:00,6.29,6.57,6.29,6.52,16650.0
01/20/1998,16:00,6.62,6.62,6.62,6.62,450.0
01/21/1998,16:00,6.57,6.71,6.54,6.71,16200.0
01/22/1998,16:00,6.76,6.76,6.76,6.76,4500.0
01/23/1998,16:00,6.76,6.76,6.76,6.76,0.0
01/26/1998,16:00,6.82,6.82,6.79,6.79,1350.0
01/27/1998,16:00,6.82,6.82,6.76,6.76,2250.0
01/28/1998,16:00,6.76,6.76,6.76,6.76,0.0
01/29/1998,16:00,6.65,6.65,6.65,6.65,9450.0
01/30/1998,16:00,6.68,6.68,6.68,6.68,450.0
02/02/1998,16:00,6.68,6.68,6.68,6.68,0.0
02/03/1998,16:00,6.68,6.68,6.68,6.68,0.0
02/04/1998,16:00,6.68,6.68,6.68,6.68,0.0
02/05/1998,16:00,6.74,6.74,6.74,6.74,450.0
02/06/1998,16:00,6.74,6.74,6.74,6.74,0.0
02/09/1998,16:00,6.79,6.84,6.79,6.84,2700.0
02/10/1998,16:00,6.82,6.88,6.82,6.88,900.0
02/11/1998,16:00,6.88,6.88,6.88,6.88,0.0
02/12/1998,16:00,6.82,6.82,6.82,6.82,450.0
02/13/1998,16:00,6.88,6.91,6.88,6.91,1350.0
02/17/1998,16:00,6.91,6.91,6.85,6.85,3150.0
02/18/1998,16:00,6.89,6.89,6.89,6.89,9900.0
02/19/1998,16:00,6.85,6.85,6.82,6.82,1800.0
02/20/1998,16:00,6.79,6.79,6.65,6.65,9450.0
02/23/1998,16:00,6.62,6.68,6.62,6.68,900.0
02/24/1998,16:00,6.65,6.88,6.65,6.88,7650.0
02/25/1998,16:00,6.88,6.88,6.88,6.88,900.0
02/26/1998,16:00,6.88,6.88,6.88,6.88,0.0
02/27/1998,16:00,6.85,6.90,6.85,6.90,1350.0
03/02/1998,16:00,6.79,6.82,6.79,6.79,9450.0
03/03/1998,16:00,6.79,6.79,6.79,6.79,450.0
03/04/1998,16:00,6.79,6.79,6.65,6.68,7650.0
03/05/1998,16:00,6.74,6.74,6.62,6.62,2700.0
03/06/1998,16:00,6.62,6.62,6.62,6.62,0.0
03/09/1998,16:00,6.72,6.72,6.72,6.72,900.0
03/10/1998,16:00,6.76,6.78,6.76,6.78,1800.0
03/11/1998,16:00,6.78,6.78,6.78,6.78,0.0
03/12/1998,16:00,6.78,6.78,6.78,6.78,900.0
03/13/1998,16:00,6.77,6.77,6.77,6.77,450.0
03/16/1998,16:00,6.75,6.78,6.75,6.78,1350.0
03/17/1998,16:00,6.74,6.76,6.74,6.76,2250.0
03/18/1998,16:00,6.76,6.76,6.76,6.76,0.0
03/19/1998,16:00,6.72,6.72,6.72,6.72,900.0
03/20/1998,16:00,6.72,6.72,6.72,6.72,0.0
03/23/1998,16:00,6.76,6.76,6.76,6.76,450.0
03/24/1998,16:00,6.75,6.76,6.75,6.76,1350.0
03/25/1998,16:00,6.75,6.75,6.71,6.71,2700.0
03/26/1998,16:00,6.71,6.71,6.71,6.71,900.0
03/27/1998,16:00,6.74,6.74,6.74,6.74,450.0
03/30/1998,16:00,6.68,6.68,6.68,6.68,2250.0
03/31/1998,16:00,6.68,6.68,6.68,6.68,0.0
04/01/1998,16:00,6.72,6.72,6.68,6.68,900.0
04/02/1998,16:00,6.62,6.62,6.56,6.56,3600.0
04/03/1998,16:00,6.53,6.75,6.53,6.75,9450.0
04/06/1998,16:00,6.79,6.82,6.79,6.82,2700.0
04/07/1998,16:00,6.72,6.72,6.71,6.71,12600.0
04/08/1998,16:00,6.82,6.92,6.82,6.92,2250.0
04/09/1998,16:00,6.92,6.92,6.82,6.85,13500.0
04/13/1998,16:00,6.76,6.88,6.76,6.82,16650.0
04/14/1998,16:00,6.82,6.82,6.82,6.82,0.0
04/15/1998,16:00,6.88,6.88,6.88,6.88,450.0
04/16/1998,16:00,6.85,6.85,6.85,6.85,4500.0
04/17/1998,16:00,6.85,6.89,6.85,6.89,1800.0
04/20/1998,16:00,6.94,6.99,6.94,6.99,5850.0
04/21/1998,16:00,6.95,6.95,6.91,6.91,2250.0
04/22/1998,16:00,6.91,6.91,6.91,6.91,0.0
04/23/1998,16:00,6.91,6.91,6.91,6.91,0.0
04/24/1998,16:00,6.85,6.85,6.85,6.85,900.0
04/27/1998,16:00,6.85,6.85,6.85,6.85,0.0
04/28/1998,16:00,6.82,6.86,6.82,6.86,1350.0
04/29/1998,16:00,6.82,6.82,6.82,6.82,6750.0
04/30/1998,16:00,6.82,6.82,6.82,6.82,1800.0
05/01/1998,16:00,6.82,6.82,6.82,6.82,0.0
05/04/1998,16:00,6.88,6.91,6.88,6.91,4500.0
05/05/1998,16:00,6.94,6.94,6.94,6.94,1800.0
