Date,Time,Open,High,Low,Close,Vol
12/12/1996,16:00,1.25,1.25,1.16,1.17,1984400.0
12/13/1996,16:00,1.19,1.25,1.14,1.23,996800.0
12/16/1996,16:00,1.25,1.25,1.19,1.19,122000.0
12/17/1996,16:00,1.21,1.25,1.21,1.22,239200.0
12/18/1996,16:00,1.25,1.25,1.21,1.25,216400.0
12/19/1996,16:00,1.25,1.25,1.16,1.21,112000.0
12/20/1996,16:00,1.21,1.23,1.16,1.20,138800.0
12/23/1996,16:00,1.23,1.25,1.16,1.21,347600.0
12/24/1996,16:00,1.16,1.23,1.16,1.19,208400.0
12/26/1996,16:00,1.21,1.25,1.21,1.23,644000.0
12/27/1996,16:00,1.25,1.25,1.22,1.23,219600.0
12/30/1996,16:00,1.25,1.29,1.23,1.29,646800.0
12/31/1996,16:00,1.31,1.45,1.27,1.38,453600.0
01/02/1997,16:00,1.38,1.45,1.38,1.40,339200.0
01/03/1997,16:00,1.42,1.49,1.40,1.49,560800.0
01/06/1997,16:00,1.51,1.62,1.47,1.53,964000.0
01/07/1997,16:00,1.51,1.53,1.46,1.47,158000.0
01/08/1997,16:00,1.49,1.49,1.40,1.40,182800.0
01/09/1997,16:00,1.40,1.49,1.40,1.45,220800.0
01/10/1997,16:00,1.45,1.47,1.40,1.41,134800.0
01/13/1997,16:00,1.40,1.47,1.36,1.42,190400.0
01/14/1997,16:00,1.42,1.47,1.42,1.45,173600.0
01/15/1997,16:00,1.45,1.47,1.32,1.37,144000.0
01/16/1997,16:00,1.38,1.39,1.34,1.36,226000.0
01/17/1997,16:00,1.37,1.38,1.34,1.38,128000.0
01/20/1997,16:00,1.39,1.39,1.37,1.39,42800.0
01/21/1997,16:00,1.38,1.42,1.36,1.40,162400.0
01/22/1997,16:00,1.42,1.42,1.34,1.36,562000.0
01/23/1997,16:00,1.38,1.39,1.34,1.38,138800.0
01/24/1997,16:00,1.37,1.40,1.35,1.38,187200.0
01/27/1997,16:00,1.38,1.40,1.36,1.38,103200.0
01/28/1997,16:00,1.38,1.40,1.36,1.38,211600.0
01/29/1997,16:00,1.38,1.42,1.37,1.37,76400.0
01/30/1997,16:00,1.36,1.38,1.34,1.34,48800.0
01/31/1997,16:00,1.38,1.38,1.34,1.36,190800.0
02/03/1997,16:00,1.36,1.38,1.34,1.38,127600.0
02/04/1997,16:00,1.36,1.38,1.36,1.38,160800.0
02/05/1997,16:00,1.36,1.38,1.35,1.38,114000.0
02/06/1997,16:00,1.36,1.38,1.36,1.36,190800.0
02/07/1997,16:00,1.36,1.40,1.36,1.38,131200.0
02/10/1997,16:00,1.39,1.39,1.34,1.37,144800.0
02/11/1997,16:00,1.37,1.38,1.34,1.38,207200.0
02/12/1997,16:00,1.38,1.38,1.36,1.38,34400.0
02/13/1997,16:00,1.38,1.38,1.36,1.36,42800.0
02/14/1997,16:00,1.38,1.38,1.36,1.36,17600.0
02/18/1997,16:00,1.37,1.38,1.36,1.36,269200.0
02/19/1997,16:00,1.36,1.42,1.36,1.39,266800.0
02/20/1997,16:00,1.38,1.42,1.38,1.38,235600.0
02/21/1997,16:00,1.40,1.40,1.37,1.39,184000.0
02/24/1997,16:00,1.38,1.40,1.36,1.39,163600.0
02/25/1997,16:00,1.40,1.40,1.38,1.40,334800.0
02/26/1997,16:00,1.38,1.40,1.38,1.38,162000.0
02/27/1997,16:00,1.36,1.38,1.36,1.36,90800.0
02/28/1997,16:00,1.36,1.38,1.36,1.36,118400.0
03/03/1997,16:00,1.36,1.36,1.32,1.34,244000.0
03/04/1997,16:00,1.34,1.36,1.34,1.34,38800.0
03/05/1997,16:00,1.34,1.36,1.34,1.34,94800.0
03/06/1997,16:00,1.34,1.36,1.34,1.34,147200.0
03/07/1997,16:00,1.36,1.36,1.34,1.36,13600.0
03/10/1997,16:00,1.36,1.36,1.34,1.36,4000.0
03/11/1997,16:00,1.36,1.38,1.36,1.38,39200.0
03/12/1997,16:00,1.38,1.40,1.36,1.40,126800.0
03/13/1997,16:00,1.38,1.47,1.38,1.47,171200.0
03/14/1997,16:00,1.47,1.47,1.42,1.45,96400.0
03/17/1997,16:00,1.45,1.47,1.45,1.45,116800.0
03/18/1997,16:00,1.47,1.47,1.40,1.42,85600.0
03/19/1997,16:00,1.38,1.42,1.32,1.40,141200.0
03/20/1997,16:00,1.42,1.47,1.40,1.45,184000.0
03/21/1997,16:00,1.42,1.45,1.40,1.40,68400.0
03/24/1997,16:00,1.33,1.42,1.25,1.25,468000.0
03/25/1997,16:00,1.25,1.29,1.16,1.21,543600.0
03/26/1997,16:00,1.24,1.28,1.21,1.28,156000.0
03/27/1997,16:00,1.26,1.28,1.23,1.23,426400.0
03/31/1997,16:00,1.21,1.21,1.10,1.10,122400.0
04/01/1997,16:00,1.14,1.19,1.12,1.14,269600.0
04/02/1997,16:00,1.19,1.19,1.10,1.14,142000.0
04/03/1997,16:00,1.12,1.14,1.10,1.13,80800.0
04/04/1997,16:00,1.14,1.16,1.12,1.14,110000.0
04/07/1997,16:00,1.14,1.17,1.14,1.17,78800.0
04/08/1997,16:00,1.16,1.21,1.14,1.14,67200.0
04/09/1997,16:00,1.19,1.21,1.13,1.14,167200.0
04/10/1997,16:00,1.16,1.16,1.12,1.16,24000.0
04/11/1997,16:00,1.12,1.16,1.12,1.16,14800.0
04/14/1997,16:00,1.16,1.16,1.10,1.10,57200.0
04/15/1997,16:00,1.10,1.14,1.06,1.10,146000.0
04/16/1997,16:00,1.08,1.13,1.08,1.12,115600.0
04/17/1997,16:00,1.11,1.13,1.11,1.12,14800.0
04/18/1997,16:00,1.13,1.13,1.10,1.10,43200.0
04/21/1997,16:00,1.14,1.14,1.01,1.01,101600.0
04/22/1997,16:00,1.01,1.02,0.96,1.02,416000.0
04/23/1997,16:00,1.03,1.03,0.95,0.97,246800.0
04/24/1997,16:00,0.97,0.99,0.95,0.95,584000.0
04/25/1997,16:00,0.99,0.99,0.95,0.98,386800.0
04/28/1997,16:00,0.99,0.99,0.86,0.93,589200.0
04/29/1997,16:00,0.93,0.95,0.86,0.94,318000.0
04/30/1997,16:00,0.95,1.01,0.93,0.97,258400.0
05/01/1997,16:00,0.99,0.99,0.95,0.97,72800.0
05/02/1997,16:00,0.99,1.01,0.99,1.01,94400.0
05/05/1997,16:00,1.01,1.08,1.01,1.08,77600.0
05/06/1997,16:00,1.06,1.08,0.99,1.04,250800.0
05/07/1997,16:00,1.06,1.10,1.06,1.10,282800.0
05/08/1997,16:00,1.08,1.10,1.06,1.10,131600.0
05/09/1997,16:00,1.08,1.14,1.08,1.10,30800.0
05/12/1997,16:00,1.10,1.19,1.10,1.19,40000.0
05/13/1997,16:00,1.14,1.16,1.08,1.10,102000.0
05/14/1997,16:00,1.12,1.12,1.07,1.08,188000.0
05/15/1997,16:00,1.10,1.12,1.10,1.12,35600.0
05/16/1997,16:00,1.12,1.12,1.08,1.08,52800.0
05/19/1997,16:00,1.10,1.12,1.10,1.12,78400.0
05/20/1997,16:00,1.12,1.19,1.12,1.16,90400.0
