Date,Time,Open,High,Low,Close,Vol
04/27/1995,16:00,1.62,1.62,1.37,1.5,114200.0
04/28/1995,16:00,1.37,1.40,1.34,1.40,401200.0
05/01/1995,16:00,1.5,1.5,1.5,1.5,2000.0
05/02/1995,16:00,1.37,1.44,1.25,1.44,86200.0
05/03/1995,16:00,1.25,1.5,1.25,1.34,29200.0
05/04/1995,16:00,1.25,1.44,1.25,1.31,86600.0
05/05/1995,16:00,1.5,1.62,1.31,1.62,426000.0
05/08/1995,16:00,1.62,1.62,1.44,1.44,77200.0
05/09/1995,16:00,1.44,1.56,1.44,1.44,16800.0
05/10/1995,16:00,1.44,1.5,1.44,1.5,24800.0
05/11/1995,16:00,1.5,1.56,1.47,1.5,66000.0
05/12/1995,16:00,1.47,1.5,1.47,1.47,23200.0
05/15/1995,16:00,1.56,1.56,1.47,1.47,16200.0
05/16/1995,16:00,1.47,1.47,1.47,1.47,5600.0
05/17/1995,16:00,1.47,1.53,1.47,1.47,121400.0
05/18/1995,16:00,1.44,1.5,1.44,1.44,176400.0
05/19/1995,16:00,1.44,1.47,1.31,1.44,472200.0
05/22/1995,16:00,1.31,1.72,1.31,1.62,368200.0
05/23/1995,16:00,1.56,1.69,1.5,1.5,677600.0
05/24/1995,16:00,1.5,1.56,1.31,1.37,359800.0
05/25/1995,16:00,1.37,1.40,1.37,1.37,329000.0
05/26/1995,16:00,1.37,1.47,1.37,1.40,97000.0
05/30/1995,16:00,1.37,1.44,1.37,1.44,349200.0
05/31/1995,16:00,1.44,1.62,1.37,1.56,308400.0
06/01/1995,16:00,1.5,1.62,1.44,1.44,59800.0
06/02/1995,16:00,1.44,1.56,1.44,1.56,21200.0
06/05/1995,16:00,1.44,1.56,1.44,1.5,50000.0
06/06/1995,16:00,1.37,1.56,1.37,1.44,45600.0
06/07/1995,16:00,1.56,1.56,1.44,1.44,18200.0
06/08/1995,16:00,1.44,1.5,1.44,1.44,10200.0
06/09/1995,16:00,1.44,1.56,1.44,1.5,58400.0
06/12/1995,16:00,1.5,1.56,1.5,1.5,45200.0
06/13/1995,16:00,1.5,1.56,1.44,1.53,109000.0
06/14/1995,16:00,1.5,1.62,1.5,1.5,12800.0
06/15/1995,16:00,1.5,1.75,1.5,1.54,177800.0
06/16/1995,16:00,1.56,1.69,1.56,1.62,99200.0
06/19/1995,16:00,1.75,1.75,1.62,1.75,126400.0
06/20/1995,16:00,1.62,1.75,1.62,1.72,138000.0
06/21/1995,16:00,1.72,1.93,1.65,1.93,40800.0
06/22/1995,16:00,1.93,2.25,1.81,2.06,156600.0
06/23/1995,16:00,2.12,2.12,1.87,2.06,47200.0
06/26/1995,16:00,2.0,2.06,1.93,1.93,38000.0
06/27/1995,16:00,2.06,2.06,1.90,1.93,76600.0
06/28/1995,16:00,1.87,1.93,1.87,1.93,19800.0
06/29/1995,16:00,1.93,1.93,1.81,1.81,13800.0
06/30/1995,16:00,1.93,1.93,1.81,1.81,79400.0
07/03/1995,16:00,1.93,1.93,1.93,1.93,600.0
07/05/1995,16:00,1.81,1.93,1.81,1.90,20400.0
07/06/1995,16:00,1.81,1.93,1.81,1.93,7600.0
07/07/1995,16:00,1.81,1.87,1.81,1.87,9000.0
07/10/1995,16:00,1.87,1.93,1.87,1.93,85400.0
07/11/1995,16:00,1.87,1.93,1.87,1.87,21000.0
07/12/1995,16:00,1.87,1.87,1.87,1.87,4400.0
07/13/1995,16:00,1.93,1.93,1.87,1.87,7200.0
07/14/1995,16:00,1.81,1.93,1.81,1.84,18200.0
07/17/1995,16:00,1.81,1.93,1.81,1.81,32800.0
07/18/1995,16:00,1.87,1.93,1.87,1.93,17800.0
07/19/1995,16:00,1.81,2.06,1.81,2.06,50600.0
07/20/1995,16:00,2.12,2.12,1.87,2.0,54000.0
07/21/1995,16:00,1.93,3.25,1.93,3.19,442000.0
07/24/1995,16:00,3.37,4.0,2.75,3.25,590400.0
07/25/1995,16:00,3.31,3.37,3.12,3.19,361200.0
07/26/1995,16:00,3.31,3.31,3.19,3.31,160800.0
07/27/1995,16:00,3.31,3.31,2.75,3.0,176000.0
07/28/1995,16:00,2.87,3.12,2.81,2.94,110600.0
07/31/1995,16:00,3.0,3.12,2.87,3.12,28800.0
08/01/1995,16:00,2.87,3.12,2.87,3.06,57600.0
08/02/1995,16:00,3.12,3.12,2.87,3.0,90800.0
08/03/1995,16:00,2.94,3.0,2.75,2.81,72600.0
08/04/1995,16:00,2.75,2.75,2.62,2.62,50400.0
08/07/1995,16:00,2.75,2.75,2.56,2.68,16200.0
08/08/1995,16:00,2.56,2.68,2.31,2.40,71600.0
08/09/1995,16:00,2.31,2.5,2.12,2.5,99600.0
08/10/1995,16:00,2.25,2.95,2.25,2.81,113200.0
08/11/1995,16:00,2.62,3.0,2.62,2.81,42200.0
08/14/1995,16:00,2.75,2.94,2.68,2.68,5400.0
08/15/1995,16:00,2.68,2.75,2.44,2.44,46600.0
08/16/1995,16:00,2.5,2.5,2.19,2.25,47000.0
08/17/1995,16:00,2.25,2.37,2.19,2.19,108600.0
08/18/1995,16:00,2.19,2.37,2.19,2.37,113800.0
08/21/1995,16:00,2.25,2.37,2.19,2.37,30200.0
08/22/1995,16:00,2.5,2.81,2.37,2.75,385200.0
08/23/1995,16:00,2.68,2.87,2.62,2.62,94400.0
08/24/1995,16:00,2.62,2.87,2.62,2.87,7400.0
08/25/1995,16:00,2.87,2.87,2.75,2.81,7200.0
08/28/1995,16:00,2.62,2.68,2.62,2.68,2200.0
08/29/1995,16:00,2.62,2.87,2.62,2.62,24600.0
08/30/1995,16:00,2.62,2.87,2.56,2.56,23600.0
08/31/1995,16:00,2.56,2.81,2.56,2.56,4200.0
09/01/1995,16:00,2.75,2.75,2.62,2.68,5200.0
09/05/1995,16:00,2.5,2.75,2.5,2.5,9600.0
09/06/1995,16:00,2.44,2.44,2.44,2.44,200.0
09/07/1995,16:00,2.44,2.62,2.44,2.62,7800.0
09/08/1995,16:00,2.75,2.75,2.44,2.56,19600.0
09/11/1995,16:00,2.44,2.75,2.44,2.5,6200.0
09/12/1995,16:00,2.44,2.62,2.44,2.47,33000.0
09/13/1995,16:00,2.75,2.75,2.5,2.5,26200.0
09/14/1995,16:00,2.5,2.68,2.5,2.5,15400.0
09/15/1995,16:00,2.5,2.59,2.37,2.37,30600.0
09/18/1995,16:00,2.37,2.5,2.25,2.25,8800.0
09/19/1995,16:00,2.25,2.56,2.25,2.40,60400.0
09/20/1995,16:00,2.5,2.5,2.37,2.37,22200.0
09/21/1995,16:00,2.5,2.5,2.37,2.44,40400.0
09/22/1995,16:00,2.44,2.44,2.37,2.37,47200.0
09/25/1995,16:00,2.25,2.37,2.25,2.37,5200.0
09/26/1995,16:00,2.19,2.44,2.19,2.44,10000.0
09/27/1995,16:00,2.37,2.44,2.25,2.44,24800.0
09/28/1995,16:00,2.25,2.37,2.25,2.37,14200.0
09/29/1995,16:00,2.19,2.31,2.19,2.25,26200.0
10/02/1995,16:00,2.12,2.25,2.12,2.12,6000.0
10/03/1995,16:00,2.25,2.25,2.12,2.22,22000.0
10/04/1995,16:00,2.12,2.25,2.12,2.19,7600.0
10/05/1995,16:00,2.25,2.25,2.12,2.25,5400.0
10/06/1995,16:00,2.12,2.31,2.12,2.12,20800.0
10/09/1995,16:00,2.25,2.25,2.25,2.25,400.0
10/10/1995,16:00,2.31,2.31,2.12,2.12,4200.0
10/11/1995,16:00,2.12,2.25,2.12,2.25,20600.0
10/12/1995,16:00,2.19,2.25,2.19,2.25,8000.0
10/13/1995,16:00,2.06,2.31,2.06,2.06,15600.0
10/16/1995,16:00,2.06,2.31,2.06,2.06,4000.0
10/17/1995,16:00,2.06,2.06,2.06,2.06,15800.0
10/18/1995,16:00,2.06,2.06,2.06,2.06,200.0
