Date,Time,Open,High,Low,Close,Vol
04/16/2010,16:00,13.76,14.02,13.68,13.93,2368400.0
04/19/2010,16:00,14.06,14.06,13.69,13.72,247600.0
04/20/2010,16:00,13.72,13.82,13.59,13.59,108600.0
04/21/2010,16:00,13.59,13.61,13.25,13.48,233800.0
04/22/2010,16:00,13.45,13.61,13.24,13.57,55800.0
04/23/2010,16:00,13.80,13.80,13.40,13.40,56100.0
04/26/2010,16:00,13.33,13.63,13.31,13.58,90200.0
04/27/2010,16:00,13.59,13.77,13.47,13.55,46700.0
04/28/2010,16:00,13.76,13.76,13.55,13.55,3600.0
04/29/2010,16:00,13.62,13.69,13.46,13.59,7600.0
04/30/2010,16:00,13.58,13.59,13.22,13.48,55900.0
05/03/2010,16:00,13.47,13.55,13.32,13.38,27300.0
05/04/2010,16:00,13.35,13.59,13.35,13.51,57200.0
05/05/2010,16:00,13.46,13.63,13.34,13.57,46500.0
05/06/2010,16:00,13.63,13.63,13.22,13.35,5900.0
05/07/2010,16:00,13.20,13.42,13.20,13.37,42300.0
05/10/2010,16:00,13.59,13.98,13.56,13.59,15900.0
05/11/2010,16:00,13.46,13.72,13.39,13.48,9200.0
05/12/2010,16:00,13.42,13.83,13.10,13.59,19200.0
05/13/2010,16:00,13.65,13.72,13.59,13.63,8300.0
05/14/2010,16:00,13.55,13.72,13.52,13.52,5500.0
05/17/2010,16:00,13.59,13.61,13.11,13.21,23400.0
05/18/2010,16:00,13.31,13.31,12.50,12.86,113100.0
05/19/2010,16:00,12.94,13.17,12.81,12.81,13800.0
05/20/2010,16:00,12.63,12.72,12.25,12.36,4600.0
05/21/2010,16:00,12.34,12.46,11.93,11.99,66500.0
05/24/2010,16:00,12.06,12.42,12.06,12.12,10600.0
05/25/2010,16:00,11.87,12.15,11.87,11.96,41700.0
05/26/2010,16:00,12.22,12.36,11.89,12.27,65200.0
05/27/2010,16:00,12.26,12.28,11.96,12.20,6800.0
05/28/2010,16:00,12.23,12.23,12.17,12.23,5200.0
06/01/2010,16:00,12.13,12.28,11.96,12.19,9000.0
06/02/2010,16:00,12.16,12.28,12.16,12.28,1000.0
06/03/2010,16:00,12.17,12.33,12.17,12.26,6600.0
06/04/2010,16:00,12.23,12.27,12.18,12.19,6600.0
06/07/2010,16:00,12.23,12.30,12.21,12.26,5000.0
06/08/2010,16:00,12.13,12.26,12.00,12.06,7400.0
06/09/2010,16:00,11.96,12.23,11.96,12.04,5400.0
06/10/2010,16:00,11.96,12.26,11.96,11.99,5200.0
06/11/2010,16:00,12.06,12.13,11.92,12.00,6400.0
06/14/2010,16:00,12.06,12.26,12.02,12.23,15600.0
06/15/2010,16:00,12.17,12.29,12.13,12.24,9200.0
06/16/2010,16:00,12.30,12.36,12.17,12.20,5600.0
06/17/2010,16:00,12.16,12.27,12.08,12.20,5000.0
06/18/2010,16:00,12.26,12.32,11.85,11.94,101900.0
06/21/2010,16:00,12.10,12.33,12.10,12.19,66700.0
06/22/2010,16:00,12.19,12.41,12.13,12.38,14600.0
06/23/2010,16:00,12.36,12.36,12.13,12.25,22200.0
06/24/2010,16:00,12.25,12.26,12.08,12.20,20600.0
06/25/2010,16:00,12.15,12.55,11.54,12.52,619200.0
06/28/2010,16:00,12.45,12.53,12.02,12.15,20800.0
06/29/2010,16:00,11.96,12.15,11.87,11.91,26800.0
06/30/2010,16:00,11.95,12.63,11.91,12.14,39300.0
07/01/2010,16:00,12.18,12.18,11.73,11.79,17300.0
07/02/2010,16:00,11.84,12.00,11.81,11.89,12500.0
07/06/2010,16:00,12.01,12.06,11.25,11.29,13000.0
07/07/2010,16:00,11.32,11.45,11.16,11.36,25600.0
07/08/2010,16:00,11.44,11.76,11.39,11.45,26200.0
07/09/2010,16:00,11.40,11.42,11.31,11.37,38800.0
07/12/2010,16:00,11.37,11.37,11.15,11.17,38300.0
