Date,Time,Open,High,Low,Close,Vol
12/16/1998,16:00,14.0,20.5,14.0,19.5,3811100.0
12/17/1998,16:00,19.75,24.13,19.31,21.69,1071600.0
12/18/1998,16:00,23.5,24.0,22.13,23.0,400900.0
12/21/1998,16:00,23.5,25.88,23.13,25.63,281700.0
12/22/1998,16:00,25.13,25.5,24.63,25.25,71300.0
12/23/1998,16:00,25.5,25.63,24.88,25.13,167600.0
12/24/1998,16:00,24.88,25.63,24.88,25.13,88700.0
12/28/1998,16:00,24.94,34.25,24.94,28.0,200700.0
12/29/1998,16:00,31.5,32.25,28.5,30.0,62700.0
12/30/1998,16:00,29.63,30.0,26.81,27.25,70700.0
12/31/1998,16:00,27.25,30.5,26.0,30.5,67200.0
01/04/1999,16:00,29.75,31.38,28.75,29.0,268400.0
01/05/1999,16:00,29.13,30.0,28.75,30.0,109900.0
01/06/1999,16:00,30.5,30.5,28.88,29.88,127000.0
01/07/1999,16:00,28.63,29.5,28.25,28.38,104600.0
01/08/1999,16:00,28.75,30.38,28.69,30.25,252200.0
01/11/1999,16:00,30.75,31.0,27.88,29.5,188800.0
01/12/1999,16:00,30.75,30.75,27.0,28.5,189100.0
01/13/1999,16:00,25.94,26.75,24.88,25.0,54300.0
01/14/1999,16:00,25.5,26.0,25.0,25.5,58800.0
01/15/1999,16:00,25.0,28.5,25.0,28.5,38900.0
01/19/1999,16:00,28.5,30.5,28.25,29.25,185400.0
01/20/1999,16:00,30.0,32.0,29.56,31.0,160100.0
01/21/1999,16:00,31.38,32.0,30.75,30.75,125300.0
01/22/1999,16:00,30.75,37.0,30.75,35.63,63900.0
01/25/1999,16:00,34.5,35.0,31.38,32.88,143700.0
01/26/1999,16:00,32.63,35.38,32.63,34.5,77000.0
01/27/1999,16:00,34.88,34.88,33.38,33.38,25900.0
01/28/1999,16:00,33.5,33.88,33.25,33.25,57300.0
01/29/1999,16:00,33.13,33.88,31.5,31.5,48800.0
02/01/1999,16:00,33.25,33.25,32.75,33.13,9700.0
02/02/1999,16:00,32.5,33.75,32.5,33.75,8700.0
02/03/1999,16:00,33.25,34.0,33.25,33.75,62400.0
02/04/1999,16:00,34.0,35.94,33.5,34.88,60300.0
02/05/1999,16:00,34.88,36.5,34.88,35.88,57900.0
02/08/1999,16:00,36.0,43.5,35.63,38.25,86900.0
02/09/1999,16:00,38.0,39.38,35.0,35.75,52100.0
02/10/1999,16:00,35.0,35.13,32.0,32.63,96100.0
02/11/1999,16:00,33.0,33.0,29.38,30.75,68600.0
02/12/1999,16:00,30.63,34.25,29.88,31.94,81100.0
02/16/1999,16:00,33.0,33.25,31.5,32.5,27100.0
02/17/1999,16:00,32.5,33.75,31.25,32.75,31300.0
02/18/1999,16:00,31.5,33.13,30.88,32.0,11300.0
02/19/1999,16:00,30.69,31.25,29.5,29.5,13400.0
02/22/1999,16:00,30.63,31.0,29.5,30.5,19200.0
02/23/1999,16:00,31.0,31.5,29.88,30.25,25500.0
02/24/1999,16:00,31.0,31.13,29.0,30.0,31700.0
02/25/1999,16:00,28.88,29.13,27.0,27.75,48500.0
02/26/1999,16:00,28.63,31.0,27.75,31.0,35500.0
03/01/1999,16:00,28.5,29.19,27.75,28.88,65200.0
03/02/1999,16:00,29.25,29.88,28.5,29.0,81800.0
03/03/1999,16:00,29.25,29.38,28.5,28.63,47000.0
03/04/1999,16:00,28.75,32.13,28.63,31.5,148900.0
03/05/1999,16:00,32.13,33.13,31.94,32.75,24000.0
03/08/1999,16:00,34.25,34.75,32.25,33.5,21000.0
03/09/1999,16:00,33.56,33.56,32.75,32.75,11600.0
03/10/1999,16:00,32.75,33.63,32.63,32.75,9600.0
03/11/1999,16:00,32.63,41.88,32.63,35.75,173500.0
03/12/1999,16:00,35.25,38.13,35.0,36.13,31100.0
03/15/1999,16:00,36.63,39.0,36.13,38.81,20900.0
03/16/1999,16:00,39.0,43.5,38.5,41.0,58200.0
03/17/1999,16:00,39.38,42.63,36.25,36.94,25600.0
03/18/1999,16:00,35.63,36.75,34.5,36.75,60900.0
03/19/1999,16:00,36.75,38.25,35.88,36.0,30400.0
03/22/1999,16:00,37.0,37.0,34.0,34.0,12200.0
03/23/1999,16:00,34.0,34.5,33.5,33.88,24800.0
03/24/1999,16:00,33.75,35.25,33.75,35.25,18500.0
03/25/1999,16:00,35.25,36.25,34.69,36.0,6500.0
03/26/1999,16:00,37.0,38.0,36.0,37.5,18900.0
03/29/1999,16:00,36.5,38.75,36.5,38.06,96000.0
03/30/1999,16:00,38.75,39.88,38.75,39.88,102700.0
03/31/1999,16:00,40.0,48.5,40.0,45.13,368400.0
04/01/1999,16:00,46.0,50.5,43.38,49.5,54700.0
04/05/1999,16:00,51.0,59.25,48.5,55.0,47600.0
04/06/1999,16:00,56.13,56.13,50.0,51.63,17600.0
04/07/1999,16:00,52.75,52.75,50.38,50.38,18400.0
04/08/1999,16:00,51.56,51.56,44.5,48.25,72400.0
04/09/1999,16:00,48.75,48.75,46.75,48.5,60000.0
04/12/1999,16:00,46.25,48.0,46.25,46.25,52300.0
04/13/1999,16:00,46.5,48.5,41.5,42.0,52400.0
04/14/1999,16:00,43.13,47.56,42.63,47.56,110500.0
04/15/1999,16:00,47.0,48.0,40.88,43.75,108300.0
04/16/1999,16:00,44.81,45.75,42.0,43.38,2007600.0
04/19/1999,16:00,43.13,43.5,37.0,37.75,719200.0
04/20/1999,16:00,37.13,38.0,34.0,35.13,444200.0
04/21/1999,16:00,37.25,41.38,37.0,39.63,180900.0
04/22/1999,16:00,40.25,43.25,40.0,41.0,139300.0
04/23/1999,16:00,40.25,44.13,39.88,43.63,100900.0
04/26/1999,16:00,43.75,45.0,42.75,44.5,211400.0
04/27/1999,16:00,44.63,44.63,41.5,43.75,57400.0
04/28/1999,16:00,41.5,43.0,40.0,41.25,174900.0
04/29/1999,16:00,40.94,43.75,36.38,37.0,173300.0
04/30/1999,16:00,38.5,38.5,35.5,36.13,62400.0
05/03/1999,16:00,36.0,38.75,35.13,37.5,40400.0
05/04/1999,16:00,36.75,36.81,35.0,35.13,62000.0
05/05/1999,16:00,34.0,34.5,33.0,34.0,164400.0
05/06/1999,16:00,34.13,34.13,33.06,33.5,40400.0
05/07/1999,16:00,34.0,34.0,30.5,31.5,243300.0
05/10/1999,16:00,31.44,32.38,30.88,30.88,84700.0
05/11/1999,16:00,31.63,31.63,29.75,31.13,254800.0
05/12/1999,16:00,31.5,34.63,30.5,34.5,273300.0
05/13/1999,16:00,35.5,36.0,33.5,33.5,65100.0
05/14/1999,16:00,33.0,33.25,29.0,30.63,119200.0
05/17/1999,16:00,30.75,34.0,29.0,33.75,117900.0
05/18/1999,16:00,34.13,35.38,33.88,35.0,83000.0
05/19/1999,16:00,35.75,36.5,34.75,34.75,52000.0
05/20/1999,16:00,34.88,38.5,34.5,36.25,21400.0
05/21/1999,16:00,36.5,37.0,35.0,35.0,13100.0
05/24/1999,16:00,37.0,37.0,31.88,31.88,71100.0
05/25/1999,16:00,32.13,32.13,30.25,31.13,67000.0
05/26/1999,16:00,31.75,32.0,31.25,31.31,22600.0
05/27/1999,16:00,32.0,32.0,31.25,31.38,22700.0
05/28/1999,16:00,32.0,32.13,31.25,32.0,205300.0
06/01/1999,16:00,33.63,35.0,32.25,32.75,71400.0
06/02/1999,16:00,33.0,33.0,31.5,31.75,18500.0
06/03/1999,16:00,31.94,32.38,30.13,30.13,42300.0
06/04/1999,16:00,30.5,30.5,28.63,28.63,74000.0
06/07/1999,16:00,28.88,28.88,26.63,27.19,167000.0
06/08/1999,16:00,27.19,27.5,26.75,27.13,100300.0
06/09/1999,16:00,27.06,27.63,27.0,27.0,294900.0
06/10/1999,16:00,27.0,27.13,24.88,25.25,64500.0
06/11/1999,16:00,25.75,27.63,25.63,26.94,142100.0
06/14/1999,16:00,27.13,27.5,26.88,26.94,68500.0
06/15/1999,16:00,26.88,27.13,25.88,25.88,32000.0
06/16/1999,16:00,26.5,26.5,22.38,25.5,109500.0
06/17/1999,16:00,24.5,26.0,24.0,25.38,43400.0
06/18/1999,16:00,26.13,26.13,25.0,25.38,32100.0
06/21/1999,16:00,25.75,25.75,24.0,24.5,133800.0
06/22/1999,16:00,25.25,25.25,24.25,24.44,730200.0
06/23/1999,16:00,24.63,28.38,24.5,28.25,376900.0
06/24/1999,16:00,28.75,29.0,26.0,26.0,63200.0
06/25/1999,16:00,26.59,27.0,26.0,26.0,60100.0
06/28/1999,16:00,26.31,26.31,25.31,25.88,62100.0
06/29/1999,16:00,25.75,26.25,25.31,25.75,150900.0
06/30/1999,16:00,26.06,29.75,24.56,28.13,442500.0
07/01/1999,16:00,28.13,31.25,27.13,29.88,328100.0
07/02/1999,16:00,30.75,33.13,29.88,32.19,118200.0
07/06/1999,16:00,32.63,34.0,32.0,33.25,32700.0
07/07/1999,16:00,36.31,44.88,36.25,41.06,631200.0
07/08/1999,16:00,42.56,43.75,38.5,39.5,338000.0
07/09/1999,16:00,39.75,39.94,37.5,38.0,58100.0
07/12/1999,16:00,38.0,38.38,35.0,37.19,238000.0
07/13/1999,16:00,37.0,37.63,35.75,37.63,110700.0
07/14/1999,16:00,37.5,40.75,35.63,39.0,105700.0
07/15/1999,16:00,39.0,40.25,38.0,38.88,45500.0
07/16/1999,16:00,38.5,38.63,36.5,36.63,43200.0
07/19/1999,16:00,37.0,38.13,36.13,37.25,52600.0
07/20/1999,16:00,36.88,37.0,35.5,37.0,50500.0
07/21/1999,16:00,37.63,38.75,37.25,38.0,157000.0
07/22/1999,16:00,38.38,38.38,32.5,35.25,124500.0
07/23/1999,16:00,36.13,36.5,33.06,33.75,57500.0
07/26/1999,16:00,32.81,32.84,29.0,29.25,164200.0
07/27/1999,16:00,29.94,29.94,29.0,29.13,172600.0
07/28/1999,16:00,29.28,29.38,27.63,28.25,88700.0
07/29/1999,16:00,27.88,27.88,26.75,26.88,131300.0
07/30/1999,16:00,27.25,27.25,25.38,26.0,146400.0
08/02/1999,16:00,25.88,26.19,24.25,25.13,144100.0
08/03/1999,16:00,26.38,26.38,25.25,25.88,187300.0
08/04/1999,16:00,26.13,26.25,24.75,25.81,136200.0
08/05/1999,16:00,26.75,30.13,25.88,29.88,256200.0
08/06/1999,16:00,30.0,30.25,28.5,29.0,218500.0
08/09/1999,16:00,29.38,29.38,28.47,28.88,174600.0
08/10/1999,16:00,28.5,28.81,26.56,27.63,231800.0
08/11/1999,16:00,28.0,28.19,27.88,27.94,31900.0
08/12/1999,16:00,27.75,28.13,26.38,26.5,116300.0
08/13/1999,16:00,26.63,27.25,25.81,26.13,111000.0
08/16/1999,16:00,26.25,26.88,24.38,24.5,169500.0
08/17/1999,16:00,25.25,25.88,24.31,24.63,195800.0
08/18/1999,16:00,25.0,25.0,24.38,24.38,149200.0
08/19/1999,16:00,24.34,24.5,23.38,23.5,58500.0
08/20/1999,16:00,23.44,23.88,23.25,23.31,30300.0
08/23/1999,16:00,23.25,24.38,23.0,23.06,198500.0
08/24/1999,16:00,23.06,23.38,21.75,22.0,294400.0
08/25/1999,16:00,22.63,25.63,19.75,25.0,1226100.0
08/26/1999,16:00,26.25,26.38,22.81,23.88,632700.0
08/27/1999,16:00,24.25,25.0,23.0,25.0,251000.0
08/30/1999,16:00,24.5,26.0,23.88,24.88,111300.0
08/31/1999,16:00,25.0,25.0,24.13,25.0,130500.0
09/01/1999,16:00,26.0,27.0,25.0,26.0,170000.0
09/02/1999,16:00,25.13,25.5,24.0,24.38,186700.0
09/03/1999,16:00,24.88,25.0,24.06,24.13,227500.0
09/07/1999,16:00,24.19,24.25,22.0,22.63,112600.0
09/08/1999,16:00,22.25,24.81,22.0,23.63,180600.0
09/09/1999,16:00,23.91,25.0,23.75,24.0,96800.0
09/10/1999,16:00,24.13,26.5,24.13,25.75,528200.0
09/13/1999,16:00,25.94,28.75,25.75,27.31,634500.0
09/14/1999,16:00,27.25,28.0,26.0,26.5,279600.0
09/15/1999,16:00,27.0,27.0,26.06,26.56,148800.0
09/16/1999,16:00,26.75,26.88,23.31,24.44,214600.0
09/17/1999,16:00,25.44,27.13,25.0,25.88,222300.0
09/20/1999,16:00,27.0,27.5,25.69,26.0,242700.0
09/21/1999,16:00,25.63,25.88,24.5,24.63,196100.0
09/22/1999,16:00,25.16,25.38,23.75,24.31,112300.0
09/23/1999,16:00,24.75,25.5,22.5,22.88,177200.0
09/24/1999,16:00,22.88,24.0,22.5,23.88,283900.0
09/27/1999,16:00,24.38,25.0,23.88,24.13,140600.0
09/28/1999,16:00,24.0,24.63,22.13,23.31,217500.0
09/29/1999,16:00,23.38,25.75,23.31,24.81,451900.0
09/30/1999,16:00,25.31,29.19,25.0,28.5,1219100.0
10/01/1999,16:00,27.75,30.88,26.0,29.75,621100.0
10/04/1999,16:00,32.0,33.38,29.75,32.88,777100.0
10/05/1999,16:00,15.19,16.0,12.75,12.81,14722700.0
10/06/1999,16:00,12.88,13.5,12.0,12.5,4219800.0
10/07/1999,16:00,12.88,12.88,11.88,11.97,1502400.0
10/08/1999,16:00,12.19,12.25,10.94,11.13,1145700.0
10/11/1999,16:00,11.31,12.13,10.69,11.81,1807700.0
10/12/1999,16:00,12.13,12.13,11.31,11.38,651200.0
10/13/1999,16:00,11.44,11.44,11.0,11.0,447600.0
10/14/1999,16:00,11.06,11.44,11.0,11.13,472700.0
10/15/1999,16:00,11.0,11.0,10.5,10.63,566500.0
10/18/1999,16:00,10.94,11.0,9.62,10.25,792500.0
10/19/1999,16:00,10.38,10.44,9.87,10.13,293900.0
10/20/1999,16:00,10.25,11.25,10.19,11.06,654200.0
10/21/1999,16:00,11.03,11.06,10.5,10.56,240600.0
10/22/1999,16:00,10.5,10.88,10.5,10.5,206600.0
10/25/1999,16:00,10.56,11.5,10.56,11.38,343300.0
10/26/1999,16:00,11.81,13.5,11.5,13.38,1963700.0
10/27/1999,16:00,14.0,14.0,12.63,13.38,1186800.0
10/28/1999,16:00,12.56,12.56,11.38,11.75,1048600.0
10/29/1999,16:00,11.81,12.0,10.88,11.13,531000.0
11/01/1999,16:00,11.31,11.94,11.0,11.44,522900.0
11/02/1999,16:00,11.44,12.13,11.44,11.63,445400.0
11/03/1999,16:00,12.31,13.13,11.88,13.0,836600.0
11/04/1999,16:00,13.88,14.5,13.13,14.06,1311000.0
11/05/1999,16:00,14.88,15.5,14.13,15.0,1258000.0
11/08/1999,16:00,15.69,18.5,15.13,17.88,1833000.0
11/09/1999,16:00,19.88,21.25,17.75,20.5,2283900.0
11/10/1999,16:00,20.69,25.0,20.5,24.0,2092900.0
11/11/1999,16:00,26.38,34.25,26.0,32.75,4921400.0
11/12/1999,16:00,31.94,32.06,26.13,27.5,4538100.0
11/15/1999,16:00,29.44,30.0,27.44,28.0,1375500.0
11/16/1999,16:00,27.94,28.0,24.88,25.44,1539900.0
11/17/1999,16:00,23.63,24.19,21.0,21.63,2158300.0
11/18/1999,16:00,23.5,26.19,22.63,25.25,2711700.0
11/19/1999,16:00,25.94,26.0,24.0,24.13,805200.0
11/22/1999,16:00,23.69,26.0,23.63,24.5,766000.0
11/23/1999,16:00,25.0,25.13,23.19,23.63,485400.0
11/24/1999,16:00,23.38,24.5,22.0,23.06,634500.0
11/26/1999,16:00,24.13,24.5,22.5,23.0,292600.0
11/29/1999,16:00,23.81,24.5,22.31,23.69,919000.0
11/30/1999,16:00,23.56,24.38,23.0,23.44,795900.0
12/01/1999,16:00,24.13,24.38,22.31,23.25,567100.0
12/02/1999,16:00,23.38,23.94,22.25,22.69,454100.0
12/03/1999,16:00,23.25,24.63,22.75,24.38,1036100.0
12/06/1999,16:00,25.06,28.13,24.75,27.81,1760000.0
12/07/1999,16:00,28.94,29.88,26.75,29.25,1239000.0
12/08/1999,16:00,30.06,35.06,29.38,32.5,2313500.0
12/09/1999,16:00,36.0,36.19,32.0,33.88,1705400.0
12/10/1999,16:00,34.38,34.69,31.94,32.63,1021300.0
12/13/1999,16:00,33.13,35.5,31.88,34.63,1448800.0
12/14/1999,16:00,35.5,35.75,27.5,29.0,1215500.0
12/15/1999,16:00,28.63,30.0,27.25,28.69,869700.0
12/16/1999,16:00,29.19,30.63,28.13,29.5,384500.0
12/17/1999,16:00,29.69,29.75,26.88,27.25,636500.0
12/20/1999,16:00,28.75,28.81,24.5,26.0,1249500.0
12/21/1999,16:00,25.63,27.63,24.75,26.75,710400.0
12/22/1999,16:00,27.19,27.5,25.19,26.13,763100.0
12/23/1999,16:00,25.56,26.38,24.33,25.27,962200.0
12/27/1999,16:00,25.44,25.5,24.0,24.0,681800.0
12/28/1999,16:00,24.38,33.13,24.13,31.63,3226400.0
12/29/1999,16:00,38.0,38.38,31.38,32.13,2835600.0
12/30/1999,16:00,32.81,32.88,29.0,29.13,971000.0
12/31/1999,16:00,29.25,30.75,28.5,29.0,430900.0
