Date,Time,Open,High,Low,Close,Vol
07/02/2015,16:00,27.30,30.28,26.64,29.65,8031600.0
07/06/2015,16:00,28.89,30.47,28.59,29.75,4748567.0
07/07/2015,16:00,30.15,30.48,29.25,30.06,2238387.0
07/08/2015,16:00,29.32,30.12,29.18,29.55,1571309.0
07/09/2015,16:00,29.57,30.17,28.28,28.70,3338706.0
07/10/2015,16:00,28.77,29.41,28.72,29.12,1757311.0
07/13/2015,16:00,28.73,29.35,28.73,29.04,1896983.0
07/14/2015,16:00,28.63,29.25,28.45,28.96,3070170.0
07/15/2015,16:00,28.85,29.13,28.58,28.77,3467553.0
07/16/2015,16:00,28.70,28.99,28.46,28.53,4699237.0
07/17/2015,16:00,28.70,28.92,28.20,28.57,3627036.0
07/20/2015,16:00,28.23,28.87,28.14,28.56,2170993.0
07/21/2015,16:00,28.51,28.95,28.06,28.86,2349290.0
07/22/2015,16:00,28.59,29.06,28.18,28.22,1951750.0
07/23/2015,16:00,28.09,28.57,28.02,28.21,2724821.0
07/24/2015,16:00,28.04,28.71,28.01,28.11,1327001.0
07/27/2015,16:00,27.95,28.28,27.68,28.23,1107726.0
07/28/2015,16:00,28.20,28.83,28.11,28.82,1137849.0
07/29/2015,16:00,28.65,29.29,27.92,29.04,2309480.0
07/30/2015,16:00,28.87,29.25,28.75,29.05,768558.0
07/31/2015,16:00,29.05,29.38,28.61,28.64,1802007.0
08/03/2015,16:00,27.49,29.39,27.19,27.94,2560100.0
08/04/2015,16:00,27.76,28.15,27.53,27.67,2533335.0
08/05/2015,16:00,28.64,28.64,25.61,26.89,3486594.0
08/06/2015,16:00,26.71,26.90,25.34,26.83,3865810.0
08/07/2015,16:00,26.48,27.06,26.27,26.99,1417623.0
08/10/2015,16:00,27.10,28.28,27.01,27.49,2033602.0
08/11/2015,16:00,26.73,27.61,26.38,27.30,2261187.0
08/12/2015,16:00,27.26,27.61,27.00,27.48,5678675.0
08/13/2015,16:00,27.44,27.46,27.04,27.18,3734811.0
08/14/2015,16:00,27.19,27.75,27.06,27.08,1780754.0
08/17/2015,16:00,27.10,27.30,27.00,27.19,693203.0
08/18/2015,16:00,27.14,27.28,26.75,26.78,1475959.0
08/19/2015,16:00,26.60,27.03,26.27,26.84,2220281.0
08/20/2015,16:00,26.62,26.90,25.91,25.95,1362603.0
08/21/2015,16:00,26.00,26.61,25.26,25.28,1890610.0
08/24/2015,16:00,24.56,27.18,22.98,24.04,3483631.0
08/25/2015,16:00,25.35,25.58,22.97,22.98,2378312.0
08/26/2015,16:00,23.51,23.58,22.73,23.23,2211880.0
08/27/2015,16:00,23.53,24.71,23.38,24.70,2368566.0
08/28/2015,16:00,24.66,25.22,24.45,25.07,2045928.0
08/31/2015,16:00,24.94,25.34,24.60,24.89,1803266.0
09/01/2015,16:00,24.11,24.25,23.42,23.58,2538021.0
09/02/2015,16:00,23.82,23.88,23.32,23.86,2614466.0
09/03/2015,16:00,23.89,24.15,23.66,23.72,1309122.0
09/04/2015,16:00,23.30,23.98,23.26,23.77,1261546.0
09/08/2015,16:00,23.95,24.26,23.81,24.10,894459.0
09/09/2015,16:00,23.59,24.33,23.35,23.45,981977.0
09/10/2015,16:00,23.43,23.59,22.94,23.01,1289965.0
09/11/2015,16:00,22.82,23.06,22.60,23.06,1514219.0
09/14/2015,16:00,23.02,23.15,22.65,22.75,777984.0
09/15/2015,16:00,22.80,23.00,22.53,22.61,1495664.0
09/16/2015,16:00,22.58,22.83,22.48,22.54,2545223.0
09/17/2015,16:00,22.68,22.81,22.21,22.27,1723612.0
09/18/2015,16:00,21.35,22.32,21.17,21.80,3520515.0
09/21/2015,16:00,21.89,22.04,20.91,21.15,2176850.0
09/22/2015,16:00,21.02,21.02,20.41,20.53,2623978.0
09/23/2015,16:00,20.49,20.58,19.56,19.61,1844665.0
09/24/2015,16:00,19.41,19.48,18.35,19.02,3554760.0
09/25/2015,16:00,19.10,19.29,18.53,18.64,2889685.0
09/28/2015,16:00,18.45,18.55,17.52,17.71,3353569.0
09/29/2015,16:00,17.81,18.37,17.31,17.37,4650414.0
09/30/2015,16:00,17.18,17.97,17.18,17.95,3333670.0
10/01/2015,16:00,18.14,18.38,17.38,17.87,2623187.0
10/02/2015,16:00,17.55,18.57,17.55,18.02,2369444.0
10/05/2015,16:00,18.04,18.62,18.04,18.12,5125426.0
10/06/2015,16:00,18.11,18.70,17.95,18.50,5795494.0
10/07/2015,16:00,18.73,19.03,18.09,18.64,3696903.0
10/08/2015,16:00,18.82,20.42,18.57,19.87,6381273.0
10/09/2015,16:00,20.02,20.87,19.88,20.79,4390711.0
