Date,Time,Open,High,Low,Close,Vol
04/17/2013,16:00,27.43,29.29,26.46,27.91,908400.0
04/18/2013,16:00,28.14,28.14,27.19,27.78,1329600.0
04/19/2013,16:00,27.92,28.90,27.38,28.41,862700.0
04/22/2013,16:00,29.20,29.20,27.53,28.06,911200.0
04/23/2013,16:00,28.17,28.20,27.29,27.86,1530200.0
04/24/2013,16:00,27.72,27.92,27.29,27.33,1158100.0
04/25/2013,16:00,27.42,27.92,27.08,27.56,682700.0
04/26/2013,16:00,27.56,28.48,27.56,28.02,1193000.0
04/29/2013,16:00,28.02,29.28,28.02,28.90,1940400.0
04/30/2013,16:00,28.99,29.76,28.99,29.49,1792100.0
05/01/2013,16:00,30.12,30.98,29.04,29.59,15094200.0
05/02/2013,16:00,29.64,29.88,28.12,29.67,6357400.0
05/03/2013,16:00,29.58,30.59,28.76,29.20,4035400.0
05/06/2013,16:00,29.14,29.37,28.49,29.25,2337800.0
05/07/2013,16:00,29.39,30.33,29.30,29.88,3446900.0
05/08/2013,16:00,29.97,31.44,29.76,30.13,5726600.0
05/09/2013,16:00,29.99,30.18,29.35,29.53,3594900.0
05/10/2013,16:00,29.57,29.69,29.10,29.47,2819600.0
05/13/2013,16:00,29.30,29.85,29.28,29.74,2576500.0
05/14/2013,16:00,29.74,32.28,29.74,32.05,4037200.0
05/15/2013,16:00,31.61,32.60,31.23,32.29,2726900.0
05/16/2013,16:00,32.37,32.97,32.15,32.43,1392300.0
05/17/2013,16:00,32.53,32.89,32.33,32.62,1976600.0
05/20/2013,16:00,32.48,32.92,31.41,32.25,1803700.0
05/21/2013,16:00,32.03,32.60,31.67,31.76,2420500.0
05/22/2013,16:00,31.65,33.25,31.65,32.67,1992700.0
05/23/2013,16:00,32.33,32.79,32.27,32.49,2226000.0
05/24/2013,16:00,32.61,33.05,32.39,32.42,1367100.0
05/28/2013,16:00,32.68,32.82,32.17,32.30,1716500.0
05/29/2013,16:00,32.11,32.23,31.26,31.34,1768100.0
05/30/2013,16:00,31.23,31.66,30.64,30.74,1657000.0
05/31/2013,16:00,30.56,30.80,29.77,29.77,2949200.0
06/03/2013,16:00,29.96,31.25,29.96,30.18,2125900.0
06/04/2013,16:00,30.37,30.99,30.19,30.37,3709600.0
06/05/2013,16:00,30.48,31.18,30.30,30.82,2769900.0
06/06/2013,16:00,30.74,31.50,30.74,31.15,1412000.0
06/07/2013,16:00,31.25,32.36,31.20,32.13,1816900.0
06/10/2013,16:00,31.94,32.13,31.36,31.41,848300.0
06/11/2013,16:00,30.59,31.37,30.59,31.09,1135400.0
06/12/2013,16:00,31.21,31.59,31.20,31.46,929600.0
06/13/2013,16:00,31.51,32.04,31.38,31.99,1049900.0
06/14/2013,16:00,31.89,32.03,31.69,31.75,1105400.0
06/17/2013,16:00,31.75,32.28,31.69,31.99,775500.0
06/18/2013,16:00,31.93,32.59,31.93,32.48,972500.0
06/19/2013,16:00,32.63,32.69,32.17,32.41,2169700.0
06/20/2013,16:00,32.08,32.10,31.45,31.51,1890800.0
06/21/2013,16:00,31.52,31.80,31.06,31.67,2405600.0
06/24/2013,16:00,31.23,31.64,30.74,31.45,1070600.0
06/25/2013,16:00,31.60,31.69,31.08,31.24,1263700.0
06/26/2013,16:00,31.36,31.40,30.58,30.75,761700.0
06/27/2013,16:00,30.83,30.96,30.23,30.34,1081400.0
06/28/2013,16:00,30.37,30.45,29.70,30.19,1440000.0
07/01/2013,16:00,30.21,30.72,30.07,30.35,843200.0
07/02/2013,16:00,30.23,30.95,30.16,30.75,617400.0
07/03/2013,16:00,30.57,31.04,30.57,30.97,1504300.0
07/05/2013,16:00,31.08,31.20,30.61,31.15,937300.0
07/08/2013,16:00,31.13,31.21,30.53,30.88,967200.0
07/09/2013,16:00,30.88,31.84,30.86,31.49,1016300.0
07/10/2013,16:00,31.40,31.84,31.31,31.62,592300.0
07/11/2013,16:00,31.70,31.98,31.21,31.40,623300.0
07/12/2013,16:00,31.30,31.65,30.68,30.73,469600.0
07/15/2013,16:00,30.80,31.52,30.46,31.32,482200.0
07/16/2013,16:00,31.29,31.36,30.79,31.35,462300.0
07/17/2013,16:00,31.35,31.43,31.05,31.37,603500.0
07/18/2013,16:00,31.38,31.89,31.27,31.54,585500.0
