Date,Time,Open,High,Low,Close,Vol
08/13/1998,16:00,14.62,16.01,14.50,15.43,5835500.0
08/14/1998,16:00,16.13,16.19,14.21,14.39,1314900.0
08/17/1998,16:00,14.50,15.43,14.50,15.37,368600.0
08/18/1998,16:00,15.60,15.67,14.62,15.14,303600.0
08/19/1998,16:00,14.96,15.20,14.62,14.85,224500.0
08/20/1998,16:00,14.80,14.85,13.28,14.21,432000.0
08/21/1998,16:00,13.98,14.03,13.05,13.92,305500.0
08/24/1998,16:00,13.92,14.10,13.81,13.81,71200.0
08/25/1998,16:00,13.87,14.50,13.87,14.39,170200.0
08/26/1998,16:00,14.15,14.15,13.87,13.87,198000.0
08/27/1998,16:00,13.46,13.46,11.95,12.30,338600.0
08/28/1998,16:00,12.47,12.64,11.78,12.01,244300.0
08/31/1998,16:00,12.18,12.30,10.56,11.55,286400.0
09/01/1998,16:00,11.55,11.71,10.78,11.08,187800.0
09/02/1998,16:00,11.14,11.49,10.90,11.19,121800.0
09/03/1998,16:00,11.08,11.37,10.96,11.25,78300.0
09/04/1998,16:00,11.37,11.83,11.37,11.66,35300.0
09/08/1998,16:00,12.64,13.57,12.59,13.57,172100.0
09/09/1998,16:00,13.51,13.57,12.59,12.76,160300.0
09/10/1998,16:00,12.64,12.64,11.49,12.07,226100.0
09/11/1998,16:00,12.07,12.35,11.55,11.89,174100.0
09/14/1998,16:00,12.01,12.64,12.01,12.24,37800.0
09/15/1998,16:00,12.18,12.42,11.95,12.35,59500.0
09/16/1998,16:00,12.47,12.99,12.35,12.94,67900.0
09/17/1998,16:00,12.99,12.99,12.12,12.76,186400.0
09/18/1998,16:00,12.76,12.76,12.42,12.76,97900.0
09/21/1998,16:00,11.83,12.59,11.83,12.53,63900.0
09/22/1998,16:00,12.64,12.82,12.24,12.42,43300.0
09/23/1998,16:00,12.42,12.64,12.30,12.47,71200.0
09/24/1998,16:00,12.53,13.35,12.42,12.94,55000.0
09/25/1998,16:00,12.88,12.94,12.42,12.53,29800.0
09/28/1998,16:00,12.53,13.63,12.53,13.40,95800.0
09/29/1998,16:00,13.46,13.87,13.17,13.63,97200.0
09/30/1998,16:00,13.46,13.87,13.28,13.87,61600.0
10/01/1998,16:00,13.63,13.63,12.42,12.47,129300.0
10/02/1998,16:00,12.42,12.42,11.95,12.07,36100.0
10/05/1998,16:00,12.07,12.07,10.73,11.03,55900.0
10/06/1998,16:00,11.25,11.55,10.67,10.85,109400.0
10/07/1998,16:00,10.90,10.90,10.26,10.26,60900.0
10/08/1998,16:00,10.15,10.15,8.93,9.17,148600.0
10/09/1998,16:00,9.34,10.44,9.28,10.26,241100.0
10/12/1998,16:00,11.25,11.55,11.14,11.31,265700.0
10/13/1998,16:00,11.31,11.42,11.08,11.14,158900.0
10/14/1998,16:00,11.03,11.08,10.90,10.90,40100.0
10/15/1998,16:00,10.90,10.90,10.10,10.21,125100.0
10/16/1998,16:00,10.56,10.62,10.32,10.38,103200.0
10/19/1998,16:00,10.67,11.25,10.44,10.73,521200.0
10/20/1998,16:00,10.78,11.19,10.67,11.08,448200.0
10/21/1998,16:00,11.14,11.83,11.08,11.66,331400.0
10/22/1998,16:00,11.71,11.89,11.25,11.37,182700.0
10/23/1998,16:00,11.37,11.42,11.08,11.31,95100.0
10/26/1998,16:00,11.37,11.37,11.03,11.14,97900.0
10/27/1998,16:00,11.08,11.66,10.96,11.08,257300.0
10/28/1998,16:00,11.14,11.37,11.08,11.14,57000.0
10/29/1998,16:00,11.14,11.78,11.03,11.55,171900.0
10/30/1998,16:00,11.60,12.94,11.55,12.94,420000.0
11/02/1998,16:00,12.71,13.98,12.07,13.92,317700.0
11/03/1998,16:00,13.92,14.80,13.92,14.39,780200.0
11/04/1998,16:00,14.39,14.50,14.39,14.50,219200.0
11/05/1998,16:00,14.28,14.44,13.92,14.03,284300.0
11/06/1998,16:00,14.15,14.21,14.03,14.21,107700.0
11/09/1998,16:00,14.10,14.15,13.75,13.75,73800.0
11/10/1998,16:00,13.69,14.28,13.57,14.03,77700.0
11/11/1998,16:00,14.15,14.33,13.81,13.92,45800.0
11/12/1998,16:00,13.92,13.98,13.81,13.98,50400.0
11/13/1998,16:00,13.98,14.03,13.69,13.92,50800.0
11/16/1998,16:00,13.98,14.39,13.98,14.21,60600.0
11/17/1998,16:00,14.28,14.85,13.92,14.85,216700.0
11/18/1998,16:00,14.91,15.67,14.85,15.49,306200.0
11/19/1998,16:00,15.72,15.78,15.20,15.78,107800.0
11/20/1998,16:00,16.24,16.65,16.01,16.19,393000.0
11/23/1998,16:00,16.24,16.48,16.13,16.36,133700.0
11/24/1998,16:00,16.13,16.42,15.78,15.78,655700.0
11/25/1998,16:00,15.96,16.53,15.96,16.48,237100.0
11/27/1998,16:00,16.48,16.53,16.30,16.42,21800.0
11/30/1998,16:00,16.53,17.23,16.53,17.00,328000.0
12/01/1998,16:00,16.82,17.23,16.65,17.17,152900.0
12/02/1998,16:00,17.06,17.28,16.88,17.12,99500.0
12/03/1998,16:00,17.12,17.17,16.94,17.06,212900.0
12/04/1998,16:00,17.12,17.40,17.00,17.06,148600.0
12/07/1998,16:00,17.12,17.64,17.06,17.40,167900.0
12/08/1998,16:00,17.64,18.57,17.58,18.57,393200.0
12/09/1998,16:00,18.57,18.80,17.40,17.46,260400.0
12/10/1998,16:00,17.46,17.64,17.40,17.53,275100.0
12/11/1998,16:00,17.58,17.69,17.53,17.58,151200.0
12/14/1998,16:00,17.64,17.69,17.46,17.58,309100.0
12/15/1998,16:00,17.53,17.75,17.53,17.53,259100.0
12/16/1998,16:00,17.58,18.05,17.58,17.92,212300.0
12/17/1998,16:00,17.99,18.10,17.64,17.64,223000.0
12/18/1998,16:00,17.75,17.99,17.46,17.58,266000.0
