Date,Time,Open,High,Low,Close,Vol
10/29/1997,16:00,22.75,22.75,21.63,22.25,2049600.0
10/30/1997,16:00,20.5,22.0,20.25,22.0,423400.0
10/31/1997,16:00,22.0,22.38,22.0,22.13,174200.0
11/03/1997,16:00,22.0,22.13,21.63,21.63,103900.0
11/04/1997,16:00,21.63,22.5,21.63,22.5,230300.0
11/05/1997,16:00,22.25,22.63,22.25,22.5,298100.0
11/06/1997,16:00,22.5,22.88,22.38,22.63,119400.0
11/07/1997,16:00,22.13,22.5,22.13,22.5,37800.0
11/10/1997,16:00,22.38,22.5,22.0,22.13,97500.0
11/11/1997,16:00,22.13,22.38,22.13,22.13,50000.0
11/12/1997,16:00,22.13,22.25,21.5,21.5,10400.0
11/13/1997,16:00,21.38,21.63,21.13,21.25,45800.0
11/14/1997,16:00,21.13,21.25,20.75,20.88,130200.0
11/17/1997,16:00,20.88,21.0,20.63,20.63,22000.0
11/18/1997,16:00,20.63,20.88,20.5,20.63,147500.0
11/19/1997,16:00,20.63,21.0,20.5,21.0,37900.0
11/20/1997,16:00,21.0,21.0,20.75,20.75,13000.0
11/21/1997,16:00,21.0,21.0,20.5,20.5,9500.0
11/24/1997,16:00,20.88,20.94,19.0,19.25,122100.0
11/25/1997,16:00,19.75,20.13,19.63,19.88,156900.0
11/26/1997,16:00,20.0,20.5,20.0,20.38,258500.0
11/28/1997,16:00,20.13,20.38,20.0,20.25,31900.0
12/01/1997,16:00,20.0,20.63,20.0,20.38,54200.0
12/02/1997,16:00,20.63,20.63,20.25,20.25,21800.0
12/03/1997,16:00,20.25,20.5,19.38,19.75,165600.0
12/04/1997,16:00,19.75,19.75,19.75,19.75,14800.0
12/05/1997,16:00,19.75,20.0,19.75,20.0,13700.0
12/08/1997,16:00,20.0,20.12,20.0,20.12,34900.0
12/09/1997,16:00,20.13,20.38,19.75,20.13,86300.0
12/10/1997,16:00,20.13,20.63,20.13,20.5,146200.0
12/11/1997,16:00,20.63,20.88,20.38,20.88,11600.0
12/12/1997,16:00,20.63,21.0,20.63,20.88,4800.0
12/15/1997,16:00,20.88,21.25,20.75,21.12,34900.0
12/16/1997,16:00,21.13,21.13,20.75,20.81,6300.0
12/17/1997,16:00,21.13,21.63,20.88,21.63,30500.0
12/18/1997,16:00,21.75,22.38,21.38,22.25,37800.0
12/19/1997,16:00,22.63,22.63,22.25,22.25,96400.0
12/22/1997,16:00,22.13,22.38,22.13,22.38,224900.0
12/23/1997,16:00,22.5,24.25,22.5,24.25,74500.0
12/24/1997,16:00,24.5,25.63,24.0,25.5,67800.0
12/26/1997,16:00,25.25,25.38,25.0,25.0,5200.0
12/29/1997,16:00,25.25,25.25,24.94,25.13,10500.0
12/30/1997,16:00,25.25,25.25,24.88,24.88,17400.0
12/31/1997,16:00,25.25,26.38,24.88,26.38,18200.0
01/02/1998,16:00,25.63,26.0,25.38,25.75,27900.0
01/05/1998,16:00,25.38,25.5,24.88,25.13,265600.0
01/06/1998,16:00,25.63,26.0,24.88,26.0,44900.0
01/07/1998,16:00,25.63,26.13,25.63,26.13,9800.0
01/08/1998,16:00,25.63,26.0,25.63,25.63,12700.0
01/09/1998,16:00,25.63,26.13,25.13,25.25,16900.0
01/12/1998,16:00,25.25,25.88,25.25,25.25,2100.0
01/13/1998,16:00,25.25,25.88,25.25,25.25,16400.0
01/14/1998,16:00,25.88,25.88,25.0,25.0,18900.0
01/15/1998,16:00,25.63,25.63,25.0,25.0,13600.0
01/16/1998,16:00,25.5,25.5,24.38,24.5,6500.0
01/20/1998,16:00,24.38,24.63,24.38,24.63,20800.0
01/21/1998,16:00,24.25,24.56,24.25,24.56,69900.0
01/22/1998,16:00,24.38,24.63,24.13,24.13,30800.0
01/23/1998,16:00,24.5,24.5,24.0,24.0,2900.0
01/26/1998,16:00,24.5,24.5,23.88,23.88,11100.0
01/27/1998,16:00,24.19,24.19,24.0,24.0,26000.0
01/28/1998,16:00,24.0,24.25,23.88,24.25,6800.0
01/29/1998,16:00,23.88,24.5,23.88,24.19,153800.0
01/30/1998,16:00,24.38,24.75,24.38,24.75,5500.0
02/02/1998,16:00,24.75,24.75,24.38,24.38,48900.0
02/03/1998,16:00,24.38,24.88,24.25,24.88,17900.0
02/04/1998,16:00,24.88,25.0,24.38,25.0,6400.0
02/05/1998,16:00,24.75,25.13,24.75,25.13,6000.0
02/06/1998,16:00,24.75,25.63,24.75,25.5,45000.0
02/09/1998,16:00,25.88,26.25,25.25,25.75,25800.0
02/10/1998,16:00,26.13,26.13,25.75,26.0,9200.0
02/11/1998,16:00,26.13,26.13,25.94,26.0,18700.0
02/12/1998,16:00,26.13,26.13,26.0,26.13,10500.0
02/13/1998,16:00,25.75,26.13,25.75,26.13,12200.0
02/17/1998,16:00,25.75,26.0,25.5,25.75,6800.0
02/18/1998,16:00,25.63,26.0,25.63,26.0,5900.0
02/19/1998,16:00,26.0,26.0,25.63,25.63,17000.0
02/20/1998,16:00,25.5,25.75,25.5,25.75,3200.0
02/23/1998,16:00,25.63,25.63,25.13,25.13,9800.0
02/24/1998,16:00,25.0,25.0,24.75,24.75,25400.0
02/25/1998,16:00,24.88,24.88,23.88,23.88,13000.0
02/26/1998,16:00,24.0,24.0,23.75,23.88,110500.0
02/27/1998,16:00,24.0,24.38,24.0,24.38,24900.0
03/02/1998,16:00,24.38,24.38,24.13,24.13,12500.0
03/03/1998,16:00,24.13,24.25,23.88,24.13,161800.0
03/04/1998,16:00,23.88,24.5,23.88,24.25,134200.0
03/05/1998,16:00,23.75,24.5,23.75,24.13,21300.0
03/06/1998,16:00,24.38,24.38,24.13,24.13,49200.0
03/09/1998,16:00,24.38,24.5,24.38,24.5,1800.0
03/10/1998,16:00,24.25,24.75,24.25,24.5,12800.0
03/11/1998,16:00,25.0,26.0,25.0,25.0,14500.0
03/12/1998,16:00,25.5,25.63,25.13,25.63,37100.0
03/13/1998,16:00,25.0,25.63,25.0,25.63,22600.0
03/16/1998,16:00,25.88,27.0,25.75,27.0,119800.0
03/17/1998,16:00,27.5,28.25,27.25,27.25,28400.0
03/18/1998,16:00,26.88,27.38,26.88,26.88,12300.0
03/19/1998,16:00,27.38,28.5,27.38,28.0,27900.0
03/20/1998,16:00,27.5,28.06,27.5,28.0,7100.0
03/23/1998,16:00,28.0,28.0,27.38,27.38,18000.0
03/24/1998,16:00,27.88,27.88,26.88,26.88,26000.0
03/25/1998,16:00,27.0,27.0,26.13,26.13,11000.0
