Date,Time,Open,High,Low,Close,Vol
04/30/2004,16:00,97.14,103.08,96.60,97.56,91800.0
05/03/2004,16:00,96.42,104.10,96.42,102.66,66300.0
05/04/2004,16:00,106.08,106.08,97.5,101.10,37400.0
05/05/2004,16:00,99.0,107.39,99.0,105.42,25900.0
05/06/2004,16:00,104.39,106.80,99.0,103.14,33300.0
05/07/2004,16:00,106.80,106.80,100.26,101.46,11900.0
05/10/2004,16:00,101.39,101.39,96.12,97.5,75400.0
05/11/2004,16:00,98.69,98.69,91.74,93.6,19700.0
05/12/2004,16:00,93.96,95.4,91.19,92.1,43900.0
05/13/2004,16:00,92.69,93.6,92.03,93.0,17100.0
05/14/2004,16:00,92.69,95.4,91.19,95.4,3500.0
05/17/2004,16:00,94.19,95.1,94.19,94.5,19100.0
05/18/2004,16:00,94.56,95.46,94.44,94.80,11000.0
05/19/2004,16:00,94.56,95.76,94.56,95.69,2200.0
05/20/2004,16:00,95.82,96.89,92.88,93.6,11700.0
05/21/2004,16:00,94.56,97.44,93.0,94.19,24700.0
05/24/2004,16:00,94.5,95.1,91.38,91.5,11500.0
05/25/2004,16:00,92.58,92.58,85.67,89.88,13800.0
05/26/2004,16:00,88.44,94.62,87.0,93.0,29300.0
05/27/2004,16:00,96.0,97.44,89.4,90.6,9900.0
05/28/2004,16:00,91.5,98.39,91.5,98.39,4200.0
06/01/2004,16:00,92.52,97.80,92.52,94.37,8500.0
06/02/2004,16:00,94.26,96.0,88.80,90.84,14800.0
06/03/2004,16:00,90.96,92.82,89.94,90.12,4000.0
06/04/2004,16:00,92.22,95.34,90.17,92.1,17600.0
06/07/2004,16:00,93.72,94.56,88.74,94.56,7100.0
06/08/2004,16:00,90.24,98.94,90.24,96.84,50200.0
06/09/2004,16:00,95.4,97.5,94.86,96.0,21500.0
06/10/2004,16:00,96.0,101.10,95.4,95.52,9400.0
06/14/2004,16:00,95.4,95.4,91.19,93.9,10600.0
06/15/2004,16:00,93.9,94.80,90.24,92.03,6500.0
06/16/2004,16:00,92.4,96.0,90.9,96.0,11200.0
06/17/2004,16:00,96.60,96.60,94.14,94.86,15400.0
06/18/2004,16:00,95.69,96.30,95.4,96.12,16800.0
06/21/2004,16:00,96.84,97.5,94.19,94.19,12200.0
06/22/2004,16:00,94.65,95.22,90.9,92.58,17400.0
06/23/2004,16:00,92.94,92.94,91.19,92.46,23600.0
06/24/2004,16:00,92.4,93.30,87.06,90.30,16600.0
06/25/2004,16:00,90.12,90.12,69.12,88.62,67700.0
06/28/2004,16:00,84.66,88.5,78.6,88.5,16900.0
06/29/2004,16:00,88.5,89.88,86.69,88.19,5800.0
06/30/2004,16:00,89.1,90.0,86.94,89.1,14500.0
07/01/2004,16:00,90.06,90.06,85.38,89.03,19800.0
07/02/2004,16:00,88.80,90.06,87.66,90.06,21000.0
07/06/2004,16:00,89.46,89.46,85.38,87.24,9500.0
07/07/2004,16:00,86.34,87.0,84.96,85.14,15200.0
07/08/2004,16:00,84.96,85.56,81.66,83.16,5700.0
07/09/2004,16:00,82.86,84.30,79.56,81.0,9900.0
07/12/2004,16:00,81.06,81.06,74.82,77.4,100900.0
07/13/2004,16:00,77.58,78.0,74.88,77.52,11800.0
07/14/2004,16:00,76.80,78.0,75.96,78.0,16400.0
07/15/2004,16:00,77.88,78.84,77.34,78.0,6400.0
07/16/2004,16:00,78.30,78.6,77.52,77.64,22800.0
07/19/2004,16:00,78.18,78.18,72.0,72.84,106300.0
07/20/2004,16:00,72.36,73.5,69.96,70.80,6300.0
07/21/2004,16:00,70.86,70.86,54.0,57.36,46600.0
07/22/2004,16:00,57.06,59.22,54.30,56.34,22700.0
07/23/2004,16:00,56.09,57.0,46.8,54.42,37200.0
07/26/2004,16:00,54.59,54.59,51.30,53.64,23600.0
07/27/2004,16:00,54.72,55.80,52.80,55.01,48400.0
07/28/2004,16:00,54.0,54.17,50.69,50.88,23400.0
07/29/2004,16:00,52.19,54.30,49.26,50.64,10000.0
07/30/2004,16:00,50.69,50.69,49.19,49.67,21400.0
08/02/2004,16:00,49.32,49.67,48.23,49.19,21500.0
08/03/2004,16:00,50.09,50.09,45.54,46.86,75500.0
08/04/2004,16:00,46.8,47.33,44.97,45.12,22200.0
08/05/2004,16:00,45.59,45.96,45.0,45.59,9200.0
08/06/2004,16:00,44.82,45.96,42.59,45.24,27500.0
08/09/2004,16:00,44.76,56.28,44.28,47.64,25000.0
08/10/2004,16:00,49.5,49.5,45.42,47.51,7200.0
08/11/2004,16:00,46.5,52.44,44.46,50.40,14600.0
08/12/2004,16:00,48.06,48.30,45.0,46.38,5400.0
08/13/2004,16:00,46.68,46.68,45.48,46.68,2800.0
08/16/2004,16:00,47.28,47.7,46.44,46.44,2300.0
08/17/2004,16:00,46.98,47.40,46.44,46.62,1800.0
08/18/2004,16:00,46.83,48.0,46.32,47.51,2200.0
08/19/2004,16:00,47.51,47.94,45.06,45.42,5200.0
08/20/2004,16:00,46.01,47.7,45.0,47.16,7300.0
08/23/2004,16:00,47.37,50.51,47.37,48.12,6900.0
08/24/2004,16:00,47.7,52.73,47.7,51.23,2300.0
08/25/2004,16:00,49.19,54.54,49.19,54.0,4300.0
08/26/2004,16:00,53.34,56.64,52.98,54.0,6500.0
08/27/2004,16:00,54.0,58.5,54.0,58.26,10600.0
08/30/2004,16:00,60.0,60.0,55.80,56.88,5500.0
08/31/2004,16:00,58.19,59.46,56.94,58.14,5800.0
09/01/2004,16:00,58.56,63.90,58.56,60.72,13300.0
09/02/2004,16:00,62.76,64.92,59.64,63.59,6700.0
09/03/2004,16:00,65.46,66.6,60.78,62.34,2200.0
09/07/2004,16:00,64.5,64.56,60.78,61.73,5600.0
09/08/2004,16:00,60.90,62.51,59.51,59.51,9300.0
09/09/2004,16:00,59.46,59.46,55.26,57.48,5100.0
09/10/2004,16:00,57.30,60.0,56.16,58.08,6100.0
09/13/2004,16:00,58.5,60.0,57.90,59.16,12800.0
09/14/2004,16:00,59.16,60.0,57.90,58.80,8300.0
09/15/2004,16:00,59.40,60.0,59.16,59.67,13400.0
09/16/2004,16:00,59.94,64.86,58.56,58.56,17800.0
09/17/2004,16:00,60.0,60.42,59.40,60.0,24400.0
09/20/2004,16:00,62.07,63.12,60.90,63.12,14000.0
09/21/2004,16:00,64.05,69.53,63.59,69.0,22900.0
09/22/2004,16:00,69.53,72.0,67.5,71.88,24500.0
09/23/2004,16:00,73.32,73.32,69.96,71.94,16500.0
