Date,Time,Open,High,Low,Close,Vol
05/30/1996,16:00,6.42,6.42,6.42,6.42,0.0
05/31/1996,16:00,6.42,6.42,6.42,6.42,0.0
06/03/1996,16:00,6.42,6.42,6.42,6.42,0.0
06/04/1996,16:00,6.07,6.07,6.07,6.07,400.5
06/05/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/06/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/07/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/10/1996,16:00,6.28,6.28,6.28,6.28,600.0
06/11/1996,16:00,6.07,6.07,6.07,6.07,100.5
06/12/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/13/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/14/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/17/1996,16:00,6.07,6.07,6.07,6.07,300.0
06/18/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/19/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/20/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/21/1996,16:00,6.07,6.07,6.07,6.07,400.5
06/24/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/25/1996,16:00,6.07,6.07,6.07,6.07,1300.5
06/26/1996,16:00,6.07,6.07,6.07,6.07,0.0
06/27/1996,16:00,6.11,6.11,6.11,6.11,0.0
06/28/1996,16:00,6.11,6.11,6.11,6.11,400.5
07/01/1996,16:00,6.11,6.40,6.11,6.11,1800.0
07/02/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/03/1996,16:00,6.25,6.25,6.25,6.25,700.5
07/05/1996,16:00,6.25,6.25,6.25,6.25,0.0
07/08/1996,16:00,6.32,6.32,6.32,6.32,600.0
07/09/1996,16:00,6.32,6.32,6.32,6.32,0.0
07/10/1996,16:00,6.32,6.32,6.32,6.32,0.0
07/11/1996,16:00,6.32,6.32,6.32,6.32,0.0
07/12/1996,16:00,6.32,6.32,6.32,6.32,0.0
07/15/1996,16:00,6.32,6.32,6.32,6.32,0.0
07/16/1996,16:00,6.11,6.11,6.11,6.11,300.0
07/17/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/18/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/19/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/22/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/23/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/24/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/25/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/26/1996,16:00,6.11,6.11,6.11,6.11,0.0
07/29/1996,16:00,6.54,6.54,6.54,6.54,300.0
07/30/1996,16:00,6.18,6.18,6.18,6.18,400.5
07/31/1996,16:00,6.18,6.18,6.18,6.18,0.0
08/01/1996,16:00,6.18,6.18,6.18,6.18,0.0
08/02/1996,16:00,6.18,6.18,6.18,6.18,0.0
08/05/1996,16:00,6.18,6.18,6.18,6.18,0.0
08/06/1996,16:00,6.32,6.32,6.18,6.32,1300.5
08/07/1996,16:00,6.50,6.50,6.50,6.50,700.5
08/08/1996,16:00,6.50,6.50,6.50,6.50,0.0
08/09/1996,16:00,6.50,6.50,6.50,6.50,0.0
08/12/1996,16:00,6.50,6.50,6.50,6.50,0.0
08/13/1996,16:00,6.50,6.50,6.50,6.50,0.0
08/14/1996,16:00,6.50,6.50,6.50,6.50,0.0
08/15/1996,16:00,6.50,6.50,6.50,6.50,0.0
08/16/1996,16:00,6.50,6.50,6.50,6.50,0.0
08/19/1996,16:00,6.18,6.18,6.18,6.18,2700.0
08/20/1996,16:00,6.18,6.18,6.18,6.18,1200.0
08/21/1996,16:00,6.18,6.18,6.18,6.18,0.0
08/22/1996,16:00,6.18,6.54,6.18,6.54,1000.5
08/23/1996,16:00,6.54,6.54,6.54,6.54,0.0
08/26/1996,16:00,6.54,6.54,6.54,6.54,0.0
08/27/1996,16:00,6.54,6.54,6.32,6.32,1300.5
08/28/1996,16:00,6.54,6.54,6.54,6.54,100.5
08/29/1996,16:00,6.54,6.54,6.54,6.54,100.5
08/30/1996,16:00,6.54,6.54,6.54,6.54,0.0
09/03/1996,16:00,6.54,6.54,6.54,6.54,0.0
09/04/1996,16:00,6.22,6.22,6.22,6.22,100.5
09/05/1996,16:00,6.22,6.22,6.22,6.22,0.0
09/06/1996,16:00,6.22,6.22,6.22,6.22,0.0
09/09/1996,16:00,6.22,6.22,6.22,6.22,0.0
09/10/1996,16:00,6.22,6.22,6.22,6.22,0.0
09/11/1996,16:00,6.61,6.61,6.61,6.61,100.5
09/12/1996,16:00,6.61,6.61,6.61,6.61,100.5
09/13/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/16/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/17/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/18/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/19/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/20/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/23/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/24/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/25/1996,16:00,6.61,6.61,6.61,6.61,0.0
09/26/1996,16:00,6.65,6.65,6.65,6.65,0.0
09/27/1996,16:00,6.65,6.65,6.65,6.65,0.0
09/30/1996,16:00,6.65,6.65,6.65,6.65,0.0
10/01/1996,16:00,6.65,6.65,6.65,6.65,0.0
10/02/1996,16:00,6.79,6.79,6.79,6.79,300.0
10/03/1996,16:00,6.79,6.79,6.79,6.79,0.0
10/04/1996,16:00,6.65,6.65,6.65,6.65,700.5
10/07/1996,16:00,6.65,6.65,6.65,6.65,0.0
10/08/1996,16:00,6.65,6.65,6.65,6.65,0.0
10/09/1996,16:00,6.44,6.44,6.44,6.44,600.0
10/10/1996,16:00,6.44,6.44,6.44,6.44,0.0
10/11/1996,16:00,6.87,6.87,6.87,6.87,300.0
10/14/1996,16:00,6.87,6.87,6.87,6.87,0.0
10/15/1996,16:00,6.87,6.87,6.87,6.87,0.0
10/16/1996,16:00,7.15,7.15,7.08,7.15,3000.0
