Date,Time,Open,High,Low,Close,Vol
12/26/1996,16:00,3.28,3.31,3.20,3.20,22000.0
12/27/1996,16:00,3.20,3.20,3.20,3.20,800.0
12/30/1996,16:00,3.23,3.23,3.18,3.18,28400.0
12/31/1996,16:00,3.15,3.18,3.15,3.18,15600.0
01/02/1997,16:00,3.15,3.15,3.07,3.07,710000.0
01/03/1997,16:00,3.07,3.18,3.07,3.15,1579600.0
01/06/1997,16:00,3.18,3.20,3.15,3.18,2490800.0
01/07/1997,16:00,3.20,3.36,3.18,3.36,641200.0
01/08/1997,16:00,3.41,3.52,3.38,3.38,336000.0
01/09/1997,16:00,3.38,3.44,3.38,3.41,459200.0
01/10/1997,16:00,3.44,3.46,3.41,3.44,812800.0
01/13/1997,16:00,3.44,3.44,3.36,3.41,3370000.0
01/14/1997,16:00,3.54,3.73,3.52,3.73,2018000.0
01/15/1997,16:00,3.62,3.65,3.44,3.44,2648400.0
01/16/1997,16:00,3.36,3.41,3.33,3.36,2926000.0
01/17/1997,16:00,3.36,3.41,3.33,3.39,1323600.0
01/20/1997,16:00,3.36,3.39,3.33,3.33,2368400.0
01/21/1997,16:00,3.36,3.39,3.36,3.36,2347200.0
01/22/1997,16:00,3.39,3.39,3.36,3.36,2797600.0
01/23/1997,16:00,3.41,3.49,3.41,3.44,1058800.0
01/24/1997,16:00,3.44,3.60,3.39,3.39,1254800.0
01/27/1997,16:00,3.39,3.44,3.39,3.39,1658000.0
01/28/1997,16:00,3.39,3.52,3.36,3.36,1005600.0
01/29/1997,16:00,3.36,3.44,3.33,3.36,1512000.0
01/30/1997,16:00,3.36,3.41,3.33,3.36,2211200.0
01/31/1997,16:00,3.31,3.36,3.28,3.31,1540400.0
02/03/1997,16:00,3.28,3.41,3.28,3.41,1889600.0
02/04/1997,16:00,3.41,3.46,3.39,3.46,1865600.0
02/05/1997,16:00,3.46,3.49,3.44,3.49,458400.0
02/06/1997,16:00,3.46,3.49,3.46,3.46,643600.0
02/07/1997,16:00,3.46,3.54,3.44,3.52,2542800.0
02/10/1997,16:00,3.46,3.49,3.44,3.46,944000.0
02/11/1997,16:00,3.41,3.49,3.41,3.46,772000.0
02/12/1997,16:00,3.44,3.46,3.41,3.44,400400.0
02/13/1997,16:00,3.44,3.60,3.44,3.54,1190800.0
02/14/1997,16:00,3.54,3.54,3.44,3.46,1210800.0
02/18/1997,16:00,3.41,3.49,3.41,3.46,2076800.0
02/19/1997,16:00,3.44,3.52,3.44,3.49,830800.0
02/20/1997,16:00,3.49,3.67,3.46,3.54,1074000.0
02/21/1997,16:00,3.52,3.60,3.52,3.57,638800.0
02/24/1997,16:00,3.57,3.70,3.57,3.70,1108000.0
02/25/1997,16:00,3.70,3.75,3.67,3.73,462000.0
02/26/1997,16:00,3.67,3.70,3.62,3.65,525600.0
02/27/1997,16:00,3.62,3.73,3.57,3.60,854800.0
02/28/1997,16:00,3.49,3.60,3.41,3.54,514400.0
03/03/1997,16:00,3.49,3.62,3.49,3.54,385600.0
03/04/1997,16:00,3.57,3.57,3.52,3.54,803600.0
03/05/1997,16:00,3.52,3.54,3.44,3.49,1542000.0
03/06/1997,16:00,3.44,3.49,3.44,3.46,408800.0
03/07/1997,16:00,3.44,3.46,3.33,3.41,968400.0
03/10/1997,16:00,3.44,3.46,3.41,3.44,331200.0
03/11/1997,16:00,3.44,3.49,3.44,3.44,1434000.0
03/12/1997,16:00,3.44,3.46,3.44,3.46,558000.0
03/13/1997,16:00,3.41,3.44,3.41,3.41,362800.0
03/14/1997,16:00,3.41,3.46,3.41,3.44,964800.0
03/17/1997,16:00,3.44,3.44,3.36,3.36,387600.0
03/18/1997,16:00,3.41,3.41,3.36,3.39,303600.0
03/19/1997,16:00,3.39,3.44,3.39,3.41,2478000.0
03/20/1997,16:00,3.44,3.44,3.39,3.41,196000.0
03/21/1997,16:00,3.39,3.44,3.33,3.36,806000.0
03/24/1997,16:00,3.33,3.36,3.28,3.28,227600.0
03/25/1997,16:00,3.23,3.31,3.18,3.20,256400.0
03/26/1997,16:00,3.15,3.18,3.07,3.18,317600.0
03/27/1997,16:00,3.18,3.23,3.15,3.20,231200.0
03/31/1997,16:00,3.15,3.23,3.12,3.12,335200.0
04/01/1997,16:00,3.12,3.15,3.10,3.10,514400.0
04/02/1997,16:00,3.10,3.12,3.07,3.07,270000.0
04/03/1997,16:00,3.10,3.12,3.07,3.10,285600.0
04/04/1997,16:00,3.10,3.12,3.10,3.10,2198000.0
04/07/1997,16:00,3.10,3.10,3.04,3.07,146800.0
04/08/1997,16:00,3.04,3.12,2.99,3.12,271200.0
04/09/1997,16:00,3.10,3.18,3.07,3.18,386400.0
04/10/1997,16:00,3.15,3.31,3.15,3.23,167200.0
04/11/1997,16:00,3.15,3.18,3.07,3.07,537600.0
04/14/1997,16:00,3.07,3.10,3.02,3.02,390000.0
04/15/1997,16:00,3.02,3.07,3.02,3.07,276800.0
04/16/1997,16:00,3.04,3.15,3.04,3.15,248400.0
04/17/1997,16:00,3.28,3.39,3.28,3.33,2013600.0
04/18/1997,16:00,3.33,3.36,3.33,3.36,385200.0
04/21/1997,16:00,3.36,3.41,3.33,3.36,569200.0
04/22/1997,16:00,3.36,3.36,3.36,3.36,246400.0
04/23/1997,16:00,3.36,3.39,3.36,3.36,145200.0
04/24/1997,16:00,3.36,3.39,3.36,3.36,533600.0
04/25/1997,16:00,3.36,3.39,3.36,3.36,140400.0
04/28/1997,16:00,3.36,3.39,3.36,3.36,106800.0
04/29/1997,16:00,3.39,3.52,3.39,3.52,478400.0
04/30/1997,16:00,3.54,3.78,3.52,3.70,1580000.0
05/01/1997,16:00,3.65,3.70,3.65,3.67,648800.0
05/02/1997,16:00,3.67,3.88,3.65,3.86,362400.0
05/05/1997,16:00,3.83,3.86,3.78,3.81,490400.0
05/06/1997,16:00,3.75,3.86,3.73,3.83,332000.0
05/07/1997,16:00,3.83,3.86,3.81,3.81,290400.0
05/08/1997,16:00,3.78,3.81,3.73,3.75,226000.0
05/09/1997,16:00,3.75,3.83,3.75,3.75,116400.0
05/12/1997,16:00,3.88,4.02,3.86,3.99,253600.0
05/13/1997,16:00,3.94,3.99,3.91,3.96,128800.0
05/14/1997,16:00,3.83,3.91,3.78,3.81,277600.0
05/15/1997,16:00,3.81,3.86,3.78,3.81,274800.0
05/16/1997,16:00,3.81,3.81,3.73,3.75,292400.0
05/19/1997,16:00,3.73,3.78,3.70,3.75,132000.0
05/20/1997,16:00,3.73,3.75,3.70,3.70,115600.0
05/21/1997,16:00,3.70,3.78,3.70,3.75,106800.0
05/22/1997,16:00,3.70,4.09,3.70,4.09,452800.0
