Date,Time,Open,High,Low,Close,Vol
02/17/2005,16:00,19.66,21.75,19.57,20.77,21616200.0
02/18/2005,16:00,21.20,21.24,20.51,21.00,2374200.0
02/22/2005,16:00,21.33,21.33,19.32,20.13,1881800.0
02/23/2005,16:00,20.34,20.39,19.87,19.99,995100.0
02/24/2005,16:00,19.79,19.82,18.75,19.15,1617700.0
02/25/2005,16:00,19.10,20.04,18.93,19.72,1131300.0
02/28/2005,16:00,19.70,20.08,19.44,19.73,658600.0
03/01/2005,16:00,19.66,19.79,19.36,19.51,302900.0
03/02/2005,16:00,19.40,19.51,19.08,19.31,530700.0
03/03/2005,16:00,19.45,19.69,19.25,19.57,621400.0
03/04/2005,16:00,19.66,19.70,19.39,19.60,597300.0
03/07/2005,16:00,19.59,20.38,19.56,20.21,659400.0
03/08/2005,16:00,20.26,20.45,19.83,20.39,375700.0
03/09/2005,16:00,20.39,20.51,20.17,20.31,353100.0
03/10/2005,16:00,20.24,20.64,19.92,20.12,650200.0
03/11/2005,16:00,20.12,20.52,20.04,20.43,235300.0
03/14/2005,16:00,20.39,20.68,20.30,20.60,259600.0
03/15/2005,16:00,20.56,20.84,20.34,20.84,231800.0
03/16/2005,16:00,20.75,20.86,20.00,20.34,548700.0
03/17/2005,16:00,20.26,20.48,19.87,20.46,400700.0
03/18/2005,16:00,20.56,20.68,20.39,20.39,711600.0
03/21/2005,16:00,19.97,20.11,19.44,20.03,535100.0
03/22/2005,16:00,20.09,20.09,19.36,19.46,557300.0
03/23/2005,16:00,19.35,19.47,19.11,19.32,252600.0
03/24/2005,16:00,19.29,19.76,19.10,19.76,269600.0
03/28/2005,16:00,19.74,19.80,19.49,19.79,166800.0
03/29/2005,16:00,19.57,19.74,19.27,19.73,464500.0
03/30/2005,16:00,19.72,19.96,19.49,19.87,205300.0
03/31/2005,16:00,19.79,20.26,19.79,20.09,703700.0
04/01/2005,16:00,20.13,20.42,19.55,20.29,262900.0
04/04/2005,16:00,20.12,20.17,19.79,20.04,284800.0
04/05/2005,16:00,20.00,20.41,19.96,20.35,166400.0
04/06/2005,16:00,20.27,20.27,19.39,19.40,171400.0
04/07/2005,16:00,19.79,19.79,19.07,19.30,171600.0
04/08/2005,16:00,19.21,19.66,19.18,19.66,203100.0
04/11/2005,16:00,19.62,19.70,19.62,19.66,64400.0
04/12/2005,16:00,19.66,19.66,19.44,19.65,142600.0
04/13/2005,16:00,19.59,19.64,18.83,18.85,134000.0
04/14/2005,16:00,18.82,19.03,18.72,18.76,354200.0
04/15/2005,16:00,18.79,18.80,18.42,18.63,96000.0
04/18/2005,16:00,18.16,18.16,17.18,17.69,967500.0
04/19/2005,16:00,17.69,17.95,17.55,17.72,140500.0
04/20/2005,16:00,17.69,17.82,17.26,17.33,148000.0
04/21/2005,16:00,17.32,17.55,16.95,17.04,297700.0
04/22/2005,16:00,16.91,16.92,16.14,16.15,465700.0
04/25/2005,16:00,16.11,17.32,15.98,17.08,263300.0
04/26/2005,16:00,17.09,17.69,17.05,17.10,304100.0
04/27/2005,16:00,17.10,17.35,17.05,17.14,425700.0
04/28/2005,16:00,17.18,17.38,17.09,17.30,200600.0
04/29/2005,16:00,17.35,17.48,17.09,17.48,240800.0
05/02/2005,16:00,17.44,18.06,17.35,17.79,167700.0
05/03/2005,16:00,17.69,17.94,17.56,17.68,95200.0
05/04/2005,16:00,17.67,17.75,17.40,17.74,107000.0
05/05/2005,16:00,17.84,18.38,17.84,18.25,172900.0
05/06/2005,16:00,17.32,17.32,14.96,16.94,2544800.0
05/09/2005,16:00,16.83,17.04,16.50,16.67,176700.0
05/10/2005,16:00,16.71,16.84,16.46,16.58,267300.0
05/11/2005,16:00,16.62,16.66,16.07,16.23,362600.0
05/12/2005,16:00,16.27,16.31,15.70,15.99,371800.0
05/13/2005,16:00,15.99,16.01,15.68,15.99,265100.0
05/16/2005,16:00,15.93,16.45,15.81,16.38,309100.0
05/17/2005,16:00,16.44,16.58,16.24,16.42,89100.0
05/18/2005,16:00,16.44,16.75,16.41,16.71,569700.0
05/19/2005,16:00,16.68,17.09,16.58,16.97,94900.0
05/20/2005,16:00,16.97,17.17,16.67,16.87,115500.0
05/23/2005,16:00,16.84,16.91,16.58,16.79,142500.0
05/24/2005,16:00,16.71,16.80,16.38,16.71,329900.0
05/25/2005,16:00,16.66,16.71,16.24,16.63,40800.0
05/26/2005,16:00,16.67,17.00,16.50,16.66,39700.0
05/27/2005,16:00,16.66,16.79,16.66,16.79,39600.0
05/31/2005,16:00,16.75,17.22,16.66,17.04,74500.0
06/01/2005,16:00,17.04,17.09,16.59,16.68,90700.0
06/02/2005,16:00,16.66,16.93,16.66,16.88,103900.0
06/03/2005,16:00,16.85,17.05,16.73,16.97,324000.0
06/06/2005,16:00,16.92,17.06,16.67,17.01,107900.0
06/07/2005,16:00,17.00,17.05,16.60,16.68,112000.0
06/08/2005,16:00,16.65,16.86,16.62,16.86,169100.0
06/09/2005,16:00,16.81,16.81,16.62,16.74,32800.0
06/10/2005,16:00,16.66,16.75,16.61,16.73,91100.0
06/13/2005,16:00,16.74,16.77,16.64,16.77,97500.0
06/14/2005,16:00,16.75,17.09,16.66,16.87,280400.0
06/15/2005,16:00,16.84,16.84,16.54,16.55,189500.0
06/16/2005,16:00,16.39,16.53,16.20,16.41,537600.0
06/17/2005,16:00,16.41,16.83,16.37,16.83,216700.0
06/20/2005,16:00,16.74,17.09,16.71,17.05,82300.0
06/21/2005,16:00,17.05,19.56,17.05,19.56,583600.0
06/22/2005,16:00,19.50,19.52,18.85,19.02,566600.0
06/23/2005,16:00,19.02,19.17,18.97,19.15,181100.0
06/24/2005,16:00,19.23,19.39,19.09,19.36,392300.0
06/27/2005,16:00,19.15,19.19,18.70,18.80,233800.0
06/28/2005,16:00,18.80,19.19,18.78,18.90,492500.0
06/29/2005,16:00,18.85,18.87,18.72,18.85,586000.0
06/30/2005,16:00,18.85,18.97,18.79,18.85,242600.0
07/01/2005,16:00,18.89,19.17,18.72,19.15,41600.0
07/05/2005,16:00,19.15,19.15,18.68,18.84,67400.0
07/06/2005,16:00,18.93,19.40,18.92,19.39,64400.0
07/07/2005,16:00,19.31,19.66,19.27,19.59,99500.0
07/08/2005,16:00,19.59,20.35,19.59,20.33,114900.0
07/11/2005,16:00,20.41,20.43,19.60,19.87,102400.0
07/12/2005,16:00,19.71,20.03,19.62,19.95,226800.0
07/13/2005,16:00,19.86,19.94,19.81,19.90,51000.0
07/14/2005,16:00,19.83,19.88,19.68,19.71,84100.0
07/15/2005,16:00,19.66,19.70,19.23,19.44,63800.0
07/18/2005,16:00,19.32,19.37,18.82,18.89,118900.0
07/19/2005,16:00,18.97,19.03,18.75,18.80,125300.0
07/20/2005,16:00,18.71,18.89,18.71,18.79,89600.0
07/21/2005,16:00,18.69,18.72,18.25,18.29,176300.0
07/22/2005,16:00,18.21,18.27,17.73,17.96,575400.0
07/25/2005,16:00,18.00,18.62,17.96,18.25,35200.0
07/26/2005,16:00,18.44,18.46,18.03,18.19,58600.0
07/27/2005,16:00,18.19,18.19,17.21,17.26,183800.0
07/28/2005,16:00,17.17,17.44,16.80,16.92,219500.0
07/29/2005,16:00,16.24,16.33,15.39,16.26,1429000.0
08/01/2005,16:00,16.26,16.44,15.56,16.24,444700.0
08/02/2005,16:00,16.24,16.65,16.23,16.41,418600.0
08/03/2005,16:00,16.28,16.58,16.24,16.50,158800.0
08/04/2005,16:00,16.55,16.55,16.24,16.31,68400.0
08/05/2005,16:00,16.26,16.35,16.11,16.16,842300.0
08/08/2005,16:00,16.09,16.20,15.72,15.73,186800.0
08/09/2005,16:00,15.67,15.73,15.46,15.46,379500.0
08/10/2005,16:00,15.47,15.47,15.20,15.43,193700.0
08/11/2005,16:00,15.32,15.64,15.28,15.28,203600.0
