Date,Time,Open,High,Low,Close,Vol
05/07/2008,16:00,20.23,20.71,19.91,20.47,38943400.0
05/08/2008,16:00,20.54,20.74,19.86,20.39,12468400.0
05/09/2008,16:00,20.15,20.39,20.02,20.26,9747000.0
05/12/2008,16:00,20.16,21.56,20.15,20.53,7921800.0
05/13/2008,16:00,20.38,20.81,20.23,20.79,4518800.0
05/14/2008,16:00,20.47,21.12,19.75,21.01,4295600.0
05/15/2008,16:00,20.67,21.20,20.54,20.90,3969300.0
05/16/2008,16:00,20.76,21.48,20.61,21.28,11418200.0
05/19/2008,16:00,21.01,21.24,20.85,20.93,5645100.0
05/20/2008,16:00,20.63,20.83,20.07,20.51,8338100.0
05/21/2008,16:00,20.37,20.70,20.28,20.48,1729100.0
05/22/2008,16:00,20.18,20.98,20.17,20.65,7980000.0
05/23/2008,16:00,20.49,20.65,20.28,20.41,2421100.0
05/27/2008,16:00,20.36,20.50,20.17,20.38,1899300.0
05/28/2008,16:00,20.25,20.45,20.11,20.24,5346300.0
05/29/2008,16:00,20.08,20.18,19.95,20.03,6850900.0
05/30/2008,16:00,19.93,20.45,19.89,20.22,5456400.0
06/02/2008,16:00,20.05,20.13,19.36,19.36,2692600.0
06/03/2008,16:00,19.11,19.47,18.94,19.43,4636400.0
06/04/2008,16:00,19.23,19.42,19.17,19.19,2871200.0
06/05/2008,16:00,19.91,21.18,19.83,20.52,10802100.0
06/06/2008,16:00,20.17,20.37,20.02,20.06,4040900.0
06/09/2008,16:00,19.91,20.31,19.82,20.05,2018400.0
06/10/2008,16:00,19.98,20.15,19.95,20.02,3237600.0
06/11/2008,16:00,20.06,20.06,19.32,19.53,2352300.0
06/12/2008,16:00,19.89,19.95,19.26,19.41,1885800.0
06/13/2008,16:00,19.39,19.85,19.29,19.81,2718300.0
06/16/2008,16:00,19.85,19.89,18.87,19.04,2799100.0
06/17/2008,16:00,19.04,19.06,18.64,18.83,3945100.0
06/18/2008,16:00,18.55,19.27,18.51,19.10,1883200.0
06/19/2008,16:00,19.15,19.28,18.79,19.18,2262100.0
06/20/2008,16:00,19.00,19.27,18.72,19.27,2339500.0
06/23/2008,16:00,19.27,19.27,18.91,18.95,1562800.0
06/24/2008,16:00,18.67,18.67,17.82,18.10,4845600.0
06/25/2008,16:00,17.93,18.37,17.90,18.10,2268100.0
06/26/2008,16:00,17.78,18.11,17.72,17.80,2938500.0
06/27/2008,16:00,17.68,17.73,17.28,17.34,3329000.0
06/30/2008,16:00,17.32,17.32,16.55,16.84,3048100.0
07/01/2008,16:00,16.70,16.73,16.08,16.54,3516700.0
07/02/2008,16:00,16.79,17.25,16.69,17.13,1593500.0
07/03/2008,16:00,17.03,17.13,16.49,16.81,1530400.0
07/07/2008,16:00,16.90,17.32,16.81,17.12,1491700.0
07/08/2008,16:00,16.98,17.59,16.96,17.26,3116200.0
07/09/2008,16:00,17.33,17.49,17.27,17.38,1155500.0
07/10/2008,16:00,17.64,17.67,17.23,17.54,1238400.0
07/11/2008,16:00,17.20,17.64,17.04,17.37,1310900.0
07/14/2008,16:00,17.20,17.77,17.18,17.49,1323800.0
07/15/2008,16:00,17.34,17.45,16.43,16.86,1486900.0
07/16/2008,16:00,16.75,16.92,16.66,16.88,1055600.0
07/17/2008,16:00,16.75,16.79,15.55,16.38,3484300.0
07/18/2008,16:00,16.41,16.44,15.99,16.22,1702100.0
07/21/2008,16:00,16.54,16.76,16.22,16.51,1737700.0
