Date,Time,Open,High,Low,Close,Vol
07/19/1984,16:00,0.68,0.69,0.68,0.69,8400.0
07/20/1984,16:00,0.69,0.69,0.68,0.69,50400.0
07/23/1984,16:00,0.68,0.69,0.68,0.69,30000.0
07/24/1984,16:00,0.69,0.69,0.69,0.69,4800.0
07/25/1984,16:00,0.69,0.69,0.69,0.69,14400.0
07/26/1984,16:00,0.69,0.69,0.67,0.67,34800.0
07/27/1984,16:00,0.68,0.68,0.68,0.68,10800.0
07/30/1984,16:00,0.68,0.68,0.68,0.68,1200.0
07/31/1984,16:00,0.67,0.68,0.67,0.68,16800.0
08/01/1984,16:00,0.68,0.69,0.68,0.69,36000.0
08/02/1984,16:00,0.68,0.69,0.68,0.69,43200.0
08/03/1984,16:00,0.69,0.69,0.69,0.69,19200.0
08/06/1984,16:00,0.70,0.70,0.69,0.70,28800.0
08/07/1984,16:00,0.70,0.70,0.70,0.70,24000.0
08/08/1984,16:00,0.70,0.70,0.70,0.70,18000.0
08/09/1984,16:00,0.69,0.70,0.69,0.70,26400.0
08/10/1984,16:00,0.71,0.71,0.70,0.71,30000.0
08/13/1984,16:00,0.70,0.71,0.70,0.71,14400.0
08/14/1984,16:00,0.70,0.70,0.70,0.70,2400.0
08/15/1984,16:00,0.71,0.71,0.69,0.70,24000.0
08/16/1984,16:00,0.69,0.69,0.69,0.69,1200.0
08/17/1984,16:00,0.70,0.70,0.69,0.69,8400.0
08/20/1984,16:00,0.70,0.71,0.70,0.71,9600.0
08/21/1984,16:00,0.70,0.70,0.70,0.70,3600.0
08/22/1984,16:00,0.70,0.70,0.70,0.70,9600.0
08/23/1984,16:00,0.71,0.71,0.71,0.71,36000.0
08/24/1984,16:00,0.71,0.71,0.71,0.71,4800.0
08/27/1984,16:00,0.70,0.70,0.70,0.70,1200.0
08/28/1984,16:00,0.71,0.71,0.71,0.71,6000.0
08/29/1984,16:00,0.70,0.70,0.70,0.70,14400.0
08/30/1984,16:00,0.70,0.71,0.70,0.71,28800.0
08/31/1984,16:00,0.71,0.73,0.71,0.73,20400.0
09/04/1984,16:00,0.74,0.74,0.73,0.74,30000.0
09/05/1984,16:00,0.75,0.76,0.74,0.76,4200.0
09/06/1984,16:00,0.78,0.78,0.77,0.78,12000.0
09/07/1984,16:00,0.77,0.79,0.77,0.79,12402.0
09/10/1984,16:00,0.79,0.79,0.79,0.79,6000.0
09/11/1984,16:00,0.78,0.78,0.76,0.76,9600.0
09/12/1984,16:00,0.76,0.76,0.74,0.75,13602.0
09/13/1984,16:00,0.74,0.74,0.73,0.73,9600.0
09/14/1984,16:00,0.72,0.74,0.72,0.74,24402.0
09/17/1984,16:00,0.73,0.73,0.72,0.72,12402.0
09/18/1984,16:00,0.73,0.73,0.72,0.72,18402.0
09/19/1984,16:00,0.73,0.75,0.73,0.75,9600.0
09/20/1984,16:00,0.73,0.75,0.73,0.75,19602.0
09/21/1984,16:00,0.74,0.76,0.74,0.76,21600.0
09/24/1984,16:00,0.76,0.76,0.74,0.75,13602.0
09/25/1984,16:00,0.75,0.76,0.75,0.75,8400.0
09/26/1984,16:00,0.74,0.76,0.74,0.75,9600.0
