Date,Time,Open,High,Low,Close,Vol
03/21/2013,16:00,14.51,17.85,14.31,17.18,1763600.0
03/22/2013,16:00,17.57,17.57,16.71,16.81,75200.0
03/25/2013,16:00,17.4,17.4,16.8,16.83,24100.0
03/26/2013,16:00,16.91,17.31,16.9,17.09,27000.0
03/27/2013,16:00,16.95,17.23,16.58,17.09,33900.0
03/28/2013,16:00,16.98,18.5,16.92,18.2,57700.0
04/01/2013,16:00,18.26,21.80,18.26,19.93,68200.0
04/02/2013,16:00,20.13,21.38,19.54,20.16,130700.0
04/03/2013,16:00,20.21,20.59,19.5,19.93,98300.0
04/04/2013,16:00,19.98,20.40,19.58,19.84,35500.0
04/05/2013,16:00,19.85,20.43,19.71,20.34,42900.0
04/08/2013,16:00,21.19,21.19,20.19,20.8,93100.0
04/09/2013,16:00,20.99,21.0,20.5,20.65,82100.0
04/10/2013,16:00,20.49,22.17,20.49,21.69,74500.0
04/11/2013,16:00,21.5,21.71,21.03,21.12,32300.0
04/12/2013,16:00,20.93,20.93,19.05,19.68,59300.0
04/15/2013,16:00,20.27,21.0,19.78,20.35,183200.0
04/16/2013,16:00,21.57,21.8,19.88,20.0,107100.0
04/17/2013,16:00,20.5,20.5,19.5,19.9,40200.0
04/18/2013,16:00,20.36,20.64,20.0,20.64,71200.0
04/19/2013,16:00,20.8,20.82,20.03,20.13,142100.0
04/22/2013,16:00,20.23,20.82,20.23,20.43,124400.0
04/23/2013,16:00,21.21,22.4,20.35,20.99,165100.0
04/24/2013,16:00,21.19,21.32,20.73,21.01,111800.0
04/25/2013,16:00,21.00,21.5,18.0,18.52,166200.0
04/26/2013,16:00,18.75,20.95,18.75,20.62,175000.0
04/29/2013,16:00,21.29,21.29,20.05,20.43,89900.0
04/30/2013,16:00,20.5,20.5,19.7,19.96,53900.0
05/01/2013,16:00,20.10,20.49,19.5,19.73,50600.0
05/02/2013,16:00,19.91,20.16,18.79,19.57,95600.0
05/03/2013,16:00,19.64,20.38,18.77,19.37,37700.0
05/06/2013,16:00,19.34,20.32,19.32,19.9,26400.0
05/07/2013,16:00,19.78,20.04,19.7,19.92,18400.0
05/08/2013,16:00,19.97,20.4,19.7,20.07,17700.0
05/09/2013,16:00,20.1,20.1,19.9,20.05,19600.0
05/10/2013,16:00,20.08,20.1,19.45,19.9,16700.0
05/13/2013,16:00,19.95,19.95,19.42,19.79,19900.0
05/14/2013,16:00,19.67,19.9,19.5,19.76,27900.0
05/15/2013,16:00,19.87,20.62,19.50,20.4,69800.0
