Date,Time,Open,High,Low,Close,Vol
11/13/2013,16:00,11.1,11.4,10.75,10.88,4173000.0
11/14/2013,16:00,10.88,11.05,10.84,11.0,75800.0
11/15/2013,16:00,11.05,11.33,11.0,11.01,60600.0
11/18/2013,16:00,11.01,11.14,11.0,11.14,46400.0
11/19/2013,16:00,11.0,11.15,10.85,11.0,211400.0
11/20/2013,16:00,11.0,11.05,10.97,11.05,47600.0
11/21/2013,16:00,11.05,11.14,11.03,11.1,102200.0
11/22/2013,16:00,11.1,11.1,11.0,11.02,86900.0
11/25/2013,16:00,11.0,11.04,10.95,11.0,224000.0
11/26/2013,16:00,10.99,11.0,10.95,10.96,51000.0
11/27/2013,16:00,10.95,11.0,10.95,11.0,24400.0
11/29/2013,16:00,11.0,11.1,11.0,11.1,33200.0
12/02/2013,16:00,11.1,11.1,10.95,10.95,58400.0
12/03/2013,16:00,10.95,10.96,10.95,10.95,11000.0
12/04/2013,16:00,10.95,11.0,10.95,11.0,44700.0
12/05/2013,16:00,11.08,11.08,10.76,10.8,803200.0
12/06/2013,16:00,10.8,11.0,10.79,10.9,52800.0
12/09/2013,16:00,11.0,11.0,10.9,10.93,108500.0
12/10/2013,16:00,11.0,11.0,10.88,10.97,77400.0
12/11/2013,16:00,10.4,10.9,10.4,10.88,21300.0
12/12/2013,16:00,10.8,10.8,10.55,10.55,15700.0
12/13/2013,16:00,10.4,10.54,10.35,10.45,21600.0
12/16/2013,16:00,10.5,10.5,10.01,10.15,25600.0
12/17/2013,16:00,10.01,10.1,9.53,9.74,72400.0
12/18/2013,16:00,10.0,10.2,9.84,9.95,142900.0
12/19/2013,16:00,10.0,10.0,9.86,9.94,137200.0
12/20/2013,16:00,10.0,10.08,9.99,10.01,218700.0
12/23/2013,16:00,9.96,10.5,9.94,10.46,36400.0
12/24/2013,16:00,10.25,10.69,10.15,10.59,71100.0
12/26/2013,16:00,10.69,10.69,10.4,10.63,12900.0
12/27/2013,16:00,11.1,11.21,10.82,11.09,44500.0
12/30/2013,16:00,11.25,11.25,11.0,11.01,40300.0
12/31/2013,16:00,11.0,11.11,10.9,11.11,203300.0
01/02/2014,16:00,11.0,11.1,10.92,11.07,36300.0
01/03/2014,16:00,11.1,11.1,10.95,11.04,20200.0
01/06/2014,16:00,11.1,11.1,10.77,11.07,16400.0
01/07/2014,16:00,11.08,11.09,10.95,10.95,77600.0
01/08/2014,16:00,10.87,11.0,10.87,11.0,14100.0
01/09/2014,16:00,11.02,11.05,10.7,10.94,17000.0
01/10/2014,16:00,10.94,10.97,10.84,10.84,17200.0
01/13/2014,16:00,10.82,10.87,10.71,10.8,31300.0
01/14/2014,16:00,11.0,11.0,10.66,10.66,10000.0
01/15/2014,16:00,10.52,10.63,10.4,10.61,18500.0
01/16/2014,16:00,10.5,10.71,10.5,10.59,14000.0
01/17/2014,16:00,10.43,10.68,10.07,10.36,50000.0
01/21/2014,16:00,10.57,10.8,10.3,10.35,18000.0
01/22/2014,16:00,10.34,10.39,10.25,10.3,43100.0
01/23/2014,16:00,10.32,10.32,9.74,9.86,90600.0
01/24/2014,16:00,9.78,9.87,9.25,9.27,103300.0
01/27/2014,16:00,9.17,9.41,8.6,9.36,41500.0
01/28/2014,16:00,9.46,9.93,9.45,9.69,43500.0
01/29/2014,16:00,9.65,9.74,9.56,9.56,24200.0
01/30/2014,16:00,9.65,9.65,9.52,9.56,17800.0
01/31/2014,16:00,9.44,9.45,9.35,9.4,84900.0
02/03/2014,16:00,9.32,9.39,9.18,9.39,14300.0
02/04/2014,16:00,9.43,9.43,8.94,8.95,131300.0
02/05/2014,16:00,8.9,8.94,8.83,8.94,129700.0
02/06/2014,16:00,8.9,9.39,8.9,9.39,7300.0
02/07/2014,16:00,9.45,9.96,9.43,9.9,12500.0
02/10/2014,16:00,10.0,10.75,10.0,10.53,33900.0
02/11/2014,16:00,10.56,10.75,10.42,10.71,21200.0
02/12/2014,16:00,10.8,11.0,10.72,10.81,72100.0
02/13/2014,16:00,10.8,10.8,9.46,10.34,206600.0
02/14/2014,16:00,10.33,10.4,10.24,10.26,56600.0
02/18/2014,16:00,10.26,10.4,9.99,10.21,18400.0
02/19/2014,16:00,10.2,10.3,10.12,10.15,39500.0
02/20/2014,16:00,10.21,10.5,10.0,10.25,402100.0
02/21/2014,16:00,10.25,10.3,9.91,10.3,82800.0
02/24/2014,16:00,10.26,10.61,10.26,10.61,13900.0
