Date,Time,Open,High,Low,Close,Vol
03/27/1990,16:00,0.48,0.48,0.48,0.48,3200.0
03/28/1990,16:00,0.48,0.48,0.48,0.48,86400.0
03/29/1990,16:00,0.48,0.48,0.48,0.48,0.0
03/30/1990,16:00,0.48,0.48,0.48,0.48,0.0
04/02/1990,16:00,0.48,0.48,0.48,0.48,32000.0
04/03/1990,16:00,0.47,0.47,0.47,0.47,6400.0
04/04/1990,16:00,0.48,0.48,0.47,0.47,675200.0
04/05/1990,16:00,0.47,0.47,0.47,0.47,22400.0
04/06/1990,16:00,0.47,0.47,0.47,0.47,0.0
04/09/1990,16:00,0.47,0.47,0.47,0.47,3200.0
04/10/1990,16:00,0.47,0.47,0.46,0.46,160000.0
04/11/1990,16:00,0.47,0.47,0.46,0.46,140800.0
04/12/1990,16:00,0.45,0.45,0.43,0.44,336000.0
04/16/1990,16:00,0.44,0.44,0.43,0.44,89600.0
04/17/1990,16:00,0.44,0.44,0.43,0.43,304000.0
04/18/1990,16:00,0.43,0.43,0.43,0.43,3200.0
04/19/1990,16:00,0.41,0.43,0.41,0.43,204800.0
04/20/1990,16:00,0.42,0.42,0.41,0.41,128000.0
04/23/1990,16:00,0.41,0.41,0.41,0.41,35200.0
04/24/1990,16:00,0.41,0.42,0.41,0.41,192000.0
04/25/1990,16:00,0.41,0.41,0.41,0.41,0.0
04/26/1990,16:00,0.41,0.41,0.40,0.41,284800.0
04/27/1990,16:00,0.41,0.41,0.41,0.41,0.0
04/30/1990,16:00,0.40,0.40,0.40,0.40,83200.0
05/01/1990,16:00,0.40,0.41,0.40,0.40,51200.0
05/02/1990,16:00,0.40,0.40,0.38,0.38,16000.0
05/03/1990,16:00,0.38,0.40,0.38,0.40,19200.0
05/04/1990,16:00,0.40,0.40,0.40,0.40,12800.0
05/07/1990,16:00,0.40,0.40,0.40,0.40,54400.0
05/08/1990,16:00,0.40,0.40,0.39,0.39,48000.0
05/09/1990,16:00,0.40,0.40,0.39,0.39,131200.0
05/10/1990,16:00,0.39,0.40,0.39,0.39,262400.0
05/11/1990,16:00,0.40,0.40,0.38,0.39,86400.0
05/14/1990,16:00,0.40,0.40,0.39,0.40,169600.0
05/15/1990,16:00,0.40,0.40,0.39,0.39,512000.0
05/16/1990,16:00,0.40,0.40,0.38,0.39,380800.0
05/17/1990,16:00,0.40,0.40,0.39,0.39,112000.0
05/18/1990,16:00,0.39,0.39,0.39,0.39,9600.0
05/21/1990,16:00,0.39,0.39,0.39,0.39,921600.0
05/22/1990,16:00,0.39,0.39,0.39,0.39,105600.0
05/23/1990,16:00,0.39,0.39,0.38,0.38,428800.0
05/24/1990,16:00,0.38,0.39,0.38,0.39,35200.0
05/25/1990,16:00,0.38,0.39,0.38,0.39,19200.0
05/29/1990,16:00,0.39,0.39,0.39,0.39,0.0
05/30/1990,16:00,0.39,0.39,0.39,0.39,67200.0
05/31/1990,16:00,0.38,0.38,0.38,0.38,3200.0
06/01/1990,16:00,0.39,0.39,0.39,0.39,64000.0
06/04/1990,16:00,0.39,0.39,0.38,0.38,41600.0
06/05/1990,16:00,0.38,0.39,0.38,0.39,28800.0
06/06/1990,16:00,0.39,0.39,0.39,0.39,64000.0
06/07/1990,16:00,0.39,0.40,0.39,0.40,35200.0
06/08/1990,16:00,0.41,0.41,0.39,0.41,316800.0
06/11/1990,16:00,0.41,0.41,0.40,0.40,9600.0
06/12/1990,16:00,0.41,0.41,0.41,0.41,38400.0
06/13/1990,16:00,0.41,0.41,0.40,0.41,25600.0
06/14/1990,16:00,0.41,0.41,0.41,0.41,0.0
06/15/1990,16:00,0.39,0.40,0.38,0.39,460800.0
06/18/1990,16:00,0.40,0.40,0.39,0.39,28800.0
06/19/1990,16:00,0.39,0.40,0.39,0.39,105600.0
06/20/1990,16:00,0.40,0.40,0.40,0.40,44800.0
06/21/1990,16:00,0.39,0.40,0.39,0.40,380800.0
06/22/1990,16:00,0.39,0.40,0.39,0.39,227200.0
06/25/1990,16:00,0.40,0.40,0.40,0.40,6400.0
06/26/1990,16:00,0.39,0.40,0.39,0.40,35200.0
06/27/1990,16:00,0.40,0.40,0.39,0.39,92800.0
06/28/1990,16:00,0.40,0.40,0.40,0.40,9600.0
06/29/1990,16:00,0.39,0.39,0.39,0.39,12800.0
07/02/1990,16:00,0.40,0.40,0.39,0.39,224000.0
07/03/1990,16:00,0.39,0.39,0.39,0.39,16000.0
07/05/1990,16:00,0.39,0.39,0.39,0.39,44800.0
07/06/1990,16:00,0.39,0.39,0.39,0.39,0.0
07/09/1990,16:00,0.39,0.39,0.39,0.39,3200.0
07/10/1990,16:00,0.39,0.39,0.39,0.39,128000.0
07/11/1990,16:00,0.39,0.40,0.39,0.39,51200.0
07/12/1990,16:00,0.39,0.39,0.39,0.39,121600.0
07/13/1990,16:00,0.39,0.40,0.39,0.40,252800.0
07/16/1990,16:00,0.39,0.40,0.39,0.39,694400.0
