Date,Time,Open,High,Low,Close,Vol
06/01/1972,16:00,0.71,0.71,0.70,0.71,1089197.865
06/02/1972,16:00,0.71,0.71,0.70,0.70,1173501.6525
06/05/1972,16:00,0.70,0.71,0.70,0.70,5208100.65
06/06/1972,16:00,0.70,0.71,0.69,0.70,1421393.67
06/07/1972,16:00,0.70,0.70,0.69,0.69,671796.91125
06/08/1972,16:00,0.69,0.70,0.69,0.69,1036600.785
06/09/1972,16:00,0.69,0.69,0.67,0.68,6589198.17
06/12/1972,16:00,0.68,0.69,0.68,0.68,1430106.82875
06/13/1972,16:00,0.68,0.69,0.68,0.69,931406.625
06/14/1972,16:00,0.69,0.71,0.69,0.70,2939303.68875
06/15/1972,16:00,0.70,0.71,0.69,0.70,1460700.09
06/16/1972,16:00,0.70,0.70,0.69,0.70,750392.0775
06/19/1972,16:00,0.70,0.70,0.69,0.69,529293.465
06/20/1972,16:00,0.69,0.70,0.69,0.70,894097.33875
06/21/1972,16:00,0.70,0.70,0.69,0.69,1608806.115
06/22/1972,16:00,0.69,0.69,0.68,0.69,1282195.215
06/23/1972,16:00,0.68,0.68,0.68,0.68,1273305.31875
06/26/1972,16:00,0.68,0.68,0.68,0.68,621303.0075
06/27/1972,16:00,0.68,0.69,0.68,0.69,877696.09875
06/28/1972,16:00,0.69,0.69,0.68,0.69,904100.68125
06/29/1972,16:00,0.69,0.69,0.68,0.68,447994.215
06/30/1972,16:00,0.68,0.68,0.67,0.68,825099.01875
07/03/1972,16:00,0.68,0.68,0.67,0.68,438202.9575
07/05/1972,16:00,0.68,0.68,0.66,0.67,1395006.76125
07/06/1972,16:00,0.67,0.69,0.67,0.68,1173501.6525
07/07/1972,16:00,0.68,0.68,0.67,0.68,1351105.16625
07/10/1972,16:00,0.68,0.68,0.67,0.67,523708.56
07/11/1972,16:00,0.67,0.67,0.66,0.66,546596.06625
07/12/1972,16:00,0.66,0.67,0.66,0.66,1801803.465
07/13/1972,16:00,0.66,0.66,0.65,0.66,680297.985
07/14/1972,16:00,0.66,0.66,0.66,0.66,941197.8825
07/17/1972,16:00,0.66,0.66,0.66,0.66,583003.99125
07/18/1972,16:00,0.66,0.67,0.65,0.66,1337991.24375
07/19/1972,16:00,0.66,0.68,0.66,0.67,1707407.96625
07/20/1972,16:00,0.67,0.67,0.66,0.66,492903.21375
07/21/1972,16:00,0.66,0.67,0.66,0.67,602498.1375
07/24/1972,16:00,0.67,0.69,0.67,0.69,1456405.36875
07/25/1972,16:00,0.69,0.69,0.68,0.68,1552904.04375
07/26/1972,16:00,0.68,0.68,0.68,0.68,430497.2025
07/27/1972,16:00,0.68,0.68,0.68,0.68,1108992.465
07/28/1972,16:00,0.68,0.69,0.68,0.69,1814899.71375
07/31/1972,16:00,0.69,0.69,0.68,0.69,1259201.66625
