Date,Time,Open,High,Low,Close,Vol
05/09/1997,16:00,9.63,9.63,9.63,9.63,0.0
05/12/1997,16:00,9.63,9.63,9.63,9.63,0.0
05/13/1997,16:00,9.39,9.47,9.39,9.47,3700.0
05/14/1997,16:00,9.47,9.47,9.47,9.47,0.0
05/15/1997,16:00,9.47,9.47,9.47,9.47,0.0
05/16/1997,16:00,9.47,9.47,9.47,9.47,2500.0
05/19/1997,16:00,10.28,10.28,9.47,9.71,800.0
05/20/1997,16:00,9.63,9.63,9.63,9.63,300.0
05/21/1997,16:00,9.31,9.31,9.31,9.31,300.0
05/22/1997,16:00,9.31,9.31,9.31,9.31,0.0
05/23/1997,16:00,10.28,10.28,9.63,9.63,300.0
05/27/1997,16:00,9.47,9.63,9.47,9.63,2600.0
05/28/1997,16:00,9.63,9.63,9.63,9.63,0.0
05/29/1997,16:00,9.63,9.63,9.63,9.63,0.0
05/30/1997,16:00,9.47,9.92,9.47,9.92,1200.0
06/02/1997,16:00,9.92,9.92,9.92,9.92,1500.0
06/03/1997,16:00,9.91,9.91,9.91,9.91,0.0
06/04/1997,16:00,10.08,10.08,10.08,10.08,1700.0
06/05/1997,16:00,10.08,10.08,10.08,10.08,200.0
06/06/1997,16:00,10.28,10.28,10.28,10.28,300.0
06/09/1997,16:00,10.20,10.20,10.20,10.20,700.0
06/10/1997,16:00,10.28,10.28,10.28,10.28,100.0
06/11/1997,16:00,9.47,10.16,9.47,10.16,30200.0
06/12/1997,16:00,10.09,10.41,9.80,9.80,7200.0
06/13/1997,16:00,9.76,9.76,9.76,9.76,300.0
06/16/1997,16:00,9.76,9.76,9.76,9.76,1800.0
06/17/1997,16:00,9.93,9.93,9.93,9.93,800.0
06/18/1997,16:00,10.09,10.41,9.76,10.41,4100.0
06/19/1997,16:00,10.09,10.41,10.09,10.25,3000.0
06/20/1997,16:00,10.09,10.09,10.09,10.09,800.0
06/23/1997,16:00,9.76,10.33,9.76,10.33,1700.0
06/24/1997,16:00,10.54,10.54,10.25,10.25,800.0
06/25/1997,16:00,10.74,10.74,10.09,10.09,2900.0
06/26/1997,16:00,10.09,10.09,10.09,10.09,0.0
06/27/1997,16:00,10.41,10.41,10.41,10.41,4800.0
06/30/1997,16:00,10.74,10.74,10.74,10.74,200.0
07/01/1997,16:00,10.25,10.58,10.09,10.41,3700.0
07/02/1997,16:00,10.41,10.41,10.41,10.41,0.0
07/03/1997,16:00,10.41,10.41,10.41,10.41,0.0
07/07/1997,16:00,10.41,10.41,10.41,10.41,0.0
07/08/1997,16:00,10.41,10.41,10.41,10.41,0.0
07/09/1997,16:00,10.74,10.74,10.41,10.74,1400.0
07/10/1997,16:00,10.50,10.50,10.33,10.50,3100.0
07/11/1997,16:00,10.58,10.58,10.41,10.58,2500.0
07/14/1997,16:00,10.74,10.74,10.58,10.58,200.0
07/15/1997,16:00,10.66,10.66,10.41,10.41,600.0
07/16/1997,16:00,10.41,10.41,10.41,10.41,100.0
07/17/1997,16:00,10.25,10.25,10.25,10.25,100.0
07/18/1997,16:00,10.25,10.25,10.25,10.25,0.0
07/21/1997,16:00,10.25,10.25,10.25,10.25,0.0
07/22/1997,16:00,10.74,10.74,10.41,10.50,4800.0
07/23/1997,16:00,10.33,10.66,10.33,10.66,1200.0
07/24/1997,16:00,10.66,10.66,10.66,10.66,0.0
07/25/1997,16:00,10.66,10.66,10.66,10.66,0.0
07/28/1997,16:00,10.66,10.66,10.66,10.66,0.0
07/29/1997,16:00,10.74,10.90,10.41,10.62,10800.0
07/30/1997,16:00,10.50,10.50,10.50,10.50,4800.0
07/31/1997,16:00,10.50,10.50,10.50,10.50,3300.0
08/01/1997,16:00,10.58,11.06,10.58,10.86,12200.0
08/04/1997,16:00,10.25,10.25,10.25,10.25,200.0
08/05/1997,16:00,10.41,10.41,10.25,10.25,600.0
08/06/1997,16:00,10.41,10.90,10.41,10.58,2000.0
08/07/1997,16:00,10.41,10.58,10.41,10.58,37700.0
08/08/1997,16:00,10.58,10.58,10.58,10.58,0.0
08/11/1997,16:00,10.58,10.58,10.58,10.58,0.0
08/12/1997,16:00,10.58,10.58,10.58,10.58,0.0
08/13/1997,16:00,10.58,10.58,10.58,10.58,0.0
08/14/1997,16:00,10.58,10.58,10.58,10.58,0.0
08/15/1997,16:00,10.41,10.41,10.41,10.41,3700.0
08/18/1997,16:00,10.54,10.54,10.54,10.54,1700.0
