Date,Time,Open,High,Low,Close,Vol
01/02/2008,16:00,25.0,27.0,25.0,26.05,54200.0
01/03/2008,16:00,26.25,26.5,25.75,26.25,63600.0
01/04/2008,16:00,25.75,25.85,24.5,24.85,284600.0
01/07/2008,16:00,25.25,25.25,23.0,23.55,194100.0
01/08/2008,16:00,23.25,23.55,22.0,22.2,170300.0
01/09/2008,16:00,21.55,21.6,18.0,19.1,1090200.0
01/10/2008,16:00,19.25,19.45,19.0,19.1,83000.0
01/11/2008,16:00,19.2,20.0,19.2,19.5,359300.0
01/14/2008,16:00,19.5,20.45,19.5,20.25,228500.0
01/15/2008,16:00,20.1,20.1,19.6,19.6,40500.0
01/16/2008,16:00,19.5,19.85,19.5,19.75,89600.0
01/17/2008,16:00,19.75,19.85,19.5,19.55,192000.0
01/18/2008,16:00,19.59,19.7,19.56,19.7,53500.0
01/22/2008,16:00,19.25,19.5,19.25,19.35,177500.0
01/23/2008,16:00,19.36,19.5,18.85,19.35,479800.0
01/24/2008,16:00,19.35,19.5,19.1,19.2,35700.0
01/25/2008,16:00,19.2,19.5,19.2,19.3,111000.0
01/28/2008,16:00,19.3,19.65,19.25,19.5,142600.0
01/29/2008,16:00,19.6,20.3,19.6,20.1,167700.0
01/30/2008,16:00,20.18,20.75,20.1,20.45,29600.0
01/31/2008,16:00,20.35,21.0,20.1,20.95,171600.0
02/01/2008,16:00,20.95,21.45,20.95,21.2,181700.0
02/04/2008,16:00,21.25,21.25,20.95,21.15,139100.0
02/05/2008,16:00,21.13,21.13,20.42,20.43,103800.0
02/06/2008,16:00,20.43,20.87,20.43,20.8,17900.0
02/07/2008,16:00,20.73,20.88,20.52,20.55,23700.0
02/08/2008,16:00,20.52,20.65,20.5,20.59,59400.0
02/11/2008,16:00,20.5,20.5,20.13,20.25,13000.0
02/12/2008,16:00,20.2,20.25,19.5,20.1,69500.0
02/13/2008,16:00,19.86,20.0,19.55,19.65,8100.0
02/14/2008,16:00,19.55,19.55,19.5,19.5,2400.0
02/15/2008,16:00,19.5,19.5,19.01,19.25,55000.0
02/19/2008,16:00,19.25,19.25,19.2,19.25,7700.0
02/20/2008,16:00,19.23,19.25,19.0,19.1,58100.0
02/21/2008,16:00,19.2,19.2,18.25,18.9,312600.0
02/22/2008,16:00,18.95,19.0,18.79,19.0,1600.0
02/25/2008,16:00,19.0,19.1,18.63,19.1,217200.0
02/26/2008,16:00,19.05,19.5,19.0,19.45,47900.0
02/27/2008,16:00,19.45,20.1,19.45,19.85,44400.0
02/28/2008,16:00,20.0,21.0,20.0,20.75,628700.0
02/29/2008,16:00,20.85,20.85,20.1,20.2,254000.0
03/03/2008,16:00,20.2,20.85,20.2,20.48,188800.0
03/04/2008,16:00,20.4,20.7,20.35,20.47,155700.0
03/05/2008,16:00,20.7,20.8,20.5,20.75,158200.0
03/06/2008,16:00,20.75,20.75,20.5,20.75,700.0
03/07/2008,16:00,20.0,20.75,19.75,20.0,161000.0
03/10/2008,16:00,19.65,20.0,19.5,19.9,11800.0
03/11/2008,16:00,19.8,20.0,19.6,19.99,3100.0
03/12/2008,16:00,19.99,20.0,19.6,19.99,107500.0
03/13/2008,16:00,19.7,20.0,19.65,20.0,232700.0
03/14/2008,16:00,19.8,20.0,19.7,20.0,1000.0
03/17/2008,16:00,19.6,19.95,19.5,19.95,10400.0
03/18/2008,16:00,20.0,20.6,19.75,20.0,24700.0
03/19/2008,16:00,20.25,20.25,19.5,19.94,19200.0
03/20/2008,16:00,19.9,19.9,19.75,19.9,15700.0
03/24/2008,16:00,19.9,20.0,19.85,19.95,10000.0
03/25/2008,16:00,19.9,20.1,19.9,20.1,185800.0
03/26/2008,16:00,20.03,20.1,19.7,20.0,19000.0
03/27/2008,16:00,20.0,20.1,20.0,20.05,10100.0
03/28/2008,16:00,19.95,20.0,19.75,19.81,55100.0
03/31/2008,16:00,19.75,19.8,19.5,19.8,18000.0
04/01/2008,16:00,19.75,20.0,19.25,19.8,21700.0
04/02/2008,16:00,19.85,20.0,19.7,19.85,2400.0
04/03/2008,16:00,19.75,19.85,19.7,19.7,14400.0
04/04/2008,16:00,19.75,19.76,19.75,19.76,25100.0
04/07/2008,16:00,19.7,19.75,19.7,19.75,54500.0
04/08/2008,16:00,19.7,19.7,19.5,19.5,6400.0
04/09/2008,16:00,19.5,19.5,19.0,19.4,2000.0
04/10/2008,16:00,19.1,19.5,19.1,19.5,31000.0
04/11/2008,16:00,19.4,19.4,19.2,19.2,28100.0
04/14/2008,16:00,19.2,19.2,18.5,19.0,79200.0
04/15/2008,16:00,18.95,19.0,18.9,19.0,2900.0
04/16/2008,16:00,19.0,19.0,18.6,19.0,281800.0
04/17/2008,16:00,19.0,19.0,19.0,19.0,4500.0
04/18/2008,16:00,19.0,19.25,19.0,19.05,262600.0
04/21/2008,16:00,19.15,19.25,19.0,19.25,185300.0
04/22/2008,16:00,19.2,19.5,19.2,19.4,17800.0
04/23/2008,16:00,19.7,20.25,19.6,20.25,37300.0
04/24/2008,16:00,20.25,20.9,20.2,20.9,191500.0
04/25/2008,16:00,20.75,21.0,20.75,21.0,25300.0
04/28/2008,16:00,21.0,21.0,20.8,21.0,44500.0
04/29/2008,16:00,20.01,21.2,20.01,21.0,324600.0
04/30/2008,16:00,21.0,21.04,20.76,21.0,154400.0
