Date,Time,Open,High,Low,Close,Vol
11/10/1997,16:00,9.77,9.77,9.53,9.56,947200.0
11/11/1997,16:00,9.56,9.65,9.53,9.60,514700.0
11/12/1997,16:00,9.58,9.82,9.53,9.72,344700.0
11/13/1997,16:00,9.70,9.84,9.70,9.82,1007700.0
11/14/1997,16:00,9.82,9.86,9.75,9.86,1394900.0
11/17/1997,16:00,9.84,9.96,9.82,9.91,706600.0
11/18/1997,16:00,9.86,10.01,9.84,9.89,625800.0
11/19/1997,16:00,9.86,9.96,9.86,9.96,342400.0
11/20/1997,16:00,9.94,10.10,9.94,10.05,558800.0
11/21/1997,16:00,10.15,10.20,10.05,10.20,640800.0
11/24/1997,16:00,10.10,10.24,10.05,10.24,330800.0
11/25/1997,16:00,10.17,10.34,10.15,10.29,1021000.0
11/26/1997,16:00,10.32,10.32,10.20,10.20,488700.0
11/28/1997,16:00,10.24,10.24,10.20,10.24,244200.0
12/01/1997,16:00,10.24,10.39,10.22,10.39,836200.0
12/02/1997,16:00,10.34,10.39,10.27,10.29,437800.0
12/03/1997,16:00,10.34,10.34,10.20,10.29,338400.0
12/04/1997,16:00,10.34,10.51,10.27,10.39,1405800.0
12/05/1997,16:00,10.29,10.58,10.29,10.36,362500.0
12/08/1997,16:00,10.39,10.41,10.29,10.36,312900.0
12/09/1997,16:00,10.32,10.36,10.22,10.32,365300.0
12/10/1997,16:00,10.41,10.43,10.32,10.36,354100.0
12/11/1997,16:00,10.34,10.36,10.22,10.29,199600.0
12/12/1997,16:00,10.34,10.36,10.24,10.32,680500.0
12/15/1997,16:00,10.32,10.46,10.32,10.43,489500.0
12/16/1997,16:00,10.43,10.46,10.39,10.41,310200.0
12/17/1997,16:00,10.46,10.46,10.36,10.41,386100.0
12/18/1997,16:00,10.41,10.55,10.39,10.55,1640900.0
12/19/1997,16:00,10.55,10.74,10.51,10.74,2164100.0
12/22/1997,16:00,10.74,10.93,10.74,10.86,851400.0
12/23/1997,16:00,10.79,10.91,10.74,10.81,493200.0
12/24/1997,16:00,10.84,10.88,10.79,10.86,92200.0
12/26/1997,16:00,10.84,10.86,10.65,10.72,215300.0
12/29/1997,16:00,10.72,10.91,10.67,10.84,280800.0
12/30/1997,16:00,10.86,10.93,10.81,10.93,268600.0
12/31/1997,16:00,10.86,11.00,10.84,11.00,482900.0
01/02/1998,16:00,10.91,10.98,10.81,10.96,317200.0
01/05/1998,16:00,10.88,10.97,10.70,10.77,734200.0
01/06/1998,16:00,10.72,10.84,10.72,10.84,1507800.0
01/07/1998,16:00,10.79,10.79,10.65,10.79,724000.0
01/08/1998,16:00,10.74,10.79,10.65,10.77,461600.0
01/09/1998,16:00,10.74,10.84,10.67,10.74,863900.0
01/12/1998,16:00,10.58,10.91,10.58,10.91,679200.0
01/13/1998,16:00,10.91,10.91,10.77,10.79,1065600.0
01/14/1998,16:00,10.79,10.79,10.67,10.79,348700.0
01/15/1998,16:00,10.74,10.77,10.72,10.72,638200.0
01/16/1998,16:00,10.81,10.81,10.72,10.77,488700.0
01/20/1998,16:00,10.77,10.81,10.62,10.81,344700.0
01/21/1998,16:00,10.81,10.91,10.72,10.81,464300.0
